Unnamed: 0,id,date_published,link,caption_original,caption_cleaned,hashtags,num_reactions,num_comments,num_shares,num_likes,num_loves,num_wows,num_hahas,num_sads,num_angrys,num_special,Reactions_SUM,language,average_sentiment_score,account_name,words_matched_list,sentiment,matched_keywords,category,FSDS_matched_keywords,FSDS_category
0,315919208830119_357218368033536,2017-09-12 13:48:12,https://www.facebook.com/FisheriesOceansCanada/photos/a.331203093968397.1073741828.315919208830119/357218368033536/?type=3,"The Supreme Court of Canada has ruled that there is an Aboriginal right to fish for food, social and ceremonial purposes. However, the buying, selling, trading, bartering or the offer to buy, sell, trade or barter Indigenous fishery resources harvested for food, social and ceremonial purposes is not permitted. Fishery Officers investigate any known or suspected incidents of persons engaging in illegal sale of fish and have authority under the Fisheries Act to fine or prosecute offenders.","The Supreme Court of Canada has ruled that there is an Aboriginal right to fish for food, social and ceremonial purposes. However, the buying, selling, trading, bartering or the offer to buy, sell, trade or barter Indigenous fishery resources harvested for food, social and ceremonial purposes is not permitted. Fishery Officers investigate any known or suspected incidents of persons engaging in illegal sale of fish and have authority under the Fisheries Act to fine or prosecute offenders.",[],537,208,517,502,11,4,14,0,6,0,1262,en,0.1018345372910249,FisheriesOceansCanada_facebook,"['fisheries ', 'resources', 'ice', 'or']",positive,"['right', 'indigenous', 'fishery', 'resource', 'fishery']",Environmental,"['fish', 'food', 'food', 'fishery', 'fishery', 'food', 'food', 'fishery', 'fishery', 'fish']",Healthy coasts and oceans
1,315919208830119_341591366262903,2017-07-29 07:56:39,https://www.facebook.com/FisheriesOceansCanada/videos/341591366262903/,"We’re excited about our first confirmed 2017 sighting of a basking shark in BC waters! This big guy was spotted in Caamano Sound and measures approximately 17 feet!
Basking sharks are an endangered species under the Species At Risk Act, and have rarely been seen in North American Pacific waters over the last 15 years.
Thank you to Archie Dundas of the GitGa’at Guardians for the video of this basking shark.","We’re excited about our first confirmed sighting of a basking shark in BC waters! This big guy was spotted in Caamano Sound and measures approximately feet! Basking sharks are an endangered species under the Species At Risk Act, and have rarely been seen in North American Pacific waters over the last years. Thank you to Archie Dundas of the GitGa’at Guardians for the video of this basking shark.",[],290,39,293,235,29,26,0,0,0,0,622,en,0.1904761904761905,FisheriesOceansCanada_facebook,"['water', 'guard', 'mer', 'species', 'or']",positive,"['specie', 'water']",Environmental,"['water', 'water', 'specie', 'specie', 'risk', 'water', 'water']",Healthy coasts and oceans
2,315919208830119_381649145590458,2017-11-22 14:05:02,https://www.facebook.com/FisheriesOceansCanada/photos/a.331203093968397.1073741828.315919208830119/381648898923816/?type=3,"Look how far this Bluefin tuna travelled last winter! Our fishery officers and biologists worked together to recover a tag off Shippagan, New Brunswick, that had been attached to a Bluefin tuna for over a year. It showed the tuna was originally tagged on October 17, 2016 off of Port Mouton, Nova Scotia. The tuna stayed in Canadian waters until December and then travelled 3,000 km to the southwest of the Azores before making its way back to Nova Scotia in April. More info on how tagging helps us better understand the species: http://ow.ly/4FV830gHA0j","Look how far this Bluefin tuna travelled last winter! Our fishery officers and biologists worked together to recover a tag off Shippagan, New Brunswick, that had been attached to a Bluefin tuna for over a year. It showed the tuna was originally tagged on October , off of Port Mouton, Nova Scotia. The tuna stayed in Canadian waters until December and then travelled ,000 km to the southwest of the Azores before making its way back to Nova Scotia in April. More info on how tagging helps us better understand the species:",[],235,13,127,223,4,8,0,0,0,0,375,en,0.3072916666666667,FisheriesOceansCanada_facebook,"['water', 'species', 'ice', 'or']",positive,"['fishery', 'water', 'specie']",Environmental,"['fishery', 'fishery', 'canadian', 'canadian', 'water', 'water', 'specie', 'specie']",Healthy coasts and oceans
3,315919208830119_373190293103010,2017-10-28 15:00:14,https://www.facebook.com/FisheriesOceansCanada/photos/a.331203093968397.1073741828.315919208830119/373190293103010/?type=3,"Over 5% of Canada’s oceans are now protected! We just reached and surpassed our national marine conservation target of protecting 5% of our marine and coastal areas by 2017 with the establishment of new marine refuges off the coast of British Columbia and Quebec. 🌊
Over the past year we have made huge strides in ocean protection. Creating three new Marine Protected Areas, marine refuges, and identifying a new Area of Interest. We’re on track to meet our goal of protecting 10% of Canadian oceans by 2020. http://ow.ly/7ILY30gc6Mi","Over % of Canada’s oceans are now protected! We just reached and surpassed our national marine conservation target of protecting % of our marine and coastal areas by with the establishment of new marine refuges off the coast of British Columbia and Quebec. Over the past year we have made huge strides in ocean protection. Creating three new Marine Protected Areas, marine refuges, and identifying a new Area of Interest. We’re on track to meet our goal of protecting % of Canadian oceans by .",[],132,15,140,120,11,1,0,0,0,0,287,en,0.17917410714285714,FisheriesOceansCanada_facebook,"['conservation', 'oceans', 'marine', 'coastal', 'coast']",positive,"['ocean', 'marine', 'conservation', 'marine', 'coastal', 'marine', 'coast', 'ocean', 'marine', 'marine', 'ocean']",Environmental,"['ocean', 'national_marine', 'conservation', 'conservation', 'marine', 'marine', 'coast', 'ocean', 'protection', 'marine', 'marine', 'canadian', 'canadian', 'ocean']",Healthy coasts and oceans
4,315919208830119_346145965807443,2017-08-11 09:37:18,https://www.facebook.com/FisheriesOceansCanada/photos/a.331203093968397.1073741828.315919208830119/346145965807443/?type=3,"Effective immediately, vessels travelling in the western Gulf of St. Lawrence are mandated to reduce their speed to a maximum of 10 knots. The Government of Canada implemented the temporary mandatory slow-down for vessels longer than 20 metres in an effort to minimize risks to right whales in the area.

 
Following the recent whale deaths in the Gulf of St. Lawrence, we are making every effort possible to prevent further incidents and continue to work on the recovery of the species. We are awaiting results from the necropsies, and we have closed snow crab fishing to prevent entanglements.  Other fixed gear fisheries such as rock and toad crab fisheries have either been restricted to fish in shallow water or have had a delayed opening. For more information on our actions to date: http://ow.ly/n5qc30el2Kw

Transport and Infrastructure in Canada","Effective immediately, vessels travelling in the western Gulf of St. Lawrence are mandated to reduce their speed to a maximum of knots. The Government of Canada implemented the temporary mandatory slow-down for vessels longer than metres in an effort to minimize risks to right whales in the area. Following the recent whale deaths in the Gulf of St. Lawrence, we are making every effort possible to prevent further incidents and continue to work on the recovery of the species. We are awaiting results from the necropsies, and we have closed snow crab fishing to prevent entanglements. Other fixed gear fisheries such as rock and toad crab fisheries have either been restricted to fish in shallow water or have had a delayed opening. For more information on our actions to date: Transport and Infrastructure in Canada",[],151,7,117,139,11,0,0,1,0,0,275,en,0.0,FisheriesOceansCanada_facebook,"['infrastructure', 'transport', 'government']",neutral,"['government', 'government', 'right', 'specie', 'fishery', 'fishery', 'water', 'transport', 'infrastructure']",Environmental,"['risk', 'death', 'specie', 'specie', 'fishery', 'fishery', 'fishery', 'fishery', 'fish', 'water', 'water', 'infrastructure']",Healthy coasts and oceans
5,315919208830119_401070186981687,2017-12-25 08:00:00,https://www.facebook.com/FisheriesOceansCanada/photos/a.331203093968397.1073741828.315919208830119/401070006981705/?type=3,,,[],192,2,67,171,10,0,10,1,0,0,261,tl,0.075,FisheriesOceansCanada_facebook,,positive,[],unknown,[],unknown
6,315919208830119_400730020349037,2017-12-21 15:50:01,https://www.facebook.com/FisheriesOceansCanada/photos/a.331203093968397.1073741828.315919208830119/400729963682376/?type=3,"We’re proud to announce the establishment of 7 new marine refuges off the coasts of Nunavut and Newfoundland and Labrador. These sites will provide protection to bottom-dwelling species such as corals, sponges, and Atlantic cod, and habitats important for spawning, breeding, and feeding for many aquatic species ow.ly/SzMg100TzFZ","We’re proud to announce the establishment of new marine refuges off the coasts of Nunavut and Newfoundland and Labrador. These sites will provide protection to bottom-dwelling species such as corals, sponges, and Atlantic cod, and habitats important for spawning, breeding, and feeding for many aquatic species",[],116,2,115,99,15,2,0,0,0,0,233,en,0.125,FisheriesOceansCanada_facebook,"['or', 'coasts', 'marine', 'species', 'coast']",positive,"['marine', 'coast', 'specie', 'specie']",Environmental,"['marine', 'coast', 'protection', 'specie', 'specie', 'habitat', 'habitat', 'specie', 'specie']",Healthy coasts and oceans
7,315919208830119_336542403434466,2017-07-17 10:23:09,https://www.facebook.com/FisheriesOceansCanada/photos/a.331203093968397.1073741828.315919208830119/336542220101151/?type=3,"Asian carps don’t belong in Canada. If you see one be sure to report it to the Invading Species Hotline at 1-800-563-7711. A dead, female Grass carp was found July 12 near Dunnville, ON and we are doing further testing. We want to thank the individual who spotted the fish and reported the find. http://ow.ly/CZfB30dH04D","Asian carps don’t belong in Canada. If you see one be sure to report it to the Invading Species Hotline at -800-563-7711. A dead, female Grass carp was found July near Dunnville, ON and we are doing further testing. We want to thank the individual who spotted the fish and reported the find. D",[],37,3,170,35,0,0,0,2,0,0,210,en,0.0,FisheriesOceansCanada_facebook,"['species', 'or']",neutral,[],unknown,['fish'],Healthy coasts and oceans
8,315919208830119_377064602715579,2017-11-08 10:19:44,https://www.facebook.com/FisheriesOceansCanada/photos/a.377056092716430.1073741875.315919208830119/377064602715579/?type=3,"Oh, the things you can see when you look below the surface! As part of our annual summer survey aboard the Canadian Coast Guard CCGS Alfred Needler, our scientists explored the deep waters of the Scotian Shelf off the coast of Nova Scotia. Although sampling marine life below the surface requires a lot of patience, sometimes up to an hour, when the 3,000 metre-long trawl cables reach the bottom, the unusual species we see are well worth the wait. More info on multi-species bottom trawl surveys here: http://ow.ly/Eq5P30grkPh","Oh, the things you can see when you look below the surface! As part of our annual summer survey aboard the Canadian Coast Guard CCGS Alfred Needler, our scientists elored the deep waters of the Scotian Shelf off the coast of Nova Scotia. Although sampling marine life below the surface requires a lot of patience, sometimes up to an hour, when the ,000 metre-long trawl cables reach the bottom, the unusual species we see are well worth the wait. More info on multi-species bottom trawl surveys here:",[],125,19,58,110,2,13,0,0,0,0,202,en,0.255475,FisheriesOceansCanada_facebook,"['species', 'water', 'guard', 'mer', 'coast', 'marine', 'or']",positive,"['coast', 'guard', 'guard', 'water', 'coast', 'marine', 'specie']",Environmental,"['canadian', 'canadian', 'coast', 'water', 'water', 'coast', 'marine', 'specie', 'specie']",Healthy coasts and oceans
9,315919208830119_340868759668497,2017-07-27 09:00:37,https://www.facebook.com/FisheriesOceansCanada/photos/a.331203093968397.1073741828.315919208830119/340868759668497/?type=3,"Sea otters will hold each other’s paws so they don't drift apart. A floating group of otters is called a “raft,” which can contain up to 200 otters! Learn more about these cuddly creatures: ow.ly/h1bV30cah43","Sea otters will hold each other’s paws so they don't drift apart. A floating group of otters is called a “raft,” which can contain up to otters! Learn more about these cuddly creatures:",[],129,8,61,106,21,2,0,0,0,0,198,en,0.0,FisheriesOceansCanada_facebook,['or'],neutral,[],unknown,['sea'],Healthy coasts and oceans
