Unnamed: 0,id,date_published,link,caption_original,caption_cleaned,hashtags,num_shares,num_likes,Reactions_SUM,language,average_sentiment_score,sentiment,account_name,words_matched_list,matched_keywords,category,FSDS_matched_keywords,FSDS_category
0,929115754162778112,2017-11-10 22:37:12,[],"RT @CanadianPM: 117,000 poppies, one for each of Canada’s Fallen, cascade down Centre Block on Parliament Hill in Ottawa. #CanadaRemembers…",RT CanadianPM 117 000 poppies one Fallen cascade Centre Block Parliament Hill Ottawa,['#CanadaRemembers'],2372,0,2372,en,-0.1555555555555556,Neutral,ParksCanada_tweeter,,[],unknown,[],unknown
1,946472108955262976,2017-12-28 20:05:10,['https://t.co/UXkwnRTw'],"A big thank you 🎈 for an incredible #Canada150 year, on behalf of the entire #ParksCanada network. https://t.co/UXkwnRTwdC",big thank incredible Canada150 year behalf entire ParksCanada network https co UXkwnRTwdC,"['#Canada150', '#ParksCanada']",499,1471,1970,en,0.3,Neutral,ParksCanada_tweeter,"['park', 'or']","['#canada150', '#parkscanada']",Social,[],unknown
2,895726583729856513,2017-08-10 19:20:34,"['https://t.co/3kCgJN4RYV', 'https://t.co/8d6MR3Ee46']",Qausuittuq National Park is officially open! Learn more about this cluster of islands in the High #Arctic: https://t.co/3kCgJN4RYV #Nunavut https://t.co/8d6MR3Ee46,Qausuittuq National Park officially open Learn cluster islands High Arctic https co 3kCgJN4RYV Nunavut https co 8d6MR3Ee46,"['#Arctic', '#Nunavut']",162,433,595,en,0.22,Neutral,ParksCanada_tweeter,"['lands', 'park']","['park', '#arctic', '#nunavut']",Environmental,['park'],Connecting Canadians with nature 
3,927330962379366402,2017-11-06 00:25:05,['https://t.co/3SraumhUxm'],"It’s the first day of #PolarBearWeek! ❄️ From cool photos, to fun facts stay tuned all week for all things polar bear! @PolarBears https://t.co/3SraumhUxm",first day PolarBearWeek cool photos fun facts stay tuned week things polar bear PolarBears https co 3SraumhUxm,['#PolarBearWeek'],137,373,510,en,0.21458333333333326,Neutral,ParksCanada_tweeter,,[],unknown,[],unknown
4,929336730557341698,2017-11-11 13:15:17,['https://t.co/qWJ6OBBF8y'],It’s #RemembranceDay 🇨🇦 Honour those who have served our country and share a photo of how you will remember them #ParksChallenge https://t.co/qWJ6OBBF8y,RemembranceDay Honour served country share photo remember ParksChallenge https co qWJ6OBBF8y,"['#RemembranceDay', '#ParksChallenge']",106,333,439,en,0.0,Neutral,ParksCanada_tweeter,['park'],['#parkschallenge'],Environmental,[],unknown
5,908858879999713280,2017-09-16 01:03:37,['https://t.co/TzqLZx9U0L'],RT @WatertonLakesNP: Thank you to all the crews who worked to protect #Waterton Lakes National Park. https://t.co/TzqLZx9U0L,RT WatertonLakesNP Thank crews worked protect Waterton Lakes National Park https co TzqLZx9U0L,['#Waterton'],434,0,434,en,0.0,Neutral,ParksCanada_tweeter,"['water', 'park', 'lakes', 'or']",['park'],Environmental,['park'],Connecting Canadians with nature 
6,936312739764559872,2017-11-30 19:15:27,"['https://t.co/dEFbbaXgss', 'https://t.co/t3qBgaL7ZK']","Exciting news! Starting in 2018, admission to #ParksCanada places will be #FREE for youth 17 and under. 🙌 https://t.co/dEFbbaXgss Where will you be exploring? https://t.co/t3qBgaL7ZK",Exciting news Starting 2018 admission ParksCanada places FREE youth 17 https co dEFbbaXgss exploring https co t3qBgaL7ZK,"['#ParksCanada', '#FREE']",174,245,419,en,0.25833333333333336,Neutral,ParksCanada_tweeter,"['park', 'or']",['#parkscanada'],Environmental,[],unknown
7,914521600485191680,2017-10-01 16:05:15,['https://t.co/RtNVJ0U5ZO'],"It’s #MentalHealthAwarenessWeek, so we want to hear from you: how do our places help you find calm? #MIAW17 https://t.co/RtNVJ0U5ZO",MentalHealthAwarenessWeek want hear places help find calm MIAW17 https co RtNVJ0U5ZO,"['#MentalHealthAwarenessWeek', '#MIAW17']",116,281,397,en,0.30000000000000004,Neutral,ParksCanada_tweeter,['health'],[],unknown,[],unknown
8,930060241269673984,2017-11-13 13:10:15,['https://t.co/A0Rz84ahSv'],It’s #WorldKindnessDay! It’s so important to be kind to the 🌎. We show we care by protecting ecosystems + biodiversity. How about you? 🌿❤ https://t.co/A0Rz84ahSv,WorldKindnessDay important kind show care protecting ecosystems biodiversity https co A0Rz84ahSv,['#WorldKindnessDay'],107,230,337,en,0.5,Positive,ParksCanada_tweeter,"['ecosystem', 'biodiversity', 'or']","['ecosystem', 'biodiversity']",Environmental,"['care', 'ecosystem', 'ecosystem', 'ecosystem', 'ecosystem', 'biodiversity']",Healthy wildlife populations
9,924335183440109568,2017-10-28 18:00:55,['https://t.co/d30Y6Phyh3'],"Baby #bats are called ""pups"" and bats have only one a year. They are nursed until they're big enough to fly on their own. #BatWeek https://t.co/d30Y6Phyh3",Baby bats called pups bats one year nursed big enough fly BatWeek https co d30Y6Phyh3,"['#bats', '#BatWeek']",86,244,330,en,0.28,Neutral,ParksCanada_tweeter,,"['#bats', '#batweek']",Environmental,[],unknown
10,911924463461175298,2017-09-24 12:05:09,['https://t.co/XFvscokpwM'],"Happy #NationalForestWeek! 🌲 All week, we’ll be celebrating the diverse #forests at the ❤ of our national parks system. https://t.co/XFvscokpwM",Happy NationalForestWeek week celebrating diverse forests national parks system https co XFvscokpwM,"['#NationalForestWeek', '#forests']",110,219,329,en,1.0,Positive,ParksCanada_tweeter,"['park', 'or']",['park'],Environmental,"['forest', 'forest', 'park']",Clean drinking water
11,904674191869399040,2017-09-04 11:55:10,['https://t.co/EQXPx3GkAO'],Happy #LabourDay! The #longweekend is the perfect time to discover a #HiddenGem before the end of the season. #GetOutside and have fun! https://t.co/EQXPx3GkAO,Happy LabourDay longweekend perfect time discover HiddenGem end season GetOutside fun https co EQXPx3GkAO,"['#LabourDay', '#longweekend', '#HiddenGem', '#GetOutside']",97,231,328,en,0.7916666666666666,Positive,ParksCanada_tweeter,,[],unknown,[],unknown
12,895335501577584641,2017-08-09 17:26:32,[],"RT @GCIndigenous: For @UN Int'l Day of World’s #IndigenousPeoples, let's reflect on the rich cultures &amp; diversity of Indigenous ppls in Can…",RT GCIndigenous UN Int Day IndigenousPeoples let reflect rich cultures amp diversity Indigenous ppls,['#IndigenousPeoples'],324,0,324,en,0.375,Positive,ParksCanada_tweeter,"['culture', 'diversity', 'indigenous']","['#indigenouspeoples', 'culture', 'diversity', 'indigenous']",Social,[],unknown
13,915545833017413632,2017-10-04 11:55:11,"['https://t.co/nlPZZ6s2fj', 'https://t.co/pczk6Oq7wR']",Today is #WorldAnimalDay! See what we’re doing to protect #speciesatrisk: https://t.co/nlPZZ6s2fj https://t.co/pczk6Oq7wR,Today WorldAnimalDay See protect speciesatrisk https co nlPZZ6s2fj https co pczk6Oq7wR,"['#WorldAnimalDay', '#speciesatrisk']",90,213,303,en,0.0,Neutral,ParksCanada_tweeter,"['species', 'or']",['#speciesatrisk'],Environmental,[],unknown
14,918151970417934337,2017-10-11 16:31:02,['https://t.co/BmVVgoWcqy'],So many amazing colours across Canada! Thank you for sharing your pictures 📷! Next week’s #ParksChallenge might bug you… https://t.co/BmVVgoWcqy,many amazing colours across Canada Thank sharing pictures Next ParksChallenge might bug https co BmVVgoWcqy,['#ParksChallenge'],77,223,300,en,0.4791666666666667,Positive,ParksCanada_tweeter,['park'],['#parkschallenge'],Environmental,[],unknown
15,913071512655187970,2017-09-27 16:03:07,['https://t.co/0MYB0T6TT'],"Happy #NationalTreeDay! We've been featuring our Canadian forests all #NationalForestWeek. Now, we want you show us your favourite tree! https://t.co/0MYB0T6TTU",Happy NationalTreeDay featuring Canadian forests NationalForestWeek want show us favourite tree https co 0MYB0T6TTU,"['#NationalTreeDay', '#NationalForestWeek']",82,211,293,en,1.0,Positive,ParksCanada_tweeter,"['tree', 'or']",['#nationalforestweek'],Environmental,"['canadian', 'canadian', 'forest', 'forest']",Clean drinking water
16,898273448350306304,2017-08-17 20:00:53,['https://t.co/CfFHMdmI3z'],"The sun is setting on summer. It’s sad  we know, but it's the perfect time to capture that sunset! Show us your pics! #ParksChallenge https://t.co/CfFHMdmI3z",sun setting summer sad know perfect time capture sunset Show us pics ParksChallenge https co CfFHMdmI3z,['#ParksChallenge'],51,221,272,en,0.25,Neutral,ParksCanada_tweeter,"['park', 'mer']",['#parkschallenge'],Environmental,[],unknown
