Unnamed: 0,id,date_published,link,caption_original,caption_cleaned,hashtags,num_reactions,num_comments,num_shares,num_likes,num_loves,num_wows,num_hahas,num_sads,num_angrys,num_special,Reactions_SUM,language,average_sentiment_score,account_name,words_matched_list,sentiment,matched_keywords,category,FSDS_matched_keywords,FSDS_category
0,1203325126385126_1250780381639600,2016-09-28 08:25:47,http://www.cta.gc.ca/air-travel-complaints,"Most trips go off as planned, but when air travellers have issues, we can help.

We've simplified our complaints process:","Most trips go off as planned, but when air travellers have issues, we can help. We've simplified our complaints process:",[],22,10,22,19,1,0,0,0,2,0,54,en,0.05960164835164835,CanadianTransportationAgency_facebook,['air'],positive,['air'],Environmental,[],unknown
1,1203325126385126_1564364853614483,2017-07-28 14:34:19,,"Comments with links to ""5 Reasons Not To Trust The Agency"" will be deleted as it is deemed to be in breach of our social media policy, as well as Facebook's Community Guidelines, based on:

• It is repetitive or spam;
• Contains references to personal information;
• Puts forward serious, unproven or inaccurate accusations against individuals or organizations;
• Do not, in our opinion, add to the normal flow of the discussion.","Comments with links to ""5 Reasons Not To Trust The Agency"" will be deleted as it is deemed to be in breach of our social media policy, as well as Facebook's Community Guidelines, based on: • It is repetitive or spam; • Contains references to personal information; • Puts forward serious, unproven or inaccurate accusations against individuals or organizations; • Do not, in our opinion, add to the normal flow of the discussion.",[],16,24,9,4,1,0,0,0,11,0,49,en,0.09615356463182548,CanadianTransportationAgency_facebook,['community'],positive,"['policy', 'community']",Social,"['community', 'community', 'flow']",Clean drinking water
2,1203325126385126_1562532160464419,2017-07-26 18:00:15,https://www.facebook.com/CanadianTransportationAgency/photos/a.1217102575007381.1073741828.1203325126385126/1562532160464419/?type=3,"The Canadian Transportation Agency is committed to an open and transparent dialogue with Canadians and welcomes a variety of perspectives and opinions. We believe that only by being open to challenge, debate and a free and honest exchange of ideas can we ensure that we are serving Canadians to the best of our ability. 

However, feedback should be at all times respectful and relevant. It should not include personal attacks or innuendo directed at individual public servants who perform their jobs with dedication and professionalism. 

For more information, visit https://www.otc-cta.gc.ca/eng/use-social-media.","The Canadian Transportation Agency is committed to an open and transparent dialogue with Canadians and welcomes a variety of perspectives and opinions. We believe that only by being open to challenge, debate and a free and honest exchange of ideas can we ensure that we are serving Canadians to the best of our ability. However, feedback should be at all times respectful and relevant. It should not include personal attacks or innuendo directed at individual public servants who perform their jobs with dedication and professionalism. For more information, visit .",[],16,17,8,8,0,0,0,1,7,0,41,en,0.023507179909581385,CanadianTransportationAgency_facebook,"['jobs', 'transport']",positive,['job'],Economical,"['canadian', 'canadian', 'variety']",Pristine lakes and rivers
3,1203325126385126_1213165282067777,2016-08-16 10:55:54,https://www.otc-cta.gc.ca/eng/aspar-q-and-a,"Booking a flight soon?

Airlines have to display the final price on their website, including all taxes, charges and fees. So the price you see is the price you'll pay.

Learn more:","Booking a flight soon? Airlines have to display the final price on their website, including all taxes, charges and fees. So the price you see is the price you'll pay. Learn more:",[],10,0,13,10,0,0,0,0,0,0,23,en,0.0,CanadianTransportationAgency_facebook,"['or', 'ice', 'air']",neutral,['tax'],Economical,[],unknown
4,1203325126385126_1475548242496145,2017-05-04 08:30:48,https://www.facebook.com/CanadianTransportationAgency/photos/a.1217102575007381.1073741828.1203325126385126/1475548242496145/?type=3,Bumped off of the Imperial Shuttle? Know your rights as an air passenger! #maythefourthbewithyou #starwars >http://ow.ly/mWo3303vdFx,Bumped off of the Imperial Shuttle? Know your rights as an air passenger! >,"['#maythefourthbewithyou', '#starwars']",13,2,5,13,0,0,0,0,0,0,20,en,-0.2,CanadianTransportationAgency_facebook,['air'],negative,"['right', 'air']",Economical,[],unknown
5,1203325126385126_1265072616877043,2016-10-13 15:23:47,http://cta.gc.ca/air-travel-complaints,"We can help air travellers resolve complaints on issues such as flight disruptions and delays, denied boarding or bumping due to overbooking.

File a complaint here:","We can help air travellers resolve complaints on issues such as flight disruptions and delays, denied boarding or bumping due to overbooking. File a complaint here:",[],6,2,11,6,0,0,0,0,0,0,19,en,0.10416666666666666,CanadianTransportationAgency_facebook,"['or', 'air']",positive,['air'],Environmental,[],unknown
6,1203325126385126_1569170619800573,2017-08-02 15:30:11,http://ow.ly/PCO430e7oYG,Canadian Transportation Agency launches inquiry into Air Transat tarmac delays > http://ow.ly/PCO430e7oYG,Canadian Transportation Agency launches inquiry into Air Transat tarmac delays >,[],14,1,3,14,0,0,0,0,0,0,18,en,0.125,CanadianTransportationAgency_facebook,"['or', 'air']",positive,['air'],Environmental,"['canadian', 'canadian']",Connecting Canadians with nature 
7,1203325126385126_1472770312773938,2017-05-01 09:16:19,https://www.facebook.com/CanadianTransportationAgency/photos/a.1217102575007381.1073741828.1203325126385126/1472770312773938/?type=3,"""We were returning from Baltimore to Toronto when our flight was cancelled due to poor weather. The airline rebooked us 5 days later because that was their only flight which had availability. Although there was availability on their partner flight, they would not book us on another airline. We could not wait for 5 days to return home, as a result, we purchased new flights. We tried to work with the airline to receive a refund but they refused to offer any compensation. Consequently, we turned to the Canadian Transportation Agency for assistance. Their service was amazing- very thorough, very comprehensive and very attentive. The first contact explained the passenger tariff and our rights as passengers. We took the next step and asked CTA to mediate on our behalf, which fortunately turned out to be a successful exercise. We were very impressed with the support we received and the professionalism of the staff at CTA. It is sad that the state of airline travel in Canada requires an agency such as the CTA but it is reassuring to know that they are there to help ensure passenger rights are met.""

Marci

http://ow.ly/gv1230cASUR","""We were returning from Baltimore to Toronto when our flight was cancelled due to poor weather. The airline rebooked us days later because that was their only flight which had availability. Although there was availability on their partner flight, they would not book us on another airline. We could not wait for days to return home, as a result, we purchased new flights. We tried to work with the airline to receive a refund but they refused to offer any compensation. Consequently, we turned to the Canadian Transportation Agency for assistance. Their service was amazing- very thorough, very comprehensive and very attentive. The first contact elained the passenger tariff and our rights as passengers. We took the next step and asked CTA to mediate on our behalf, which fortunately turned out to be a successful exercise. We were very impressed with the support we received and the professionalism of the staff at CTA. It is sad that the state of airline travel in Canada requires an agency such as the CTA but it is reassuring to know that they are there to help ensure passenger rights are met."" Marci",[],8,7,3,5,0,0,1,0,2,0,18,en,0.05387878787878788,CanadianTransportationAgency_facebook,"['or', 'ice', 'air']",positive,"['right', 'right']",Economical,"['canadian', 'canadian']",Connecting Canadians with nature 
8,1203325126385126_1651992981518336,2017-10-31 11:01:19,https://www.facebook.com/CanadianTransportationAgency/photos/a.1217102575007381.1073741828.1203325126385126/1651992981518336/?type=3,"Did you know? The CTA's enforcement officers have issued 314 warning letters and 84 notices of violation resulting in $700,000 in penalties in the last five years.","Did you know? The CTA's enforcement officers have issued warning letters and notices of violation resulting in $700,000 in penalties in the last five years.",[],4,10,0,1,0,0,1,0,2,0,14,en,0.05271582584082584,CanadianTransportationAgency_facebook,"['or', 'ice']",positive,[],unknown,[],unknown
9,1203325126385126_1217102435007395,2016-08-21 07:31:22,https://www.facebook.com/CanadianTransportationAgency/photos/a.1217102575007381.1073741828.1203325126385126/1217102435007395/?type=3,"Airline lost your luggage? @#$%
 
We may be able to help!
 
Check out our video: http://bit.ly/2afCvid 
 
#MamaSaidThereWouldBeDaysLikeThis #LostLuggage #LostBaggage",Airline lost your luggage? $% We may be able to help! Check out our video: d,"['#', '#MamaSaidThereWouldBeDaysLikeThis', '#LostLuggage', '#LostBaggage']",4,0,8,4,0,0,0,0,0,0,12,en,0.0,CanadianTransportationAgency_facebook,['air'],neutral,[],unknown,[],unknown
10,1203325126385126_1564430810274554,2017-07-28 16:00:32,http://ow.ly/TWPR30b1c6T,"Our Code of Values and Ethics 

These values guide us in our professional duties:
- Respect for democracy
- Respect for people
- Integrity
- Stewardship
- Excellence

For more information about our Code of Values and Ethics, see http://ow.ly/TWPR30b1c6T","Our Code of Values and Ethics These values guide us in our professional duties: - Respect for democracy - Respect for people - Integrity - Stewardship - Excellence For more information about our Code of Values and Ethics, see",[],4,7,0,1,0,0,2,0,1,0,11,en,-0.032530313051146384,CanadianTransportationAgency_facebook,['or'],negative,[],unknown,"['stewardship', 'stewardship']",Clean drinking water
