Unnamed: 0,id,date_published,link,caption_original,caption_cleaned,hashtags,num_comments,num_likes,Reactions_SUM,language,average_sentiment_score,account_name,words_matched_list,sentiment,matched_keywords,category,FSDS_matched_keywords,FSDS_category
0,2017-12-29_10-27-12,2017-12-29T10:27:12,https://instagram.fyvr3-1.fna.fbcdn.net/vp/f45a35039e1403cab4417257b19574b2/5AE3FC14/t51.2885-15/e35/26074021_183745329029406_8019917742339522560_n.jpg,"We had an amazing on Instagram, swipe through to see our TOP TEN posts! ⭐️ Thank you for following and tagging us in all of your incredible photos this year. We're so pleased to be a part of your adventures and your . Did YOUR favourite make the list?.....",amazing 2017 Instagram swipe see TOP TEN posts Thank following tagging us incredible photos year pleased part adventures Canada150 favourite make list canada parkscanada exploreCanada ohcanada enjoycanada tourcanada instatravel travelgram tourism instago wanderlust ilovetravel getoutside travel travelphotography roadtrip Canada150 bucketlist wanderlust,"[""canada150"",""canada"",""parkscanada"",""explorecanada"",""ohcanada"",""enjoycanada"",""tourcanada"",""instatravel"",""travelgram"",""tourism"",""instago"",""wanderlust"",""ilovetravel"",""getoutside"",""travel"",""travelphotography"",""roadtrip"",""canada150"",""bucketlist"",""wanderlust""]",119,9444,9563,en,0.3403415627614682,parks.canada_instagram,"['park', 'or']",positive,[],unknown,[],unknown
1,2017-08-06_14-44-10,2017-08-06T14:44:10,https://instagram.fyvr3-1.fna.fbcdn.net/vp/577a5a5affea094b48725ef2c4459391/5AD95516/t51.2885-15/e35/20686915_160552274511372_4394924160074121216_n.jpg,"If you’re looking for a magical place to walk off into the sunset, this boardwalk in Gros Morne National Park is where your dreams can come true! Whether you’re looking for a dreamy, romantic sunset, or an invigorating outdoor adventure, a trip to Gros Morne is exactly what you’re looking for! by ",looking magical place walk sunset boardwalk Gros Morne National Park dreams come true Whether looking dreamy romantic sunset invigorating outdoor adventure trip Gros Morne exactly looking tomcochrane GrosMorne GrosMorneNP NL Newfoundland coastal Liveyouradventure Instatravel Vacation Sunset TravelGram Travel LiveOutdoors Instago Wanderlust Wanderer Travelphotography ILoveTravel Trip Vacay TravelTheWorld ParksCanada Canada150 Bucketlist DestinationCanada Dreamy,"[""grosmorne"",""grosmornenp"",""nl"",""newfoundland"",""coastal"",""liveyouradventure"",""instatravel"",""vacation"",""sunset"",""travelgram"",""travel"",""liveoutdoors"",""instago"",""wanderlust"",""wanderer"",""travelphotography"",""ilovetravel"",""trip"",""vacay"",""traveltheworld"",""parkscanada"",""canada150"",""bucketlist"",""destinationcanada"",""dreamy""]",235,7068,7303,en,0.3669220547295644,parks.canada_instagram,"['park', 'or', 'coastal', 'coast']",positive,['park'],Environmental,['park'],Connecting Canadians with nature 
2,2018-01-09_07-30-13,2018-01-09T07:30:13,https://instagram.fyvr3-1.fna.fbcdn.net/vp/f552149731bc0901638284927909595a/5AF69F2A/t51.2885-15/e35/26073906_142718293059595_4990064936328626176_n.jpg,"“Place of spirits” is the Inuktitut meaning of Torngat Mountains National Park’s name. Looking at this incredible scene featuring the glacier-carved Saglek Fjord, the name suits the place perfectly, wouldn’t you agree?.: .....  ",Place Inuktitut meaning Torngat Mountains National name Looking incredible scene featuring glacier carved Saglek Fjord name suits place perfectly agree everythingeverywhere explorecanada parkscanada beautifuldestinations canada exploreNL fjord mountains TorngatMountains mountains glacier torngat newfoundlandandlabrador newfoundland eastcoast ParksCanada Canada150 Liveyouradventure Instatravel Vacation TravelGram Travel LiveOutdoors Instago Wanderlust Wanderer Travelphotography ILoveTravel Trip Vacay TravelTheWorld Bucketlist,"[""explorecanada"",""parkscanada"",""beautifuldestinations"",""canada"",""explorenl"",""fjord"",""mountains"",""torngatmountains"",""mountains"",""glacier"",""torngat"",""newfoundlandandlabrador"",""newfoundland"",""eastcoast"",""parkscanada"",""canada150"",""liveyouradventure"",""instatravel"",""vacation"",""travelgram"",""travel"",""liveoutdoors"",""instago"",""wanderlust"",""wanderer"",""travelphotography"",""ilovetravel"",""trip"",""vacay"",""traveltheworld"",""bucketlist""]",77,6716,6793,en,0.14483004385964912,parks.canada_instagram,"['eau', 'park', 'or', 'coast']",positive,[],unknown,[],unknown
3,2017-11-14_15-32-15,2017-11-14T15:32:15,https://instagram.fyvr3-1.fna.fbcdn.net/vp/8ae8f22cc238381213bb5269c2653313/5AFB6348/t51.2885-15/e35/23507794_126999907994317_4394506341360599040_n.jpg,"Winter is a wonderful time to elore Prince Albert National Park, and discover the tracks of the animals that live there! For your safety and the safety of wildlife, please stay a respectful distance away from any wild animal.: .....",Winter wonderful time explore Prince Albert National Park discover tracks animals live safety safety wildlife please stay respectful distance away wild animal thelostgirlsguide KeepWildlifeWild canada parkscanada exploreCanada ohcanada enjoycanada tourcanada instatravel travelgram tourism instago wanderlust ilovetravel getoutside travel travelphotography roadtrip Canada150 PANP PrinceAlbertNP ExploreSask Saskatchewan DestinationCanada snow winter,"[""keepwildlifewild"",""canada"",""parkscanada"",""explorecanada"",""ohcanada"",""enjoycanada"",""tourcanada"",""instatravel"",""travelgram"",""tourism"",""instago"",""wanderlust"",""ilovetravel"",""getoutside"",""travel"",""travelphotography"",""roadtrip"",""canada150"",""panp"",""princealbertnp"",""exploresask"",""saskatchewan"",""destinationcanada"",""snow"",""winter""]",30,6653,6683,en,0.3186805555555556,parks.canada_instagram,"['wildlife', 'park', 'or']",positive,"['park', 'wildlife']",Environmental,"['park', 'animal', 'animal', 'animal', 'wildlife', 'wildlife', 'animal', 'animal', 'animal']",Healthy wildlife populations
4,2017-11-15_16-06-13,2017-11-15T16:06:13,https://instagram.fyvr3-1.fna.fbcdn.net/vp/e98d0bd993643613de76681749cc4573/5AE95B10/t51.2885-15/e35/23596662_129917287722201_4367787212373229568_n.jpg,"Winter is coming… but luckily, it’s beautiful! Yoho National Park: .....",Winter luckily beautiful Yoho National Park yohonationalpark hikebc bcparks bcisbeautiful explorebc explorebcparks bcphotography Yoho MountainParks Climbers Nature Liveyouradventure Instatravel TravelGram Travel LiveOutdoors Instago Wanderlust Wanderer Travelphotography ILoveTravel Trip Vacay TravelTheWorld ParksCanada Canada150 Bucketlist DestinationCanada Dreamy mountain,"[""yohonationalpark"",""hikebc"",""bcparks"",""bcisbeautiful"",""explorebc"",""explorebcparks"",""bcphotography"",""yoho"",""mountainparks"",""climbers"",""nature"",""liveyouradventure"",""instatravel"",""travelgram"",""travel"",""liveoutdoors"",""instago"",""wanderlust"",""wanderer"",""travelphotography"",""ilovetravel"",""trip"",""vacay"",""traveltheworld"",""parkscanada"",""canada150"",""bucketlist"",""destinationcanada"",""dreamy"",""mountain""]",33,5976,6009,en,0.3842171717171717,parks.canada_instagram,"['eau', 'park', 'or', 'nature']",positive,['park'],Environmental,['park'],Connecting Canadians with nature 
5,2017-12-19_13-50-08,2017-12-19T13:50:08,https://instagram.fyvr3-1.fna.fbcdn.net/vp/88f27420a9b573fcc600409964a59af7/5AEC8B75/t51.2885-15/e35/25018388_1973615779521052_6366722823666270208_n.jpg,"Bruce Peninsula National Park welcomes elorers of all ages to uncover the natural wonders of its limestone coasts, mixed-wood forests, cliffside cedars, clear-water lakes and vibrant orchids.: .....",Bruce Peninsula National Park welcomes explorers ages uncover natural wonders limestone coasts mixed wood forests cliffside cedars clear water lakes vibrant orchids zachbaranowski BrucePeninsulaNationalPark BrucePeninsula BrucePeninsulaNP ExploreCanada parkscanada canada canadaswonderland igerscanada ohcanada canadaday igcanada tourcanada enjoycanada adventure wanderlust DiscoverON ontario lakeontario northernontario ontarioparks exploreontario ontariocanada,"[""brucepeninsulanationalpark"",""brucepeninsula"",""brucepeninsulanp"",""explorecanada"",""parkscanada"",""canada"",""canadaswonderland"",""igerscanada"",""ohcanada"",""canadaday"",""ig_canada"",""oh_canada"",""igcanada"",""snapshot_canada"",""tourcanada"",""enjoycanada"",""adventure"",""wanderlust"",""discoveron"",""ontario"",""lakeontario"",""ontario_adventures"",""northernontario"",""ontarioparks"",""exploreontario"",""ontariocanada""]",54,5951,6005,en,0.15674228811021265,parks.canada_instagram,"['natural', 'coasts', 'park', 'lakes', 'coast', 'water', 'or']",positive,"['park', 'natural', 'coast', 'lake']",Environmental,"['park', 'coast', 'forest', 'forest', 'lake', 'lake']",Clean drinking water
6,2017-11-20_16-14-19,2017-11-20T16:14:19,https://instagram.fyvr3-1.fna.fbcdn.net/vp/205f2eecb776b5754951ee357f2be86b/5AE49734/t51.2885-15/e35/23734145_255906924938495_7103071945540763648_n.jpg,Nahanni National Park Reserve is one of North America’s finest alpine playgrounds. This UNESCO site is perfect for those seeking out remote wilderness.: .....,Nahanni National Park Reserve one North finest alpine playgrounds UNESCO site perfect seeking remote wilderness Nahanni NahanniNP NWT ExploreNWT NorthwestTerritories instatravel vacation travelgram travel hiking photo instanature liveoutdoors instago wanderlust wanderer travelphotography ilovetravel traveltheworld ParksCanada Canada150 canada voyage hike mountain canadathenorth canadiannorth canadiantrip UNESCO,"[""nahanni"",""nahanninp"",""nwt"",""explorenwt"",""northwestterritories"",""instatravel"",""vacation"",""travelgram"",""travel"",""hiking"",""photo"",""instanature"",""liveoutdoors"",""instago"",""wanderlust"",""wanderer"",""travelphotography"",""ilovetravel"",""traveltheworld"",""parkscanada"",""canada150"",""canada"",""voyage"",""hike"",""mountain"",""canadathenorth"",""canadiannorth"",""canadiantrip"",""unesco""]",53,5845,5898,en,0.1517688679245283,parks.canada_instagram,"['park', 'or', 'nature']",positive,['park'],Environmental,"['park', 'reserve', 'reserve', 'reserve', 'wilderness', 'wilderness']",Healthy wildlife populations
7,2017-12-31_14-08-32,2017-12-31T14:08:32,https://instagram.fyvr3-1.fna.fbcdn.net/vp/7fa4b919e2eede921c545649b9325dbb/5AE6A383/t51.2885-15/e35/25036651_169311167133875_3773667147981520896_n.jpg,"We don’t know about you, but our New Year’s resolution is to see more stunning views like this one, and eerience more of what Canada has to offer. Happy New Year’s Eve! It’s been an incredible year, THANK YOU for spending with us.: Gros Morne National Park: .....",know New resolution see stunning views like one experience Canada offer Happy New Eve incredible year THANK spending Canada150 us Gros Morne National Park tomcochrane GrosMorne GrosMorneNP NL Newfoundland coastal Liveyouradventure Instatravel Vacation TravelGram Travel LiveOutdoors Instago Wanderlust Wanderer Travelphotography ILoveTravel Trip Vacay TravelTheWorld ParksCanada Canada150 Bucketlist DestinationCanada Dreamy eastcoast sunset bucketlist,"[""canada150"",""grosmorne"",""grosmornenp"",""nl"",""newfoundland"",""coastal"",""liveyouradventure"",""instatravel"",""vacation"",""travelgram"",""travel"",""liveoutdoors"",""instago"",""wanderlust"",""wanderer"",""travelphotography"",""ilovetravel"",""trip"",""vacay"",""traveltheworld"",""parkscanada"",""canada150"",""bucketlist"",""destinationcanada"",""dreamy"",""eastcoast"",""sunset"",""bucketlist""]",26,5641,5667,en,0.2232777777777777,parks.canada_instagram,"['park', 'or', 'coastal', 'coast']",positive,['park'],Environmental,['park'],Connecting Canadians with nature 
8,2017-11-04_17-03-19,2017-11-04T17:03:19,https://instagram.fyvr3-1.fna.fbcdn.net/vp/a23d2ccd9a225c48bbdc17d5e0c692f7/5AE2AC22/t51.2885-15/e35/23279959_145298339424309_6751418109451567104_n.jpg,"With northern lights painting the sky along the treetops, views like these make night time adventures at Kootenay National Park that much more amazing! ️ : .....",northern lights painting sky along treetops views like make night time adventures Kootenay National Park much amazing kootenaynp kootenay tourismbc travelbc britishcolumbia explorebc bc beautifulbc hellobc beautifulbritishcolumbia canada canadian park parkscanada night hiking travel instatravel travelgram tourist vacation traveling instagood explorecanada wander wanderlust travelbug travelpics,"[""kootenaynp"",""kootenay"",""tourismbc"",""travelbc"",""britishcolumbia"",""explorebc"",""bc"",""beautifulbc"",""hellobc"",""beautifulbritishcolumbia"",""canada"",""canadian"",""park"",""parkscanada"",""night"",""hiking"",""travel"",""instatravel"",""travelgram"",""tourist"",""vacation"",""traveling"",""instagood"",""explorecanada"",""wander"",""wanderlust"",""travelbug"",""travelpics""]",73,5510,5583,en,0.3815231667784485,parks.canada_instagram,"['eau', 'park', 'tree', 'or']",positive,"['northern', 'park']",Economical,['park'],Connecting Canadians with nature 
9,2018-01-08_11-33-03,2018-01-08T11:33:03,https://instagram.fyvr3-1.fna.fbcdn.net/vp/9c03dc4198e09533e5383a07f2ce8c32/5AF98024/t51.2885-15/e35/26066889_1076049982532129_5062650407617036288_n.jpg,"A torrent of plunging water not far from the Icefields Parkway, Sunwapta Falls is just one of the many waterfalls in Jasper created by hanging valleys. : ..... ",torrent plunging water far Icefields Parkway Sunwapta Falls one many waterfalls Jasper created hanging valleys jeremywhyt3 tourismjasper myjasper jaspernationalpark jasper jnp ParksCanada justlakeit ExploreCanada canada canadaswonderland igerscanada ohcanada canadaday igcanada tourcanada enjoycanada wanderlust travelgram,"[""myjasper"",""jaspernationalpark"",""jasper"",""jnp"",""parkscanada"",""justlakeit"",""explorecanada"",""canada"",""canadaswonderland"",""igerscanada"",""ohcanada"",""canadaday"",""ig_canada"",""oh_canada"",""igcanada"",""snapshot_canada"",""tourcanada"",""enjoycanada"",""wanderlust"",""travelgram""]",42,5453,5495,en,0.2313258810468632,parks.canada_instagram,"['water', 'park', 'or', 'ice']",positive,['water'],Environmental,"['water', 'water']",Clean drinking water
10,2017-10-28_15-39-25,2017-10-28T15:39:25,https://instagram.fyvr3-1.fna.fbcdn.net/vp/a70325f4acfb2eba13bb2381764cc462/5AF72BFF/t51.2885-15/e35/22794514_296598797504733_5953160006122602496_n.jpg,The wandering coastal pathways of Gros Morne National Park are calling your name... : .....,wandering coastal pathways Gros Morne National Park calling name cjonesphoto GrosMorne GrosMorneNP NL Newfoundland coastal Liveyouradventure Instatravel Vacation TravelGram Travel LiveOutdoors Instago Wanderlust Wanderer Travelphotography ILoveTravel Trip Vacay TravelTheWorld ParksCanada Canada150 Bucketlist DestinationCanada Dreamy eastcoast,"[""grosmorne"",""grosmornenp"",""nl"",""newfoundland"",""coastal"",""liveyouradventure"",""instatravel"",""vacation"",""travelgram"",""travel"",""liveoutdoors"",""instago"",""wanderlust"",""wanderer"",""travelphotography"",""ilovetravel"",""trip"",""vacay"",""traveltheworld"",""parkscanada"",""canada150"",""bucketlist"",""destinationcanada"",""dreamy"",""eastcoast""]",24,5387,5411,en,0.2472395833333333,parks.canada_instagram,"['park', 'or', 'coastal', 'coast']",positive,"['coastal', 'park']",Environmental,['park'],Connecting Canadians with nature 
