,account_name,caption_original,category
0,CanadianAgriculture_facebook,DYK wheat can be used to create makeup and golf tees? Learn more about Canada's top crop. http://ow.ly/ACgQ308R6gX,unknown
1,CanadianAgriculture_facebook,Canadian scientists help extend the shelf life and freshness of apples. Find out how: http://ow.ly/C8ib308OA4s,unknown
2,CanadianAgriculture_facebook,Lycopene gives the tomato its red colour. Find out why our researchers are studying it. http://ow.ly/DXmn308OBu1,unknown
3,CanadianCoastGuard_facebook,The launch event of the CCGS Sir John Franklin marks significant and tangible step in our fleet renewal process!,unknown
4,canenvironment_instagram,"Would you believe these pictures were taken back to back? One of our scientists working at the Eureka Weather Station in Eureka, Nunavut, went for a morning walk. Due to the moon being in its waning phase, the sun and the moon were clearly visible at the same time. The waning moon rises during the night, is visible in the morning, and sets during the day. After capturing this cool shot of a muskox and the moon, she turned around and saw a beautiful sunrise. : Renee Cossitt....",unknown
5,CCG_GCC_tweeter,RT @Bell_LetsTalk: The final results are in! Thank you all for your unbelievable participation! #BellLetsTalk https://t.co/ZNBkCcU66J,unknown
6,CTA_gc_tweeter,RT @CQualtro: Thank you to everyone who took part in our national accessibility consultation. Check out what was learned here: https://t.co…,unknown
7,CTA_gc_tweeter,"RT @FlyYYC: In one week today, our new International Terminal opens to the world! All the need-to-know info here: https://t.co/1OfX6Zyw4x #…",unknown
8,DFO_Central_tweeter,"RT @Canada: Today, we remember all those who served in the Battle of #Normandy #DDay #RememberThem https://t.co/2H4hnRotm9",unknown
9,DFO_MPO_tweeter,"RT @VeteransENG_CA: This November, place a poppy on your profile picture to honour, thank and #RememberThem https://t.co/gbohCQNnkX https:/…",unknown
10,DFO_Science_tweeter,RT @ScienceMin: Today marks the 1st International #DayofWomeninScience! Celebrate the theme: #ParityinScience https://t.co/Ok3BhEoGer,unknown
11,ec_minister_tweeter,"RT @CanadianPM: 117,000 poppies, one for each of Canada’s Fallen, cascade down Centre Block on Parliament Hill in Ottawa. #CanadaRemembers…",unknown
12,EnvironmentandNaturalResourcesinCanada_facebook,,unknown
13,EnvironmentandNaturalResourcesinCanada_facebook,,unknown
14,EnvironmentandNaturalResourcesinCanada_facebook,,unknown
15,environmentca_tweeter,"RT @CanadianPM: 117,000 poppies, one for each of Canada’s Fallen, cascade down Centre Block on Parliament Hill in Ottawa. #CanadaRemembers…",unknown
16,GCIndigenous_tweeter,RT @Bell_LetsTalk: Wake up and smell the coffee…it’s #BellLetsTalk Day! Here’s how you can get involved: https://t.co/TDQFOgQZCP https://t.…,unknown
17,GCIndigenous_tweeter,Today is #AboriginalVeteransDay. Remember the war efforts of #IndigenousVeterans in Canada. #PNMI https://t.co/0LfjPlafmC https://t.co/eWL3OVVST5,unknown
18,GiantMine_tweeter,"RT @CBCNorth: No arsenic trioxide in Giant Mine's springtime dust clouds, new research suggests https://t.co/NwAgScBQJQ https://t.co/p80KLe…",unknown
19,naturalresourcescanada_instagram,"Good evening, Instagram! My name is Vicki Tschirhart, and I’m a geophysicist with the Geological Survey of Canada.Tomorrow, I’m taking over the NRCan Instagram account to give you a glimpse into a day in the life of a geoscientist in the field. Stay tuned!",unknown
20,naturalresourcescanada_instagram,"With no roads to the field, scientists have to take another form of transportation",unknown
21,naturalresourcescanada_instagram,"Well, thanks for joining us today! We hope you enjoyed learning a bit about the fieldwork we do during the summer! Until next time. ",unknown
22,NRCan_tweeter,RT @CanadianPM: PM Trudeau invites all Canadians to celebrate the 150th anniversary of Canadian Confederation. https://t.co/EbZslEB27r #Can…,unknown
23,parks.canada_instagram,"We had an amazing on Instagram, swipe through to see our TOP TEN posts! ⭐️ Thank you for following and tagging us in all of your incredible photos this year. We're so pleased to be a part of your adventures and your . Did YOUR favourite make the list?.....",unknown
24,parks.canada_instagram,"“Place of spirits” is the Inuktitut meaning of Torngat Mountains National Park’s name. Looking at this incredible scene featuring the glacier-carved Saglek Fjord, the name suits the place perfectly, wouldn’t you agree?.: .....  ",unknown
25,ParksCanada_facebook,Happy Mother's Day to all the momma bears out there! #TimeToConnect,unknown
26,ParksCanada_tweeter,"RT @CanadianPM: 117,000 poppies, one for each of Canada’s Fallen, cascade down Centre Block on Parliament Hill in Ottawa. #CanadaRemembers…",unknown
27,ParksCanada_tweeter,"It’s the first day of #PolarBearWeek! ❄️ From cool photos, to fun facts stay tuned all week for all things polar bear! @PolarBears https://t.co/3SraumhUxm",unknown
28,TransportandInfrastructureinCanada_facebook,Recall: Bombardier ATVs with dynamic power steering. The steering shaft could break resulting in a loss of steering control. Owners are advised to stop riding their ATV until the interim recall repair is performed,unknown
29,Transport_gc_tweeter,RT @CanEmbUSA: Canadian passport holders and dual citizens will not be affected by the ban. Problems at the border? Call us 24/7 at 613-996…,unknown
30,Transport_gc_tweeter,RT @CanadaFP: #FortLauderdale suspect did not fly from Canada and was not on a Canadian flight. There is no Canadian connection,unknown
31,Transport_gc_tweeter,RT @VeteransENG_CA: Troops representing all four divisions of the Canadian Army who fought at Vimy march to the Canadian National Vimy Memo…,unknown
32,TSBCanada_tweeter,"Due to the seriousness of helicopter accident near Tweed, ON, the TSB would like to bring the following to the immediate attention of all helicopter operators:  Cargo must be adequately secured at all times, to prevent it from shifting or departing the helicopter during flight.",unknown
33,TSBCanada_tweeter,Fatigue management is a crucial component of transportation safety. This is why we examine the presence of fatigue in nearly all our investigations. The industry has a responsibility to ensure that no one becomes a casualty of fatigue. Chair’s statement: https://t.co/k4EuTQLkTZ,unknown
34,TSBCanada_tweeter,RT @Transport_gc: Laser pointers can distract pilots during the most critical phases of flight. #NotABrightIdea https://t.co/QlthJrqmgv,unknown
35,TSBCanada_tweeter,We are launching a full investigation into the aircraft accident near #ilesdelamadeleine airport https://t.co/G2u46woXv4,unknown
