FSDS Goal,Reaction Summary,Topics/Issues
Clean Drinking Water,"comments: 1375
shares: 25952
angrys: 6
hahas: 12
likes: 72465
loves: 1654
sads: 22
special: 3
wows: 502
Reactions SUM: 101991","water, river, lake, health, clean, freshwater, accessible, drinking"
Clean Energy,"comments: 314
shares: 6986
angrys: 10
hahas: 5
likes: 3336
loves: 56
sads: 1
special: 1
wows: 20
Reactions SUM: 10729","oil, heat, energy, gas, clean_energy, diesel, renewable_energy, electricity"
Clean Growth,"comments: 605
shares: 16071
angrys: 13
hahas: 45
likes: 18836
loves: 449
sads: 7
special: 5
wows: 111
Reactions SUM: 36142","marine, development, economy, growth, clean_technology, greenhouse_gas"
Connecting Canadians With Nature,"comments: 22525
shares: 52085
angrys: 23
hahas: 266
likes: 917235
loves: 16596
sads: 151
special: 36
wows: 3802
Reactions SUM: 1012719","park, nature, conservation, tourism, camping, hiking, engagement, community"
Effective Action On Climate Change,"comments: 391
shares: 9701
angrys: 9
hahas: 7
likes: 6858
loves: 88
sads: 8
special: -5
wows: 11
Reactions SUM: 17068","ecosystem, climate_change, commitment, ghg, clean_technology, global_warming, reducing_greenhouse_gas, building_retrofit"
Healthy Coasts And Oceans,"comments: 1531
shares: 44599
angrys: 18
hahas: 23
likes: 76409
loves: 1234
sads: 23
special: 1
wows: 374
Reactions SUM: 124212","coast, fishery, water, ocean, sea, fish, shellfish, specie"
Healthy Wildlife Populations,"comments: 4741
shares: 48591
angrys: 42
hahas: 152
likes: 209295
loves: 5699
sads: 266
special: 18
wows: 1402
Reactions SUM: 270206","conservation, specie, wildlife, pollution, habitat, ecosystem, reserve, protection"
Low-Carbon Government,"comments: 2889
shares: 24743
angrys: 632
hahas: 882
likes: 24520
loves: 304
sads: 56
special: 2
wows: 135
Reactions SUM: 54163","energy, vehicle, operation, electricity, emission, carbon, equipment, energy_efficiency"
Modern And Resilient Infrastructure,"comments: 431
shares: 10756
angrys: 10
hahas: 35
likes: 11409
loves: 226
sads: 20
special: -3
wows: 54
Reactions SUM: 22938","research, industry, innovation, development, infrastructure, facility, infrastructure_investment, economic_growth"
Other,"comments: 16387
shares: 522513
angrys: 662
hahas: 912
likes: 423362
loves: 13061
sads: 604
special: 279
wows: 3232
Reactions SUM: 981012",
Pristine Lakes And Rivers,"comments: 228
shares: 3749
angrys: 12
hahas: 5
likes: 8257
loves: 117
sads: 4
special: 0
wows: 27
Reactions SUM: 12399","agriculture, water, boating, river, pollution, fraser, invasive, lake"
Safe And Healthy Communities,"comments: 839
shares: 21404
angrys: 29
hahas: 15
likes: 45997
loves: 780
sads: 92
special: -12
wows: 498
Reactions SUM: 69642","community, ice, cost, city, pollution, care, urban, disaster"
Sustainable Food,"comments: 201
shares: 16827
angrys: 1
hahas: 6
likes: 6929
loves: 148
sads: 18
special: 0
wows: 34
Reactions SUM: 24164","food, feed, aquaculture, flooding, fishery, agri-food, methane, nutritious"
Sustainably Managed Lands And Forests,"comments: 2927
shares: 11316
angrys: 3
hahas: 39
likes: 216601
loves: 2663
sads: 10
special: 4
wows: 624
Reactions SUM: 234187","forest, conservation, land, mountain, wildlife, soil, wetland, habitat"
