Unnamed: 0,id,date_published,link,caption_original,caption_cleaned,hashtags,num_reactions,num_comments,num_shares,num_likes,num_loves,num_wows,num_hahas,num_sads,num_angrys,num_special,Reactions_SUM,language,account_name,average_sentiment_score,sentiment,matched_keywords,category
0,460123390028_10157025984650029,2016-06-13 14:22:54,https://www.facebook.com/EnvironnementetressourcesnaturellesauCanada/photos/a.481746145028.384353.460123390028/10157025984650029/?type=3,"Un Canada sain et entièrement durable. Nous pouvons y arriver, mais nous ne pouvons pas le faire seuls. Nous avons besoin de votre opinion et de votre vision. Jetez un coup d’œil à notre stratégie provisoire pour un Canada durable du point de vue de l’environnement, la Stratégie fédérale de développement durable de 2016-2019. Faites-nous parvenir vos commentaires d’ici le 24 juin. http://ow.ly/10ryuh http://ow.ly/10ryxl","Un Canada sain et entièrement durable. Nous pouvons y arriver, mais nous ne pouvons pas le faire seuls. Nous avons besoin de votre opinion et de votre vision. Jetez un coup d’œil à notre stratégie provisoire pour un Canada durable du point de vue de l’environnement, la Stratégie fédérale de développement durable de -2019. Faites-nous parvenir vos commentaires d’ici le juin.",[],2091,65,302,1974,98,6,13,0,0,0,2458,fr,EnvironnementetressourcesnaturellesauCanada_facebook,0.11550702380952382,positive,[],['other']
1,460123390028_10156864580230029,2016-05-02 09:48:45,https://www.facebook.com/EnvironnementetressourcesnaturellesauCanada/photos/a.481746145028.384353.460123390028/10156864580230029/?type=3,"Durabilité : Nous sommes à votre écoute
Nous voulons amorcer une conversation. Consultez la version provisoire de notre stratégie fédérale de développement durable, un plan qui établit les priorités et les mesures fédérales au chapitre de l’environnement pour les trois prochaines années. Prononcez-vous et partagez vos commentaires qui serviront à mettre au point la stratégie définitive et à améliorer les prochaines stratégies. Faites-nous parvenir vos commentaires d’ici le 24 juin.  http://ow.ly/10ryuh http://ow.ly/10ryxl","Durabilité : Nous sommes à votre écoute Nous voulons amorcer une conversation. Consultez la version provisoire de notre stratégie fédérale de développement durable, un plan qui établit les priorités et les mesures fédérales au chapitre de l’environnement pour les trois prochaines années. Prononcez-vous et partagez vos commentaires qui serviront à mettre au point la stratégie définitive et à améliorer les prochaines stratégies. Faites-nous parvenir vos commentaires d’ici le juin.",[],1411,60,318,1307,82,18,2,0,0,2,1789,fr,EnvironnementetressourcesnaturellesauCanada_facebook,0.10284921824499033,positive,[],['other']
2,460123390028_10156776938205029,2016-04-08 08:47:44,https://www.facebook.com/EnvironnementetressourcesnaturellesauCanada/photos/a.481746145028.384353.460123390028/10156776938205029/?type=3,"Le printemps est arrivé. La prochaine fois que vous ferez vos activités préférées en plein air au Canada, pensez à ce que signifie pour vous un Canada durable. Nous avons publié la version provisoire de la Stratégie fédérale de développement durable et la soumettons à une période de consultation publique jusqu’au 24 juin. Que pensez vous de notre stratégie? Faites nous part de votre vision pour un Canada durable. http://ow.ly/10ryuh http://ow.ly/10ryxl","Le printemps est arrivé. La prochaine fois que vous ferez vos activités préférées en plein air au Canada, pensez à ce que signifie pour vous un Canada durable. Nous avons publié la version provisoire de la Stratégie fédérale de développement durable et la soumettons à une période de consultation publique jusqu’au juin. Que pensez vous de notre stratégie? Faites nous part de votre vision pour un Canada durable.",[],900,26,148,850,39,8,3,0,0,0,1074,fr,EnvironnementetressourcesnaturellesauCanada_facebook,0.09128316326530612,positive,[],['other']
3,460123390028_10159273154960029,2017-08-30 11:01:13,https://www.facebook.com/EnvironnementetressourcesnaturellesauCanada/photos/a.481746145028.384353.460123390028/10159273154960029/?type=3,"Trouvez une solution au changement climatique vous tient à cœur? Aidez-nous à définir notre avenir énergétique!
http://ow.ly/xsJn30eEJkz #GénÉnergie",Trouvez une solution au changement climatique vous tient à cœur? Aidez-nous à définir notre avenir énergétique! énÉnergie,['#G'],308,22,61,289,12,1,6,0,0,0,391,fr,EnvironnementetressourcesnaturellesauCanada_facebook,0.06522743055555556,positive,[],['other']
4,460123390028_10157795825810029,2016-11-23 09:01:44,https://www.facebook.com/EnvironnementetressourcesnaturellesauCanada/videos/10157795825810029/,,,[],183,106,35,153,17,4,2,2,5,0,324,tl,EnvironnementetressourcesnaturellesauCanada_facebook,0.041605943152454784,positive,[],['other']
5,460123390028_10158025485060029,2017-01-05 10:20:30,https://www.facebook.com/EnvironnementetressourcesnaturellesauCanada/photos/a.481746145028.384353.460123390028/10158025485060029/?type=3,"À l’occasion du 150e anniversaire de la Confédération, l’accès à la réserve nationale de faune du Cap-Tourmente au Québec est gratuit toute l’année 2017. 

Profitez-en pour redécouvrir la nature. http://ow.ly/Losi307IuQn","À l’occasion du e anniversaire de la Confédération, l’accès à la réserve nationale de faune du Cap-Tourmente au Québec est gratuit toute l’année . Profitez-en pour redécouvrir la nature.",[],93,17,155,82,10,0,1,0,0,0,265,fr,EnvironnementetressourcesnaturellesauCanada_facebook,0.10004310344827587,positive,[],['other']
6,460123390028_10159232972350029,2017-08-21 14:01:13,https://www.facebook.com/EnvironnementetressourcesnaturellesauCanada/photos/a.481746145028.384353.460123390028/10159232972350029/?type=3,"Le changement climatique vous tient à cœur? Aidez-nous à définir notre avenir énergétique!
http://ow.ly/FtKp30ez1HX #GénÉnergie",Le changement climatique vous tient à cœur? Aidez-nous à définir notre avenir énergétique! énÉnergie,['#G'],98,12,29,84,8,1,2,1,2,0,139,fr,EnvironnementetressourcesnaturellesauCanada_facebook,0.09381802721088436,positive,[],['other']
7,460123390028_10158598556285029,2017-04-24 12:20:22,https://www.facebook.com/EnvironnementetressourcesnaturellesauCanada/videos/10158598556285029/,"Jeunes Canadiens! Participez au Grand concours canadien de vidéos dans le cadre de la Journée mondiale de l'environnement! Peu importe où vous vivez, une nature fascinante vous entoure, et nous voulons que vous le partagiez avec le reste du monde! Dites-nous quelle partie du patrimoine naturel canadien vous rend fier d’être Canadien! Voici où trouver les règlements: http://ow.ly/tnZa30b4YQZ","Jeunes Canadiens! Participez au Grand concours canadien de vidéos dans le cadre de la Journée mondiale de l'environnement! Peu importe où vous vivez, une nature fascinante vous entoure, et nous voulons que vous le partagiez avec le reste du monde! Dites-nous quelle partie du patrimoine naturel canadien vous rend fier d’être Canadien! Voici où trouver les règlements:",[],25,2,85,25,0,0,0,0,0,0,112,fr,EnvironnementetressourcesnaturellesauCanada_facebook,0.0681574074074074,positive,[],['other']
8,460123390028_10158613321195029,2017-04-27 15:39:57,https://www.facebook.com/EnvironnementetressourcesnaturellesauCanada/videos/10158613321195029/,"Le Canada compte 532 espèces qui sont en péril en raison de la dégradation et de la perte de l’écosystème. Il incombe à tous les Canadiens de travailler ensemble pour protéger et conserver leur habitat. Aujourd’hui, un comité consultatif nouvellement formé s’est réuni avec la ministre McKenna dans le but de trouver des solutions pratiques pour le bien de ces êtres vivants. En travaillant ensemble, nous protégeons la santé des espèces sauvages et des écosystèmes du Canada!","Le Canada compte espèces qui sont en péril en raison de la dégradation et de la perte de l’écosystème. Il incombe à tous les Canadiens de travailler ensemble pour protéger et conserver leur habitat. Aujourd’hui, un comité consultatif nouvellement formé s’est réuni avec la ministre McKenna dans le but de trouver des solutions pratiques pour le bien de ces êtres vivants. En travaillant ensemble, nous protégeons la santé des espèces sauvages et des écosystèmes du Canada!",[],13,1,55,10,1,1,0,1,0,0,69,fr,EnvironnementetressourcesnaturellesauCanada_facebook,0.14666666666666664,positive,[],['other']
9,460123390028_10159463332170029,2017-10-12 11:05:00,https://www.facebook.com/EnvironnementetressourcesnaturellesauCanada/videos/10159463332170029/,"Saviez-vous que l’entrée à la réserve nationale de faune du Cap Tourmente est gratuite en 2017, dans le cadre des célébrations du #Canada150? Planifiez une visite en famille en octobre pour admirer le spectacle de couleurs automnales offert par la nature. http://ow.ly/Kuks30fPDrf","Saviez-vous que l’entrée à la réserve nationale de faune du Cap Tourmente est gratuite en , dans le cadre des célébrations du ? Planifiez une visite en famille en octobre pour admirer le spectacle de couleurs automnales offert par la nature.",['#Canada150'],18,0,43,13,5,0,0,0,0,0,61,fr,EnvironnementetressourcesnaturellesauCanada_facebook,0.0,neutral,[],['other']
