Unnamed: 0,id,date_published,link,caption_original,caption_cleaned,hashtags,num_reactions,num_comments,num_shares,num_likes,num_loves,num_wows,num_hahas,num_sads,num_angrys,num_special,Reactions_SUM,language,average_sentiment_score,account_name,words_matched_list,sentiment,matched_keywords,category,lemmatized_text,FSDS_matched_keywords,FSDS_category
0,798775163588850_1022430584556639,2017-02-09 10:50:19,https://www.facebook.com/AgricultureCanadienne/photos/a.803710926428607.1073741828.798775163588850/1022430584556639/?type=3,Le Canada produit beaucoup de sirop d’érable! Renseignez-vous sur ce produit-vedette. http://ow.ly/lZJs308OBUD,Le Canada produit beaucoup de sirop d’érable! Renseignez-vous sur ce produit-vedette. UD,[],2016,88,453,1849,126,13,24,0,4,0,2557,fr,0.008786137234413096,AgricultureCanadienne_facebook,['eau'],positive,['produit'],Economical,"['canada', 'produit', 'beaucoup', 'sirop', ""d'érable"", 'renseignez-vous', 'produit-vedette', 'httpowlylzjs308obud']","['produit', 'produit']",Clean growth
1,798775163588850_1022331494566548,2017-02-09 07:10:14,https://www.facebook.com/AgricultureCanadienne/photos/a.803710926428607.1073741828.798775163588850/1022331494566548/?type=3,Les pommes se conservent et restent fraîches plus longtemps grâce à l'innovation. Voyez comment : http://ow.ly/QaDq308OAbW,Les pommes se conservent et restent fraîches plus longtemps grâce à l'innovation. Voyez comment :,[],1574,65,370,1475,66,11,14,0,8,0,2009,fr,0.0,AgricultureCanadienne_facebook,['innovation'],neutral,[],unknown,"['les', 'pomme', 'conservent', 'restent', 'fraîche', 'plus', 'longtemps', 'grâce', ""l'innovation"", 'voyez', 'comment', 'httpowlyqadq308oabw']",[],unknown
2,798775163588850_1021979637935067,2017-02-08 16:50:11,https://www.facebook.com/AgricultureCanadienne/photos/a.803710926428607.1073741828.798775163588850/1021979637935067/?type=3,Nos chercheurs étudient la saveur des produits de l’érable canadiens. Découvrez pourquoi. http://ow.ly/MGn0308OADW,Nos chercheurs étudient la saveur des produits de l’érable canadiens. Découvrez pourquoi.,[],1123,196,378,1023,81,5,11,1,2,0,1697,fr,0.0,AgricultureCanadienne_facebook,['produits'],neutral,"['produit', 'découvrez']",Social,"['chercheur', 'étudient', 'saveur', 'produit', ""l'érable"", 'canadien', 'découvrez', 'pourquoi', 'httpowlymgn0308oadw']","['produit', 'produit']",Clean growth
3,798775163588850_1020525681413796,2017-02-06 10:14:48,https://www.facebook.com/AgricultureCanadienne/photos/a.803710926428607.1073741828.798775163588850/1020525681413796/?type=3,Besoin d’un prêt pour améliorer votre ferme? Nous pouvons vous aider. Découvrez comment. http://ow.ly/HH4i308J3W5,Besoin d’un prêt pour améliorer votre ferme? Nous pouvons vous aider. Découvrez comment.,[],1046,42,324,1017,17,2,9,1,0,0,1412,fr,0.0,AgricultureCanadienne_facebook,['or'],neutral,"['ferme', 'aider', 'découvrez']",Social,"['besoin', ""d'un"", 'prêt', 'améliorer', 'ferme', 'pouvons', 'aider', 'découvrez', 'comment', 'httpowlyhh4i308j3w5']",['ferme'],Sustainable food
4,798775163588850_1021963211270043,2017-02-08 16:07:36,https://www.facebook.com/AgricultureCanadienne/photos/a.803710926428607.1073741828.798775163588850/1021963211270043/?type=3,Le lycopène donne sa couleur rouge à la tomate. Découvrez pourquoi nous l’étudions. http://ow.ly/FTNi308OBBT,Le lycopène donne sa couleur rouge à la tomate. Découvrez pourquoi nous l’étudions.,[],911,94,234,840,35,28,6,1,1,0,1239,fr,0.0,AgricultureCanadienne_facebook,,neutral,"['tomate', 'découvrez']",Social,"['lycopène', 'donne', 'couleur', 'rouge', 'tomate', 'découvrez', 'pourquoi', ""l'étudions"", 'httpowlyftni308obbt']",[],unknown
5,798775163588850_899721420160890,2016-08-25 13:09:41,https://www.facebook.com/AgricultureCanadienne/photos/a.803710926428607.1073741828.798775163588850/899721420160890/?type=3,Contribuez à l’élaboration des futurs programmes et services en agriculture en répondant à notre sondage. Dites-nous ce que vous en pensez. http://ow.ly/ls7b303An5U,Contribuez à l’élaboration des futurs programmes et services en agriculture en répondant à notre sondage. Dites-nous ce que vous en pensez. U,[],741,68,347,696,24,8,0,1,12,0,1156,fr,0.0,AgricultureCanadienne_facebook,"['agriculture', 'or', 'ice']",neutral,"['futur', 'agriculture', 'agriculture']",Social,"['contribuez', ""l'élaboration"", 'futur', 'programme', 'service', 'agriculture', 'répondant', 'sondage', 'dites-nous', 'pensez', 'httpowlyls7b303an5u']",['agriculture'],Sustainable food
6,798775163588850_1022360681230296,2017-02-09 08:25:12,https://www.facebook.com/AgricultureCanadienne/photos/a.803710926428607.1073741828.798775163588850/1022360681230296/?type=3,SVQ que le blé peut être utilisé pour fabriquer du maquillage et des tees pour le golf? http://ow.ly/olV6308OCt6,SVQ que le blé peut être utilisé pour fabriquer du maquillage et des tees pour le golf?,[],730,42,163,660,18,38,7,0,7,0,935,fr,0.0,AgricultureCanadienne_facebook,,neutral,['blé'],Economical,"['svq', 'blé', 'peut', 'être', 'utilisé', 'fabriquer', 'maquillage', 'tee', 'golf', 'httpowlyolv6308oct6']",[],unknown
7,798775163588850_1022409154558782,2017-02-09 10:10:11,https://www.facebook.com/AgricultureCanadienne/photos/a.803710926428607.1073741828.798775163588850/1022409154558782/?type=3,La recherche menée au Canada aide à réduire les GES émis par les vaches. Voyez comment. http://ow.ly/yAZf308QiCP,La recherche menée au Canada aide à réduire les GES émis par les vaches. Voyez comment.,[],565,111,144,460,10,4,58,1,32,0,820,fr,0.03290250700517014,AgricultureCanadienne_facebook,,positive,['réduire'],Environmental,"['recherche', 'menée', 'canada', 'aide', 'réduire', 'les', 'ges', 'émis', 'les', 'vache', 'voyez', 'comment', 'httpowlyyazf308qicp']",[],unknown
8,798775163588850_1007044222761942,2017-01-17 15:02:45,https://www.facebook.com/AgricultureCanadienne/photos/a.803710926428607.1073741828.798775163588850/1007044222761942/?type=3,"Nouvelles sur les programmes, le commerce, l’innovation et plus encore. Abonnez-vous! http://ow.ly/8yIq3085Z3S","Nouvelles sur les programmes, le commerce, l’innovation et plus encore. Abonnez-vous!",[],230,5,72,224,4,0,0,0,2,0,307,fr,0.0,AgricultureCanadienne_facebook,"['commerce', 'innovation']",neutral,['commerce'],Economical,"['nouveau', 'les', 'programme', 'commerce', ""l'innovation"", 'plus', 'encore', 'abonnez-vous', 'httpowly8yiq3085z3s']",['commerce'],Clean growth
9,798775163588850_1021897921276572,2017-02-08 14:27:26,https://www.facebook.com/AgricultureCanadienne/videos/1021897921276572/,Notre recherche permet au Canada de produire certaines des meilleures pommes au monde. Voyez comment : http://ow.ly/qPFi308OROV.,Notre recherche permet au Canada de produire certaines des meilleures pommes au monde. Voyez comment : .,[],150,13,69,136,10,0,2,1,1,0,232,fr,-0.05357142857142857,AgricultureCanadienne_facebook,,negative,[],unknown,"['recherche', 'permet', 'canada', 'produire', 'certaines', 'meilleur', 'pomme', 'monde', 'voyez', 'comment', 'httpowlyqpfi308orov']",[],unknown
10,798775163588850_1186026591530370,2017-10-20 11:15:09,https://www.facebook.com/AgricultureCanadienne/photos/a.803710926428607.1073741828.798775163588850/1186026591530370/?type=3,Une nouvelle méthode de traite simple et peu coûteuse n’entraîne aucune baisse significative de la production laitière et permet aux producteurs de faire des économies en frais vétérinaires étant donné que leurs animaux ont moins de problèmes de santé. Pour plus d’info : http://ow.ly/pGPP30g1aDZ,Une nouvelle méthode de traite simple et peu coûteuse n’entraîne aucune baisse significative de la production laitière et permet aux producteurs de faire des économies en frais vétérinaires étant donné que leurs animaux ont moins de problèmes de santé. Pour plus d’info :,[],98,43,76,97,1,0,0,0,0,0,217,fr,0.011693548387096776,AgricultureCanadienne_facebook,['air'],positive,"['laitier', 'économie', 'santé', 'santé']",Economical,"['nouveau', 'méthode', 'traite', 'simple', 'peu', 'coûteuse', ""n'entraîne"", 'aucune', 'baisse', 'significative', 'production', 'laitier', 'permet', 'producteur', 'faire', 'économie', 'frais', 'vétérinaire', 'donné', 'leurs', 'animal', 'moins', 'problème', 'santé', 'plus', ""d'info"", 'httpowlypgpp30g1adz']","['production', 'laitier', 'producteur', 'producteur', 'animal', 'santé', 'santé']",Sustainable food
11,798775163588850_1022391057893925,2017-02-09 09:36:18,https://www.facebook.com/AgricultureCanadienne/videos/1022391057893925/,Nous étudions les tomates depuis plus d’un siècle. Découvrez pourquoi : http://ow.ly/fTiJ308ORWJ.,Nous étudions les tomates depuis plus d’un siècle. Découvrez pourquoi : .,[],116,20,56,97,16,1,1,1,0,0,192,fr,-0.4,AgricultureCanadienne_facebook,,negative,"['tomate', 'découvrez']",Social,"['étudions', 'les', 'tomate', 'depuis', 'plus', ""d'un"", 'siècle', 'découvrez', 'pourquoi', 'httpowlyftij308orwj']",[],unknown
