Unnamed: 0,id,date_published,link,caption_original,caption_cleaned,hashtags,num_reactions,num_comments,num_shares,num_likes,num_loves,num_wows,num_hahas,num_sads,num_angrys,num_special,Reactions_SUM,language,average_sentiment_score,account_name,words_matched_list,sentiment,matched_keywords,category,lemmatized_text,FSDS_matched_keywords,FSDS_category
0,1498541586883867_1564426720295353,2017-07-25 14:57:34,https://www.facebook.com/PechesOceansCanada/videos/1564426720295353/,"Effectuez une visite virtuelle de notre Institut Maurice-Lamontagne, le seul centre de recherche francophone de Pêches et Océans Canada. Tout ce qui s’y passe a pour but de faire avancer les sciences en eau douce et marine. 
Notre vidéo vous a plu et vous a donné le goût d'approfondir votre visite en vous rendant sur place à Mont-Joli (Québec)? Ça tombe bien : cet été, dans le cadre de son 30e anniversaire, l'Institut est ouvert au public du lundi au vendredi, de 9 h à 16 h. Réservez tout de suite votre place pour une de nos visites guidées gratuites en composant le 418-775-0500.","Effectuez une visite virtuelle de notre Institut Maurice-Lamontagne, le seul centre de recherche francophone de Pêches et Océans Canada. Tout ce qui s’y passe a pour but de faire avancer les sciences en eau douce et marine. Notre vidéo vous a plu et vous a donné le goût d'approfondir votre visite en vous rendant sur place à Mont-Joli (Québec)? Ça tombe bien : cet été, dans le cadre de son e anniversaire, l'Institut est ouvert au public du lundi au vendredi, de h à h. Réservez tout de suite votre place pour une de nos visites guidées gratuites en composant le -775-0500.",[],89,15,241,85,4,0,0,0,0,0,345,fr,0.050900607638888894,PechesOceansCanada_facebook,"['eau', 'marine', 'vert', 'ice', 'air']",positive,"['visite', 'océan', 'eau', 'marine', 'visite', 'visite']",Social,"['effectuez', 'visite', 'virtuelle', 'institut', 'maurice-lamontagne', 'seul', 'centre', 'recherche', 'francophone', 'pêche', 'océan', 'canada', 'tout', ""s'y"", 'passe', 'but', 'faire', 'avancer', 'les', 'science', 'eau_douce', 'marine', 'vidéo', 'plu', 'donné', 'goût', ""d'approfondir"", 'visite', 'rendant', 'place', 'mont-joli', 'québec', 'ça', 'tombe', 'bien', 'cet', 'cadre', '30e', 'anniversaire', ""l'institut"", 'ouvert', 'public', 'lundi', 'vendredi', '16', 'heure', 'réservez', 'tout', 'suite', 'place', 'visite', 'guidées', 'gratuites', 'composant', '418-775-0500']","['visite', 'pêche', 'pêche', 'pêche', 'pêche', 'océan', 'eau_douce', 'visite', 'visite']",Connecting Canadians with nature
1,1498541586883867_1620048651399826,2017-09-12 13:48:42,https://www.facebook.com/PechesOceansCanada/photos/a.1539239129480779.1073741828.1498541586883867/1620048651399826/?type=3,"La Cour suprême du Canada a conclu que les Autochtones disposent d'un droit ancestral de pratiquer la pêche à des fins alimentaires, sociales et rituelles. Cependant, il est interdit d'acheter, de vendre, d'échanger, de troquer, d'offrir d'acheter ou d'offrir pour la vente, l'échange ou le troc des ressources halieutiques autochtones pêchées à des fins alimentaires, sociales et rituelles. Les agents des pêches mèneront des enquêtes sur tous les incidents connus ou soupçonnés de personnes participant à la vente illégale de poissons, et ont les pouvoirs nécessaires en vertu de la Loi sur les pêches de remettre des amendes ou de poursuivre les contrevenants.","La Cour suprême du Canada a conclu que les Autochtones disposent d'un droit ancestral de pratiquer la pêche à des fins alimentaires, sociales et rituelles. Cependant, il est interdit d'acheter, de vendre, d'échanger, de troquer, d'offrir d'acheter ou d'offrir pour la vente, l'échange ou le troc des ressources halieutiques autochtones pêchées à des fins alimentaires, sociales et rituelles. Les agents des pêches mèneront des enquêtes sur tous les incidents connus ou soupçonnés de personnes participant à la vente illégale de poissons, et ont les pouvoirs nécessaires en vertu de la Loi sur les pêches de remettre des amendes ou de poursuivre les contrevenants.",[],67,24,147,57,3,1,0,0,6,0,238,fr,-0.0020833333333333337,PechesOceansCanada_facebook,"['alimentaire', 'autochtones', 'change']",negative,"['autochtone', 'droit', 'ressource', 'autochtone', 'poisson']",Social,"['cour', 'suprême', 'canada', 'conclu', 'les', 'autochtone', 'disposent', ""d'un"", 'droit', 'ancestral', 'pratiquer', 'pêche', 'fin', 'alimentaires', 'sociale', 'rituelles', 'cependant', 'interdit', ""d'acheter"", 'vendre', ""d'échanger"", 'troquer', ""d'offrir"", ""d'acheter"", ""d'offrir"", 'vente', ""l'échange"", 'troc', 'ressource', 'halieutique', 'autochtone', 'pêchées', 'fin', 'alimentaires', 'sociale', 'rituelles', 'les', 'agent', 'pêche', 'mèneront', 'enquête', 'tous', 'les', 'incident', 'connu', 'soupçonnés', 'personne', 'participant', 'vente', 'illégale', 'poisson', 'les', 'pouvoir', 'nécessaire', 'vertu', 'loi', 'les', 'pêche', 'remettre', 'amende', 'poursuivre', 'les', 'contrevets']","['autochtone', 'autochtone', 'autochtone', 'autochtone', 'autochtone', 'pêche', 'pêche', 'pêche', 'pêche', 'ressource', 'ressource', 'autochtone', 'autochtone', 'autochtone', 'autochtone', 'autochtone', 'pêche', 'pêche', 'pêche', 'pêche', 'poisson', 'poisson', 'pêche', 'pêche', 'pêche', 'pêche']",Healthy coasts and oceans
2,1498541586883867_1558943824176976,2017-07-21 08:42:23,https://www.facebook.com/PechesOceansCanada/videos/1558943824176976/,"Les premières semaines de vie des bélugas sont des moments charnières dans l’établissement du lien mère-veau. Puisque les cris du nouveau-né sont encore très faibles, la mère peut facilement perdre son bébé s’ils s’éloignent trop l’un de l’autre. D’où l’importance de réduire les dérangements.
En présence de bélugas, gardez vos distances. #Beluga400m
Pour en savoir plus sur les bonnes pratiques de navigation en présence de bélugas : http://ow.ly/J6ZP30dMQVM 
Et sur la réglementation spécifique à l’intérieur des limites du parc marin du Saguenay Saint-Laurent : http://ow.ly/WRnj30dMQZH","Les premières semaines de vie des bélugas sont des moments charnières dans l’établissement du lien mère-veau. Puisque les cris du nouveau-né sont encore très faibles, la mère peut facilement perdre son bébé s’ils s’éloignent trop l’un de l’autre. D’où l’importance de réduire les dérangements. En présence de bélugas, gardez vos distances. Pour en savoir plus sur les bonnes pratiques de navigation en présence de bélugas : Et sur la réglementation spécifique à l’intérieur des limites du parc marin du Saguenay Saint-Laurent :",['#Beluga400m'],19,2,150,17,2,0,0,0,0,0,171,fr,0.48828125,PechesOceansCanada_facebook,"['eau', 'parc', 'gas', 'or']",positive,"['vie', 'réduire', 'parc']",Environmental,"['les', 'premier', 'semaine', 'vie', 'béluga', 'moment', 'charnière', ""l'établissement"", 'lien', 'mère-veau', 'puisque', 'les', 'cri', 'nouveau-né', 'encore', 'très', 'faible', 'mère', 'peut', 'facilement', 'perdre', 'bébé', ""s'ils"", ""s'éloignent"", 'trop', ""l'un"", ""l'autre"", ""d'où"", ""l'importance"", 'réduire', 'les', 'dérangement', 'présence', 'béluga', 'gardez', 'distance', '#beluga400m', 'savoir', 'plus', 'les', 'bonne', 'pratique', 'navigation', 'présence', 'béluga', 'httpowlyj6zp30dmqvm', 'réglementation', 'spécifique', ""l'intérieur"", 'limite', 'parc', 'marin', 'saguenay', 'saint-laurent', 'httpowlywrnj30dmqzh']","['béluga', 'béluga', 'béluga', 'béluga', 'béluga', 'béluga', 'parc', 'marin', 'saint-laurent']",Healthy coasts and oceans
3,1498541586883867_1686639068074117,2017-11-08 10:19:50,https://www.facebook.com/PechesOceansCanada/photos/a.1686628891408468.1073741866.1498541586883867/1686639068074117/?type=3,"Incroyable tout ce qu’on peut voir quand on regarde sous la surface ! Dans le cadre du relevé annuel d’été à bord du CCGS Alfred Needler de la Garde côtière canadienne, nos scientifiques ont exploré les eaux profondes du plateau néo-écossais au large de la côte de la Nouvelle-Écosse. Bien que  l’échantillonnage de la vie marine en profondeur demande beaucoup de patience – les câbles de 3 000 mètres peuvent prendre jusqu’à une heure à atteindre le fond – mais les espèces inhabituelles qu’on y retrouve en valent la peine. Plus d’info sur les relevés multi-espèces au chalut de fond ici : http://ow.ly/47jo30grkSA","Incroyable tout ce qu’on peut voir quand on regarde sous la surface ! Dans le cadre du relevé annuel d’été à bord du CCGS Alfred Needler de la Garde côtière canadienne, nos scientifiques ont eloré les eaux profondes du plateau néo-écossais au large de la côte de la Nouvelle-Écosse. Bien que l’échantillonnage de la vie marine en profondeur demande beaucoup de patience – les câbles de mètres peuvent prendre jusqu’à une heure à atteindre le fond – mais les espèces inhabituelles qu’on y retrouve en valent la peine. Plus d’info sur les relevés multi-espèces au chalut de fond ici :",[],59,12,48,50,1,8,0,0,0,0,119,fr,0.075,PechesOceansCanada_facebook,"['eau', 'marine', 'or']",positive,"['scientifique', 'scientifique', 'scientifique', 'eau', 'côte', 'vie', 'marine', 'espèce']",Environmental,"['incroyable', 'tout', ""qu'on"", 'peut', 'voir', 'quand', 'regarde', 'sou', 'surface', 'cadre', 'relevé', 'annuel', ""d'été"", 'bord', 'ccgs', 'alfred', 'needler', 'garde', 'côtière', 'canadien', 'scientifique', 'exploré', 'les', 'eau', 'profondes', 'plateau', 'néo-écossais', 'large', 'côte', 'nouvelle-écosse', 'bien', ""l'échantillonnage"", 'vie', 'marine', 'profondeur', 'demande', 'beaucoup', 'patience', 'les', 'câble', '000', 'mètre', 'peuvent', 'prendre', ""jusqu'à"", 'heure', 'atteindre', 'fond', 'les', 'espèce', 'inhabituelles', ""qu'on"", 'retrouve', 'valent', 'peine', 'plus', ""d'info"", 'les', 'relevé', 'multi-espèces', 'chalut', 'fond', 'ici', 'httpowly47jo30grksa']","['scientifique', 'eau', 'eau', 'côte']",Clean growth
4,1498541586883867_1565428706861821,2017-07-26 11:00:40,https://www.facebook.com/PechesOceansCanada/photos/a.1539239129480779.1073741828.1498541586883867/1565428706861821/?type=3,"Vous naviguez dans l’estuaire du Saint-Laurent?
Vous croiserez peut-être les patrouilles conjointes du parc marin du Saguenay–St-Laurent et de Pêches et Océans Canada. Au cours des prochains jours, nos agents sensibiliseront les plaisanciers au dérangement des bélugas.
Si vous apercevez un béluga: Gardez vos distances, ralentissez, éloignez-vous à plus de 400 mètres. #Beluga400m
Bonnes pratiques de navigation en présence de bélugas: http://ow.ly/FrqP30dUg36 
Règlement applicable dans le parc marin du Saguenay–St-Laurent: http://ow.ly/bdNm30dUg6A 
Au plaisir de vous rencontrer!","Vous naviguez dans l’estuaire du Saint-Laurent? Vous croiserez peut-être les patrouilles conjointes du parc marin du Saguenay–St-Laurent et de Pêches et Océans Canada. Au cours des prochains jours, nos agents sensibiliseront les plaisanciers au dérangement des bélugas. Si vous apercevez un béluga: Gardez vos distances, ralentissez, éloignez-vous à plus de mètres. Bonnes pratiques de navigation en présence de bélugas: Règlement applicable dans le parc marin du Saguenay–St-Laurent: Au plaisir de vous rencontrer!",['#Beluga400m'],47,12,47,46,1,0,0,0,0,0,106,fr,0.08680555555555554,PechesOceansCanada_facebook,"['parc', 'gas', 'air']",positive,"['parc', 'océan', 'parc']",Environmental,"['naviguez', ""l'estuaire"", 'saint-laurent', 'croiserez', 'peut-être', 'les', 'patrouille', 'conjoint', 'parc', 'marin', 'saguenay–st-laurent', 'pêche', 'océan', 'canada', 'cour', 'prochain', 'jour', 'agent', 'sensibiliseront', 'les', 'plaisancier', 'dérangement', 'béluga', 'si', 'apercevez', 'béluga', 'gardez', 'distance', 'ralentissez', 'éloignez-vous', 'plus', '400', 'mètre', '#beluga400m', 'bonne', 'pratique', 'navigation', 'présence', 'béluga', 'httpowlyfrqp30dug36', 'règlement', 'applicable', 'parc', 'marin', 'saguenay–st-laurent', 'httpowlybdnm30dug6a', 'plaisir', 'rencontrer']","['saint-laurent', 'parc', 'marin', 'pêche', 'pêche', 'pêche', 'pêche', 'océan', 'béluga', 'béluga', 'béluga', 'béluga', 'béluga', 'béluga', 'parc', 'marin']",Healthy coasts and oceans
5,1498541586883867_1611470355590989,2017-09-04 11:58:25,https://www.facebook.com/PechesOceansCanada/videos/1611470355590989/,"Chaque année, nous surveillons plus de 300 espèces dans le golfe du Saint-Laurent. Pour en assurer la durabilité, nos biologistes, comme Hugo Bourdages, effectuent des relevés scientifiques en vue de maintenir la bonne santé des écosystèmes et la prospérité des pêches au Canada. http://ow.ly/l0Bp30eR8QU","Chaque année, nous surveillons plus de espèces dans le golfe du Saint-Laurent. Pour en assurer la durabilité, nos biologistes, comme Hugo Bourdages, effectuent des relevés scientifiques en vue de maintenir la bonne santé des écosystèmes et la prospérité des pêches au Canada. U",[],48,5,50,47,1,0,0,0,0,0,103,fr,0.23125,PechesOceansCanada_facebook,,positive,"['espèce', 'durabilité', 'scientifique', 'scientifique', 'scientifique', 'santé', 'santé', 'écosystème', 'écosystème']",Environmental,"['chaque', 'année', 'surveillons', 'plus', '300', 'espèce', 'golfe', 'saint-laurent', 'assurer', 'durabilité', 'biologiste', 'comme', 'hugo', 'bourdages', 'effectuent', 'relevé', 'scientifique', 'vue', 'maintenir', 'bonne', 'santé', 'écosystème', 'prospérité', 'pêche', 'canada', 'httpowlyl0bp30er8qu']","['golfe', 'saint-laurent', 'scientifique', 'santé', 'santé', 'santé', 'santé', 'santé', 'écosystème', 'écosystème', 'écosystème', 'écosystème', 'écosystème', 'écosystème', 'écosystème', 'pêche', 'pêche', 'pêche', 'pêche']",Connecting Canadians with nature
6,1498541586883867_1554157944655564,2017-07-17 10:23:54,https://www.facebook.com/PechesOceansCanada/photos/a.1539239129480779.1073741828.1498541586883867/1554157657988926/?type=3,"La carpe asiatique ne devrait pas se trouver au Canada! Si vous en voyez une, assurez-vous de la signaler en composant le numéro de la Ligne d’assistance téléphonique pour les espèces envahissantes : 1-800-563-7711. Une carpe de roseau femelle a été trouvée morte le 12 juillet près de Dunnville, en Ontario, et nous effectuons actuellement d’autres analyses. Nous souhaitons remercier la personne qui l’a trouvée et signalée. http://ow.ly/h5P330dH097","La carpe asiatique ne devrait pas se trouver au Canada! Si vous en voyez une, assurez-vous de la signaler en composant le numéro de la Ligne d’assistance téléphonique pour les espèces envahissantes : -800-563-7711. Une carpe de roseau femelle a été trouvée morte le juillet près de Dunnville, en Ontario, et nous effectuons actuellement d’autres analyses. Nous souhaitons remercier la personne qui l’a trouvée et signalée.",[],12,6,82,11,0,1,0,0,0,0,100,fr,-0.053333333333333316,PechesOceansCanada_facebook,"['eau', 'or', 'mer']",negative,['espèce'],Environmental,"['carpe', 'asiatique', 'devrait', 'trouver', 'canada', 'si', 'voyez', 'assurez-vous', 'signaler', 'composant', 'numéro', 'ligne', ""d'assistance"", 'téléphonique', 'les', 'espèce', 'envahissantes', '1-800-563-7711', 'carpe', 'roseau', 'femelle', 'trouvée', 'mort', '12', 'juillet', 'près', 'dunnville', 'ontario', 'effectuons', 'actuellement', ""d'autres"", 'analyse', 'souhaitons', 'remercier', 'personne', ""l'a"", 'trouvée', 'signalée', 'httpowlyh5p330dh097']",[],unknown
7,1498541586883867_1702314439839913,2017-11-22 14:05:00,https://www.facebook.com/PechesOceansCanada/photos/a.1539239129480779.1073741828.1498541586883867/1702314119839945/?type=3,"Un thon rouge de l'Atlantique a parcouru toute une distance l'hiver dernier! Nos agents des pêches et nos biologistes ont travaillé de concert pour récupérer une étiquette au large de Shippagan, au Nouveau-Brunswick, qui avait été fixée à un thon pendant plus d'une année. Selon l'étiquette, le thon a initialement été marqué le 17 octobre 2016 au large de Port Mouton, en Nouvelle-Écosse. Le thon a demeuré dans les eaux canadiennes jusqu'en décembre, puis il a parcouru 3 000 km jusqu'au sud-ouest des Açores avant de revenir au large de la Nouvelle-Écosse en avril. Découvrez comment le marquage nous aide à mieux comprendre cette espèce : http://ow.ly/Z19p30gHA6U","Un thon rouge de l'Atlantique a parcouru toute une distance l'hiver dernier! Nos agents des pêches et nos biologistes ont travaillé de concert pour récupérer une étiquette au large de Shippagan, au Nouveau-Brunswick, qui avait été fixée à un thon pendant plus d'une année. Selon l'étiquette, le thon a initialement été marqué le octobre au large de Port Mouton, en Nouvelle-Écosse. Le thon a demeuré dans les eaux canadiennes jusqu'en décembre, puis il a parcouru km jusqu'au sud-ouest des Açores avant de revenir au large de la Nouvelle-Écosse en avril. Découvrez comment le marquage nous aide à mieux comprendre cette espèce : U",[],64,6,27,56,2,6,0,0,0,0,97,fr,0.14285714285714285,PechesOceansCanada_facebook,"['eau', 'parc', 'or']",positive,"['eau', 'découvrez', 'espèce']",Environmental,"['thon', 'rouge', ""l'atlantique"", 'parcouru', 'toute', 'distance', ""l'hiver"", 'dernier', 'agent', 'pêche', 'biologiste', 'travaillé', 'concert', 'récupérer', 'étiquette', 'large', 'shippagan', 'nouveau-brunswick', 'fixée', 'thon', 'pendant', 'plus', ""d'une"", 'année', 'selon', ""l'étiquette"", 'thon', 'initialement', 'marqué', '17', 'octobre', '2016', 'large', 'port', 'mouton', 'nouvelle-écosse', 'thon', 'demeuré', 'les', 'eau', 'canadien', ""jusqu'en"", 'décembre', 'puis', 'parcouru', '000', 'kilomètre', ""jusqu'au"", 'sud-ouest', 'açores', 'avant', 'revenir', 'large', 'nouvelle-écosse', 'avril', 'découvrez', 'comment', 'marquage', 'aide', 'mieux', 'comprendre', 'cette', 'espèce', 'httpowlyz19p30gha6u']","['pêche', 'pêche', 'pêche', 'pêche', 'eau', 'eau']",Pristine lakes and rivers
8,1498541586883867_1694388537299170,2017-11-14 14:12:00,https://www.facebook.com/PechesOceansCanada/videos/1694388537299170/,"Notre scientifique Nathalie Simard étudie les espèces aquatiques envahissantes afin de protéger nos eaux et les écosystèmes, les économies et les collectivités qui en dépendent. Chaque année, cette biologiste de l’Institut Maurice-Lamontagne (Mont-Joli, Québec) et ses collègues se rendent dans les différents ports et marinas. Ils essaient de détecter les nouvelles espèces envahissantes dès leur arrivée et suivent l’évolution de celles qui sont déjà là.
Apprenez-en davantage sur les espèces aquatiques envahissantes :
http://ow.ly/muHz30gzzDy","Notre scientifique Nathalie Simard étudie les espèces aquatiques envahissantes afin de protéger nos eaux et les écosystèmes, les économies et les collectivités qui en dépendent. Chaque année, cette biologiste de l’Institut Maurice-Lamontagne (Mont-Joli, Québec) et ses collègues se rendent dans les différents ports et marinas. Ils essaient de détecter les nouvelles espèces envahissantes dès leur arrivée et suivent l’évolution de celles qui sont déjà là. Apprenez-en davantage sur les espèces aquatiques envahissantes :",[],49,7,33,48,1,0,0,0,0,0,89,fr,0.10714285714285712,PechesOceansCanada_facebook,"['eau', 'or', 'ice']",positive,"['scientifique', 'scientifique', 'scientifique', 'espèce', 'protéger', 'eau', 'écosystème', 'écosystème', 'économie', 'collectivité', 'espèce', 'espèce']",Environmental,"['scientifique', 'nathalie', 'simard', 'étudie', 'les', 'espèce', 'aquatiques', 'envahissantes', 'afin', 'protéger', 'eau', 'les', 'écosystème', 'les', 'économie', 'les', 'collectivité', 'dépendent', 'chaque', 'année', 'cette', 'biologiste', ""l'institut"", 'maurice-lamontagne', 'mont-joli', 'québec', 'collègue', 'rendent', 'les', 'différent', 'port', 'marina', 'ils', 'essaient', 'détecter', 'les', 'nouveau', 'espèce', 'envahissantes', 'dès', 'arrivé', 'suivent', ""l'évolution"", 'celles', 'déjà', 'là', 'apprenez-en', 'davantage', 'les', 'espèce', 'aquatiques', 'envahissantes', 'httpowlymuhz30gzzdy']","['scientifique', 'protéger', 'eau', 'eau', 'écosystème', 'écosystème', 'écosystème', 'écosystème', 'écosystème', 'écosystème', 'écosystème', 'économie', 'collectivité', 'collectivité', 'collectivité']",Clean growth
9,1498541586883867_1615508595187165,2017-09-08 08:00:33,https://www.facebook.com/PechesOceansCanada/photos/a.1605638326174192.1073741846.1498541586883867/1615508458520512/?type=3,"Grâce à l’expédition conjointe avec Oceana Canada, nos scientifiques ont pu découvrir des zones jusqu’alors inexplorées du golfe du Saint-Laurent. Du 23 au 30 août, l’équipe scientifique a prélevé des échantillons et des données scientifiques ainsi que filmé des séquences vidéos de haute définition du plancher océanique. Des renseignements essentiels sur les espèces marines qui vivent dans les eaux superficielles, comme les oiseaux de mer, les tortues de mer et les requins, ont aussi été recueillis. Cette expérience unique a permis à nos scientifiques de faire des pas de géants pour documenter la richesse du milieu marin. De bons outils qui permettront de mieux le protéger ! Pour en savoir plus sur l’expédition : http://ow.ly/pz5N30f0wuN","Grâce à l’eédition conjointe avec Oceana Canada, nos scientifiques ont pu découvrir des zones jusqu’alors inelorées du golfe du Saint-Laurent. Du au août, l’équipe scientifique a prélevé des échantillons et des données scientifiques ainsi que filmé des séquences vidéos de haute définition du plancher océanique. Des renseignements essentiels sur les espèces marines qui vivent dans les eaux superficielles, comme les oiseaux de mer, les tortues de mer et les requins, ont aussi été recueillis. Cette eérience unique a permis à nos scientifiques de faire des pas de géants pour documenter la richesse du milieu marin. De bons outils qui permettront de mieux le protéger ! Pour en savoir plus sur l’eédition :",[],51,2,34,49,1,1,0,0,0,0,87,fr,0.0,PechesOceansCanada_facebook,"['oiseau', 'marine', 'air', 'oiseaux', 'mer', 'eau', 'or']",neutral,"['scientifique', 'scientifique', 'scientifique', 'découvrir', 'scientifique', 'scientifique', 'scientifique', 'scientifique', 'scientifique', 'scientifique', 'espèce', 'marine', 'eau', 'oiseau', 'mer', 'mer', 'scientifique', 'scientifique', 'scientifique', 'protéger']",Environmental,"['grâce', ""l'expédition"", 'conjoint', 'oceana', 'canada', 'scientifique', 'pu', 'découvrir', 'zone', ""jusqu'alors"", 'inexplorées', 'golfe', 'saint-laurent', '23', '30', 'août', ""l'équipe"", 'scientifique', 'prélevé', 'échantillon', 'donnée', 'scientifique', 'ainsi', 'filmé', 'séquence', 'vidéo', 'haute', 'définition', 'plancher', 'océanique', 'renseignement', 'essentiel', 'les', 'espèce', 'marine', 'vivent', 'les', 'eau', 'superficielles', 'comme', 'les', 'oiseau', 'mer', 'les', 'tortue', 'mer', 'les', 'requin', 'aussi', 'recueillis', 'cette', 'expérience', 'unique', 'permis', 'scientifique', 'faire', 'géant', 'documenter', 'richesse', 'milieu', 'marin', 'bon', 'outil', 'permettront', 'mieux', 'protéger', 'savoir', 'plus', ""l'expédition"", 'httpowlypz5n30f0wun']","['scientifique', 'découvrir', 'golfe', 'saint-laurent', 'scientifique', 'scientifique', 'eau', 'eau', 'oiseau', 'oiseau', 'tortue', 'scientifique', 'marin', 'protéger']",Clean growth
