Unnamed: 0,id,date_published,link,caption_original,caption_cleaned,hashtags,num_reactions,num_comments,num_shares,num_likes,num_loves,num_wows,num_hahas,num_sads,num_angrys,num_special,Reactions_SUM,language,average_sentiment_score,account_name,sentiment,matched_keywords,category,FSDS_matched_keywords,FSDS_category
0,242079006274865_311343066015125,2017-11-23 17:12:58,https://www.facebook.com/CanadianCoastGuard/videos/311343066015125/,"Last month we participated in “Exercise Salish Sea,” which was the largest largest major incident exercise in Canadian Coast Guard history! The two-day major maritime incident training exercise took place east of Salt Spring Island, British Columbia. Day one focused on search and rescue and involved the evacuation of 100 survivors from a BC Ferry. Canadian Armed Forces Transport and Infrastructure in Canada BC Ferries Royal Canadian Marine Search and Rescue U.S. Coast Guard","Last month we participated in “Exercise Salish Sea,” which was the largest largest major incident exercise in Canadian Coast Guard history! The two-day major maritime incident training exercise took place east of Salt Spring Island, British Columbia. Day one focused on search and rescue and involved the evacuation of survivors from a BC Ferry. Canadian Armed Forces Transport and Infrastructure in Canada BC Ferries Royal Canadian Marine Search and Rescue U.S. Coast Guard",[],163,17,153,157,4,2,0,0,0,0,333,en,0.1025595238095238,CanadianCoastGuard_facebook,positive,"['canadian', 'coast', 'guard', 'guard', 'canadian', 'transport', 'infrastructure', 'canadian', 'marine', 'coast', 'guard', 'guard']",Social,"['coast', 'infrastructure', 'marine', 'coast']",Healthy coasts and oceans
1,242079006274865_305974303218668,2017-11-17 09:00:00,https://www.facebook.com/CanadianCoastGuard/videos/305974303218668/,"Fun Fact Friday:
We are proud to have 114 ships, 23 helos, & 4,500 members working 24/7 to protect & secure the largest coastline in the world.

We are the leading maritime authority in the country, operating 24/7 in some of the most challenging conditions on the earth to provide services that are critical to safety, security and economic growth.","Fun Fact Friday: We are proud to have ships, helos, & ,500 members working /7 to protect & secure the largest coastline in the world. We are the leading maritime authority in the country, operating /7 in some of the most challenging conditions on the earth to provide services that are critical to safety, security and economic growth.",[],139,13,159,132,7,0,0,0,0,0,311,en,0.343015873015873,CanadianCoastGuard_facebook,positive,"['service', 'safety', 'growth']",Economical,['growth'],Clean growth
2,242079006274865_317477928734972,2017-12-09 15:54:35,https://www.facebook.com/CanadianCoastGuard/photos/a.261340221015410.1073741829.242079006274865/317477778734987/?type=3,The launch event of the CCGS Sir John Franklin marks significant and tangible step in our fleet renewal process!,The launch event of the CCGS Sir John Franklin marks significant and tangible step in our fleet renewal process!,[],226,11,69,203,13,10,0,0,0,0,306,en,0.19404761904761905,CanadianCoastGuard_facebook,positive,[],unknown,[],unknown
3,242079006274865_267097453773020,2017-07-25 08:53:18,https://www.facebook.com/CanadianCoastGuard/photos/a.267094607106638.1073741834.242079006274865/267097447106354/?type=3,"The Inshore Rescue Boat crews don’t just rescue people, they rescue dogs too! This pup is home safe with her owners after being rescued off Conrad’s Beach in Nova Scotia.","The Inshore Rescue Boat crews don’t just rescue people, they rescue dogs too! This pup is home safe with her owners after being rescued off Conrad’s Beach in Nova Scotia.",[],197,4,50,172,23,2,0,0,0,0,251,en,0.0,CanadianCoastGuard_facebook,neutral,"['home', 'safe', 'beach']",Social,[],unknown
4,242079006274865_271427593340006,2017-08-05 08:00:28,https://www.facebook.com/CanadianCoastGuard/photos/a.267094607106638.1073741834.242079006274865/271427593340006/?type=3,"Regular training like the recent SAREX in Pictou, Nova Scotia helps to improve the response capabilities of both Canadian Coast Guard and its Search & Rescue partners.","Regular training like the recent SAREX in Pictou, Nova Scotia helps to improve the response capabilities of both Canadian Coast Guard and its Search & Rescue partners.",[],197,4,50,172,23,2,0,0,0,0,251,en,0.0,CanadianCoastGuard_facebook,neutral,"['canadian', 'coast', 'guard', 'guard', 'partner']",Social,['coast'],Healthy coasts and oceans
5,242079006274865_282910185525080,2017-09-05 09:01:32,https://www.facebook.com/CanadianCoastGuard/photos/a.267094607106638.1073741834.242079006274865/282910172191748/?type=3,Thanks to our Inshore Rescue Boat crews & summer students for keeping us all safe this summer – the Atlantic Region wraps up their season today http://www.ccg-gcc.gc.ca/SAR/IRB-Background,Thanks to our Inshore Rescue Boat crews & summer students for keeping us all safe this summer – the Atlantic Region wraps up their season today d,[],197,4,50,172,23,2,0,0,0,0,251,en,0.0,CanadianCoastGuard_facebook,neutral,"['summer', 'summer', 'student', 'safe', 'summer', 'summer']",Social,[],unknown
6,242079006274865_305913663224732,2017-11-10 10:21:11,https://www.facebook.com/CanadianCoastGuard/photos/a.258864731262959.1073741828.242079006274865/305913583224740/?type=3,"Lieutenant-Commander Dussault joined the Naval Reserve in 1993.  She started her reserve career as a Naval Control of Shipping (NCS) officer, participating in and planning NATO and domestic NCS exercises, and holding various divisional positions at HMCS RADISSON, HMCS DONNACONA, HMCS CARLETON and HMCS CATARAQUI. In 2003, she was appointed Deputy Commander of Naval Cooperation and Guidance for Shipping Unit 2, and then transferred in the same position for Unit 3 to thereafter take command of this unit under Maritime Operational Group 5 in 2007. Since, she re-trained as an Intelligence Officer, has held staff and academic positions at the Toronto Canadian Forces College, and has recently completed a term as Executive Officer of HMCS CARLETON.
 
In 2007-08 she deployed to Kabul, Afghanistan, as the Deputy Commander of the HQ Support Group. During her deployment, she led a support battalion of 400 persons from 40 different countries, looking after the life necessities and security in the NATO Headquarters. During her tour, she completed the rebuilding of an Afghan memorial destroyed by camp construction activity, and led a charity fund raiser for a local orphanage.
 
Her career as a public servant started at Treasury Board Secretariat and Department of Finance. Later, she joined the Department of National Defence, coordinating Army international interoperability programs. Since February 2017 she has joined us as the Manager of Search and Rescue, at the Canadian Coast Guard. 
 
Thank you for your service, Sheyla. 

Veterans Affairs Canada","Lieutenant-Commander Dussault joined the Naval Reserve in . She started her reserve career as a Naval Control of Shipping (NCS) officer, participating in and planning NATO and domestic NCS exercises, and holding various divisional positions at HMCS RADISSON, HMCS DONNACONA, HMCS CARLETON and HMCS CATARAQUI. In , she was appointed Deputy Commander of Naval Cooperation and Guidance for Shipping Unit , and then transferred in the same position for Unit to thereafter take command of this unit under Maritime Operational Group in . Since, she re-trained as an Intelligence Officer, has held staff and academic positions at the Toronto Canadian Forces College, and has recently completed a term as Executive Officer of HMCS CARLETON. In -08 she deployed to Kabul, Afghanistan, as the Deputy Commander of the HQ Support Group. During her deployment, she led a support battalion of persons from different countries, looking after the life necessities and security in the NATO Headquarters. During her tour, she completed the rebuilding of an Afghan memorial destroyed by camp construction activity, and led a charity fund raiser for a local orphanage. Her career as a public servant started at Treasury Board Secretariat and Department of Finance. Later, she joined the Department of National Defence, coordinating Army international interoperability programs. Since February she has joined us as the Manager of Search and Rescue, at the Canadian Coast Guard. Thank you for your service, Sheyla. Veterans Affairs Canada",[],172,49,22,151,20,1,0,0,0,0,243,en,0.2157716632857373,CanadianCoastGuard_facebook,positive,"['shipping', 'shipping', 'canadian', 'college', 'camp', 'local', 'public', 'finance', 'canadian', 'coast', 'guard', 'guard', 'service', 'veterans']",Social,"['reserve', 'reserve', 'reserve', 'reserve', 'shipping', 'shipping', 'coast']",Healthy coasts and oceans
7,242079006274865_310169329465832,2017-11-20 17:18:43,https://www.facebook.com/CanadianCoastGuard/photos/a.258864731262959.1073741828.242079006274865/310168939465871/?type=3,"Today is Navy and Coast Guard Day! On this day, we recognize the important work performed by Canada’s sailors and celebrate Canada as a maritime nation. Three of our Coast Guard colleagues are being recognized for their contributions to maritime safety and security.

Greg Lick is being recognized for his long-standing career achievements and dedicated service to the Coast Guard. Greg joined the CCG in 1985 as an Engineering Officer Cadet at the Canadian Coast Guard College and is now Director General of Ops of the CCG in the NCR! 

Pamela McLaren, an environmental response specialist in the Central and Artic Region, is being recognized for her work during refloat, recovery and spill response missions in the Arctic and Great Lakes. 

Bruce Marsh is being recognized for his consistent demonstration of outstanding leadership in providing Officer Cadets with an exceptional role model. He continually strives to improve Cadets’ Coast Guard College experience by being a coach and mentor. 

Bravo Zulu to all! 

The Navy League of Canada La Ligue navale du Canada","Today is Navy and Coast Guard Day! On this day, we recognize the important work performed by Canada’s sailors and celebrate Canada as a maritime nation. Three of our Coast Guard colleagues are being recognized for their contributions to maritime safety and security. Greg Lick is being recognized for his long-standing career achievements and dedicated service to the Coast Guard. Greg joined the CCG in as an Engineering Officer Cadet at the Canadian Coast Guard College and is now Director General of Ops of the CCG in the NCR! Pamela McLaren, an environmental response specialist in the Central and Artic Region, is being recognized for her work during refloat, recovery and spill response missions in the Arctic and Great Lakes. Bruce Marsh is being recognized for his consistent demonstration of outstanding leadership in providing Officer Cadets with an exceptional role model. He continually strives to improve Cadets’ Coast Guard College eerience by being a coach and mentor. Bravo Zulu to all! The Navy League of Canada La Ligue navale du Canada",[],184,26,31,173,9,2,0,0,0,0,241,en,0.11682692307692308,CanadianCoastGuard_facebook,positive,"['coast', 'guard', 'guard', 'coast', 'guard', 'guard', 'safety', 'service', 'coast', 'guard', 'guard', 'ccg', 'engineering', 'canadian', 'coast', 'guard', 'guard', 'college', 'ccg', 'arctic', 'arctic', 'coast', 'guard', 'guard', 'college']",Environmental,"['coast', 'coast', 'coast', 'coast', 'coast']",Healthy coasts and oceans
8,242079006274865_305530886596343,2017-11-09 13:00:00,https://www.facebook.com/CanadianCoastGuard/videos/305530886596343/,"On November 8, 2017, Eric Nickerson received the Nova Scotia Medal of Bravery for his heroic rescue last year. 

The CCGS Spray and the G Peddle SC responded to call off Southwest Nova Scotia. Mr. Nickerson performed an in-the-water rescue of a sailor while transferring from a sinking sailboat.","On November , , Eric Nickerson received the Nova Scotia Medal of Bravery for his heroic rescue last year. The CCGS Spray and the G Peddle SC responded to call off Southwest Nova Scotia. Mr. Nickerson performed an in-the-water rescue of a sailor while transferring from a sinking sailboat.",[],159,7,70,149,9,1,0,0,0,0,236,en,0.2445578231292517,CanadianCoastGuard_facebook,positive,[],unknown,[],unknown
9,242079006274865_299946113821487,2017-10-24 13:25:29,https://www.facebook.com/CanadianCoastGuard/photos/a.258864731262959.1073741828.242079006274865/299945950488170/?type=3,"The Canadian Coast Guard, together with the Canadian Armed Forces – Joint Task Force Pacific, Emergency Management BC, British Columbia Emergency Health Services, Public Safety Canada and BC Ferries, among other partners, will be leading a major maritime disaster exercise called “Exercise Salish Sea” east of Salt Spring Island, British Columbia on October 25 & 26. Tomorrow we will share highlights from Day 1, which will focus on the rescue of over 100 “survivors” from a BC Ferries’ vessel M/V Coastal Renaissance. A total of 15 vessels and four aircraft are being employed. BC Ferries Royal Canadian Marine Search & Rescue • Station 1 - West Vancouver Maritime Forces Pacific / Forces maritimes du Pacifique","The Canadian Coast Guard, together with the Canadian Armed Forces – Joint Task Force Pacific, Emergency Management BC, British Columbia Emergency Health Services, Public Safety Canada and BC Ferries, among other partners, will be leading a major maritime disaster exercise called “Exercise Salish Sea” east of Salt Spring Island, British Columbia on October & . Tomorrow we will share highlights from Day , which will focus on the rescue of over “survivors” from a BC Ferries’ vessel M/V Coastal Renaissance. A total of vessels and four aircraft are being employed. BC Ferries Royal Canadian Marine Search & Rescue • Station - West Vancouver Maritime Forces Pacific / Forces maritimes du Pacifique",[],137,8,73,129,4,4,0,0,0,0,218,en,0.38782442480359147,CanadianCoastGuard_facebook,positive,"['canadian', 'coast', 'guard', 'guard', 'canadian', 'health', 'public', 'safety', 'partner', 'coastal', 'canadian', 'marine', 'vancouver']",Social,"['coast', 'health', 'disaster', 'disaster', 'marine']",Sustainable food
10,242079006274865_315263518956413,2017-12-04 09:00:00,https://www.facebook.com/CanadianCoastGuard/videos/315263518956413/,"Motivation Monday
“Aim high” says Sue Pickrell, Acting Deputy Superintendent of Environmental Response. 

Sue Pickrell has 32 years of service with the Canadian Coast Guard, both at sea and ashore.  Sue’s career path began as a navigation cadet at the Canadian Coast Guard College.","Motivation Monday “Aim high” says Sue Pickrell, Acting Deputy Superintendent of Environmental Response. Sue Pickrell has years of service with the Canadian Coast Guard, both at sea and ashore. Sue’s career path began as a navigation cadet at the Canadian Coast Guard College.",[],142,12,57,128,14,0,0,0,0,0,211,en,0.6506944444444445,CanadianCoastGuard_facebook,positive,"['service', 'canadian', 'coast', 'guard', 'guard', 'sea', 'canadian', 'coast', 'guard', 'guard', 'college']",Social,"['coast', 'sea', 'coast']",Healthy coasts and oceans
11,242079006274865_283610468788385,2017-09-07 14:00:53,https://www.facebook.com/CanadianCoastGuard/photos/a.267094607106638.1073741834.242079006274865/283610468788385/?type=3,"Our Kitsilano Base in Vancouver has effectively dealt with more than 470 Search and Rescue calls and more than 150 environmental response tasks since its reopening, only one year ago. A new Emergency Response Vessel will now be stationed at the base to help respond to emergency marine hazards and incidents. For more information visit:  ow.ly/zvKC100MOyk","Our Kitsilano Base in Vancouver has effectively dealt with more than Search and Rescue calls and more than environmental response tasks since its reopening, only one year ago. A new Emergency Response Vessel will now be stationed at the base to help respond to emergency marine hazards and incidents. For more information visit:",[],154,11,45,150,3,1,0,0,0,0,210,en,0.116600716991342,CanadianCoastGuard_facebook,positive,"['vancouver', 'marine']",Social,['marine'],Clean growth
12,242079006274865_300322253783873,2017-10-25 18:25:37,https://www.facebook.com/CanadianCoastGuard/photos/a.261340221015410.1073741829.242079006274865/300322143783884/?type=3,"Today we were on the water east of Salt Spring Island, British Columbia, with partners, participating in day one of a two-day major maritime incident training exercise called “Exercise Salish Sea”. This training exercise is the largest major exercise in Canadian Coast Guard history. Today’s scenario involved the evacuation of 100 ‘survivors’ from a participating BC Ferries’ vessel. Some were evacuated into vessels in the water, and some hoists of evacuees were simulated by our colleagues in the Canadian Armed Forces and US Coast Guard. 

Environmental Response will be the focus of tomorrow’s activities. Partners participating in Exercise Salish Sea include: Canadian Armed Forces, Canadian Coast Guard, Transport and Infrastructure in Canada, BC Ferries, BC Emergency Health Services, Emergency Management BC, BC Ministry of Environment, Royal Canadian Marine Search and Rescue, the U.S. Coast Guard and Western Canada Marine Response Organization, among a great many others. Special thanks today to the community on Salt Spring Island, where our ‘casualties’ were brought ashore.","Today we were on the water east of Salt Spring Island, British Columbia, with partners, participating in day one of a two-day major maritime incident training exercise called “Exercise Salish Sea”. This training exercise is the largest major exercise in Canadian Coast Guard history. Today’s scenario involved the evacuation of ‘survivors’ from a participating BC Ferries’ vessel. Some were evacuated into vessels in the water, and some hoists of evacuees were simulated by our colleagues in the Canadian Armed Forces and US Coast Guard. Environmental Response will be the focus of tomorrow’s activities. Partners participating in Exercise Salish Sea include: Canadian Armed Forces, Canadian Coast Guard, Transport and Infrastructure in Canada, BC Ferries, BC Emergency Health Services, Emergency Management BC, BC Ministry of Environment, Royal Canadian Marine Search and Rescue, the U.S. Coast Guard and Western Canada Marine Response Organization, among a great many others. Special thanks today to the community on Salt Spring Island, where our ‘casualties’ were brought ashore.",[],135,5,56,129,1,5,0,0,0,0,196,en,0.6033333333333333,CanadianCoastGuard_facebook,positive,"['water', 'partner', 'canadian', 'coast', 'guard', 'guard', 'history', 'water', 'canadian', 'coast', 'guard', 'guard', 'sea', 'canadian', 'canadian', 'coast', 'guard', 'guard', 'transport', 'infrastructure', 'health', 'environment', 'canadian', 'marine', 'coast', 'guard', 'guard', 'marine', 'community']",Environmental,"['water', 'water', 'water', 'coast', 'water', 'water', 'water', 'coast', 'sea', 'coast', 'infrastructure', 'health', 'marine', 'coast', 'marine', 'community', 'community']",Healthy coasts and oceans
