,Unnamed: 0,id,date_published,link,caption_original,caption_cleaned,hashtags,num_comments,num_shares,num_likes,Reactions_SUM,category,matched_keywords,language,average_sentiment_score,sentiment,account_name
20685,570,681113766096945153,2015-12-27 14:05:50,['https://t.co/NupCz\xe2\x80\xa6'],"RT @GCC_CCG: Étudiants, avez-vous déjà considéré de vous joindre à la @GCC_CCG? Postulez au Collège de la GCC maintenant https://t.co/NupCz…",RT tudiants avez vous de vous joindre la Postulez au ge de la GCC maintenant https co,[],,3.0,0,3,['Social'],['étudiant'],fr,0.0,Neutral,MPO_Centre_tweeter
22584,999,682295294806077441,2015-12-30 20:20:49,['https://t.co/zaHgQgrbPR'],Le scientifique du MPO Martin Castonguay parle d’une découverte récente sur la migration de l’anguille #fiers https://t.co/zaHgQgrbPR,Le scientifique du MPO Martin Castonguay parle une couverte cente sur la migration de anguille fiers https co zaHgQgrbPR,['#fiers'],,2.0,1,3,"['Economical', 'Environmental', 'Social']","['scientifique', 'scientifique', 'scientifique', 'mpo', '#fiers']",fr,0.0,Neutral,MPO_DFO_tweeter
24334,514,679318963407470592,2015-12-22 15:13:56,"['https://t.co/RY0YHyVMIV', 'https://t.co/OWzdprqqXW']",Tous les détails sur pêche récréative hivernale au poisson de fond dans le fjord du Saguenay https://t.co/RY0YHyVMIV https://t.co/OWzdprqqXW,Tous les tails sur ative hivernale au poisson de fond dans le fjord du Saguenay https co RY0YHyVMIV https co OWzdprqqXW,[],,1.0,1,2,['Environmental'],['poisson'],fr,0.0,Neutral,MPO_GCC_Quebec_tweeter
24986,249,679345004616294401,2015-12-22 16:57:25,[],RT @salledepresseGC: Le canal de Canso ferme pour la saison 2015 après une augmentation de la circulation par rapport à l'année dernière ht…,RT salledepresseGC Le canal de Canso ferme pour la saison 2015 une augmentation de la circulation par rapport,[],,2.0,0,2,['Economical'],['ferme'],fr,0.0,Neutral,MPO_Golfe_tweeter
28585,728,682296938864197632,2015-12-30 20:27:21,['https://t.co/zaH\xe2\x80\xa6'],RT @MPO_DFO: Le scientifique du MPO Martin Castonguay parle d’une découverte récente sur la migration de l’anguille #fiers https://t.co/zaH…,RT Le scientifique du MPO Martin Castonguay parle une couverte cente sur la migration de anguille fiers https co,['#fiers'],,2.0,0,2,"['Economical', 'Environmental', 'Social']","['scientifique', 'scientifique', 'scientifique', 'mpo', '#fiers']",fr,0.0,Neutral,MPO_Science_tweeter
5455,1435,682633740531712000,2015-12-31 18:45:41,['https://t.co/fzGxR8vTEe'],#jeudirétro Fox Creek impact d’un hélico avec ds arbres mène à l'application de progr. de sécurité par l'exploitant https://t.co/fzGxR8vTEe,tro Fox Creek impact un lico avec ds arbres ne application de progr de par exploitant https co fzGxR8vTEe,['#jeudir'],,0.0,0,0,"['Environmental', 'Social']","['#jeudirétro', 'arbre']",fr,0.0,Neutral,BSTCanada_tweeter
26405,1122,681859649218437120,2015-12-29 15:29:43,[],Les bureaux du MPO à St. Andrews/St. George/Mactaquac seront fermés aujourd’hui @iciacadie @acadienouvelle,Les bureaux du MPO St Andrews St George Mactaquac seront hui iciacadie acadienouvelle,[],,0.0,0,0,['Environmental'],['mpo'],fr,0.0,Neutral,MPO_MAR_tweeter
27856,1450,682674708391788544,2015-12-31 21:28:28,['https://t.co/ZNUSd19tp'],"Nouvelles fermetures de la récolte de #coquillages dues aux biotoxines : secteurs 16, 17, 18. https://t.co/ZNUSd19tpc",Nouvelles fermetures de la colte de coquillages dues aux biotoxines secteurs 16 17 18 https co ZNUSd19tpc,['#coquillages'],,0.0,0,0,['Economical'],['secteur'],fr,0.0,Neutral,MPO_Pacifique_tweeter
31902,2574,682205859578015744,2015-12-30 14:25:26,"['https://t.co/E7wd11dRoz', 'https://t.co/lpfJz9QbIl']",Appel aux étudiants qui souhaitent changer les choses! Passez l'été en NL avec la #GCC! https://t.co/E7wd11dRoz https://t.co/lpfJz9QbIl,Appel aux tudiants qui souhaitent changer les choses Passez en NL avec la GCC https co E7wd11dRoz https co lpfJz9QbIl,['#GCC'],,0.0,0,0,['Social'],['étudiant'],fr,0.0,Neutral,MPO_TNL_tweeter
32961,713,681924018992234500,2015-12-29 19:45:30,['https://t.co/ehhBvp5If4'],"Campagne agricole 14-15 : CN et CP excèdent le revenu max. admissible. Ont transporté 7,4% plus de grain. https://t.co/ehhBvp5If4",Campagne agricole 14 15 CN et CP dent le revenu max admissible Ont plus de grain https co ehhBvp5If4,[],,0.0,0,0,['Economical'],"['agricole', 'revenu']",fr,0.0,Neutral,OTC_gc_tweeter
