FSDS Goal,Reaction Summary,Topics/Issues
Clean Drinking Water,"comments: 16
shares: 1520
angrys: 4
hahas: 0
likes: 792
loves: 18
sads: 0
special: 0
wows: 0
Reactions SUM: 2350","collectivité, santé, autochtone, inuit, municipalité, technologie, infrastructure, traitement"
Clean Energy,"comments: 44
shares: 841
angrys: 2
hahas: 8
likes: 813
loves: 22
sads: 1
special: 0
wows: 2
Reactions SUM: 1733","#génénergie, polluant, carbone, solaire, #technologiespropres, changement_climatique, éolienne, fiable"
Clean Growth,"comments: 989
shares: 17508
angrys: 28
hahas: 53
likes: 11569
loves: 443
sads: 4
special: 13
wows: 72
Reactions SUM: 30679","produit, scientifique, travail, protéger, secteur, technologie, ressource, entreprise"
Connecting Canadians With Nature,"comments: 1566
shares: 11525
angrys: 2
hahas: 49
likes: 41229
loves: 1590
sads: 63
special: 12
wows: 365
Reactions SUM: 56401","parc, parc_national, activité, nature, visite, #défiparcs, communauté, découvrir"
Effective Action On Climate Change,"comments: 58
shares: 4591
angrys: 4
hahas: 2
likes: 2120
loves: 31
sads: 0
special: 1
wows: 6
Reactions SUM: 6813","technologie, #changementsclimatiques, pollution, émission, #changementclimatique, #actionclimatcan, #actionclimatique, pétrole"
Healthy Coasts And Oceans,"comments: 365
shares: 17482
angrys: 10
hahas: 9
likes: 14313
loves: 350
sads: 12
special: 8
wows: 69
Reactions SUM: 32618","pêche, autochtone, conservation, poisson, saumon, maritime, océan, marin"
Healthy Wildlife Populations,"comments: 309
shares: 3454
angrys: 3
hahas: 6
likes: 12115
loves: 285
sads: 19
special: 3
wows: 52
Reactions SUM: 16246","conservation, protection, parc_national, oiseau, faune, air, animal, population"
Low-Carbon Government,"comments: 220
shares: 2924
angrys: 1
hahas: 16
likes: 4681
loves: 216
sads: 1
special: 3
wows: 32
Reactions SUM: 8094","entreprise, carbone, émission, fédéral, construction, #protocoledemontréal, transition, action"
Modern And Resilient Infrastructure,"comments: 59
shares: 1432
angrys: 2
hahas: 1
likes: 1030
loves: 34
sads: 2
special: 0
wows: 12
Reactions SUM: 2572","transport, #listedesurveillance, déraillement, #modernisationone, ferroviaire, #sécuritéferroviaire, investissement, #securitas"
Other,"comments: 3107
shares: 73997
angrys: 118
hahas: 259
likes: 37534
loves: 1039
sads: 45
special: 29
wows: 291
Reactions SUM: 116419",
Pristine Lakes And Rivers,"comments: 136
shares: 2857
angrys: 4
hahas: 2
likes: 5788
loves: 74
sads: 1
special: 1
wows: 31
Reactions SUM: 8894","lac, eau, mesure, rivière, pêche, conservation, saumon, pollution"
Safe And Healthy Communities,"comments: 119
shares: 2099
angrys: 0
hahas: 2
likes: 1959
loves: 45
sads: 0
special: 0
wows: 6
Reactions SUM: 4230","participez, #jnacanada, #soyezprudent, ville, #pasbrillant, activité, #sécuriténautique, collectivité"
Sustainable Food,"comments: 294
shares: 2178
angrys: 14
hahas: 10
likes: 3440
loves: 74
sads: 5
special: 3
wows: 21
Reactions SUM: 6039","#agcan, récolte, #coquillages, produit, santé, producteur, aliment, accès"
Sustainably Managed Lands And Forests,"comments: 3591
shares: 3090
angrys: 0
hahas: 7
likes: 23298
loves: 363
sads: 1
special: 1
wows: 90
Reactions SUM: 30441","#agcan, parc_national, terre, forêt, arbre, sol, conservation, champ"
