comment_id,status_id,parent_id,comment_message,comment_published,num_reactions,num_likes,num_loves,num_wows,num_hahas,num_sads,num_angrys,num_special
410095069412532_410525639369475,315919208830119_410095069412532,,Maybe hire bout 40 more fisheries officers for B.C.   Thanks,2018-01-16 14:31:13,1,1,0,0,0,0,0,0
410095069412532_410529006035805,315919208830119_410095069412532,,Agreed Paul and make all salmon regulations the same accross the entire coast...and stop lettting people buy halibut quota...either there is available quota for all or there isn't.,2018-01-16 14:38:50,1,1,0,0,0,0,0,0
410095069412532_410543602701012,315919208830119_410095069412532,,Yes need more people to do this job that is so great,2018-01-16 15:37:35,0,0,0,0,0,0,0,0
410095069412532_410579509364088,315919208830119_410095069412532,,try increasing trout limit! paying almost 30$ for license then trying to make a fishing trip and are only entitled to 5 fish is a real JOKE!,2018-01-16 18:10:51,0,0,0,0,0,0,0,0
410095069412532_410600036028702,315919208830119_410095069412532,410095069412532_410579509364088,DFO doesn't have any trout in its jurisdiction.,2018-01-16 19:45:53,0,0,0,0,0,0,0,0
410095069412532_410619216026784,315919208830119_410095069412532,410095069412532_410579509364088,"its not about the weight taken home, not for me anyway",2018-01-16 21:04:04,0,0,0,0,0,0,0,0
410095069412532_410693106019395,315919208830119_410095069412532,,Get more ppl on staff,2018-01-17 01:52:36,0,0,0,0,0,0,0,0
410095069412532_410987772656595,315919208830119_410095069412532,,"Thank you all for your feedback. To formally submit your comments on our consultation via email or mail, please visit the website for full details: http://ow.ly/HpkI30hQknT [[SHARE]]",2018-01-17 15:44:15,0,0,0,0,0,0,0,0
410095069412532_410988462656526,315919208830119_410095069412532,410095069412532_410987772656595,Get with times...email or mail...lol,2018-01-17 15:46:42,0,0,0,0,0,0,0,0
410095069412532_411027465985959,315919208830119_410095069412532,,Get rid of the corrupt staff first,2018-01-17 18:31:48,0,0,0,0,0,0,0,0
401031596985546_408692669552772,315919208830119_401031596985546,,Stéphanie St-LouisBoulay unicorns of the sea 😍,2018-01-11 12:39:10,3,2,1,0,0,0,0,0
401031596985546_408694849552554,315919208830119_401031596985546,401031596985546_408692669552772,Ariane Bénard,2018-01-11 12:48:30,0,0,0,0,0,0,0,0
401031596985546_408770556211650,315919208830119_401031596985546,,http://www.cbc.ca/news/canada/british-columbia/new-research-suggests-wild-salmon-exposed-to-fish-farms-have-much-higher-rate-of-viral-infection-1.4446839,2018-01-11 18:46:27,1,1,0,0,0,0,0,0
401031596985546_409883892766983,315919208830119_401031596985546,,Those wonderous beasties.,2018-01-14 21:17:46,1,1,0,0,0,0,0,0
401029206985785_408022926286413,315919208830119_401029206985785,,Rhéal Boucher Maurice Babineau,2018-01-09 20:24:32,1,1,0,0,0,0,0,0
401023143653058_406351443120228,315919208830119_401023143653058,,Shya Riley Hunter Riley,2018-01-05 11:35:28,0,0,0,0,0,0,0,0
401023143653058_406358463119526,315919208830119_401023143653058,,Sam Nunn,2018-01-05 12:04:34,1,1,0,0,0,0,0,0
401023143653058_406363513119021,315919208830119_401023143653058,,Beth Tucker,2018-01-05 12:24:30,0,0,0,0,0,0,0,0
401023143653058_406365176452188,315919208830119_401023143653058,,*,2018-01-05 12:31:39,0,0,0,0,0,0,0,0
401023143653058_406366526452053,315919208830119_401023143653058,,Natasha Gillam,2018-01-05 12:37:35,1,1,0,0,0,0,0,0
401023143653058_406369129785126,315919208830119_401023143653058,,Rachel Coombs,2018-01-05 12:48:59,0,0,0,0,0,0,0,0
401023143653058_406398409782198,315919208830119_401023143653058,401023143653058_406369129785126,😏😏,2018-01-05 14:40:41,0,0,0,0,0,0,0,0
401023143653058_406372793118093,315919208830119_401023143653058,,Chelsea Stewart,2018-01-05 13:02:24,0,0,0,0,0,0,0,0
401023143653058_406406269781412,315919208830119_401023143653058,,Zachary Earle,2018-01-05 15:15:50,0,0,0,0,0,0,0,0
401023143653058_406416173113755,315919208830119_401023143653058,,Abby Taylor,2018-01-05 16:03:10,0,0,0,0,0,0,0,0
401023143653058_406418626446843,315919208830119_401023143653058,,Chyanne Hillier,2018-01-05 16:15:16,0,0,0,0,0,0,0,0
401023143653058_406418976446808,315919208830119_401023143653058,,Tarryn Burke,2018-01-05 16:16:56,0,0,0,0,0,0,0,0
401023143653058_406425009779538,315919208830119_401023143653058,,Leeandra Gabriella,2018-01-05 16:37:32,0,0,0,0,0,0,0,0
401023143653058_406427039779335,315919208830119_401023143653058,,Michael Hopkins,2018-01-05 16:49:20,0,0,0,0,0,0,0,0
401023143653058_406432896445416,315919208830119_401023143653058,,Andrew Bradbury,2018-01-05 17:19:16,1,1,0,0,0,0,0,0
401023143653058_406433389778700,315919208830119_401023143653058,,Faith Smith Cheryl Wakeley Smith,2018-01-05 17:21:44,2,2,0,0,0,0,0,0
