comment_id,status_id,parent_id,comment_message,comment_published,num_reactions,num_likes,num_loves,num_wows,num_hahas,num_sads,num_angrys,num_special
1301442003295321_1301445809961607,431918433581020_1301442003295321,,unless you're a federal employee... then a couple of year's worth might be safer 😱,2018-01-16 11:51:49,1,1,0,0,0,0,0,0
1301442003295321_1301466173292904,431918433581020_1301442003295321,1301442003295321_1301445809961607,Exactly,2018-01-16 12:28:56,0,0,0,0,0,0,0,0
1301442003295321_1301469733292548,431918433581020_1301442003295321,,Hahahahaha!!  Are you unaware of the stats on how many people are barely making it paycheck to paycheck?,2018-01-16 12:34:55,0,0,0,0,0,0,0,0
1301442003295321_1303216299784558,431918433581020_1301442003295321,,"Does this include the stats for those who have nothing at all? This must have ended up in the wrong place. Six months would be close to $9,000 for the average senior on pension.",2018-01-18 12:18:43,0,0,0,0,0,0,0,0
1300895056683349_1300938030012385,431918433581020_1300895056683349,,"So I get a letter asking me to contact CRA, over 40 minutes later on hold I just had to hang-up.
Ridiculous comes to mind, no?",2018-01-15 20:29:29,0,0,0,0,0,0,0,0
1300895056683349_1301381409968047,431918433581020_1300895056683349,,"Online convenience, no phone call, no long wait, just log in and make your change is that correct Your Money Matters - Government of Canada ?",2018-01-16 10:12:18,0,0,0,0,0,0,0,0
1300680796704775_1300739973365524,431918433581020_1300680796704775,,Consumer savvy and money smart :),2018-01-15 13:27:03,0,0,0,0,0,0,0,0
1300515270054661_1300583420047846,431918433581020_1300515270054661,,Your #budget is the key to #personalfinance success :),2018-01-15 09:35:02,0,0,0,0,0,0,0,0
1300515270054661_1300792720026916,431918433581020_1300515270054661,,Just do what the government does. Borrow your way out of it and put the burden on future generations. What could go wrong,2018-01-15 15:09:43,1,0,0,0,1,0,0,0
1298234173616104_1298262713613250,431918433581020_1298234173616104,,Consumer savvy and money smart tip :),2018-01-12 12:36:43,0,0,0,0,0,0,0,0
1298234173616104_1298300506942804,431918433581020_1298234173616104,,What about Saskatchewan??,2018-01-12 13:41:05,1,1,0,0,0,0,0,0
1298234173616104_1298370893602432,431918433581020_1298234173616104,,Phyllis Vittrekwa,2018-01-12 15:53:54,0,0,0,0,0,0,0,0
1298234173616104_1298378056935049,431918433581020_1298234173616104,1298234173616104_1298370893602432,making some inquiries but think it might be only for reserves down south.,2018-01-12 16:03:33,0,0,0,0,0,0,0,0
1298234173616104_1299030606869794,431918433581020_1298234173616104,,Kirsten Bell in Ontario too ?,2018-01-13 11:45:31,0,0,0,0,0,0,0,0
1298234173616104_1299521546820700,431918433581020_1298234173616104,,"Don't be fooled. The only one looking out for their money is the government of Canada. Politics!!! This is what corrupts everything. To the food we eat to the jobs we work at to the way we are tough fake race wars and fake gender wars to keep us occupied fighting each other, meanwhile the mastermind behind it all is the most fraudulent and evil as they come. We are not taught why we are taxed every thing we try and own and the constant payment on things we already purchased and the reason wjybwe get taxed off our pay cheques but yet when I buy anything from the store I'm takes on that too. It's much more than this double tax. 
I'll be compiling the right evidence that proves this",2018-01-14 03:49:57,0,0,0,0,0,0,0,0
1298234173616104_1299521673487354,431918433581020_1298234173616104,,Posting ****,2018-01-14 03:50:09,0,0,0,0,0,0,0,0
1298234173616104_1300117563427765,431918433581020_1298234173616104,,Would you quit spamming my newsfeed? How about balance a budget so we can lower taxes and that in itself will grow the middle class when we are not being taxed to death by this government,2018-01-14 21:48:43,2,2,0,0,0,0,0,0
1297512283688293_1297748943664627,431918433581020_1297512283688293,,A great way to cut heating cost would be to eliminate the carbon tax,2018-01-11 19:27:08,0,0,0,0,0,0,0,0
1297512283688293_1298261386946716,431918433581020_1297512283688293,,We love the resource links for grants applicable to each province when you upgrade to energy efficiency :),2018-01-12 12:34:19,0,0,0,0,0,0,0,0
1296714313768090_1296961003743421,431918433581020_1296714313768090,,Are these the same tools that helped Canada get 648 billion dollars in debt?,2018-01-10 18:24:16,0,0,0,0,0,0,0,0
1296714313768090_1297000357072819,431918433581020_1296714313768090,1296714313768090_1296961003743421,No those were created by the cons and C-51 where we throw money at spies and get 0 results.,2018-01-10 19:51:07,1,1,0,0,0,0,0,0
1296714313768090_1297019700404218,431918433581020_1296714313768090,1296714313768090_1296961003743421,The Trudeau arent cons are they?,2018-01-10 20:33:18,0,0,0,0,0,0,0,0
1296714313768090_1297108727061982,431918433581020_1296714313768090,,"Wow, thanks so much G of C.",2018-01-10 23:43:16,0,0,0,0,0,0,0,0
1296018063837715_1296024033837118,431918433581020_1296018063837715,,I'm having problems with my excessively high phone bill in comparison to the rest of the world. Do you think the crtc could reduce regulations  or get out of the business of stiffeling private companies all together? That would really help me most. Thanks 😁,2018-01-09 16:56:54,0,0,0,0,0,0,0,0
1291949227577932_1296957207077134,431918433581020_1291949227577932,,E-tranfer??? Really?? There must be someone who proof reads these before they post them.,2018-01-10 18:15:30,0,0,0,0,0,0,0,0
1291949227577932_1298245366948318,431918433581020_1291949227577932,,"I got one of these texts from a number 999-999-9999 offering me $300, scary",2018-01-12 12:05:16,0,0,0,0,0,0,0,0
1291949227577932_1300154056757449,431918433581020_1291949227577932,,"Hello Loan Seekers, Do you need an urgent? If yes worry no more, For we offer all kinds of loan at a low and affordable interest rate. * Are you financially Squeezed? * Do you seek funds to pay off credits and debts * Do you seek finance to set up your own business? * Are you in need of private or business loans for various purposes? * Do you seek loans to carry out large projects/Real Estate * Do you seek funding for various other processes? LOAN APPLICATION INFORMATION FORM * Name: * Age: * State: * Country: * Phone Number: * Loan Amount Needed: * Loan Duration: Contact us now via Email: __________fidelityloanlenderservice@gmail.com",2018-01-14 23:02:44,0,0,0,0,0,0,0,0
1290911761015012_1291003371005851,431918433581020_1290911761015012,,"Hey GovT of Canada , you make waaaaay more income than me ..how bout you pay off your debt  at the end of every month  !!",2018-01-04 13:49:38,4,3,0,0,1,0,0,0
1290911761015012_1291018004337721,431918433581020_1290911761015012,1290911761015012_1291003371005851,"No kidding eh:) Lead by example, live within your (our means) in your hands. Billions being spent purportedly to spend our way out of 'fallow' times. Yet when the working class is in the hook for government spending (yep, we are), the note of concern, warning bells and 'tsk tsk' surfaces when those struggling to make ends meet raises its head. Talk about sheer hypocrisy. Do as we say; not as we do. Wonderful example. Sheer hypocrisy. And supreme arrogance to boot.",2018-01-04 14:14:05,0,0,0,0,0,0,0,0
1290911761015012_1291036687669186,431918433581020_1290911761015012,1290911761015012_1291003371005851,"HAHAHA, I would like to see the government do anything sensible. Politicians are too drunk with their own power and entitlement to the taxpayer's money to think about anyone else except themselves. And this covers all parties all over the world. If anyone I know becomes a politician,I would disown them !",2018-01-04 14:43:35,1,1,0,0,0,0,0,0
1290911761015012_1291030057669849,431918433581020_1290911761015012,,Coming from a government that is out of control with OUR money. Go to hell...!!!,2018-01-04 14:30:59,2,2,0,0,0,0,0,0
1290911761015012_1291114137661441,431918433581020_1290911761015012,,"Pay with what?
Temporary foreign replacement workers and cheap immigrants have taken all the jobs at reduced rates. Now losing house and car rates too low to live on. You have destroyed canada.",2018-01-04 16:35:36,2,1,1,0,0,0,0,0
1290911761015012_1291397147633140,431918433581020_1290911761015012,,"If money matters then why the hell cant the Feds pay employees  correctly   , on time , and not hoard the expense money you owe them?",2018-01-05 00:20:39,1,1,0,0,0,0,0,0
1290911761015012_1300154210090767,431918433581020_1290911761015012,,"Hello Loan Seekers, Do you need an urgent? If yes worry no more, For we offer all kinds of loan at a low and affordable interest rate. * Are you financially Squeezed? * Do you seek funds to pay off credits and debts * Do you seek finance to set up your own business? * Are you in need of private or business loans for various purposes? * Do you seek loans to carry out large projects/Real Estate * Do you seek funding for various other processes? LOAN APPLICATION INFORMATION FORM * Name: * Age: * State: * Country: * Phone Number: * Loan Amount Needed: * Loan Duration: Contact us now via Email: __________fidelityloanlenderservice@gmail.com",2018-01-14 23:03:01,0,0,0,0,0,0,0,0
1290050354434486_1290687201037468,431918433581020_1290050354434486,,I,2018-01-04 07:00:46,0,0,0,0,0,0,0,0
