status_id,status_message,link_name,status_type,status_link,status_published,num_reactions,num_comments,num_shares,num_likes,num_loves,num_wows,num_hahas,num_sads,num_angrys,num_special
9079455019_10155694586485020,Check out Clubs Days until January 19 in the AQ!,SFU Student Central,photo,https://www.facebook.com/SFUstudentcentral/photos/a.92333603718.84925.67308358718/10155394215403719/?type=3,2018-01-16 18:22:01,10,1,0,10,0,0,0,0,0,0
9079455019_10155694367555020,"The Honourable Hon. Melanie Mark, MLA for Vancouver-Mount Pleasant, Minister of Advanced Education, Skills, and Training visited SFU Surreyto announce new tech seats coming to SFU and other BC institutions. 

The funding will help to advance programming of the first phase of SFU’s Surrey campus expansion.",Support for tech seats to advance new SFU program in Sustainable Energy Engineering - SFU News - Simon Fraser University,link,https://www.sfu.ca/sfunews/stories/2018/01/support-for-tech-seats-to-advance-new-sfu-program-in-sustainable.html,2018-01-16 16:19:01,6,0,2,5,1,0,0,0,0,0
9079455019_10155693973640020,Trial Week is coming up! Check out classes for FREE at SFU Recreation January 22-26!,SFU Student Central,photo,https://www.facebook.com/SFUstudentcentral/photos/a.92333603718.84925.67308358718/10155392015898719/?type=3,2018-01-16 12:47:54,13,0,1,12,1,0,0,0,0,0
9079455019_10155692372190020,"Today the SFU Clan welcomes its new head football coach, Thomas Ford! 

Learn more about his experience both on and off the field. http://at.sfu.ca/uUZHmg",,photo,https://www.facebook.com/simonfraseruniversity/photos/a.214356970019.172898.9079455019/10155692368720020/?type=3,2018-01-15 19:15:00,60,0,1,57,2,0,1,0,0,0
9079455019_10155692270145020,Upcoming event you might want to attend.,Solo Social: An introvert friendly event (SFU Vancouver),event,https://www.facebook.com/events/944177265738710/,2018-01-15 18:05:43,8,1,0,8,0,0,0,0,0,0
9079455019_10155691759605020,SFU geography researcher Kirsten Zickfeld has some insights into the green sea turtle population in Australia’s Great Barrier Reef.,It's a girl! 99 per cent of this Australian turtle population is female,link,https://www.ctvnews.ca/sci-tech/it-s-a-girl-99-per-cent-of-this-australian-turtle-population-is-female-1.3759262,2018-01-15 15:55:00,18,0,0,17,1,0,0,0,0,0
9079455019_10155691618200020,"Motivation Monday. 

Hope you have a great week!",,photo,https://www.facebook.com/simonfraseruniversity/photos/a.214356970019.172898.9079455019/10155691617355020/?type=3,2018-01-15 13:59:13,70,0,18,63,7,0,0,0,0,0
9079455019_10155691334230020,"Sunset at the Burnaby campus.

Pic by: @c_sunny98",Simon Fraser University's cover photo,photo,https://www.facebook.com/simonfraseruniversity/photos/a.10150692980760020.447589.9079455019/10155691333475020/?type=3,2018-01-15 11:19:56,305,7,10,270,33,2,0,0,0,0
9079455019_10155684712855020,Be sure to check out these theft prevention tips from SFU Safety & Risk Services.,SFU Student Central,photo,https://www.facebook.com/SFUstudentcentral/photos/a.92333603718.84925.67308358718/10155385433458719/?type=3,2018-01-12 17:42:10,5,1,1,4,1,0,0,0,0,0
9079455019_10155684235525020,Congratulations to the recipients of SFU’s Staff Achievement Awards. The Awards highlight the exceptional work of SFU employees – and remind us how much we depend on the talents and commitments of our dedicated staff. http://ow.ly/gmYK30hKdOa,Timeline Photos,photo,https://www.facebook.com/simonfraseruniversity/photos/a.214356970019.172898.9079455019/10155684235525020/?type=3,2018-01-12 14:30:09,73,0,2,69,4,0,0,0,0,0
9079455019_10155683987360020,Here's how an Instagram joke led an SFU grad to create a night running movement in Toronto and L.A. http://ow.ly/cw7930hKayi,Timeline Photos,photo,https://www.facebook.com/simonfraseruniversity/photos/a.214356970019.172898.9079455019/10155683987360020/?type=3,2018-01-12 12:26:46,17,0,1,16,1,0,0,0,0,0
9079455019_10155682480055020,"Looking for tips to have a successful semester? 
 SFU Co-operative Education  has 6! Check 'em out: http://ht.ly/vMfx30hHt95",,status,,2018-01-11 19:05:06,7,0,0,6,1,0,0,0,0,0
9079455019_10155681995270020,"""At SFU, I wasn’t just assisting with someone else’s research, I was designing and working on my own experiments.”

Learn more about SFU’s Concurrent Student Program and the experience of 17-year-old William Shen.",Student finds attending high-school and SFU a perfect mix - Faculty of Science - Simon Fraser University,link,http://ht.ly/WGZO30hIxNR,2018-01-11 15:00:30,19,4,4,17,2,0,0,0,0,0
9079455019_10155681768815020,"Have you heard of Buddybuild? 

It's the creation of SFU Applied Sciences​ alumni Dennis Pilarinos and his company has just been acquired by Apple. http://at.sfu.ca/wGGHsj",,photo,https://www.facebook.com/simonfraseruniversity/photos/a.214356970019.172898.9079455019/10155681768560020/?type=3,2018-01-11 12:56:32,10,0,0,9,1,0,0,0,0,0
9079455019_10155679871095020,"Have you noticed the welcome figure installed at our Harbour Centre building last fall?

It was carved by Musqueam artist Brent Sparrow and is intended to honour and create a stronger awareness of the local Coast Salish territories on which SFU's Vancouver campus is located: the Squamish, Tsleil-Waututh, and Musqueam.",Welcome Pole at SFU's Vancouver Campus by Musqueam artist Brent Sparrow,video,https://www.facebook.com/simonfraseruniversity/videos/10155679871095020/,2018-01-10 16:02:44,4,0,0,4,0,0,0,0,0,0
9079455019_10155679649200020,"Join SFU's zero waste challenge! January's #nowasteSFU challenge is to reduce your use of plastic bags. From now until January 31st, keep a reusable bag with you at all times and try to keep track the number of plastic bags you save -- it's that easy! 

Join the challenge and don’t forget to share your progress with us! ♻️ https://www.facebook.com/groups/nowasteSFU/",Timeline Photos,photo,https://www.facebook.com/simonfraseruniversity/photos/a.214356970019.172898.9079455019/10155679649200020/?type=3,2018-01-10 13:54:42,14,0,0,12,2,0,0,0,0,0
9079455019_10155677525585020,Check out the Burnaby Campus at night! Photo taken by @rmx0629 on Instagram.,Timeline Photos,photo,https://www.facebook.com/simonfraseruniversity/photos/a.214356970019.172898.9079455019/10155677525585020/?type=3,2018-01-09 15:53:55,96,2,2,92,4,0,0,0,0,0
9079455019_10155677131170020,Don't miss this opportunity to see your idea come to life!,Coast Capital Savings Venture Connection,photo,https://www.facebook.com/SFUVC/photos/a.382912138213.162590.311610273213/10155309424033214/?type=3,2018-01-09 12:46:48,2,0,0,2,0,0,0,0,0,0
9079455019_10155675042585020,Get organized with the SFU app suite!,SFU Student Central,photo,https://www.facebook.com/SFUstudentcentral/photos/a.92333603718.84925.67308358718/10155374366623719/?type=3,2018-01-08 18:24:00,7,0,0,7,0,0,0,0,0,0
9079455019_10155674588355020,"It's the start of a new week here at SFU!

Photo credit: @alvand2 on IG.",Simon Fraser University's cover photo,photo,https://www.facebook.com/simonfraseruniversity/photos/a.10150692980760020.447589.9079455019/10155674587575020/?type=3,2018-01-08 13:59:48,92,1,1,84,8,0,0,0,0,0
9079455019_10155674321575020,"Exciting new SFU study challenges Einstein's cosmological constant; proposes that the density of dark energy is not constant, but is increasing over time.",,video,https://www.facebook.com/simonfraseruniversity/videos/10155674321575020/,2018-01-08 11:45:39,72,2,14,65,4,3,0,0,0,0
9079455019_10155667213310020,We hope everyone you're enjoying the first week of the new semester and year!,SFU Student Central,photo,https://www.facebook.com/SFUstudentcentral/photos/a.10155365668648719.1073741848.67308358718/10155365669018719/?type=3,2018-01-05 13:14:08,4,1,0,4,0,0,0,0,0,0
9079455019_10155664825995020,Now hiring! On-Campus Student Callers needed to help raise money for SFU. Starting at $12/hr + bonuses.,Now hiring!,link,http://ow.ly/Wa3u30hAew5,2018-01-04 18:45:00,34,7,7,31,3,0,0,0,0,0
9079455019_10155664917005020,Check out what's happening during Week of Welcome! www.sfu.ca/wow,SFU Student Central,photo,https://www.facebook.com/SFUstudentcentral/photos/a.10155365668648719.1073741848.67308358718/10155365669018719/?type=3,2018-01-04 15:33:00,11,0,0,10,1,0,0,0,0,0
9079455019_10155664717430020,What happened to Mars' ocean? An SFU-led study may hold the answers.,Mars’ surface water: we finally know what happened—SFU study - University Communications - Simon Fraser University,link,http://ow.ly/BHyb30hnrhu,2018-01-04 12:09:57,27,0,0,26,1,0,0,0,0,0
9079455019_10155662840960020,"Don't miss out on your chance to qualify for a $100,000 #STEM Schulich Leader Scholarship. Learn more at http://www.schulichleaders.com",Schulich Leader Scholarships: Creating the next generation of technology innovators,link,http://www.schulichleaders.com/,2018-01-03 16:04:33,6,0,3,4,2,0,0,0,0,0
9079455019_10155662431595020,"We hope everyone had a wonderful holiday break! As we begin an exciting new semester at SFU, there are lots of ways to get connected, involved and engaged. Read more in the president’s blog:",Wishing you a happy – and eventful – new year - President's Office - Simon Fraser University,link,http://www.sfu.ca/pres/petters-perspective/2018/happy-and-eventful-new-year-sfu.html,2018-01-03 13:03:49,56,2,1,53,2,1,0,0,0,0
9079455019_10155662281570020,"If today's your first day back to classes, welcome! 📚",,status,,2018-01-03 11:51:55,68,3,0,68,0,0,0,0,0,0
9079455019_10155660768780020,"Parents ask for random acts of kindness on January 3 in memory of their son, SFU student Aiden Serr. #ActsofKindness",Acts of kindness in memory of Aiden Serr - Maple Ridge News,link,https://www.mapleridgenews.com/news/acts-of-kindness-in-memory-of-aiden-serr/,2018-01-02 19:25:03,143,2,41,101,21,0,0,21,0,0
9079455019_10155660613890020,SFU engineer creates shoebox-sized 3D retinal scanner that can shed light on eye disease before vision loss occurs. http://ow.ly/tXSM30hno0y,,video,https://www.facebook.com/simonfraseruniversity/videos/10155660613890020/,2018-01-02 17:59:54,53,1,4,48,5,0,0,0,0,0
9079455019_10155660080215020,"Views from campus are still looking great in 2018!

PC: @m_bernd_r on IG.",Simon Fraser University's cover photo,photo,https://www.facebook.com/simonfraseruniversity/photos/a.10150692980760020.447589.9079455019/10155660079980020/?type=3,2018-01-02 14:09:35,192,0,4,176,13,3,0,0,0,0
9079455019_10155628170890020,"Starting Jan. 1, @TransLink is reducing overcrowding and wait times, expanding service hours, and increasing reliability on bus routes across the region. Is your bus on the list? translink.ca/servicechanges",Transit Service Changes,link,http://translink.ca/servicechanges,2018-01-02 12:11:00,30,0,1,28,1,0,0,0,1,0
