,comment_id,status_id,parent_id,comment_published,num_reactions,num_likes,num_loves,num_wows,num_hahas,num_sads,num_angrys,num_special,comment_message_cleaned,hashtags,urls
0,667462033642425_668225513566077,632493333805962_667462033642425,,2017-12-22 18:12:20,0,0,0,0,0,0,0,0,What did they talk about in the dirty thirties...did the scientists spread fear about weather change then...,[],[]
1,666382390417056_666509960404299,632493333805962_666382390417056,,2017-12-19 19:37:00,0,0,0,0,0,0,0,0,If you’re not building nuclear power plants you’re wasting resources. If we started construction on plant in Saskatchewan and in Alberta we could employ thousands of skilled trades people currently left unemployed by the oil down turn plus when the plants come on line we could reduce our carbon footprint by many tonnes. Time To Go Nuclear.,[],[]
2,663786990676596_664158603972768,632493333805962_664058260649469,,2017-12-15 12:45:49,1,1,0,0,0,0,0,0,"Energy efficiency is the lowest hanging fruit anyone can do for slowing climate change. I replaced every light bulb with LEDs two years ago. The light is better and as for cost savings, they have already paid for themselves. PLUS none of the bulbs has burned out yet!",[],[]
3,663786990676596_664187497303212,632493333805962_664058260649469,,2017-12-15 14:00:07,0,0,0,0,0,0,0,0,"when are you and the entire Liberal team announcing you are all going since plant-based diets would help reduce emissions by +%? if is truly a crucial issue, then put personal actions behind your endless 'announcements' and 'commitments'","['#vegan', '#ClimateAction']",[]
4,663786990676596_664087167313245,632493333805962_664058260649469,,2017-12-15 10:13:03,1,1,0,0,0,0,0,0,Looking forward to hearing about the Challenge Fund next year.,[],[]
5,663786990676596_664081900647105,632493333805962_664058260649469,,2017-12-15 10:04:15,0,0,0,0,0,0,0,0,Short version - we're going to spend your money to tell you how to save money so that you can pay your increasing energy bills.,[],[]
6,663786990676596_664079373980691,632493333805962_664058260649469,,2017-12-15 09:59:36,1,1,0,0,0,0,0,0,Encouraging energy efficiency is NOT a new initiative,[],[]
7,663786990676596_664155180639777,632493333805962_664058260649469,,2017-12-15 12:37:08,0,0,0,0,0,0,0,0,The Low Carbon Economy Challenge was supposed to be launched in ....,[],[]
8,663786990676596_664132733975355,632493333805962_664058260649469,,2017-12-15 11:38:35,0,0,0,0,0,0,0,0,So proud that Canada is integrating sustainability into the economy!,[],[]
9,663786990676596_664069423981686,632493333805962_664058260649469,,2017-12-15 09:48:31,0,0,0,0,0,0,0,0,Enough virtue signalling - get on with it,[],[]
10,663786990676596_664080430647252,632493333805962_664058260649469,,2017-12-15 10:01:40,0,0,0,0,0,0,0,0,Word salad,[],[]
11,663786990676596_664069340648361,632493333805962_664058260649469,,2017-12-15 09:48:24,0,0,0,0,0,0,0,0,Bravo Canadian Tire !,[],[]
12,663786990676596_664060887315873,632493333805962_664058260649469,,2017-12-15 09:35:09,0,0,0,0,0,0,0,0,Rien à entendre?,[],[]
13,663786990676596_664072703981358,632493333805962_664058260649469,,2017-12-15 09:52:26,0,0,0,0,0,0,0,0,Hi,[],[]
14,663786990676596_664070133981615,632493333805962_664058260649469,,2017-12-15 09:49:21,0,0,0,0,0,0,0,0,Pouvez-vous donner plus de volume à votre son svp?,[],[]
15,663786990676596_664111350644160,632493333805962_664058260649469,,2017-12-15 10:55:44,0,0,0,0,0,0,0,0,Can you help me,[],[]
16,663786990676596_664059573982671,632493333805962_664058260649469,,2017-12-15 09:32:34,0,0,0,0,0,0,0,0,hi Matt Horsman!,[],[]
17,663786990676596_664059897315972,632493333805962_664058260649469,,2017-12-15 09:33:14,1,1,0,0,0,0,0,0,Well hello Jesse Hitchcock! Fancy meeting you here...,[],[]
18,663818704006758_664188300636465,632493333805962_663818704006758,,2017-12-15 14:02:13,1,1,0,0,0,0,0,0,"when are you and the entire Liberal team announcing you are all going since plant-based diets would help reduce emissions by +%? if is truly a crucial issue, then put personal actions behind your endless 'announcements' and 'commitments'","['#vegan', '#ClimateAction']",[]
19,663206447401317_664188397303122,632493333805962_663206447401317,,2017-12-15 14:02:30,0,0,0,0,0,0,0,0,What is “renewable natural gas”?,[],[]
20,663206447401317_665409007181061,632493333805962_663206447401317,663206447401317_664188397303122,2017-12-17 19:17:06,0,0,0,0,0,0,0,0,Methane from waste.,[],[]
21,662218024166826_662502427471719,632493333805962_662218024166826,,2017-12-12 10:08:49,0,0,0,0,0,0,0,0,Exercise and Vitamin D Better Together for Heart Health [[SHARE]],[],['https://www.hopkinsmedicine.org/news/media/releases/exercise_and_vitamin_d_better_together_for_heart_health']
