token,tok_freq,tok_freq_perc,stemmer,stem_freq,stem_freq_perc
just,162,0.06988783433994823,just,163.0,0.07031924072476273
like,150,0.06471095772217429,use,159.0,0.06859361518550475
can,140,0.060396893874029335,like,156.0,0.06729939603106126
one,124,0.05349439171699741,get,151.0,0.06514236410698879
get,120,0.05176876617773943,can,143.0,0.06169111302847282
will,120,0.05176876617773943,farm,135.0,0.05823986194995686
people,120,0.05176876617773943,one,134.0,0.057808455565142365
food,119,0.05133735979292493,go,127.0,0.0547886108714409
know,116,0.05004314063848145,cow,126.0,0.054357204486626405
maple,109,0.04702329594477998,food,125.0,0.05392579810181191
cows,102,0.04400345125107852,peopl,122.0,0.05263157894736842
syrup,95,0.040983606557377046,eat,122.0,0.05263157894736842
canada,94,0.04055220017256255,will,121.0,0.05220017256255392
think,93,0.040120793787748056,know,119.0,0.05133735979292493
good,88,0.03796376186367558,year,116.0,0.05004314063848145
much,88,0.03796376186367558,make,115.0,0.04961173425366695
need,83,0.035806729939603106,mapl,112.0,0.04831751509922347
use,83,0.035806729939603106,farmer,112.0,0.04831751509922347
it,81,0.034943917169974116,crop,110.0,0.04745470232959448
eat,79,0.034081104400345126,need,105.0,0.045297670405522
also,77,0.033218291630716136,canada,100.0,0.04314063848144953
farmers,76,0.03278688524590164,think,100.0,0.04314063848144953
years,75,0.032355478861087146,syrup,97.0,0.04184641932700604
go,74,0.03192407247627265,good,94.0,0.04055220017256255
way,73,0.031492666091458156,anim,93.0,0.040120793787748056
organic,71,0.030629853321829163,it,90.0,0.03882657463330457
make,70,0.030198446937014668,much,88.0,0.03796376186367558
even,68,0.029335634167385678,agricultur,88.0,0.03796376186367558
science,68,0.029335634167385678,produc,86.0,0.03710094909404659
crops,67,0.028904227782571183,grow,84.0,0.0362381363244176
want,66,0.028472821397756688,plant,82.0,0.03537532355478861
animals,65,0.028041415012942193,organ,79.0,0.034081104400345126
better,65,0.028041415012942193,way,78.0,0.03364969801553063
many,64,0.027610008628127698,want,78.0,0.03364969801553063
feed,63,0.027178602243313203,also,77.0,0.033218291630716136
agriculture,63,0.027178602243313203,feed,76.0,0.03278688524590164
ron,62,0.026747195858498704,stop,71.0,0.030629853321829163
well,62,0.026747195858498704,scienc,71.0,0.030629853321829163
stop,61,0.02631578947368421,thing,71.0,0.030629853321829163
lot,60,0.025884383088869714,canadian,70.0,0.030198446937014668
photo,58,0.025021570319240724,even,69.0,0.029767040552200173
now,58,0.025021570319240724,gmo,68.0,0.029335634167385678
soil,57,0.02459016393442623,lot,68.0,0.029335634167385678
going,57,0.02459016393442623,better,66.0,0.028472821397756688
time,56,0.024158757549611734,time,65.0,0.028041415012942193
gmo,56,0.024158757549611734,research,64.0,0.027610008628127698
world,56,0.024158757549611734,mani,64.0,0.027610008628127698
meat,55,0.02372735116479724,look,63.0,0.027178602243313203
research,55,0.02372735116479724,soil,62.0,0.026747195858498704
farm,55,0.02372735116479724,well,62.0,0.026747195858498704
rein,55,0.02372735116479724,work,62.0,0.026747195858498704
canadian,54,0.023295944779982744,ron,62.0,0.026747195858498704
farming,54,0.023295944779982744,product,60.0,0.025884383088869714
us,53,0.02286453839516825,world,59.0,0.02545297670405522
love,52,0.022433132010353754,industri,59.0,0.02545297670405522
grow,51,0.02200172562553926,tri,59.0,0.02545297670405522
land,51,0.02200172562553926,photo,58.0,0.025021570319240724
crop,51,0.02200172562553926,meat,58.0,0.025021570319240724
right,51,0.02200172562553926,love,58.0,0.025021570319240724
brent,50,0.021570319240724764,say,58.0,0.025021570319240724
nan,49,0.02113891285591027,now,58.0,0.025021570319240724
used,49,0.02113891285591027,human,56.0,0.024158757549611734
lol,48,0.02070750647109577,post,55.0,0.02372735116479724
eating,47,0.020276100086281276,rein,55.0,0.02372735116479724
healthy,47,0.020276100086281276,right,54.0,0.023295944779982744
you,47,0.020276100086281276,come,53.0,0.02286453839516825
really,46,0.01984469370146678,us,53.0,0.02286453839516825
government,46,0.01984469370146678,land,53.0,0.02286453839516825
plant,46,0.01984469370146678,read,51.0,0.02200172562553926
first,45,0.019413287316652286,brent,50.0,0.021570319240724764
maybe,45,0.019413287316652286,call,50.0,0.021570319240724764
yes,44,0.01898188093183779,govern,49.0,0.02113891285591027
new,44,0.01898188093183779,that,49.0,0.02113891285591027
animal,44,0.01898188093183779,nan,49.0,0.02113891285591027
plants,44,0.01898188093183779,actual,48.0,0.02070750647109577
farmer,43,0.018550474547023296,lol,48.0,0.02070750647109577
see,43,0.018550474547023296,live,48.0,0.02070750647109577
still,43,0.018550474547023296,talk,47.0,0.020276100086281276
read,43,0.018550474547023296,healthi,47.0,0.020276100086281276
farms,42,0.0181190681622088,you,47.0,0.020276100086281276
best,42,0.0181190681622088,realli,46.0,0.01984469370146678
actually,42,0.0181190681622088,thank,46.0,0.01984469370146678
mark,42,0.0181190681622088,first,45.0,0.019413287316652286
anything,42,0.0181190681622088,mayb,45.0,0.019413287316652286
never,41,0.017687661777394306,see,45.0,0.019413287316652286
less,41,0.017687661777394306,new,44.0,0.01898188093183779
year,41,0.017687661777394306,yes,44.0,0.01898188093183779
thing,40,0.01725625539257981,still,43.0,0.018550474547023296
nothing,40,0.01725625539257981,take,43.0,0.018550474547023296
stumph,40,0.01725625539257981,keep,43.0,0.018550474547023296
back,40,0.01725625539257981,believ,43.0,0.018550474547023296
produce,40,0.01725625539257981,wonder,42.0,0.0181190681622088
said,39,0.016824849007765316,back,42.0,0.0181190681622088
