token,tok_freq,tok_freq_perc,stemmer,stem_freq,stem_freq_perc
agency,85,0.3159851301115242,canadian,89.0,0.3308550185873606
canadian,76,0.2825278810408922,agenc,88.0,0.3271375464684015
transportation,72,0.26765799256505574,passeng,85.0,0.3159851301115242
cta,69,0.25650557620817843,airlin,77.0,0.2862453531598513
passengers,59,0.21933085501858737,transport,75.0,0.2788104089219331
air,53,0.1970260223048327,cta,72.0,0.26765799256505574
airlines,52,0.19330855018587362,right,54.0,0.20074349442379183
can,45,0.16728624535315986,air,53.0,0.1970260223048327
rights,42,0.15613382899628253,can,45.0,0.16728624535315986
airline,39,0.1449814126394052,enforc,44.0,0.16356877323420074
passenger,32,0.11895910780669144,public,38.0,0.1412639405204461
public,32,0.11895910780669144,will,32.0,0.11895910780669144
will,30,0.11152416356877323,canada,31.0,0.11524163568773234
enforcement,30,0.11152416356877323,complaint,30.0,0.11152416356877323
canada,29,0.10780669144981413,inform,29.0,0.10780669144981413
information,25,0.09293680297397769,post,28.0,0.10408921933085502
complaints,23,0.08550185873605948,travel,27.0,0.10037174721189591
time,23,0.08550185873605948,fine,27.0,0.10037174721189591
share,22,0.08178438661710037,see,25.0,0.09293680297397769
see,22,0.08178438661710037,tariff,25.0,0.09293680297397769
actions,21,0.07806691449814127,time,25.0,0.09293680297397769
good,19,0.07063197026022305,regul,24.0,0.08921933085501858
please,19,0.07063197026022305,share,23.0,0.08550185873605948
regulations,17,0.06319702602230483,reason,23.0,0.08550185873605948
bill,17,0.06319702602230483,action,23.0,0.08550185873605948
post,17,0.06319702602230483,claim,22.0,0.08178438661710037
tariff,17,0.06319702602230483,issu,22.0,0.08178438661710037
recommend,17,0.06319702602230483,get,22.0,0.08178438661710037
us,16,0.05947955390334572,protect,21.0,0.07806691449814127
canadians,16,0.05947955390334572,pleas,21.0,0.07806691449814127
industry,16,0.05947955390334572,interest,21.0,0.07806691449814127
one,16,0.05947955390334572,good,20.0,0.07434944237918216
claims,16,0.05947955390334572,thank,20.0,0.07434944237918216
right,15,0.055762081784386616,delay,20.0,0.07434944237918216
away,15,0.055762081784386616,penalti,20.0,0.07434944237918216
like,15,0.055762081784386616,violat,20.0,0.07434944237918216
penalties,15,0.055762081784386616,respons,19.0,0.07063197026022305
well,15,0.055762081784386616,take,19.0,0.07063197026022305
small,15,0.055762081784386616,court,19.0,0.07063197026022305
get,15,0.055762081784386616,rule,19.0,0.07063197026022305
take,14,0.05204460966542751,comment,18.0,0.06691449814126393
media,14,0.05204460966542751,flight,18.0,0.06691449814126393
set,14,0.05204460966542751,know,18.0,0.06691449814126393
fine,14,0.05204460966542751,govern,18.0,0.06691449814126393
years,14,0.05204460966542751,year,17.0,0.06319702602230483
act,13,0.048327137546468404,one,17.0,0.06319702602230483
mandate,13,0.048327137546468404,recommend,17.0,0.06319702602230483
convention,13,0.048327137546468404,question,17.0,0.06319702602230483
government,13,0.048327137546468404,bill,17.0,0.06319702602230483
know,13,0.048327137546468404,like,16.0,0.05947955390334572
montreal,13,0.048327137546468404,industri,16.0,0.05947955390334572
rules,13,0.048327137546468404,us,16.0,0.05947955390334572
stay,13,0.048327137546468404,look,16.0,0.05947955390334572
number,13,0.048327137546468404,current,16.0,0.05947955390334572
urge,13,0.048327137546468404,away,15.0,0.055762081784386616
issues,12,0.04460966542750929,act,15.0,0.055762081784386616
protect,12,0.04460966542750929,mandat,15.0,0.055762081784386616
fines,12,0.04460966542750929,detail,15.0,0.055762081784386616
trust,12,0.04460966542750929,well,15.0,0.055762081784386616
nan,12,0.04460966542750929,provid,15.0,0.055762081784386616
reasons,12,0.04460966542750929,small,15.0,0.055762081784386616
made,12,0.04460966542750929,help,14.0,0.05204460966542751
monetary,12,0.04460966542750929,work,14.0,0.05204460966542751
law,12,0.04460966542750929,convent,14.0,0.05204460966542751
lack,12,0.04460966542750929,number,14.0,0.05204460966542751
details,12,0.04460966542750929,make,14.0,0.05204460966542751
thank,12,0.04460966542750929,case,14.0,0.05204460966542751
institutional,12,0.04460966542750929,media,14.0,0.05204460966542751
travel,11,0.040892193308550186,set,14.0,0.05204460966542751
page,11,0.040892193308550186,urg,13.0,0.048327137546468404
case,11,0.040892193308550186,seem,13.0,0.048327137546468404
past,11,0.040892193308550186,email,13.0,0.048327137546468404
flights,11,0.040892193308550186,law,13.0,0.048327137546468404
thanks,11,0.040892193308550186,individu,13.0,0.048327137546468404
lost,11,0.040892193308550186,imparti,13.0,0.048327137546468404
available,11,0.040892193308550186,say,13.0,0.048327137546468404
website,11,0.040892193308550186,lack,13.0,0.048327137546468404
may,11,0.040892193308550186,stay,13.0,0.048327137546468404
hi,11,0.040892193308550186,montreal,13.0,0.048327137546468404
email,11,0.040892193308550186,carrier,13.0,0.048327137546468404
taken,10,0.03717472118959108,concern,12.0,0.04460966542750929
baggage,10,0.03717472118959108,cancel,12.0,0.04460966542750929
facebook,10,0.03717472118959108,answer,12.0,0.04460966542750929
answer,10,0.03717472118959108,request,12.0,0.04460966542750929
respect,10,0.03717472118959108,receiv,12.0,0.04460966542750929
transat,10,0.03717472118959108,monetari,12.0,0.04460966542750929
delay,10,0.03717472118959108,need,12.0,0.04460966542750929
response,10,0.03717472118959108,trust,12.0,0.04460966542750929
charter,10,0.03717472118959108,institut,12.0,0.04460966542750929
tariffs,10,0.03717472118959108,made,12.0,0.04460966542750929
currently,10,0.03717472118959108,includ,12.0,0.04460966542750929
courts,10,0.03717472118959108,offic,12.0,0.04460966542750929
independence,10,0.03717472118959108,person,12.0,0.04460966542750929
bias,10,0.03717472118959108,appli,12.0,0.04460966542750929
look,10,0.03717472118959108,respect,12.0,0.04460966542750929
impartiality,10,0.03717472118959108,nan,12.0,0.04460966542750929
