token,tok_freq,tok_freq_perc,stemmer,stem_freq,stem_freq_perc
de,180,0.24725274725274726,de,180.0,0.24725274725274726
et,140,0.19230769230769232,et,140.0,0.19230769230769232
la,138,0.18956043956043955,la,138.0,0.18956043956043955
les,128,0.17582417582417584,les,128.0,0.17582417582417584
le,119,0.16346153846153846,le,119.0,0.16346153846153846
pour,107,0.14697802197802198,pour,107.0,0.14697802197802198
des,98,0.1346153846153846,des,98.0,0.1346153846153846
en,86,0.11813186813186813,en,86.0,0.11813186813186813
qui,77,0.10576923076923077,qui,77.0,0.10576923076923077
un,66,0.09065934065934066,un,67.0,0.09203296703296704
est,64,0.08791208791208792,est,65.0,0.08928571428571429
que,63,0.08653846153846154,que,63.0,0.08653846153846154
pas,62,0.08516483516483517,il,62.0,0.08516483516483517
dans,60,0.08241758241758242,pas,62.0,0.08516483516483517
canada,56,0.07692307692307693,dan,60.0,0.08241758241758242
il,54,0.07417582417582418,canada,57.0,0.0782967032967033
plus,52,0.07142857142857142,plus,52.0,0.07142857142857142
une,51,0.07005494505494506,une,51.0,0.07005494505494506
c'est,50,0.06868131868131869,c'est,50.0,0.06868131868131869
vous,48,0.06593406593406594,vous,48.0,0.06593406593406594
au,46,0.06318681318681318,tout,48.0,0.06593406593406594
a,45,0.061813186813186816,au,46.0,0.06318681318681318
je,45,0.061813186813186816,je,45.0,0.061813186813186816
ce,43,0.059065934065934064,a,45.0,0.061813186813186816
nous,42,0.057692307692307696,ce,43.0,0.059065934065934064
du,42,0.057692307692307696,nous,42.0,0.057692307692307696
faire,41,0.05631868131868132,du,42.0,0.057692307692307696
avec,39,0.05357142857142857,fair,41.0,0.05631868131868132
par,39,0.05357142857142857,par,39.0,0.05357142857142857
sur,38,0.0521978021978022,avec,39.0,0.05357142857142857
tout,38,0.0521978021978022,sur,38.0,0.0521978021978022
mais,37,0.050824175824175824,mai,37.0,0.050824175824175824
ne,35,0.04807692307692308,ne,35.0,0.04807692307692308
si,32,0.04395604395604396,merci,33.0,0.04532967032967033
merci,32,0.04395604395604396,fait,33.0,0.04532967032967033
notre,31,0.042582417582417584,si,32.0,0.04395604395604396
faut,31,0.042582417582417584,faut,32.0,0.04395604395604396
y,30,0.04120879120879121,notr,31.0,0.042582417582417584
se,30,0.04120879120879121,se,30.0,0.04120879120879121
photo,28,0.038461538461538464,y,30.0,0.04120879120879121
sont,28,0.038461538461538464,photo,29.0,0.03983516483516483
ou,27,0.03708791208791209,sont,28.0,0.038461538461538464
trs,25,0.034340659340659344,ou,27.0,0.03708791208791209
bien,24,0.03296703296703297,leur,27.0,0.03708791208791209
comme,24,0.03296703296703297,trs,25.0,0.034340659340659344
sticker,23,0.03159340659340659,pay,24.0,0.03296703296703297
nature,22,0.03021978021978022,comm,24.0,0.03296703296703297
nan,22,0.03021978021978022,bien,24.0,0.03296703296703297
fait,22,0.03021978021978022,sticker,23.0,0.03159340659340659
cette,21,0.028846153846153848,natur,22.0,0.03021978021978022
pays,21,0.028846153846153848,nan,22.0,0.03021978021978022
aussi,20,0.027472527472527472,cett,21.0,0.028846153846153848
nos,20,0.027472527472527472,aussi,20.0,0.027472527472527472
leur,19,0.0260989010989011,car,20.0,0.027472527472527472
car,19,0.0260989010989011,nos,20.0,0.027472527472527472
animaux,18,0.024725274725274724,terr,20.0,0.027472527472527472
l'environnement,18,0.024725274725274724,animaux,18.0,0.024725274725274724
suis,18,0.024725274725274724,ont,18.0,0.024725274725274724
ont,18,0.024725274725274724,sui,18.0,0.024725274725274724
monde,17,0.023351648351648352,qu'il,18.0,0.024725274725274724
votre,16,0.02197802197802198,l'environn,18.0,0.024725274725274724
ces,16,0.02197802197802198,mond,17.0,0.023351648351648352
beaucoup,15,0.020604395604395604,plant,17.0,0.023351648351648352
tre,15,0.020604395604395604,votr,16.0,0.02197802197802198
moi,15,0.020604395604395604,ces,16.0,0.02197802197802198
qu'il,15,0.020604395604395604,solut,16.0,0.02197802197802198
qubec,15,0.020604395604395604,moi,16.0,0.02197802197802198
ptrole,15,0.020604395604395604,grand,15.0,0.020604395604395604
