token,tok_freq,tok_freq_perc,stemmer,stem_freq,stem_freq_perc
fish,132,0.15295480880648898,fish,156.0,0.18076477404403243
will,71,0.08227114716106605,right,88.0,0.10196987253765932
people,70,0.08111239860950174,will,75.0,0.08690614136732329
can,61,0.07068366164542295,peopl,74.0,0.08574739281575898
dfo,58,0.06720741599073002,can,61.0,0.07068366164542295
right,56,0.06488991888760139,fisheri,60.0,0.06952491309385864
one,52,0.06025492468134415,one,59.0,0.06836616454229433
like,47,0.054461181923522596,dfo,58.0,0.06720741599073002
get,47,0.054461181923522596,year,57.0,0.0660486674391657
food,46,0.05330243337195829,go,57.0,0.0660486674391657
just,43,0.04982618771726535,get,55.0,0.06373117033603708
fishing,43,0.04982618771726535,like,51.0,0.05909617612977984
years,41,0.047508690614136734,nativ,50.0,0.05793742757821553
rights,39,0.04519119351100811,sell,48.0,0.055619930475086905
canada,39,0.04519119351100811,food,48.0,0.055619930475086905
know,39,0.04519119351100811,time,45.0,0.05214368482039398
think,38,0.0440324449594438,need,45.0,0.05214368482039398
time,37,0.04287369640787949,know,43.0,0.04982618771726535
native,35,0.04055619930475087,take,43.0,0.04982618771726535
good,35,0.04055619930475087,just,43.0,0.04982618771726535
take,34,0.039397450753186555,canada,42.0,0.04866743916570104
fisheries,34,0.039397450753186555,think,40.0,0.046349942062572425
sell,33,0.038238702201622246,thank,39.0,0.04519119351100811
go,33,0.038238702201622246,work,38.0,0.0440324449594438
many,33,0.038238702201622246,make,38.0,0.0440324449594438
it,32,0.03707995365005794,see,37.0,0.04287369640787949
now,32,0.03707995365005794,it,37.0,0.04287369640787949
us,32,0.03707995365005794,good,37.0,0.04287369640787949
government,31,0.03592120509849363,court,36.0,0.04171494785631518
salmon,31,0.03592120509849363,govern,35.0,0.04055619930475087
well,31,0.03592120509849363,water,33.0,0.038238702201622246
court,30,0.03476245654692932,mani,33.0,0.038238702201622246
commercial,29,0.03360370799536501,want,32.0,0.03707995365005794
lol,29,0.03360370799536501,us,32.0,0.03707995365005794
fishery,29,0.03360370799536501,now,32.0,0.03707995365005794
see,29,0.03360370799536501,ocean,32.0,0.03707995365005794
going,28,0.03244495944380069,look,32.0,0.03707995365005794
species,28,0.03244495944380069,law,31.0,0.03592120509849363
need,27,0.031286210892236384,salmon,31.0,0.03592120509849363
work,27,0.031286210892236384,well,31.0,0.03592120509849363
nan,26,0.030127462340672075,commerci,29.0,0.03360370799536501
first,26,0.030127462340672075,way,29.0,0.03360370799536501
aboriginal,26,0.030127462340672075,lol,29.0,0.03360370799536501
thank,25,0.028968713789107765,aborigin,29.0,0.03360370799536501
never,25,0.028968713789107765,river,28.0,0.03244495944380069
river,25,0.028968713789107765,speci,28.0,0.03244495944380069
want,25,0.028968713789107765,land,26.0,0.030127462340672075
year,24,0.027809965237543453,catch,26.0,0.030127462340672075
way,24,0.027809965237543453,first,26.0,0.030127462340672075
water,24,0.027809965237543453,come,26.0,0.030127462340672075
great,24,0.027809965237543453,nan,26.0,0.030127462340672075
land,24,0.027809965237543453,nation,26.0,0.030127462340672075
catch,22,0.02549246813441483,licens,25.0,0.028968713789107765
back,22,0.02549246813441483,never,25.0,0.028968713789107765
supreme,22,0.02549246813441483,equal,25.0,0.028968713789107765
nothing,22,0.02549246813441483,great,24.0,0.027809965237543453
also,21,0.02433371958285052,day,24.0,0.027809965237543453
life,21,0.02433371958285052,live,24.0,0.027809965237543453
canadian,21,0.02433371958285052,rule,23.0,0.026651216685979143
make,21,0.02433371958285052,canadian,23.0,0.026651216685979143
look,20,0.023174971031286212,use,23.0,0.026651216685979143
even,20,0.023174971031286212,tri,22.0,0.02549246813441483
really,20,0.023174971031286212,boat,22.0,0.02549246813441483
day,20,0.023174971031286212,treati,22.0,0.02549246813441483
oceans,20,0.023174971031286212,suprem,22.0,0.02549246813441483
money,20,0.023174971031286212,noth,22.0,0.02549246813441483
caught,20,0.023174971031286212,back,22.0,0.02549246813441483
lobster,19,0.0220162224797219,also,21.0,0.02433371958285052
natives,19,0.0220162224797219,even,21.0,0.02433371958285052
selling,19,0.0220162224797219,protect,21.0,0.02433371958285052
nations,18,0.02085747392815759,give,21.0,0.02433371958285052
said,18,0.02085747392815759,life,21.0,0.02433371958285052
laws,18,0.02085747392815759,money,20.0,0.023174971031286212
decision,18,0.02085747392815759,lot,20.0,0.023174971031286212
conservation,17,0.019698725376593278,net,20.0,0.023174971031286212
keep,17,0.019698725376593278,realli,20.0,0.023174971031286212
done,17,0.019698725376593278,caught,20.0,0.023174971031286212
every,17,0.019698725376593278,mean,20.0,0.023174971031286212
still,17,0.019698725376593278,buy,19.0,0.0220162224797219
something,17,0.019698725376593278,thing,19.0,0.0220162224797219
you,17,0.019698725376593278,farm,19.0,0.0220162224797219
lot,16,0.01853997682502897,keep,19.0,0.0220162224797219
much,16,0.01853997682502897,decis,19.0,0.0220162224797219
dont,16,0.01853997682502897,lobster,19.0,0.0220162224797219
boats,16,0.01853997682502897,said,18.0,0.02085747392815759
yes,16,0.01853997682502897,resourc,18.0,0.02085747392815759
u,16,0.01853997682502897,conserv,18.0,0.02085747392815759
license,16,0.01853997682502897,interest,17.0,0.019698725376593278
law,15,0.01738122827346466,call,17.0,0.019698725376593278
coast,15,0.01738122827346466,done,17.0,0.019698725376593278
live,15,0.01738122827346466,person,17.0,0.019698725376593278
ya,15,0.01738122827346466,share,17.0,0.019698725376593278
treaty,15,0.01738122827346466,someth,17.0,0.019698725376593278
give,15,0.01738122827346466,you,17.0,0.019698725376593278
enough,15,0.01738122827346466,area,17.0,0.019698725376593278
sure,14,0.016222479721900347,issu,17.0,0.019698725376593278
eat,14,0.016222479721900347,still,17.0,0.019698725376593278
better,14,0.016222479721900347,everi,17.0,0.019698725376593278
put,14,0.016222479721900347,regul,16.0,0.01853997682502897
made,14,0.016222479721900347,differ,16.0,0.01853997682502897
two,14,0.016222479721900347,hunt,16.0,0.01853997682502897
everyone,14,0.016222479721900347,yes,16.0,0.01853997682502897
use,14,0.016222479721900347,dont,16.0,0.01853997682502897
buy,14,0.016222479721900347,say,16.0,0.01853997682502897
thanks,14,0.016222479721900347,u,16.0,0.01853997682502897
licenses,13,0.015063731170336037,much,16.0,0.01853997682502897
anything,13,0.015063731170336037,allow,16.0,0.01853997682502897
away,13,0.015063731170336037,put,16.0,0.01853997682502897
marine,13,0.015063731170336037,ya,15.0,0.01738122827346466
hi,13,0.015063731170336037,better,15.0,0.01738122827346466
read,13,0.015063731170336037,chang,15.0,0.01738122827346466
around,13,0.015063731170336037,that,15.0,0.01738122827346466
here,13,0.015063731170336037,post,15.0,0.01738122827346466
non,13,0.015063731170336037,sure,15.0,0.01738122827346466
wrong,13,0.015063731170336037,love,15.0,0.01738122827346466
atlantic,13,0.015063731170336037,enough,15.0,0.01738122827346466
called,12,0.013904982618771726,coast,15.0,0.01738122827346466
needs,12,0.013904982618771726,everyon,15.0,0.01738122827346466
different,12,0.013904982618771726,harvest,15.0,0.01738122827346466
deal,12,0.013904982618771726,here,15.0,0.01738122827346466
stop,12,0.013904982618771726,eat,15.0,0.01738122827346466
ocean,12,0.013904982618771726,tax,14.0,0.016222479721900347
mean,12,0.013904982618771726,wrong,14.0,0.016222479721900347
