token,tok_freq,tok_freq_perc,stemmer,stem_freq,stem_freq_perc
will,10,0.07692307692307693,will,11.0,0.08461538461538462
way,8,0.06153846153846154,look,10.0,0.07692307692307693
look,7,0.05384615384615385,way,8.0,0.06153846153846154
citizens,7,0.05384615384615385,citizen,7.0,0.05384615384615385
torcher,6,0.046153846153846156,whi,6.0,0.046153846153846156
cops,6,0.046153846153846156,torcher,6.0,0.046153846153846156
good,6,0.046153846153846156,good,6.0,0.046153846153846156
why,6,0.046153846153846156,cop,6.0,0.046153846153846156
north,5,0.038461538461538464,communiti,5.0,0.038461538461538464
great,5,0.038461538461538464,food,5.0,0.038461538461538464
communities,5,0.038461538461538464,north,5.0,0.038461538461538464
get,4,0.03076923076923077,great,5.0,0.038461538461538464
please,4,0.03076923076923077,share,5.0,0.038461538461538464
see,4,0.03076923076923077,nutrit,5.0,0.038461538461538464
nutrition,4,0.03076923076923077,live,4.0,0.03076923076923077
sessions,4,0.03076923076923077,peopl,4.0,0.03076923076923077
people,4,0.03076923076923077,pleas,4.0,0.03076923076923077
thank,3,0.023076923076923078,thank,4.0,0.03076923076923077
share,3,0.023076923076923078,see,4.0,0.03076923076923077
email,3,0.023076923076923078,session,4.0,0.03076923076923077
can,3,0.023076923076923078,get,4.0,0.03076923076923077
job,3,0.023076923076923078,job,3.0,0.023076923076923078
hi,3,0.023076923076923078,hi,3.0,0.023076923076923078
happy,3,0.023076923076923078,like,3.0,0.023076923076923078
like,3,0.023076923076923078,survey,3.0,0.023076923076923078
survey,3,0.023076923076923078,now,3.0,0.023076923076923078
food,3,0.023076923076923078,say,3.0,0.023076923076923078
send,3,0.023076923076923078,just,3.0,0.023076923076923078
canada,3,0.023076923076923078,canada,3.0,0.023076923076923078
just,3,0.023076923076923078,beauti,3.0,0.023076923076923078
now,3,0.023076923076923078,need,3.0,0.023076923076923078
looking,3,0.023076923076923078,can,3.0,0.023076923076923078
two,2,0.015384615384615385,thought,3.0,0.023076923076923078
three,2,0.015384615384615385,send,3.0,0.023076923076923078
yukon,2,0.015384615384615385,email,3.0,0.023076923076923078
living,2,0.015384615384615385,happi,3.0,0.023076923076923078
lol,2,0.015384615384615385,day,3.0,0.023076923076923078
door,2,0.015384615384615385,exchang,2.0,0.015384615384615385
sharing,2,0.015384615384615385,educ,2.0,0.015384615384615385
due,2,0.015384615384615385,this,2.0,0.015384615384615385
arctic,2,0.015384615384615385,next,2.0,0.015384615384615385
office,2,0.015384615384615385,high,2.0,0.015384615384615385
nutritionnorthaandcgcca,2,0.015384615384615385,due,2.0,0.015384615384615385
next,2,0.015384615384615385,nnc,2.0,0.015384615384615385
kind,2,0.015384615384615385,eat,2.0,0.015384615384615385
there,2,0.015384615384615385,long,2.0,0.015384615384615385
ben,2,0.015384615384615385,interest,2.0,0.015384615384615385
planned,2,0.015384615384615385,use,2.0,0.015384615384615385
et,2,0.015384615384615385,much,2.0,0.015384615384615385
claim,2,0.015384615384615385,claudia,2.0,0.015384615384615385
project,2,0.015384615384615385,three,2.0,0.015384615384615385
merci,2,0.015384615384615385,yukon,2.0,0.015384615384615385
day,2,0.015384615384615385,afford,2.0,0.015384615384615385
en,2,0.015384615384615385,door,2.0,0.015384615384615385
part,2,0.015384615384615385,still,2.0,0.015384615384615385
much,2,0.015384615384615385,benefit,2.0,0.015384615384615385
happening,2,0.015384615384615385,claim,2.0,0.015384615384615385
needed,2,0.015384615384615385,scientist,2.0,0.015384615384615385
iqaluit,2,0.015384615384615385,improv,2.0,0.015384615384615385
government,2,0.015384615384615385,mean,2.0,0.015384615384615385
que,2,0.015384615384615385,en,2.0,0.015384615384615385
years,2,0.015384615384615385,nation,2.0,0.015384615384615385
sticker,2,0.015384615384615385,arctic,2.0,0.015384615384615385
youmccord,2,0.015384615384615385,idea,2.0,0.015384615384615385
pas,2,0.015384615384615385,nutritionnorthaandcgcca,2.0,0.015384615384615385
pay,2,0.015384615384615385,languag,2.0,0.015384615384615385
still,2,0.015384615384615385,offic,2.0,0.015384615384615385
prices,2,0.015384615384615385,opportun,2.0,0.015384615384615385
foods,2,0.015384615384615385,la,2.0,0.015384615384615385
mais,2,0.015384615384615385,group,2.0,0.015384615384615385
high,2,0.015384615384615385,et,2.0,0.015384615384615385
future,2,0.015384615384615385,happen,2.0,0.015384615384615385
la,2,0.015384615384615385,fill,2.0,0.015384615384615385
space,2,0.015384615384615385,servic,2.0,0.015384615384615385
long,2,0.015384615384615385,take,2.0,0.015384615384615385
figure,2,0.015384615384615385,help,2.0,0.015384615384615385
nnc,2,0.015384615384615385,space,2.0,0.015384615384615385
beautiful,2,0.015384615384615385,iqaluit,2.0,0.015384615384615385
opportunity,2,0.015384615384615385,big,2.0,0.015384615384615385
engagement,2,0.015384615384615385,pay,2.0,0.015384615384615385
this,2,0.015384615384615385,mai,2.0,0.015384615384615385
big,2,0.015384615384615385,pas,2.0,0.015384615384615385
thoughts,2,0.015384615384615385,there,2.0,0.015384615384615385
northern,2,0.015384615384615385,manag,2.0,0.015384615384615385
groups,2,0.015384615384615385,sticker,2.0,0.015384615384615385
languages,2,0.015384615384615385,engag,2.0,0.015384615384615385
exchange,2,0.015384615384615385,que,2.0,0.015384615384615385
also,2,0.015384615384615385,youmccord,2.0,0.015384615384615385
affordable,2,0.015384615384615385,part,2.0,0.015384615384615385
program,2,0.015384615384615385,two,2.0,0.015384615384615385
new,2,0.015384615384615385,kid,2.0,0.015384615384615385
scientists,2,0.015384615384615385,lol,2.0,0.015384615384615385
knowledge,2,0.015384615384615385,program,2.0,0.015384615384615385
me,2,0.015384615384615385,char,2.0,0.015384615384615385
even,2,0.015384615384615385,knowledg,2.0,0.015384615384615385
sure,2,0.015384615384615385,me,2.0,0.015384615384615385
char,2,0.015384615384615385,even,2.0,0.015384615384615385
youth,2,0.015384615384615385,govern,2.0,0.015384615384615385
tlicho,2,0.015384615384615385,new,2.0,0.015384615384615385
claudia,2,0.015384615384615385,plan,2.0,0.015384615384615385
eat,2,0.015384615384615385,youth,2.0,0.015384615384615385
p,2,0.015384615384615385,tri,2.0,0.015384615384615385
kids,2,0.015384615384615385,price,2.0,0.015384615384615385
inuit,2,0.015384615384615385,also,2.0,0.015384615384615385
time,2,0.015384615384615385,build,2.0,0.015384615384615385
de,2,0.015384615384615385,figur,2.0,0.015384615384615385
bad,1,0.007692307692307693,year,2.0,0.015384615384615385
director,1,0.007692307692307693,p,2.0,0.015384615384615385
charline,1,0.007692307692307693,sure,2.0,0.015384615384615385
roberge,1,0.007692307692307693,tlicho,2.0,0.015384615384615385
bbraun,1,0.007692307692307693,futur,2.0,0.015384615384615385
reference,1,0.007692307692307693,provid,2.0,0.015384615384615385
000,1,0.007692307692307693,time,2.0,0.015384615384615385
branding,1,0.007692307692307693,de,2.0,0.015384615384615385
national,1,0.007692307692307693,merci,2.0,0.015384615384615385
skype,1,0.007692307692307693,northern,2.0,0.015384615384615385
hawthorn,1,0.007692307692307693,inuit,2.0,0.015384615384615385
college,1,0.007692307692307693,ben,2.0,0.015384615384615385
confirmed,1,0.007692307692307693,project,2.0,0.015384615384615385
cant,1,0.007692307692307693,kind,2.0,0.015384615384615385
investigates,1,0.007692307692307693,statist,1.0,0.007692307692307693
middle,1,0.007692307692307693,member,1.0,0.007692307692307693
helped,1,0.007692307692307693,sail,1.0,0.007692307692307693
vn,1,0.007692307692307693,funni,1.0,0.007692307692307693
devices,1,0.007692307692307693,medic,1.0,0.007692307692307693
student,1,0.007692307692307693,eensiv,1.0,0.007692307692307693
mucklow,1,0.007692307692307693,rais,1.0,0.007692307692307693
maryclaire,1,0.007692307692307693,make,1.0,0.007692307692307693
almost,1,0.007692307692307693,watch,1.0,0.007692307692307693
funny,1,0.007692307692307693,keisha,1.0,0.007692307692307693
possible,1,0.007692307692307693,student,1.0,0.007692307692307693
ethical,1,0.007692307692307693,various,1.0,0.007692307692307693
bonus,1,0.007692307692307693,northwest,1.0,0.007692307692307693
