token,tok_freq,tok_freq_perc,stemmer,stem_freq,stem_freq_perc
en,2,0.4,en,2.0,0.4
une,2,0.4,des,2.0,0.4
des,2,0.4,vous,2.0,0.4
pour,2,0.4,de,2.0,0.4
pas,2,0.4,pas,2.0,0.4
vous,2,0.4,une,2.0,0.4
de,2,0.4,pour,2.0,0.4
temps,1,0.2,bonjour,1.0,0.2
du,1,0.2,je,1.0,0.2
les,1,0.2,date,1.0,0.2
que,1,0.2,l'offic,1.0,0.2
merci,1,0.2,autr,1.0,0.2
signaler,1,0.2,puiss,1.0,0.2
chiler,1,0.2,dbarquer,1.0,0.2
auprs,1,0.2,les,1.0,0.2
l'office,1,0.2,n'aurai,1.0,0.2
dbarquer,1,0.2,chiler,1.0,0.2
dposer,1,0.2,tenter,1.0,0.2
johanne,1,0.2,du,1.0,0.2
lignes,1,0.2,aupr,1.0,0.2
votre,1,0.2,dposer,1.0,0.2
cellesci,1,0.2,merci,1.0,0.2
problme,1,0.2,chose,1.0,0.2
bagage,1,0.2,pascal,1.0,0.2
documentation,1,0.2,temp,1.0,0.2
pose,1,0.2,signal,1.0,0.2
avant,1,0.2,avant,1.0,0.2
thriault,1,0.2,gnral,1.0,0.2
ncessaire,1,0.2,si,1.0,0.2
gnral,1,0.2,tout,1.0,0.2
plainte,1,0.2,contr,1.0,0.2
tout,1,0.2,que,1.0,0.2
scurit,1,0.2,toujour,1.0,0.2
tant,1,0.2,cellesci,1.0,0.2
transports,1,0.2,grand,1.0,0.2
n'y,1,0.2,combien,1.0,0.2
plaintes,1,0.2,pose,1.0,0.2
chose,1,0.2,arienn,1.0,0.2
tenter,1,0.2,rsoudr,1.0,0.2
il,1,0.2,bagag,1.0,0.2
ariennes,1,0.2,l'avion,1.0,0.2
ont,1,0.2,lign,1.0,0.2
bonjour,1,0.2,votr,1.0,0.2
et,1,0.2,johann,1.0,0.2
je,1,0.2,il,1.0,0.2
d'une,1,0.2,d'une,1.0,0.2
puisse,1,0.2,et,1.0,0.2
arienne,1,0.2,tant,1.0,0.2
pascal,1,0.2,vari,1.0,0.2
date,1,0.2,ont,1.0,0.2
autre,1,0.2,canada,1.0,0.2
toujours,1,0.2,par,1.0,0.2
msaventure,1,0.2,la,1.0,0.2
office,1,0.2,msaventur,1.0,0.2
canada,1,0.2,devriez,1.0,0.2
limite,1,0.2,avec,1.0,0.2
par,1,0.2,scurit,1.0,0.2
la,1,0.2,avez,1.0,0.2
devriez,1,0.2,offic,1.0,0.2
avec,1,0.2,transport,1.0,0.2
rsoudre,1,0.2,plaint,1.0,0.2
si,1,0.2,n'i,1.0,0.2
avez,1,0.2,peuvent,1.0,0.2
contre,1,0.2,limit,1.0,0.2
grand,1,0.2,document,1.0,0.2
peuvent,1,0.2,ncessair,1.0,0.2
n'aurai,1,0.2,thriault,1.0,0.2
l'avion,1,0.2,problm,1.0,0.2
ligne,1,0.2,se,1.0,0.2
varis,1,0.2,,,
combien,1,0.2,,,
se,1,0.2,,,
