token,tok_freq,tok_freq_perc,stemmer,stem_freq,stem_freq_perc
pas,109,0.06370543541788427,pas,109.0,0.06370543541788427
de,105,0.061367621274108705,de,105.0,0.061367621274108705
le,85,0.049678550555230856,ford,86.0,0.05026300409117475
ford,83,0.04850964348334307,le,85.0,0.049678550555230856
a,78,0.04558737580362361,a,78.0,0.04558737580362361
un,76,0.04441846873173583,un,76.0,0.04441846873173583
sa,59,0.034482758620689655,sa,59.0,0.034482758620689655
la,58,0.03389830508474576,la,58.0,0.03389830508474576
merci,57,0.03331385154880187,merci,57.0,0.03331385154880187
ca,49,0.02863822326125073,port,50.0,0.029222676797194622
tu,49,0.02863822326125073,lol,49.0,0.02863822326125073
lol,49,0.02863822326125073,tu,49.0,0.02863822326125073
que,48,0.028053769725306838,ca,49.0,0.02863822326125073
en,48,0.028053769725306838,que,48.0,0.028053769725306838
je,45,0.026300409117475162,en,48.0,0.028053769725306838
pour,45,0.026300409117475162,pour,45.0,0.026300409117475162
nan,39,0.022793687901811806,je,45.0,0.026300409117475162
cest,39,0.022793687901811806,nan,39.0,0.022793687901811806
les,38,0.022209234365867914,cest,39.0,0.022793687901811806
qui,36,0.02104032729398013,les,38.0,0.022209234365867914
c'est,36,0.02104032729398013,qui,36.0,0.02104032729398013
c,33,0.01928696668614845,c'est,36.0,0.02104032729398013
porte,33,0.01928696668614845,rappel,33.0,0.01928696668614845
sur,32,0.018702513150204558,c,33.0,0.01928696668614845
oui,31,0.018118059614260665,sur,32.0,0.018702513150204558
haha,29,0.01694915254237288,oui,31.0,0.018118059614260665
va,28,0.01636469900642899,haha,29.0,0.01694915254237288
ton,28,0.01636469900642899,et,28.0,0.01636469900642899
rappel,27,0.015780245470485097,va,28.0,0.01636469900642899
et,27,0.015780245470485097,ton,28.0,0.01636469900642899
david,26,0.015195791934541203,david,26.0,0.015195791934541203
jai,26,0.015195791934541203,jai,26.0,0.015195791934541203
une,25,0.014611338398597311,truck,25.0,0.014611338398597311
mais,24,0.014026884862653419,une,25.0,0.014611338398597311
photo,24,0.014026884862653419,mai,24.0,0.014026884862653419
truck,24,0.014026884862653419,photo,24.0,0.014026884862653419
faire,23,0.013442431326709527,moi,23.0,0.013442431326709527
moi,22,0.012857977790765635,fair,23.0,0.013442431326709527
est,21,0.012273524254821741,fait,23.0,0.013442431326709527
maxime,21,0.012273524254821741,maxim,22.0,0.012857977790765635
au,21,0.012273524254821741,il,22.0,0.012857977790765635
des,21,0.012273524254821741,tout,21.0,0.012273524254821741
mon,21,0.012273524254821741,au,21.0,0.012273524254821741
j'ai,21,0.012273524254821741,j'ai,21.0,0.012273524254821741
ma,21,0.012273524254821741,mon,21.0,0.012273524254821741
plus,21,0.012273524254821741,est,21.0,0.012273524254821741
si,20,0.011689070718877849,ma,21.0,0.012273524254821741
nicolas,20,0.011689070718877849,des,21.0,0.012273524254821741
tremblay,19,0.011104617182933957,plus,21.0,0.012273524254821741
guillaume,19,0.011104617182933957,martin,20.0,0.011689070718877849
martin,19,0.011104617182933957,si,20.0,0.011689070718877849
tre,19,0.011104617182933957,nicola,20.0,0.011689070718877849
