,status_id,link_name,status_type,status_link,status_published,num_reactions,num_comments,num_shares,num_likes,num_loves,num_wows,num_hahas,num_sads,num_angrys,num_special,status_message_cleaned,hashtags,urls
0,1203325126385126_1712503108800656,Facilitation process,video,http://ow.ly/LhW0300khbn,2017-12-30 15:00:32,0,0,0,0,0,0,0,0,0,0,– Airline lost your baggage? Find out more here >,['#VacationWoes'],['http://ow.ly/LhW0300khbn']
1,1203325126385126_1711263975591236,Timeline Photos,photo,https://www.facebook.com/CanadianTransportationAgency/photos/a.1217102575007381.1073741828.1203325126385126/1711263975591236/?type=3,2017-12-29 10:00:15,2,1,0,2,0,0,0,0,0,0,"> Call Ahead From carrying sports equipment and musical instruments, to dietary restrictions, medical conditions and disability-related needs, most carriers require from to hours notice to accommodate special requests. > Top Tips >","['#TravelTips', '#FlySmart']",['http://ow.ly/uy2l3061cit']
2,1203325126385126_1710505415667092,"Accessibility for All, Module 6: Mobility Assistance",video,http://ow.ly/zoK8307veIF,2017-12-28 14:00:19,1,1,0,1,0,0,0,0,0,0,"It is a carrier's responsibility to provide a temporary replacement for a lost or damaged mobility aid, until the traveller's own aid becomes available. To find out how to provide mobility assistance, visit:",[],['http://ow.ly/zoK8307veIF']
3,1203325126385126_1709498662434434,Timeline Photos,photo,https://www.facebook.com/CanadianTransportationAgency/photos/a.1217102575007381.1073741828.1203325126385126/1709498662434434/?type=3,2017-12-27 12:00:51,3,2,0,2,1,0,0,0,0,0,Read about our years at the heart of transportation > 1,[],['http://ow.ly/IsZ530dbqS']
4,1203325126385126_1705323126185321,Timeline Photos,photo,https://www.facebook.com/CanadianTransportationAgency/photos/a.1217102575007381.1073741828.1203325126385126/1705323126185321/?type=3,2017-12-23 08:00:39,5,0,0,4,1,0,0,0,0,0,Seasons Greetings to all!,[],[]
5,1203325126385126_1704396469611320,Timeline Photos,photo,https://www.facebook.com/CanadianTransportationAgency/photos/a.1217102575007381.1073741828.1203325126385126/1704396469611320/?type=3,2017-12-22 10:01:15,0,0,0,0,0,0,0,0,0,0,"> Know Your Carrier's Limits Each carrier sets out its own limits for carry-on and checked baggage. Carriers also set time limits for reporting and filing complaints about lost, damaged or delayed baggage. Check your carrier's tariff for its baggage rules and allowances. > Top Tips > > Know Your Carrier's Limits Each carrier sets out its own limits for carry-on and checked baggage. Carriers also set time limits for reporting and filing complaints about lost, damaged or delayed baggage. Check your carrier's tariff for its baggage rules and allowances. > Top Tips >","['#TravelTips', '#FlySmart', '#TravelTips', '#FlySmart']","['http://ow.ly/uy2l3061cit', 'http://ow.ly/uy2l3061cit']"
6,1203325126385126_1703594289691538,"Accessibility for all, module 3: Communication best practices",video,http://ow.ly/ijlo307vdKM,2017-12-21 14:00:42,1,2,0,1,0,0,0,0,0,0,"As a transportation service provider, there are certain steps you can take to improve communication depending on the nature of a travellers disability. Watch our third training video on communication:",[],['http://ow.ly/ijlo307vdKM']
7,1203325126385126_1703487509702216,Timeline Photos,photo,https://www.facebook.com/CanadianTransportationAgency/photos/a.1217102575007381.1073741828.1203325126385126/1703487509702216/?type=3,2017-12-21 11:30:35,1,0,0,1,0,0,0,0,0,0,"CN and CP exceed their Maximum Grain Revenue Entitlements for Crop Year -2017 The Canadian Transportation Agency (CTA) ruled that revenues of the Canadian National Railway Company (CN) and the Canadian Pacific Railway Company (CP) have exceeded their Maximum grain revenue entitlements for crop year -2017. - CN’s grain revenue of $808,213,784 was $5,773,741 above its entitlement of $802,440,043. - CP's grain revenue of $725,457,448 was $1,078, above its entitlement of $724,378,501. CN and CP now have days to pay the amount by which they exceeded their -2017 revenue entitlements, in addition to a five percent penalty of $288,687 for CN and $53,947 for CP. Regulations stipulate that such payments must be made to the Western Grains Research Foundation, a farmer-financed and directed organization set up to fund research that benefits Prairie farmers. In the -2017 crop year, ,196,615 tonnes of Western grain were moved—6.9 percent more than the volume moved during the previous crop year. The average length of haul of miles was two miles, or percent, higher than the previous crop year.",[],['http://ow.ly/xWfM30hm73P']
8,1203325126385126_1703320986385535,Fly Smart: From point A to point B and home again | Canadian Transportation Agency,link,http://ow.ly/Mywt301ri1d,2017-12-21 08:00:27,0,0,0,0,0,0,0,0,0,0,"It's the first day of winter! Before you fly, check out our tips! > 1d",['#FlySmart'],['http://ow.ly/Mywt301ri']
9,1203325126385126_1702569463127354,Timeline Photos,photo,https://www.facebook.com/CanadianTransportationAgency/photos/a.1217102575007381.1073741828.1203325126385126/1702569463127354/?type=3,2017-12-20 12:00:44,0,0,0,0,0,0,0,0,0,0,Did you know? Our definition of a disability is a health-related problem that limits someone's ability to travel or causes difficulties while travelling. This includes temporary conditions like a broken leg. For more information about accessibility complaints visit >,[],['http://ow.ly/kds130drbZa']
