,status_id,link_name,status_type,status_link,status_published,num_reactions,num_comments,num_shares,num_likes,num_loves,num_wows,num_hahas,num_sads,num_angrys,num_special,status_message_cleaned,hashtags,urls
0,566325673547435_814227745423892,Processus de facilitation,video,http://ow.ly/o7oX302foQL,2017-12-30 15:00:30,0,0,0,0,0,0,0,0,0,0,Les malheurs des – La ligne aérienne a perdu vos bagages? Renseignez-vous >,"['#vacances', '#VoyageCnd', '#facilitation']",['http://ow.ly/o7oX302foQL']
1,566325673547435_813678518812148,Timeline Photos,photo,https://www.facebook.com/OfficeDesTransportsDuCanada/photos/a.568957893284213.1073741828.566325673547435/813678518812148/?type=3,2017-12-29 10:01:08,0,0,0,0,0,0,0,0,0,0,"> Vérifiez à l'avance Qu'il s'agisse de transport d'équipement sportif ou d'instruments de musique, de restrictions alimentaires, de conditions médicales et de besoins liés à une déficience, la plupart des transporteurs exigent un préavis de à heures pour répondre aux demandes de service spécial. > Prenez l'air averti > Dix conseils clés >",['#Astucesvoyage'],['http://ow.ly/4nk1SM']
2,566325673547435_813311678848832,,status,,2017-12-28 14:00:49,0,0,0,0,0,0,0,0,0,0,"Il incombe au transporteur de fournir un remplacement provisoire pour une aide à la mobilité perdue ou endommagée, jusqu'à ce que l'aide du voyageur soit disponible. Pour savoir comment vous procurer de l'aide à la mobilité, visitez:",[],['http://ow.ly/fTye307veSA']
3,566325673547435_812838202229513,Timeline Photos,photo,https://www.facebook.com/OfficeDesTransportsDuCanada/photos/a.568957893284213.1073741828.566325673547435/812838202229513/?type=3,2017-12-27 12:01:25,0,0,0,0,0,0,0,0,0,0,Lisez à propos de nos ans au coeur des transports >,['#Canada150'],['http://ow.ly/35ct30dbqMv']
4,566325673547435_810950865751580,Timeline Photos,photo,https://www.facebook.com/OfficeDesTransportsDuCanada/photos/a.568957893284213.1073741828.566325673547435/810950865751580/?type=3,2017-12-23 08:00:41,0,0,0,0,0,0,0,0,0,0,Passez tous de joyeuses fêtes!,[],[]
5,566325673547435_810582462455087,Timeline Photos,photo,https://www.facebook.com/OfficeDesTransportsDuCanada/photos/a.568957893284213.1073741828.566325673547435/810582462455087/?type=3,2017-12-22 10:01:16,0,0,0,0,0,0,0,0,0,0,"> Connaissez les limites de votre transporteur aérien Chaque transporteur aérien fixe ses propres limites de responsabilité à l'égard des bagages de cabine et des bagages enregistrés. Les transporteurs prescrivent également des délais pour rapporter la perte, les dommages ou le retard des bagages. Consultez le tarif de votre transporteur aérien pour connaître ses règles et indemnités concernant les bagages. > Prenez l'air averti > Dix conseils clés >",['#Astucesvoyage'],['http://ow.ly/4nk1SM']
6,566325673547435_810232985823368,"Transports accessibles pour tous, module 3: les pratiques optimales pour la communication",video,http://ow.ly/aQu5307vdXO,2017-12-21 14:00:41,0,0,0,0,0,0,0,0,0,0,"Comme fournisseurs de services de transport, il y a certain étapes que vous pouvez prends pour améliorer la communication en fonction de la nature de déficience d'un voyageur. Regardez notre ieme vidéo de formation: d",[],['http://ow.ly/aQu5307vdXO']
7,566325673547435_810188449161155,Timeline Photos,photo,https://www.facebook.com/OfficeDesTransportsDuCanada/photos/a.568957893284213.1073741828.566325673547435/810188449161155/?type=3,2017-12-21 11:30:35,0,0,0,0,0,0,0,0,0,0,"Le revenu de CN et de CP provenant du transport du grain de l'Ouest excède leur revenu admissible maximal pour la campagne agricole -2017 L'Office des transports du Canada (OTC) a statué que le revenu de la Compagnie des chemins de fer nationaux du Canada (CN) et de la Compagnie de chemin de fer Canadien Pacifique (CP) provenant du transport du grain de l'Ouest a dépassé leur revenu admissible maximal pour la campagne agricole -2017. - Le revenu de CN provenant du transport du grain s'élève à $, soit $ au-dessus de son revenu admissible fixé à $. - Le revenu de CP provenant du transport du grain s'élève à $, c'est-à-dire $ au-dessus de son revenu admissible fixé à $. CN et CP disposent maintenant de jours pour verser le montant excédant leur revenu admissible pour -2017, auquel s'ajoute une pénalité de cinq pour cent, soit $ pour CN et $ pour CP. Conformément au Règlement, les paiements seront versés à la Western Grains Research Foundation, un organisme financé et dirigé par des agriculteurs des Prairies afin de mener des recherches pouvant s'avérer bénéfiques pour les fermiers des Prairies. Au cours de la campagne agricole -2017, tonnes de grain de l'Ouest ont été transportées ‒ une hausse de ,9 pour cent par rapport au volume transporté au cours de la précédente campagne agricole. La longueur moyenne des mouvements, qui est de milles, excède de deux milles, ou de ,2 pour cent, celle de la précédente campagne agricole.",[],['http://ow.ly/h5iz30hm76P']
8,566325673547435_810102959169704,Prenez l'air averti : Du point A au point B et de retour à la maison | Office des transports du Canada,link,http://ow.ly/fEHx301rhLe,2017-12-21 08:00:25,0,0,0,0,0,0,0,0,0,0,"C'est la première journée de l'hiver! Avant votre vol, vérifiez nos conseils et 'air averti! >",['#Prenezl'],['http://ow.ly/fEHx301rhLe']
9,566325673547435_809764489203551,Timeline Photos,photo,https://www.facebook.com/OfficeDesTransportsDuCanada/photos/a.568957893284213.1073741828.566325673547435/809764489203551/?type=3,2017-12-20 12:00:40,0,0,0,0,0,0,0,0,0,0,"Le saviez-vous? Nous définissons une déficience comme étant un problème de santé qui limite la capacité de voyager d'une personne ou qui lui occasionne des difficultés pendant son voyage. Il peut s'agir d'une condition temporaire comme d'avoir une jambe cassée. Pour obtenir de plus amples renseignements sur les plaintes relatives à l'accessibilité, visitez le >",[],['http://ow.ly/Gi0B309MuQe']
