token,tok_freq,tok_freq_perc,stemmer,stem_freq,stem_freq_perc
minister,57,0.3630573248407643,minist,57.0,0.3630573248407643
mckenna,56,0.35668789808917195,mckenna,56.0,0.35668789808917195
climate,54,0.34394904458598724,canada,49.0,0.31210191082802546
canada,49,0.31210191082802546,climat,47.0,0.29936305732484075
environment,44,0.2802547770700637,compani,43.0,0.27388535031847133
company,42,0.267515923566879,environ,42.0,0.267515923566879
clean,38,0.24203821656050956,special,40.0,0.25477707006369427
trade,37,0.2356687898089172,clean,39.0,0.2484076433121019
specializing,36,0.22929936305732485,trade,37.0,0.2356687898089172
climate_change,35,0.2229299363057325,mission,35.0,0.2229299363057325
mission,35,0.2229299363057325,climate_chang,35.0,0.2229299363057325
change,33,0.21019108280254778,lead,34.0,0.21656050955414013
leading,32,0.20382165605095542,chang,32.0,0.20382165605095542
canadian,20,0.12738853503184713,canadian,23.0,0.1464968152866242
global,20,0.12738853503184713,emiss,19.0,0.12101910828025478
catherine,19,0.12101910828025478,catherin,19.0,0.12101910828025478
energy,18,0.11464968152866242,energi,18.0,0.11464968152866242
cop23,17,0.10828025477707007,year,18.0,0.11464968152866242
today,17,0.10828025477707007,action,18.0,0.11464968152866242
carbon,16,0.10191082802547771,today,17.0,0.10828025477707007
economy,15,0.09554140127388536,use,17.0,0.10828025477707007
montreal,15,0.09554140127388536,cop23,17.0,0.10828025477707007
emissions,14,0.08917197452229299,technolog,17.0,0.10828025477707007
action,14,0.08917197452229299,global,17.0,0.10828025477707007
coal,14,0.08917197452229299,reduc,16.0,0.10191082802547771
water,14,0.08917197452229299,innov,15.0,0.09554140127388536
international,13,0.08280254777070063,montreal,15.0,0.09554140127388536
live,13,0.08280254777070063,carbon,15.0,0.09554140127388536
day,12,0.07643312101910828,govern,15.0,0.09554140127388536
new,12,0.07643312101910828,intern,14.0,0.08917197452229299
air,12,0.07643312101910828,commit,14.0,0.08917197452229299
ozone,12,0.07643312101910828,live,14.0,0.08917197452229299
protocol,11,0.07006369426751592,meet,14.0,0.08917197452229299
growth,11,0.07006369426751592,water,14.0,0.08917197452229299
government,11,0.07006369426751592,economi,14.0,0.08917197452229299
technology,11,0.07006369426751592,work,13.0,0.08280254777070063
sustainable,11,0.07006369426751592,sustain,13.0,0.08280254777070063
help,10,0.06369426751592357,help,13.0,0.08280254777070063
check,10,0.06369426751592357,pollut,12.0,0.07643312101910828
year,10,0.06369426751592357,take,12.0,0.07643312101910828
future,10,0.06369426751592357,impact,12.0,0.07643312101910828
meeting,10,0.06369426751592357,new,12.0,0.07643312101910828
waste,10,0.06369426751592357,develop,12.0,0.07643312101910828
world,10,0.06369426751592357,day,12.0,0.07643312101910828
innovative,9,0.05732484076433121,fuel,12.0,0.07643312101910828
past,9,0.05732484076433121,generat,11.0,0.07006369426751592
layer,9,0.05732484076433121,air,11.0,0.07006369426751592
agreement,9,0.05732484076433121,ozon,11.0,0.07006369426751592
learn,9,0.05732484076433121,creat,11.0,0.07006369426751592
traditional,9,0.05732484076433121,growth,11.0,0.07006369426751592
using,9,0.05732484076433121,protocol,11.0,0.07006369426751592
fuel,9,0.05732484076433121,world,10.0,0.06369426751592357
taking,9,0.05732484076433121,futur,10.0,0.06369426751592357
reducing,9,0.05732484076433121,coal,10.0,0.06369426751592357
nan,9,0.05732484076433121,busi,10.0,0.06369426751592357
electricity,8,0.050955414012738856,check,10.0,0.06369426751592357
gas,8,0.050955414012738856,wast,10.0,0.06369426751592357
pollution,8,0.050955414012738856,power,10.0,0.06369426751592357
high,8,0.050955414012738856,nan,9.0,0.05732484076433121
watch,8,0.050955414012738856,past,9.0,0.05732484076433121
planet,8,0.050955414012738856,home,9.0,0.05732484076433121
infrastructure,8,0.050955414012738856,layer,9.0,0.05732484076433121
part,8,0.050955414012738856,protect,9.0,0.05732484076433121
greenhouse,8,0.050955414012738856,part,9.0,0.05732484076433121
reduce,8,0.050955414012738856,tradit,9.0,0.05732484076433121
find,8,0.050955414012738856,learn,9.0,0.05732484076433121
china,8,0.050955414012738856,discuss,8.0,0.050955414012738856
one,7,0.044585987261146494,planet,8.0,0.050955414012738856
know,7,0.044585987261146494,infrastructur,8.0,0.050955414012738856
innovation,7,0.044585987261146494,china,8.0,0.050955414012738856
years,7,0.044585987261146494,project,8.0,0.050955414012738856
home,7,0.044585987261146494,gas,8.0,0.050955414012738856
like,7,0.044585987261146494,job,8.0,0.050955414012738856
green,7,0.044585987261146494,greenhous,8.0,0.050955414012738856
committed,7,0.044585987261146494,nation,8.0,0.050955414012738856
solutions,7,0.044585987261146494,grow,8.0,0.050955414012738856
see,7,0.044585987261146494,invest,8.0,0.050955414012738856
first,7,0.044585987261146494,find,8.0,0.050955414012738856
holiday,7,0.044585987261146494,watch,8.0,0.050955414012738856
products,7,0.044585987261146494,electr,8.0,0.050955414012738856
alliance,7,0.044585987261146494,agreement,8.0,0.050955414012738856
low,7,0.044585987261146494,tackl,8.0,0.050955414012738856
get,6,0.03821656050955414,high,8.0,0.050955414012738856
plan,6,0.03821656050955414,phase,8.0,0.050955414012738856
fight,6,0.03821656050955414,soil,7.0,0.044585987261146494
environmental,6,0.03821656050955414,holiday,7.0,0.044585987261146494
generations,6,0.03821656050955414,environment,7.0,0.044585987261146494
impacts,6,0.03821656050955414,green,7.0,0.044585987261146494
germany,6,0.03821656050955414,low,7.0,0.044585987261146494
science,6,0.03821656050955414,solut,7.0,0.044585987261146494
us,6,0.03821656050955414,like,7.0,0.044585987261146494
control,6,0.03821656050955414,product,7.0,0.044585987261146494
technologies,6,0.03821656050955414,support,7.0,0.044585987261146494
kids,6,0.03821656050955414,make,7.0,0.044585987261146494
protecting,6,0.03821656050955414,plan,7.0,0.044585987261146494
soil,6,0.03821656050955414,produc,7.0,0.044585987261146494
phasing,6,0.03821656050955414,allianc,7.0,0.044585987261146494
jobs,6,0.03821656050955414,know,7.0,0.044585987261146494
