token,tok_freq,tok_freq_perc,stemmer,stem_freq,stem_freq_perc
de,1105,0.8101173020527859,de,1105.0,0.8101173020527859
et,963,0.7060117302052786,et,963.0,0.7060117302052786
la,931,0.6825513196480938,la,931.0,0.6825513196480938
les,836,0.6129032258064516,les,836.0,0.6129032258064516
le,757,0.5549853372434017,le,757.0,0.5549853372434017
des,755,0.5535190615835777,des,755.0,0.5535190615835777
du,668,0.4897360703812317,du,668.0,0.4897360703812317
pour,639,0.46847507331378296,pour,639.0,0.46847507331378296
en,637,0.4670087976539589,en,637.0,0.4670087976539589
canada,625,0.45821114369501464,canada,625.0,0.45821114369501464
sur,495,0.3629032258064516,sur,495.0,0.3629032258064516
dans,438,0.32111436950146627,dan,438.0,0.32111436950146627
au,397,0.29105571847507333,au,397.0,0.29105571847507333
que,381,0.2793255131964809,que,381.0,0.2793255131964809
un,380,0.2785923753665689,un,380.0,0.2785923753665689
vous,347,0.25439882697947214,changement,356.0,0.26099706744868034
une,333,0.24413489736070382,climatiqu,348.0,0.25513196480938416
qui,310,0.22727272727272727,vous,347.0,0.25439882697947214
est,293,0.21480938416422288,une,333.0,0.24413489736070382
plus,287,0.21041055718475074,qui,310.0,0.22727272727272727
climatique,249,0.18255131964809385,est,293.0,0.21480938416422288
changement,245,0.17961876832844575,plus,287.0,0.21041055718475074
nous,216,0.15835777126099707,nous,216.0,0.15835777126099707
votre,202,0.14809384164222875,votr,202.0,0.14809384164222875
ce,200,0.1466275659824047,ce,200.0,0.1466275659824047
aux,178,0.13049853372434017,canadien,181.0,0.13269794721407624
sont,177,0.12976539589442815,aux,178.0,0.13049853372434017
avec,169,0.12390029325513197,sont,177.0,0.12976539589442815
lenvironnement,169,0.12390029325513197,il,172.0,0.12609970674486803
par,159,0.11656891495601172,avec,169.0,0.12390029325513197
changements,153,0.11217008797653959,lenvironn,169.0,0.12390029325513197
cette,151,0.11070381231671554,par,159.0,0.11656891495601172
vos,151,0.11070381231671554,cett,151.0,0.11070381231671554
climatiques,145,0.1063049853372434,vos,151.0,0.11070381231671554
il,132,0.0967741935483871,espc,145.0,0.1063049853372434
espces,131,0.09604105571847507,leur,137.0,0.10043988269794721
notre,131,0.09604105571847507,notr,131.0,0.09604105571847507
ou,130,0.09530791788856305,ou,130.0,0.09530791788856305
nos,128,0.093841642228739,nos,128.0,0.093841642228739
saviezvous,126,0.09237536656891496,gouvern,127.0,0.09310850439882698
ces,124,0.09090909090909091,saviezv,126.0,0.09237536656891496
canadiens,122,0.08944281524926687,ministr,126.0,0.09237536656891496
ministre,121,0.08870967741935484,ces,124.0,0.09090909090909091
gouvernement,116,0.08504398826979472,environn,113.0,0.08284457478005865
environnement,112,0.08211143695014662,ont,110.0,0.08064516129032258
ont,110,0.08064516129032258,nan,109.0,0.07991202346041056
faire,109,0.07991202346041056,fair,109.0,0.07991202346041056
se,109,0.07991202346041056,se,109.0,0.07991202346041056
nan,109,0.07991202346041056,aujourdhui,104.0,0.07624633431085044
aujourdhui,104,0.07624633431085044,fait,104.0,0.07624633431085044
pas,103,0.07551319648093842,pas,103.0,0.07551319648093842
faune,101,0.07404692082111437,cest,101.0,0.07404692082111437
cest,101,0.07404692082111437,faun,101.0,0.07404692082111437
protger,98,0.0718475073313783,conserv,100.0,0.07331378299120235
journe,93,0.06818181818181818,grand,100.0,0.07331378299120235
oiseaux,92,0.06744868035190615,tout,99.0,0.07258064516129033
mckenna,91,0.06671554252199413,propr,98.0,0.0718475073313783
naturelles,90,0.06598240469208211,programm,98.0,0.0718475073313783
nature,88,0.06451612903225806,protger,98.0,0.0718475073313783
ressources,88,0.06451612903225806,journ,96.0,0.07038123167155426
