token,tok_freq,tok_freq_perc,stemmer,stem_freq,stem_freq_perc
de,1062,0.8530120481927711,de,1062.0,0.8530120481927711
la,827,0.6642570281124498,la,827.0,0.6642570281124498
et,755,0.606425702811245,et,755.0,0.606425702811245
le,700,0.5622489959839357,parc,718.0,0.576706827309237
pour,677,0.5437751004016064,le,700.0,0.5622489959839357
au,667,0.5357429718875502,pour,677.0,0.5437751004016064
des,661,0.5309236947791165,au,667.0,0.5357429718875502
national,650,0.5220883534136547,des,661.0,0.5309236947791165
en,635,0.5100401606425703,nation,655.0,0.5261044176706827
du,586,0.4706827309236948,en,635.0,0.5100401606425703
parc,556,0.4465863453815261,du,586.0,0.4706827309236948
vous,552,0.4433734939759036,vous,552.0,0.4433734939759036
nous,537,0.43132530120481927,nous,537.0,0.43132530120481927
les,526,0.42248995983935744,les,526.0,0.42248995983935744
une,474,0.38072289156626504,une,474.0,0.38072289156626504
un,451,0.36224899598393573,photo,457.0,0.3670682730923695
sur,432,0.3469879518072289,un,451.0,0.36224899598393573
canada,411,0.3301204819277108,sur,432.0,0.3469879518072289
dans,408,0.327710843373494,canada,411.0,0.3301204819277108
photo,403,0.3236947791164659,dan,408.0,0.327710843373494
que,368,0.2955823293172691,que,368.0,0.2955823293172691
plus,359,0.2883534136546185,plus,359.0,0.2883534136546185
nos,358,0.28755020080321286,nos,358.0,0.28755020080321286
parcs,332,0.26666666666666666,cett,321.0,0.25783132530120484
cette,321,0.25783132530120484,votr,317.0,0.25461847389558234
votre,317,0.25461847389558234,est,281.0,0.22570281124497993
est,281,0.22570281124497993,notr,270.0,0.21686746987951808
notre,269,0.21606425702811244,prise,265.0,0.21285140562248997
prise,260,0.20883534136546184,ce,250.0,0.20080321285140562
ce,250,0.20080321285140562,historiqu,229.0,0.18393574297188756
avec,215,0.17269076305220885,avec,215.0,0.17269076305220885
vedette,206,0.16546184738955824,endroit,210.0,0.1686746987951807
qui,203,0.16305220883534136,vedett,206.0,0.16546184738955824
pas,187,0.1502008032128514,qui,203.0,0.16305220883534136
par,177,0.14216867469879518,pas,187.0,0.1502008032128514
vos,175,0.14056224899598393,par,177.0,0.14216867469879518
lieu,172,0.13815261044176708,vos,175.0,0.14056224899598393
endroits,172,0.13815261044176708,lieu,172.0,0.13815261044176708
nationaux,167,0.13413654618473897,nationaux,167.0,0.13413654618473897
historique,166,0.13333333333333333,si,162.0,0.13012048192771083
si,162,0.13012048192771083,il,160.0,0.1285140562248996
c'est,157,0.12610441767068273,c'est,157.0,0.12610441767068273
ou,151,0.121285140562249,journ,156.0,0.12530120481927712
journe,150,0.12048192771084337,site,156.0,0.12530120481927712
saviezvous,146,0.11726907630522089,visit,151.0,0.121285140562249
il,145,0.11646586345381527,ou,151.0,0.121285140562249
clbrer,138,0.1108433734939759,saviezv,146.0,0.11726907630522089
ne,136,0.10923694779116466,clbrer,138.0,0.1108433734939759
semaine,134,0.10763052208835341,semain,137.0,0.11004016064257029
t,122,0.09799196787148594,ne,136.0,0.10923694779116466
fiparcs,122,0.09799196787148594,tout,133.0,0.10682730923694779
lieux,117,0.09397590361445783,t,122.0,0.09799196787148594
historiques,117,0.09397590361445783,fiparc,122.0,0.09799196787148594
chaque,113,0.09076305220883533,lieux,117.0,0.09397590361445783
mettons,113,0.09076305220883533,metton,113.0,0.09076305220883533
