comment_id,status_id,parent_id,comment_message,comment_published,num_reactions,num_likes,num_loves,num_wows,num_hahas,num_sads,num_angrys,num_special
10156132471852975_10156133933932975,401846167974_10156132471852975,,Ya    and BLIND   the drivers   ..oncoming  .. !!!,2017-12-29 10:18:35,1,1,0,0,0,0,0,0
10156132471852975_10156134309817975,401846167974_10156132471852975,,"Oy. Only a moron would create a meme showing a car with white lights at the back. Well done, Transport Canada.",2017-12-29 12:43:59,1,1,0,0,0,0,0,0
10156132471852975_10156138945362975,401846167974_10156132471852975,,Have already complained.   Dealerships say they are illegal and they should be.  Morons.  I put my high beams on now.  Why not? If I can't see then they won't either.,2017-12-31 03:07:13,0,0,0,0,0,0,0,0
10156128490292975_10156130287742975,401846167974_10156128490292975,,"Britt and this one is a 3
Point harness that’s not legal in Canada.",2017-12-27 23:55:55,0,0,0,0,0,0,0,0
10156128490292975_10156130292772975,401846167974_10156128490292975,10156128490292975_10156130287742975,LoL that's so dumb. Who's picking these pictures? They need to take the  car seat course!!,2017-12-28 00:00:11,0,0,0,0,0,0,0,0
10156127312012975_10156128389872975,401846167974_10156127312012975,,Léa Lachance,2017-12-27 08:23:55,0,0,0,0,0,0,0,0
10156127312012975_10156128898617975,401846167974_10156127312012975,,Geneviève B.Caza c'est bon à savoir!,2017-12-27 12:08:34,1,0,0,0,0,0,1,0
10156125718112975_10156125816117975,401846167974_10156125718112975,,Ashlee Roberts,2017-12-26 08:57:57,1,0,0,0,1,0,0,0
10156125718112975_10156125817362975,401846167974_10156125718112975,10156125718112975_10156125816117975,Elizabeth Cormier😂🙄,2017-12-26 08:59:05,1,0,0,0,1,0,0,0
10156125718112975_10156126178832975,401846167974_10156125718112975,,Krystal Johnson Ughhhhh haha,2017-12-26 11:30:04,0,0,0,0,0,0,0,0
10156125718112975_10156126261292975,401846167974_10156125718112975,10156125718112975_10156126178832975,Oh boy. We're doomed,2017-12-26 11:54:51,0,0,0,0,0,0,0,0
10156125718112975_10156126449367975,401846167974_10156125718112975,,"Serves as a holding tank for a back up generator..snowblower..
water pump.. be prepared.",2017-12-26 13:33:00,1,1,0,0,0,0,0,0
10156122365767975_10156122764667975,401846167974_10156122365767975,,Bonjour,2017-12-25 10:49:23,0,0,0,0,0,0,0,0
10156121007022975_10156121085142975,401846167974_10156121007022975,,Bonjour,2017-12-24 20:45:57,0,0,0,0,0,0,0,0
10156108811257975_10156119442792975,401846167974_10156108811257975,,https://www.theglobeandmail.com/opinion/editorials/globe-editorial-justin-trudeau-fails-his-ethics-test/article37399503/?cmpid=rss1&click=sf_globefb&utm_source=Faecbook&utm_medium=Paid+Social&utm_campaign=PM2018,2017-12-24 10:34:14,1,0,0,0,1,0,0,0
10156108811257975_10156119866442975,401846167974_10156108811257975,,"Uhm Santa doesn’t visit thieves and liars. Krampus does. 
Krampus will be visiting Trudeau.",2017-12-24 12:41:15,5,3,0,0,2,0,0,0
10156108811257975_10156119883462975,401846167974_10156108811257975,,Bonjour,2017-12-24 12:48:22,0,0,0,0,0,0,0,0
10156119117617975_10156119849417975,401846167974_10156119117617975,,A picture of a properly buckled baby might be a better add 😂😫,2017-12-24 12:38:58,3,3,0,0,0,0,0,0
