token,tok_freq,tok_freq_perc,stemmer,stem_freq,stem_freq_perc
photo,3600,0.15306122448979592,photo,3687.0,0.15676020408163266
park,1746,0.07423469387755102,park,2560.0,0.10884353741496598
thanks,1696,0.07210884353741497,thank,2204.0,0.09370748299319728
sharing,1447,0.06152210884353741,share,1650.0,0.07015306122448979
national,1431,0.06084183673469388,beauti,1491.0,0.06339285714285714
beautiful,1416,0.06020408163265306,nation,1367.0,0.05812074829931973
canada,1242,0.052806122448979594,canada,1241.0,0.05276360544217687
parks,1188,0.050510204081632655,great,1171.0,0.0497874149659864
great,1185,0.05038265306122449,complet,1167.0,0.04961734693877551
completing,1101,0.04681122448979592,love,1095.0,0.046556122448979595
congrats,972,0.0413265306122449,week,1048.0,0.0445578231292517
week,957,0.040688775510204084,congrat,972.0,0.0413265306122449
love,829,0.035246598639455784,one,833.0,0.035416666666666666
one,799,0.03397108843537415,go,802.0,0.034098639455782315
like,693,0.029464285714285714,look,739.0,0.03142006802721088
day,601,0.025552721088435374,like,724.0,0.030782312925170068
go,577,0.02453231292517007,day,691.0,0.029379251700680273
us,509,0.021641156462585034,year,666.0,0.028316326530612244
lake,505,0.02147108843537415,lake,600.0,0.025510204081632654
thank,503,0.02138605442176871,place,586.0,0.024914965986394557
see,477,0.02028061224489796,time,556.0,0.023639455782312926
amazing,474,0.020153061224489795,see,552.0,0.02346938775510204
would,472,0.020068027210884354,get,543.0,0.02308673469387755
time,471,0.020025510204081633,visit,532.0,0.02261904761904762
get,464,0.019727891156462583,us,507.0,0.021556122448979594
place,445,0.018920068027210885,amaz,481.0,0.020450680272108845
wow,416,0.017687074829931974,pass,474.0,0.020153061224489795
year,398,0.016921768707482993,would,469.0,0.01994047619047619
looks,394,0.016751700680272107,wow,416.0,0.017687074829931974
pass,369,0.015688775510204082,site,391.0,0.016624149659863946
awesome,369,0.015688775510204082,good,378.0,0.01607142857142857
good,366,0.015561224489795918,awesom,372.0,0.015816326530612244
banff,354,0.015051020408163265,banff,354.0,0.015051020408163265
visit,349,0.01483843537414966,summer,353.0,0.015008503401360545
summer,341,0.014498299319727891,back,338.0,0.014370748299319728
back,335,0.014243197278911565,pictur,337.0,0.014328231292517007
sticker,328,0.013945578231292517,think,336.0,0.014285714285714285
nice,327,0.013903061224489796,nice,336.0,0.014285714285714285
much,318,0.013520408163265307,sticker,331.0,0.01407312925170068
free,310,0.013180272108843538,need,329.0,0.013988095238095239
years,301,0.012797619047619047,view,320.0,0.013605442176870748
know,286,0.012159863945578232,make,319.0,0.013562925170068027
trip,278,0.011819727891156463,much,318.0,0.013520408163265307
yes,275,0.0116921768707483,hope,309.0,0.013137755102040816
sure,275,0.0116921768707483,trip,305.0,0.012967687074829932
need,275,0.0116921768707483,free,304.0,0.01292517006802721
last,274,0.011649659863945578,know,302.0,0.01284013605442177
view,274,0.011649659863945578,take,300.0,0.012755102040816327
people,273,0.011607142857142858,enjoy,298.0,0.012670068027210884
happy,266,0.01130952380952381,island,294.0,0.0125
first,262,0.011139455782312926,camp,293.0,0.012457482993197279
next,259,0.011011904761904763,wonder,291.0,0.012372448979591836
well,258,0.01096938775510204,sure,280.0,0.011904761904761904
think,257,0.01092687074829932,shot,280.0,0.011904761904761904
shot,253,0.010756802721088435,peopl,280.0,0.011904761904761904
many,252,0.010714285714285714,trail,278.0,0.011819727891156463
way,251,0.010671768707482994,last,277.0,0.011777210884353741
site,251,0.010671768707482994,yes,271.0,0.011522108843537415
historic,249,0.010586734693877551,well,267.0,0.011352040816326531
got,247,0.010501700680272109,happi,266.0,0.01130952380952381
still,245,0.010416666666666666,let,263.0,0.011181972789115646
picture,244,0.010374149659863946,first,262.0,0.011139455782312926
lol,243,0.010331632653061225,hike,261.0,0.011096938775510204
jasper,239,0.01016156462585034,way,260.0,0.011054421768707483
going,239,0.01016156462585034,canadian,259.0,0.011011904761904763
hope,237,0.010076530612244897,next,257.0,0.01092687074829932
cool,232,0.009863945578231292,use,254.0,0.010799319727891157
new,232,0.009863945578231292,mani,252.0,0.010714285714285714
job,232,0.009863945578231292,histor,250.0,0.010629251700680272
also,232,0.009863945578231292,work,248.0,0.01054421768707483
wonderful,229,0.009736394557823129,still,245.0,0.010416666666666666
hi,225,0.009566326530612245,got,245.0,0.010416666666666666
trail,223,0.009481292517006802,lol,242.0,0.010289115646258503
island,223,0.009481292517006802,mountain,240.0,0.01020408163265306
nan,217,0.009226190476190476,job,240.0,0.01020408163265306
gorgeous,217,0.009226190476190476,jasper,239.0,0.01016156462585034
make,216,0.009183673469387756,come,236.0,0.010034013605442177
best,215,0.009141156462585034,cool,235.0,0.009991496598639456
let,214,0.009098639455782313,area,235.0,0.009991496598639456
take,213,0.009056122448979591,new,232.0,0.009863945578231292
right,208,0.008843537414965987,also,230.0,0.00977891156462585
could,205,0.008715986394557822,hi,224.0,0.009523809523809525
canadian,204,0.008673469387755102,right,218.0,0.009268707482993197
camping,203,0.008630952380952382,want,218.0,0.009268707482993197
ago,201,0.008545918367346939,nan,217.0,0.009226190476190476
share,199,0.008460884353741496,gorgeous,216.0,0.009183673469387756
country,195,0.008290816326530613,best,214.0,0.009098639455782313
stunning,195,0.008290816326530613,countri,210.0,0.008928571428571428
ontario,194,0.00824829931972789,could,205.0,0.008715986394557822
today,190,0.008078231292517007,ago,201.0,0.008545918367346939
look,190,0.008078231292517007,stun,197.0,0.008375850340136054
area,188,0.007993197278911564,wait,195.0,0.008290816326530613
oh,182,0.007738095238095238,ontario,194.0,0.00824829931972789
provincial,180,0.007653061224489796,morn,194.0,0.00824829931972789
list,180,0.007653061224489796,point,192.0,0.00816326530612245
every,180,0.007653061224489796,today,190.0,0.008078231292517007
family,178,0.007568027210884354,fall,189.0,0.008035714285714285
want,175,0.00744047619047619,list,189.0,0.008035714285714285
sites,174,0.00739795918367347,live,187.0,0.007950680272108844
please,171,0.007270408163265306,famili,185.0,0.007865646258503401
waterton,168,0.007142857142857143,oh,182.0,0.007738095238095238
point,168,0.007142857142857143,provinci,180.0,0.007653061224489796
world,164,0.006972789115646258,everi,180.0,0.007653061224489796
mountain,162,0.0068877551020408165,even,171.0,0.007270408163265306
may,159,0.0067602040816326535,waterton,167.0,0.007100340136054422
never,158,0.006717687074829932,pleas,167.0,0.007100340136054422
home,157,0.006675170068027211,lot,164.0,0.006972789115646258
work,156,0.0066326530612244895,find,163.0,0.006930272108843538
really,155,0.006590136054421769,natur,163.0,0.006930272108843538
photos,154,0.006547619047619048,order,161.0,0.006845238095238095
even,154,0.006547619047619048,home,159.0,0.0067602040816326535
fort,153,0.0065051020408163265,fort,157.0,0.006675170068027211
soon,152,0.006462585034013605,may,157.0,0.006675170068027211
maybe,151,0.006420068027210885,never,157.0,0.006675170068027211
little,151,0.006420068027210885,realli,155.0,0.006590136054421769
two,150,0.006377551020408163,tri,154.0,0.006547619047619048
better,148,0.006292517006802721,river,153.0,0.0065051020408163265
wait,146,0.006207482993197279,soon,152.0,0.006462585034013605
enjoy,145,0.006164965986394558,mayb,151.0,0.006420068027210885
alberta,144,0.006122448979591836,littl,151.0,0.006420068027210885
places,144,0.006122448979591836,two,149.0,0.006335034013605442
come,143,0.006079931972789116,post,148.0,0.006292517006802721
long,143,0.006079931972789116,better,148.0,0.006292517006802721
river,142,0.006037414965986395,sound,144.0,0.006122448979591836
glad,139,0.005909863945578232,agre,143.0,0.006079931972789116
looking,138,0.00586734693877551,world,143.0,0.006079931972789116
system,137,0.005824829931972789,long,143.0,0.006079931972789116
always,135,0.005739795918367347,thought,143.0,0.006079931972789116
use,134,0.005697278911564626,glad,142.0,0.006037414965986395
lovely,134,0.005697278911564626,alberta,142.0,0.006037414965986395
big,134,0.005697278911564626,system,139.0,0.005909863945578232
bc,133,0.005654761904761905,help,138.0,0.00586734693877551
done,131,0.005569727891156463,thing,137.0,0.005824829931972789
winter,130,0.0055272108843537416,chair,135.0,0.005739795918367347
cute,129,0.00548469387755102,big,134.0,0.005697278911564626
part,127,0.0053996598639455785,say,133.0,0.005654761904761905
fantastic,125,0.005314625850340136,bc,133.0,0.005654761904761905
bay,125,0.005314625850340136,alway,133.0,0.005654761904761905
loved,124,0.005272108843537415,part,133.0,0.005654761904761905
passes,124,0.005272108843537415,check,132.0,0.005612244897959183
hike,124,0.005272108843537415,keep,131.0,0.005569727891156463
weekend,123,0.005229591836734694,done,131.0,0.005569727891156463
nature,123,0.005229591836734694,cute,131.0,0.005569727891156463
another,122,0.005187074829931973,guy,130.0,0.0055272108843537416
red,122,0.005187074829931973,winter,130.0,0.0055272108843537416
around,119,0.00505952380952381,adventur,129.0,0.00548469387755102
fun,118,0.0050170068027210885,spot,128.0,0.005442176870748299
taking,117,0.004974489795918367,weekend,127.0,0.0053996598639455785
actually,116,0.004931972789115646,actual,126.0,0.005357142857142857
lakes,116,0.004931972789115646,hear,126.0,0.005357142857142857
find,116,0.004931972789115646,fantast,125.0,0.005314625850340136
sounds,115,0.004889455782312925,bay,125.0,0.005314625850340136
small,115,0.004889455782312925,stay,123.0,0.005229591836734694
de,115,0.004889455782312925,locat,123.0,0.005229591836734694
live,115,0.004889455782312925,walk,122.0,0.005187074829931973
gros,114,0.004846938775510204,anoth,121.0,0.0051445578231292515
went,113,0.004804421768707483,red,121.0,0.0051445578231292515
pretty,113,0.004804421768707483,eerienc,120.0,0.00510204081632653
help,112,0.004761904761904762,wish,119.0,0.00505952380952381
morne,112,0.004761904761904762,near,119.0,0.00505952380952381
hear,112,0.004761904761904762,plan,119.0,0.00505952380952381
saw,112,0.004761904761904762,around,119.0,0.00505952380952381
agree,112,0.004761904761904762,fun,118.0,0.0050170068027210885
days,111,0.004719387755102041,interest,114.0,0.004846938775510204
np,111,0.004719387755102041,de,114.0,0.004846938775510204
absolutely,106,0.004506802721088435,gros,114.0,0.004846938775510204
ever,105,0.004464285714285714,went,113.0,0.004804421768707483
visited,105,0.004464285714285714,absolut,113.0,0.004804421768707483
spot,104,0.004421768707482994,pretti,113.0,0.004804421768707483
keep,104,0.004421768707482994,name,113.0,0.004804421768707483
seen,104,0.004421768707482994,bear,112.0,0.004761904761904762
yet,104,0.004421768707482994,pic,112.0,0.004761904761904762
found,103,0.004379251700680272,road,111.0,0.004719387755102041
fundy,103,0.004379251700680272,saw,111.0,0.004719387755102041
history,102,0.004336734693877551,np,111.0,0.004719387755102041
near,102,0.004336734693877551,friend,110.0,0.00467687074829932
eerience,102,0.004336734693877551,kid,110.0,0.00467687074829932
taken,101,0.00429421768707483,water,109.0,0.004634353741496598
st,101,0.00429421768707483,found,109.0,0.004634353741496598
road,101,0.00429421768707483,close,107.0,0.004549319727891157
something,101,0.00429421768707483,juli,107.0,0.004549319727891157
check,101,0.00429421768707483,reserv,105.0,0.004464285714285714
old,100,0.004251700680272109,yet,104.0,0.004421768707482994
