Unnamed: 0,status_id,link_name,status_type,status_link,status_published,num_reactions,num_comments,num_shares,num_likes,num_loves,num_wows,num_hahas,num_sads,num_angrys,num_special,status_message_cleaned,hashtags,urls,text_filtered,text_tokenized,text_stemmed
0,1498541586883867_1743710819033608,Pêches et Océans Canada,photo,https://www.facebook.com/PechesOceansCanada/photos/a.1539239129480779.1073741828.1498541586883867/1630726703665354/?type=3,2017-12-29 13:47:00,2,0,1,2,0,0,0,0,0,0,Le meilleur de : Décompte de nos publications préférées de l'année!,[],[],Le meilleur de compte de nos publications es de,"['Le', 'meilleur', 'de', 'compte', 'de', 'nos', 'publications', 'es', 'de']","['le', u'meilleur', 'de', u'compt', 'de', u'nos', u'public', 'es', 'de']"
1,1498541586883867_1744696882268335,,photo,https://www.facebook.com/PechesOceansCanada/photos/a.1539239129480779.1073741828.1498541586883867/1744696515601705/?type=3,2017-12-29 11:00:00,2,0,0,2,0,0,0,0,0,0,"Nous avons une application pour ça! En collaboration avec le zoo de Toronto, le MPO a mis au point une application gratuite sur les moules appelée « Clam Counter ». L’application offre des renseignements sur toutes les espèces de moules au Canada, dont certaines sont considérées comme des espèces en péril. Vous pouvez obtenir des renseignements sur la manière d’identifier les moules ou simplement obtenir la liste des espèces qui peuvent se trouver dans un lac ou une rivière à proximité. Vous pouvez également déclarer la découverte de moules afin de nous aider à en apprendre davantage sur nos moules et à protéger celles-ci. Téléchargez l'application ici : Apple : Android :",[],"['http://ow.ly/d9Qh30hoKCv', 'http://ow.ly/NK6F30hoKHk']",Nous avons une application pour En collaboration avec le zoo de Toronto le MPO mis au point une application gratuite sur les moules Clam Counter application offre des renseignements sur toutes les ces de moules au Canada dont certaines sont es comme des ces en ril Vous pouvez obtenir des renseignements sur la identifier les moules ou simplement obtenir la liste des ces qui peuvent se trouver dans un lac ou une Vous pouvez galement clarer la couverte de moules afin de nous aider en apprendre davantage sur nos moules et ger celles ci chargez application ici Apple Android,"['Nous', 'avons', 'une', 'application', 'pour', 'En', 'collaboration', 'avec', 'le', 'zoo', 'de', 'Toronto', 'le', 'MPO', 'mis', 'au', 'point', 'une', 'application', 'gratuite', 'sur', 'les', 'moules', 'Clam', 'Counter', 'application', 'offre', 'des', 'renseignements', 'sur', 'toutes', 'les', 'ces', 'de', 'moules', 'au', 'Canada', 'dont', 'certaines', 'sont', 'es', 'comme', 'des', 'ces', 'en', 'ril', 'Vous', 'pouvez', 'obtenir', 'des', 'renseignements', 'sur', 'la', 'identifier', 'les', 'moules', 'ou', 'simplement', 'obtenir', 'la', 'liste', 'des', 'ces', 'qui', 'peuvent', 'se', 'trouver', 'dans', 'un', 'lac', 'ou', 'une', 'Vous', 'pouvez', 'galement', 'clarer', 'la', 'couverte', 'de', 'moules', 'afin', 'de', 'nous', 'aider', 'en', 'apprendre', 'davantage', 'sur', 'nos', 'moules', 'et', 'ger', 'celles', 'ci', 'chargez', 'application', 'ici', 'Apple', 'Android']","[u'nous', u'avon', u'une', u'applic', u'pour', 'en', u'collabor', u'avec', 'le', u'zoo', 'de', u'toronto', 'le', u'mpo', u'mis', 'au', u'point', u'une', u'applic', u'gratuit', u'sur', u'les', u'moul', u'clam', u'counter', u'applic', u'offr', u'des', u'renseign', u'sur', u'tout', u'les', u'ces', 'de', u'moul', 'au', u'canada', u'dont', u'certain', u'sont', 'es', u'comm', u'des', u'ces', 'en', u'ril', u'vous', u'pouvez', u'obtenir', u'des', u'renseign', u'sur', 'la', u'identifi', u'les', u'moul', 'ou', u'simplement', u'obtenir', 'la', u'list', u'des', u'ces', u'qui', u'peuvent', 'se', u'trouver', u'dan', 'un', u'lac', 'ou', u'une', u'vous', u'pouvez', u'galement', u'clarer', 'la', u'couvert', 'de', u'moul', u'afin', 'de', u'nous', u'aider', 'en', u'apprendr', u'davantag', u'sur', u'nos', u'moul', 'et', u'ger', u'cell', 'ci', u'chargez', u'applic', u'ici', u'appl', u'android']"
2,1498541586883867_1743707555700601,Anguniaqvia niqiqyuam,video,https://www.facebook.com/PechesOceansCanada/videos/1743707555700601/,2017-12-28 10:40:00,8,0,1,7,0,1,0,0,0,0,"Cet été, plusieurs de nos scientifiques ont participé au relevé de poissons près du littoral à Darnley Bay dans les Territoires du Nord-Ouest, où ils ont pris des photos de quelques magnifiques animaux vivant dans la zone de protection marine (ZPM) d’Anguniaqvia niqiqyuam. Il s’agit de la première ZPM avec des objectifs de conservation s’appuyant sur le savoir autochtone et traditionnel.",[],['http://ow.ly/vxLN30hnM0w'],Cet plusieurs de nos scientifiques ont au de poissons du littoral Darnley Bay dans les Territoires du Nord Ouest ils ont pris des photos de quelques magnifiques animaux vivant dans la zone de protection marine ZPM Anguniaqvia niqiqyuam Il agit de la ZPM avec des objectifs de conservation appuyant sur le savoir autochtone et traditionnel,"['Cet', 'plusieurs', 'de', 'nos', 'scientifiques', 'ont', 'au', 'de', 'poissons', 'du', 'littoral', 'Darnley', 'Bay', 'dans', 'les', 'Territoires', 'du', 'Nord', 'Ouest', 'ils', 'ont', 'pris', 'des', 'photos', 'de', 'quelques', 'magnifiques', 'animaux', 'vivant', 'dans', 'la', 'zone', 'de', 'protection', 'marine', 'ZPM', 'Anguniaqvia', 'niqiqyuam', 'Il', 'agit', 'de', 'la', 'ZPM', 'avec', 'des', 'objectifs', 'de', 'conservation', 'appuyant', 'sur', 'le', 'savoir', 'autochtone', 'et', 'traditionnel']","[u'cet', u'plusieur', 'de', u'nos', u'scientifiqu', u'ont', 'au', 'de', u'poisson', 'du', u'littor', u'darnley', u'bay', u'dan', u'les', u'territoir', 'du', u'nord', u'ouest', u'il', u'ont', u'pris', u'des', u'photo', 'de', u'quelqu', u'magnifiqu', u'animaux', u'vivant', u'dan', 'la', u'zone', 'de', u'protect', u'marin', u'zpm', u'anguniaqvia', u'niqiqyuam', 'il', u'agit', 'de', 'la', u'zpm', u'avec', u'des', u'objectif', 'de', u'conserv', u'appuy', u'sur', 'le', u'savoir', u'autochton', 'et', u'traditionnel']"
3,1498541586883867_1743704139034276,Scott Youngblut,video,https://www.facebook.com/PechesOceansCanada/videos/1743704139034276/,2017-12-28 09:35:00,4,0,2,4,0,0,0,0,0,0,Notre hydrographe Scott Youngblut dévoile comment la cartographie du fond marin Arctique améliore la sécurité maritime :,[],['http://ow.ly/gPD330hnLNx'],Notre hydrographe Scott Youngblut voile comment la cartographie du fond marin Arctique liore la maritime,"['Notre', 'hydrographe', 'Scott', 'Youngblut', 'voile', 'comment', 'la', 'cartographie', 'du', 'fond', 'marin', 'Arctique', 'liore', 'la', 'maritime']","[u'notr', u'hydrograph', u'scott', u'youngblut', u'voil', u'comment', 'la', u'cartographi', 'du', u'fond', u'marin', u'arctiqu', u'lior', 'la', u'maritim']"
4,1498541586883867_1743701409034549,Pêches et Océans Canada,photo,https://www.facebook.com/PechesOceansCanada/photos/a.1539239129480779.1073741828.1498541586883867/1626283937442964/?type=3,2017-12-27 13:34:00,3,0,0,3,0,0,0,0,0,0,Le meilleur de : Décompte de nos publications préférées de l'année!,[],[],Le meilleur de compte de nos publications es de,"['Le', 'meilleur', 'de', 'compte', 'de', 'nos', 'publications', 'es', 'de']","['le', u'meilleur', 'de', u'compt', 'de', u'nos', u'public', 'es', 'de']"
5,1498541586883867_1743698965701460,Arctic Flyover,video,https://www.facebook.com/PechesOceansCanada/videos/1743698965701460/,2017-12-27 08:49:00,6,0,1,6,0,0,0,0,0,0,Voici tous nos amis à fourrure repérés par voie aérienne lors d’un relevé de phoques au large du nord de Terre-Neuve-et-Labrador. Combien en comptez-vous? 1,[],['http://ow.ly/FAy630hnLv'],Voici tous nos amis fourrure par voie rienne lors un de phoques au large du nord de Terre Neuve et Labrador Combien en comptez vous,"['Voici', 'tous', 'nos', 'amis', 'fourrure', 'par', 'voie', 'rienne', 'lors', 'un', 'de', 'phoques', 'au', 'large', 'du', 'nord', 'de', 'Terre', 'Neuve', 'et', 'Labrador', 'Combien', 'en', 'comptez', 'vous']","[u'voici', u'tous', u'nos', u'ami', u'fourrur', u'par', u'voie', u'rienn', u'lor', 'un', 'de', u'phoqu', 'au', u'larg', 'du', u'nord', 'de', u'terr', u'neuv', 'et', u'labrador', u'combien', 'en', u'comptez', u'vous']"
6,1498541586883867_1743698189034871,Pêches et Océans Canada,video,https://www.facebook.com/PechesOceansCanada/videos/1568780703193288/,2017-12-26 13:29:00,3,0,0,2,1,0,0,0,0,0,Le meilleur de : Décompte de nos publications préférées de l'année!,[],[],Le meilleur de compte de nos publications es de,"['Le', 'meilleur', 'de', 'compte', 'de', 'nos', 'publications', 'es', 'de']","['le', u'meilleur', 'de', u'compt', 'de', u'nos', u'public', 'es', 'de']"
7,1498541586883867_1743696852368338,Cable sous-marin,video,https://www.facebook.com/PechesOceansCanada/videos/1743696852368338/,2017-12-26 10:47:00,4,0,0,3,1,0,0,0,0,0,"C'est le Mois de la science dans l'Arctique! L'été dernier, un système de câbles sous-marins a été installé dans le passage du Nord-Ouest afin d'aider les scientifiques à mesurer l'épaisseur de la glace ainsi que la température de l'eau, à faire la surveillance acoustique passive et bien plus encore! Le câble de km est relié à un ordinateur sur terre qui communique directement à l'Institut océanographique de Bedford, à Dartmouth, en Nouvelle-Écosse. Ce système permet de recueillir des données importantes en temps réel – même lorsque la glace est d'une épaisseur de m!",[],['http://ow.ly/BeDW30hnLkA'],est le Mois de la science dans Arctique dernier un de bles sous marins dans le passage du Nord Ouest afin aider les scientifiques mesurer paisseur de la glace ainsi que la rature de eau faire la surveillance acoustique passive et bien plus encore Le ble de km est un ordinateur sur terre qui communique directement Institut anographique de Bedford Dartmouth en Nouvelle cosse Ce permet de recueillir des es importantes en temps el lorsque la glace est une paisseur de,"['est', 'le', 'Mois', 'de', 'la', 'science', 'dans', 'Arctique', 'dernier', 'un', 'de', 'bles', 'sous', 'marins', 'dans', 'le', 'passage', 'du', 'Nord', 'Ouest', 'afin', 'aider', 'les', 'scientifiques', 'mesurer', 'paisseur', 'de', 'la', 'glace', 'ainsi', 'que', 'la', 'rature', 'de', 'eau', 'faire', 'la', 'surveillance', 'acoustique', 'passive', 'et', 'bien', 'plus', 'encore', 'Le', 'ble', 'de', 'km', 'est', 'un', 'ordinateur', 'sur', 'terre', 'qui', 'communique', 'directement', 'Institut', 'anographique', 'de', 'Bedford', 'Dartmouth', 'en', 'Nouvelle', 'cosse', 'Ce', 'permet', 'de', 'recueillir', 'des', 'es', 'importantes', 'en', 'temps', 'el', 'lorsque', 'la', 'glace', 'est', 'une', 'paisseur', 'de']","[u'est', 'le', u'moi', 'de', 'la', u'scienc', u'dan', u'arctiqu', u'dernier', 'un', 'de', u'bles', u'sous', u'marin', u'dan', 'le', u'passag', 'du', u'nord', u'ouest', u'afin', u'aider', u'les', u'scientifiqu', u'mesur', u'paisseur', 'de', 'la', u'glace', u'ainsi', u'que', 'la', u'ratur', 'de', u'eau', u'fair', 'la', u'surveil', u'acoustiqu', u'passiv', 'et', u'bien', u'plus', u'encor', 'le', u'ble', 'de', 'km', u'est', 'un', u'ordinateur', u'sur', u'terr', u'qui', u'communiqu', u'direct', u'institut', u'anographiqu', 'de', u'bedford', u'dartmouth', 'en', u'nouvell', u'coss', 'ce', u'permet', 'de', u'recueillir', u'des', 'es', u'important', 'en', u'temp', 'el', u'lorsqu', 'la', u'glace', u'est', u'une', u'paisseur', 'de']"
8,1498541586883867_1743688832369140,,photo,https://www.facebook.com/PechesOceansCanada/photos/a.1539239129480779.1073741828.1498541586883867/1743688695702487/?type=3,2017-12-25 10:17:00,24,1,18,21,3,0,0,0,0,0,Les narvals se déplacent toujours! Nos chercheurs continuent de suivre les déplacements des narvals auxquels on a fixé des émetteurs satellites au large des côtes du Nunavut. On voit sur cette carte leurs déplacements au cours du mois de novembre. Visualisez la carte interactive dans son ensemble :,[],['http://ow.ly/oDN030hnHAx'],Les narvals se placent toujours Nos chercheurs continuent de suivre les placements des narvals auxquels des metteurs satellites au large des tes du Nunavut voit sur cette carte leurs placements au cours du mois de novembre Visualisez la carte interactive dans son ensemble,"['Les', 'narvals', 'se', 'placent', 'toujours', 'Nos', 'chercheurs', 'continuent', 'de', 'suivre', 'les', 'placements', 'des', 'narvals', 'auxquels', 'des', 'metteurs', 'satellites', 'au', 'large', 'des', 'tes', 'du', 'Nunavut', 'voit', 'sur', 'cette', 'carte', 'leurs', 'placements', 'au', 'cours', 'du', 'mois', 'de', 'novembre', 'Visualisez', 'la', 'carte', 'interactive', 'dans', 'son', 'ensemble']","[u'les', u'narval', 'se', u'placent', u'toujour', u'nos', u'chercheur', u'continu', 'de', u'suivr', u'les', u'placement', u'des', u'narval', u'auxquel', u'des', u'metteur', u'satellit', 'au', u'larg', u'des', u'tes', 'du', u'nunavut', u'voit', u'sur', u'cett', u'cart', u'leur', u'placement', 'au', u'cour', 'du', u'moi', 'de', u'novembr', u'visualisez', 'la', u'cart', u'interact', u'dan', u'son', u'ensembl']"
9,1498541586883867_1743682065703150,,photo,https://www.facebook.com/PechesOceansCanada/photos/a.1539239129480779.1073741828.1498541586883867/1743681942369829/?type=3,2017-12-25 09:00:00,23,0,3,20,0,0,3,0,0,0,,[],[],nan,['nan'],[u'nan']
