Unnamed: 0,status_id,link_name,status_type,status_link,status_published,num_reactions,num_comments,num_shares,num_likes,num_loves,num_wows,num_hahas,num_sads,num_angrys,num_special,status_message_cleaned,hashtags,urls,text_filtered,text_tokenized,text_stemmed
0,377625007887_10155987397152888,Timeline Photos,photo,https://www.facebook.com/TransportsetInfrastructureauCanada/photos/a.10151491514147888.1073741825.377625007887/10155987397152888/?type=3,2017-12-30 08:00:51,2,1,1,2,0,0,0,0,0,0,Vous avez reçu en cadeau le drone qui vous faisait tant rêver? Apprenez à bien l’utiliser :,[],['https://goo.gl/83awQy'],Vous avez en cadeau le drone qui vous faisait tant Apprenez bien utiliser,"['Vous', 'avez', 'en', 'cadeau', 'le', 'drone', 'qui', 'vous', 'faisait', 'tant', 'Apprenez', 'bien', 'utiliser']","[u'vous', u'avez', 'en', u'cadeau', 'le', u'drone', u'qui', u'vous', u'faisait', u'tant', u'apprenez', u'bien', u'utilis']"
1,377625007887_10155986409732888,Timeline Photos,photo,https://www.facebook.com/TransportsetInfrastructureauCanada/photos/a.10151491514147888.1073741825.377625007887/10155986409732888/?type=3,2017-12-29 20:00:34,3,0,0,3,0,0,0,0,0,0,Fait intéressant : Le premier vol d’avion au Canada s’est déroulé en février . John McCurdy a volé environ mètres à bord du Silver Dart,[],[],Fait ressant Le premier vol avion au Canada est en vrier John McCurdy environ tres bord du Silver Dart,"['Fait', 'ressant', 'Le', 'premier', 'vol', 'avion', 'au', 'Canada', 'est', 'en', 'vrier', 'John', 'McCurdy', 'environ', 'tres', 'bord', 'du', 'Silver', 'Dart']","[u'fait', u'ressant', 'le', u'premier', u'vol', u'avion', 'au', u'canada', u'est', 'en', u'vrier', u'john', u'mccurdi', u'environ', u'tres', u'bord', 'du', u'silver', u'dart']"
2,377625007887_10155986224272888,Timeline Photos,photo,https://www.facebook.com/TransportsetInfrastructureauCanada/photos/a.10151491514147888.1073741825.377625007887/10155986224272888/?type=3,2017-12-29 18:00:48,5,0,21,3,0,1,0,1,0,0,Rappel : Pneus Cooper et Starfire. La bande de roulement pourrait se séparer et causer une défaillance des pneus,[],['http://ow.ly/CHAK30hubbs'],Rappel Pneus Cooper et Starfire La bande de roulement pourrait se parer et causer une faillance des pneus,"['Rappel', 'Pneus', 'Cooper', 'et', 'Starfire', 'La', 'bande', 'de', 'roulement', 'pourrait', 'se', 'parer', 'et', 'causer', 'une', 'faillance', 'des', 'pneus']","[u'rappel', u'pneus', u'cooper', 'et', u'starfir', 'la', u'band', 'de', u'roulement', u'pourrait', 'se', u'parer', 'et', u'causer', u'une', u'faillanc', u'des', u'pneus']"
3,377625007887_10155986026757888,Timeline Photos,photo,https://www.facebook.com/TransportsetInfrastructureauCanada/photos/a.10151491514147888.1073741825.377625007887/10155986026757888/?type=3,2017-12-29 16:00:53,2,0,2,2,0,0,0,0,0,0,"Utilisez votre plus beau cadeau de façon sécuritaire et légale. En vol, restez loin des avions et des autres drones",[],['https://goo.gl/83awQy'],Utilisez votre plus beau cadeau de curitaire et gale En vol restez loin des avions et des autres drones,"['Utilisez', 'votre', 'plus', 'beau', 'cadeau', 'de', 'curitaire', 'et', 'gale', 'En', 'vol', 'restez', 'loin', 'des', 'avions', 'et', 'des', 'autres', 'drones']","[u'utilisez', u'votr', u'plus', u'beau', u'cadeau', 'de', u'curitair', 'et', u'gale', 'en', u'vol', u'restez', u'loin', u'des', u'avion', 'et', u'des', u'autr', u'drone']"
4,377625007887_10155985286837888,Timeline Photos,photo,https://www.facebook.com/TransportsetInfrastructureauCanada/photos/a.10151491514147888.1073741825.377625007887/10155985286837888/?type=3,2017-12-29 10:15:16,4,2,9,4,0,0,0,0,0,0,Rappel : VUS Mercedes-Benz GLC Class. L’orientation des feux de route DEL pourrait avoir été mal ajustée lors de la construction des véhicules,[],['http://ow.ly/MW5A30hsan6'],Rappel VUS Mercedes Benz GLC Class orientation des feux de route DEL pourrait avoir mal lors de la construction des hicules,"['Rappel', 'VUS', 'Mercedes', 'Benz', 'GLC', 'Class', 'orientation', 'des', 'feux', 'de', 'route', 'DEL', 'pourrait', 'avoir', 'mal', 'lors', 'de', 'la', 'construction', 'des', 'hicules']","[u'rappel', u'vus', u'merced', u'benz', u'glc', u'class', u'orient', u'des', u'feux', 'de', u'rout', u'del', u'pourrait', u'avoir', u'mal', u'lor', 'de', 'la', u'construct', u'des', u'hicul']"
5,377625007887_10155985052652888,Timeline Photos,photo,https://www.facebook.com/TransportsetInfrastructureauCanada/photos/a.10151491514147888.1073741825.377625007887/10155985052652888/?type=3,2017-12-29 08:00:27,3,0,0,3,0,0,0,0,0,0,"En ce jour en , mise en service du chemin de fer de la compagnie Bytown and Prescott pour relier Ottawa au chemin de fer de la compagnie Grand Trunk",[],[],jour mise service chemin fer compagnie Bytown and Prescott relier Ottawa chemin fer compagnie Grand Trunk,"['jour', 'mise', 'service', 'chemin', 'fer', 'compagnie', 'Bytown', 'and', 'Prescott', 'relier', 'Ottawa', 'chemin', 'fer', 'compagnie', 'Grand', 'Trunk']","[u'jour', u'mise', u'servic', u'chemin', u'fer', u'compagni', u'bytown', u'and', u'prescott', u'relier', u'ottawa', u'chemin', u'fer', u'compagni', u'grand', u'trunk']"
6,377625007887_10155984063357888,Timeline Photos,photo,https://www.facebook.com/TransportsetInfrastructureauCanada/photos/a.10151491514147888.1073741825.377625007887/10155984063357888/?type=3,2017-12-28 20:00:39,2,0,9,1,1,0,0,0,0,0,Allumez vos phares et gardez les yeux sur la route! ÊtreVu,['#VoirEt'],['http://ow.ly/Z1KO30hs8hs'],Allumez vos phares et gardez les yeux sur la route treVu,"['Allumez', 'vos', 'phares', 'et', 'gardez', 'les', 'yeux', 'sur', 'la', 'route', 'treVu']","[u'allumez', u'vos', u'phare', 'et', u'gardez', u'les', u'yeux', u'sur', 'la', u'rout', u'trevu']"
7,377625007887_10155983692117888,Vous achetez un drone,video,https://www.facebook.com/TransportsetInfrastructureauCanada/videos/10155983692117888/,2017-12-28 16:11:09,1,0,1,1,0,0,0,0,0,0,Vous achetez un drone? Informez-vous sur les règles,[],['https://goo.gl/83awQy'],Vous achetez un drone Informez vous sur les gles,"['Vous', 'achetez', 'un', 'drone', 'Informez', 'vous', 'sur', 'les', 'gles']","[u'vous', u'achetez', 'un', u'drone', u'informez', u'vous', u'sur', u'les', u'gles']"
8,377625007887_10155983379747888,http://www.tc.gc.ca/media/documents/ac-publications/ASL_4_2017F.pdf,link,http://ow.ly/DbQn30ht3vJ,2017-12-28 14:01:03,0,0,0,0,0,0,0,0,0,0,"Avis à l’intention des pilotes! Le no /2017 de Sécurité aérienne — Nouvelles est accessible sur le Web! Dans ce numéro, renseignez-vous sur la gestion des ressources de l’équipage, la gestion de la fatigue, la santé mentale en aviation, et bien plus encore. Obtenez votre copie ici :",[],['http://ow.ly/DbQn30ht3vJ'],Avis intention des pilotes Le 2017 de rienne Nouvelles est accessible sur le Web Dans ce ro renseignez vous sur la gestion des ressources de quipage la gestion de la fatigue la mentale en aviation et bien plus encore Obtenez votre copie ici,"['Avis', 'intention', 'des', 'pilotes', 'Le', '2017', 'de', 'rienne', 'Nouvelles', 'est', 'accessible', 'sur', 'le', 'Web', 'Dans', 'ce', 'ro', 'renseignez', 'vous', 'sur', 'la', 'gestion', 'des', 'ressources', 'de', 'quipage', 'la', 'gestion', 'de', 'la', 'fatigue', 'la', 'mentale', 'en', 'aviation', 'et', 'bien', 'plus', 'encore', 'Obtenez', 'votre', 'copie', 'ici']","[u'avi', u'intent', u'des', u'pilot', 'le', u'2017', 'de', u'rienn', u'nouvell', u'est', u'access', u'sur', 'le', u'web', u'dan', 'ce', 'ro', u'renseignez', u'vous', u'sur', 'la', u'gestion', u'des', u'ressourc', 'de', u'quipag', 'la', u'gestion', 'de', 'la', u'fatigu', 'la', u'mental', 'en', u'aviat', 'et', u'bien', u'plus', u'encor', u'obtenez', u'votr', u'copi', u'ici']"
9,377625007887_10155982604707888,Timeline Photos,photo,https://www.facebook.com/TransportsetInfrastructureauCanada/photos/a.10151491514147888.1073741825.377625007887/10155982604707888/?type=3,2017-12-28 08:01:14,3,0,7,3,0,0,0,0,0,0,Vous avez un vieux véhicule? Consultez notre banque de données des rappels :,[],['http://ow.ly/Dtz030gQBPN'],Vous avez un vieux hicule Consultez notre banque de es des rappels,"['Vous', 'avez', 'un', 'vieux', 'hicule', 'Consultez', 'notre', 'banque', 'de', 'es', 'des', 'rappels']","[u'vous', u'avez', 'un', u'vieux', u'hicul', u'consultez', u'notr', u'banqu', 'de', 'es', u'des', u'rappel']"
