token,tok_freq,tok_freq_perc,stemmer,stem_freq,stem_freq_perc
canada,492,0.358600583090379,canada,492.0,0.358600583090379
environment,349,0.2543731778425656,environ,325.0,0.2368804664723032
climate,335,0.24416909620991253,climat,308.0,0.22448979591836735
change,282,0.2055393586005831,chang,296.0,0.21574344023323616
know,180,0.13119533527696792,canadian,247.0,0.18002915451895043
canadian,170,0.1239067055393586,natur,181.0,0.13192419825072887
check,160,0.11661807580174927,know,181.0,0.13192419825072887
wildlife,149,0.10860058309037901,protect,180.0,0.13119533527696792
learn,143,0.10422740524781342,check,166.0,0.12099125364431487
national,134,0.09766763848396501,take,165.0,0.12026239067055394
species,132,0.09620991253644315,help,160.0,0.11661807580174927
help,127,0.09256559766763849,nation,157.0,0.11443148688046648
energy,125,0.09110787172011661,learn,150.0,0.10932944606413994
today,125,0.09110787172011661,area,147.0,0.10714285714285714
nan,124,0.09037900874635568,wildlif,130.0,0.09475218658892129
climate_change,123,0.08965014577259475,work,127.0,0.09256559766763849
minister,121,0.08819241982507289,day,126.0,0.09183673469387756
clean,120,0.08746355685131195,minist,124.0,0.09037900874635568
day,119,0.08673469387755102,nan,124.0,0.09037900874635568
sustainable,118,0.08600583090379009,climate_chang,123.0,0.08965014577259475
natural,115,0.08381924198250729,today,123.0,0.08965014577259475
area,110,0.08017492711370262,get,120.0,0.08746355685131195
take,109,0.0794460641399417,use,117.0,0.08527696793002916
get,109,0.0794460641399417,speci,116.0,0.08454810495626822
environmental,105,0.07653061224489796,make,114.0,0.08309037900874636
new,101,0.07361516034985423,clean,114.0,0.08309037900874636
protect,99,0.07215743440233237,bird,112.0,0.08163265306122448
weather,98,0.07142857142857142,sustain,110.0,0.08017492711370262
government,98,0.07142857142857142,action,108.0,0.07871720116618076
nature,92,0.06705539358600583,environment,106.0,0.07725947521865889
development,90,0.06559766763848396,govern,105.0,0.07653061224489796
world,90,0.06559766763848396,develop,101.0,0.07361516034985423
mckenna,90,0.06559766763848396,year,101.0,0.07361516034985423
canadians,89,0.06486880466472303,energi,99.0,0.07215743440233237
one,86,0.06268221574344024,new,99.0,0.07215743440233237
make,84,0.061224489795918366,conserv,98.0,0.07142857142857142
birds,84,0.061224489795918366,water,96.0,0.06997084548104957
part,84,0.061224489795918366,one,95.0,0.06924198250728864
action,83,0.060495626822157436,import,91.0,0.0663265306122449
great,83,0.060495626822157436,part,90.0,0.06559766763848396
water,82,0.0597667638483965,mckenna,90.0,0.06559766763848396
federal,82,0.0597667638483965,weather,89.0,0.06486880466472303
catherine,81,0.05903790087463557,share,88.0,0.0641399416909621
air,77,0.05612244897959184,resourc,86.0,0.06268221574344024
resources,77,0.05612244897959184,world,86.0,0.06268221574344024
bird,76,0.05539358600583091,habitat,81.0,0.05903790087463557
science,74,0.05393586005830904,catherin,81.0,0.05903790087463557
future,73,0.053206997084548104,great,80.0,0.05830903790087463
important,73,0.053206997084548104,feder,79.0,0.0575801749271137
migratory,72,0.052478134110787174,reduc,77.0,0.05612244897959184
share,71,0.05174927113702624,program,77.0,0.05612244897959184
us,71,0.05174927113702624,communiti,76.0,0.05539358600583091
program,70,0.05102040816326531,find,74.0,0.05393586005830904
find,68,0.04956268221574344,plan,74.0,0.05393586005830904
risk,66,0.048104956268221574,futur,73.0,0.053206997084548104
health,65,0.047376093294460644,us,71.0,0.05174927113702624
strategy,64,0.04664723032069971,meet,71.0,0.05174927113702624
work,64,0.04664723032069971,provid,70.0,0.05102040816326531
conservation,63,0.04591836734693878,want,70.0,0.05102040816326531
habitat,62,0.04518950437317784,celebr,68.0,0.04956268221574344
time,60,0.043731778425655975,support,67.0,0.048833819241982504
reduce,59,0.043002915451895045,scienc,67.0,0.048833819241982504
areas,59,0.043002915451895045,risk,64.0,0.04664723032069971
information,58,0.04227405247813411,way,64.0,0.04664723032069971
want,58,0.04227405247813411,live,64.0,0.04664723032069971
quality,58,0.04227405247813411,time,63.0,0.04591836734693878
like,57,0.04154518950437318,air,63.0,0.04591836734693878
year,57,0.04154518950437318,strategi,62.0,0.04518950437317784
carbon,56,0.04081632653061224,inform,62.0,0.04518950437317784
economy,56,0.04081632653061224,technolog,61.0,0.04446064139941691
also,55,0.04008746355685131,pollut,60.0,0.043731778425655975
week,55,0.04008746355685131,project,59.0,0.043002915451895045
ideas,54,0.03935860058309038,health,59.0,0.043002915451895045
marine,53,0.038629737609329445,like,59.0,0.043002915451895045
growth,53,0.038629737609329445,includ,58.0,0.04227405247813411
plan,53,0.038629737609329445,migratori,58.0,0.04227405247813411
taking,52,0.037900874635568516,idea,57.0,0.04154518950437318
first,52,0.037900874635568516,intern,57.0,0.04154518950437318
see,51,0.03717201166180758,scientist,56.0,0.04081632653061224
together,51,0.03717201166180758,also,55.0,0.04008746355685131
across,49,0.03571428571428571,see,54.0,0.03935860058309038
use,49,0.03571428571428571,economi,54.0,0.03935860058309038
live,49,0.03571428571428571,activ,53.0,0.038629737609329445
research,48,0.03498542274052478,go,53.0,0.038629737609329445
international,48,0.03498542274052478,first,52.0,0.037900874635568516
winter,48,0.03498542274052478,growth,52.0,0.037900874635568516
working,48,0.03498542274052478,togeth,51.0,0.03717201166180758
global,47,0.034256559766763846,global,51.0,0.03717201166180758
protected,46,0.033527696793002916,carbon,51.0,0.03717201166180758
support,46,0.033527696793002916,qualiti,51.0,0.03717201166180758
years,46,0.033527696793002916,week,51.0,0.03717201166180758
celebrate,46,0.033527696793002916,join,51.0,0.03717201166180758
pollution,46,0.033527696793002916,countri,50.0,0.03644314868804665
happy,45,0.03279883381924198,marin,50.0,0.03644314868804665
youth,45,0.03279883381924198,research,49.0,0.03571428571428571
emissions,44,0.03206997084548105,across,49.0,0.03571428571428571
community,44,0.03206997084548105,fund,49.0,0.03571428571428571
join,44,0.03206997084548105,forest,48.0,0.03498542274052478
many,43,0.03134110787172012,winter,47.0,0.034256559766763846
meet,42,0.030612244897959183,discuss,47.0,0.034256559766763846
quebec,41,0.02988338192419825,lake,46.0,0.033527696793002916
technology,41,0.02988338192419825,home,46.0,0.033527696793002916
enjoy,40,0.029154518950437316,emiss,46.0,0.033527696793002916
home,39,0.028425655976676383,impact,46.0,0.033527696793002916
green,39,0.028425655976676383,watch,45.0,0.03279883381924198
watch,38,0.027696793002915453,generat,45.0,0.03279883381924198
provide,38,0.027696793002915453,happi,45.0,0.03279883381924198
including,38,0.027696793002915453,enjoy,45.0,0.03279883381924198
gas,38,0.027696793002915453,look,44.0,0.03206997084548105
river,38,0.027696793002915453,river,44.0,0.03206997084548105
way,38,0.027696793002915453,peopl,44.0,0.03206997084548105
scientists,38,0.027696793002915453,land,43.0,0.03134110787172012
long,37,0.02696793002915452,commit,43.0,0.03134110787172012
communities,37,0.02696793002915452,differ,43.0,0.03134110787172012
local,36,0.026239067055393587,innov,43.0,0.03134110787172012
safe,36,0.026239067055393587,mani,43.0,0.03134110787172012
read,35,0.025510204081632654,come,42.0,0.030612244897959183
next,35,0.025510204081632654,keep,41.0,0.02988338192419825
million,35,0.025510204081632654,goal,41.0,0.02988338192419825
using,34,0.02478134110787172,quebec,41.0,0.02988338192419825
actions,34,0.02478134110787172,creat,41.0,0.02988338192419825
st,34,0.02478134110787172,follow,40.0,0.029154518950437316
keep,34,0.02478134110787172,ecosystem,40.0,0.029154518950437316
project,33,0.024052478134110787,need,40.0,0.029154518950437316
projects,33,0.024052478134110787,green,39.0,0.028425655976676383
people,33,0.024052478134110787,million,39.0,0.028425655976676383
greenhouse,33,0.024052478134110787,park,38.0,0.027696793002915453
impacts,32,0.023323615160349854,gas,38.0,0.027696793002915453
oceans,32,0.023323615160349854,youth,38.0,0.027696793002915453
latest,32,0.023323615160349854,invest,38.0,0.027696793002915453
funding,32,0.023323615160349854,safe,37.0,0.02696793002915452
well,32,0.023323615160349854,particip,37.0,0.02696793002915452
land,32,0.023323615160349854,read,37.0,0.02696793002915452
around,32,0.023323615160349854,long,37.0,0.02696793002915452
go,31,0.02259475218658892,region,36.0,0.026239067055393587
region,31,0.02259475218658892,improv,36.0,0.026239067055393587
north,31,0.02259475218658892,local,36.0,0.026239067055393587
cap,31,0.02259475218658892,place,35.0,0.025510204081632654
parks,31,0.02259475218658892,next,35.0,0.025510204081632654
indigenous,31,0.02259475218658892,address,35.0,0.025510204081632654
indicators,30,0.021865889212827987,locat,35.0,0.025510204081632654
may,30,0.021865889212827987,partner,35.0,0.025510204081632654
apply,30,0.021865889212827987,st,34.0,0.02478134110787172
forest,30,0.021865889212827987,visit,34.0,0.02478134110787172
place,30,0.021865889212827987,connect,34.0,0.02478134110787172
lakes,30,0.021865889212827987,greenhous,33.0,0.024052478134110787
follow,29,0.021137026239067054,view,33.0,0.024052478134110787
address,29,0.021137026239067054,ocean,33.0,0.024052478134110787
tourmente,29,0.021137026239067054,outdoor,33.0,0.024052478134110787
used,29,0.021137026239067054,comment,33.0,0.024052478134110787
fun,29,0.021137026239067054,manag,33.0,0.024052478134110787
country,29,0.021137026239067054,build,33.0,0.024052478134110787
available,29,0.021137026239067054,tip,32.0,0.023323615160349854
last,29,0.021137026239067054,latest,32.0,0.023323615160349854
public,28,0.02040816326530612,well,32.0,0.023323615160349854
ways,28,0.02040816326530612,propos,32.0,0.023323615160349854
twitter,28,0.02040816326530612,forecast,32.0,0.023323615160349854
think,28,0.02040816326530612,report,32.0,0.023323615160349854
healthy,28,0.02040816326530612,around,32.0,0.023323615160349854
protecting,28,0.02040816326530612,sever,31.0,0.02259475218658892
visit,28,0.02040816326530612,cap,31.0,0.02259475218658892
act,28,0.02040816326530612,continu,31.0,0.02259475218658892
report,28,0.02040816326530612,public,31.0,0.02259475218658892
sustainability,27,0.01967930029154519,servic,31.0,0.02259475218658892
data,27,0.01967930029154519,indic,31.0,0.02259475218658892
2019,27,0.01967930029154519,indigen,31.0,0.02259475218658892
activities,27,0.01967930029154519,video,31.0,0.02259475218658892
fund,27,0.01967930029154519,appli,31.0,0.02259475218658892
low,27,0.01967930029154519,call,31.0,0.02259475218658892
th,27,0.01967930029154519,think,31.0,0.02259475218658892
views,27,0.01967930029154519,contribut,31.0,0.02259475218658892
looking,26,0.018950437317784258,elor,31.0,0.02259475218658892
need,26,0.018950437317784258,start,30.0,0.021865889212827987
united,26,0.018950437317784258,avail,30.0,0.021865889212827987
lake,26,0.018950437317784258,may,30.0,0.021865889212827987
discuss,26,0.018950437317784258,event,30.0,0.021865889212827987
unique,26,0.018950437317784258,last,30.0,0.021865889212827987
snow,26,0.018950437317784258,opportun,30.0,0.021865889212827987
fisheries,26,0.018950437317784258,north,30.0,0.021865889212827987
