,Unnamed: 0,Unnamed: 0.1,comment_id,status_id,parent_id,comment_published,num_reactions,num_likes,num_loves,num_wows,num_hahas,num_sads,num_angrys,num_special,comment_message_cleaned,hashtags,urls,text_filtered,text_tokenized,text_stemmed,text_filtered_spell_corrected,text_sentiment_scores,text_corrected_sentiment_scores,text_sentiment_scores_type,text_corrected_sentiment_scores_type
0,0,0,968895789931382_971086149712346,123326971154939_968895789931382,,2018-01-02 09:23:13,1,1,0,0,0,0,0,0,I can’t wait to watch again!,[],[],wait watch,"['wait', 'watch']","[u'wait', u'watch']",wait watch,0.0,0.0,Neutral,Neutral
1,1,1,965272193627075_965473630273598,123326971154939_965272193627075,,2017-12-22 22:50:25,0,0,0,0,0,0,0,0,Is the knowledge exchange planned for this space intended to be only between scientists?,[],[],knowledge exchange planned space intended scientists,"['knowledge', 'exchange', 'planned', 'space', 'intended', 'scientists']","[u'knowledg', u'exchang', u'plan', u'space', u'intend', u'scientist']",knowledge exchange planned space intended scientists,0.0,0.0,Neutral,Neutral
2,2,2,965272193627075_968881566599471,123326971154939_965272193627075,965272193627075_965473630273598,2017-12-29 11:54:50,0,0,0,0,0,0,0,0,"It's a space where Inuit and scientists, as well as Elders and youth, will have the opportunity to meet, discuss, and exchange ideas on various topics including scientific knowledge.",[],[],space Inuit scientists well Elders youth opportunity meet discuss exchange ideas various topics including scientific knowledge,"['space', 'Inuit', 'scientists', 'well', 'Elders', 'youth', 'opportunity', 'meet', 'discuss', 'exchange', 'ideas', 'various', 'topics', 'including', 'scientific', 'knowledge']","[u'space', u'inuit', u'scientist', u'well', u'elder', u'youth', u'opportun', u'meet', u'discuss', u'exchang', u'idea', u'various', u'topic', u'includ', u'scientif', u'knowledg']",space Suit scientists well Elders youth opportunity meet discuss exchange ideas various topics including scientific knowledge,0.0,0.0,Neutral,Neutral
3,3,3,965272193627075_965493950271566,123326971154939_965272193627075,,2017-12-23 00:04:19,0,0,0,0,0,0,0,0,Coool,[],[],Coool,['Coool'],[u'coool'],Fool,0.0,0.0,Neutral,Neutral
4,4,4,964756970345264_966139420207019,123326971154939_964756970345264,,2017-12-24 06:29:13,0,0,0,0,0,0,0,0,"Great! Now why don’t you build some? Justin’s $200,000 trip to see a lobbiest, I mean old family friend, could have may be helped some people for the rest of their lives. Sophie probably needed the break though, it’s hard raising three kids with only two nannies.",[],[],Great build 200 000 trip see lobbiest mean old family friend could may helped people rest lives Sophie probably needed break though hard raising three kids two nannies,"['Great', 'build', '200', '000', 'trip', 'see', 'lobbiest', 'mean', 'old', 'family', 'friend', 'could', 'may', 'helped', 'people', 'rest', 'lives', 'Sophie', 'probably', 'needed', 'break', 'though', 'hard', 'raising', 'three', 'kids', 'two', 'nannies']","[u'great', u'build', u'200', u'000', u'trip', u'see', u'lobbiest', u'mean', u'old', u'famili', u'friend', u'could', u'may', u'help', u'peopl', u'rest', u'live', u'sophi', u'probabl', u'need', u'break', u'though', u'hard', u'rais', u'three', u'kid', u'two', u'nanni']",Great build 200 000 trip see lowliest mean old family friend could may helped people rest lives Sophie probably needed break though hard raising three kiss two fancies,0.07395833333333333,0.07395833333333333,Neutral,Neutral
5,5,5,964266113727683_964315497056078,123326971154939_964266113727683,,2017-12-20 14:53:01,1,1,0,0,0,0,0,0,Looking good Joseph!,[],[],Looking good Joseph,"['Looking', 'good', 'Joseph']","[u'look', u'good', u'joseph']",Looking good Joseph,0.7,0.7,Positive,Positive
6,6,6,964266113727683_964707717016856,123326971154939_964266113727683,,2017-12-21 10:04:31,0,0,0,0,0,0,0,0,Looking good Jo.,[],[],Looking good Jo,"['Looking', 'good', 'Jo']","[u'look', u'good', 'jo']",Looking good To,0.7,0.7,Positive,Positive
7,7,7,964266113727683_965004716987156,123326971154939_964266113727683,,2017-12-22 01:42:41,1,1,0,0,0,0,0,0,Sam Clarence Alookee,[],[],Sam Clarence Alookee,"['Sam', 'Clarence', 'Alookee']","[u'sam', u'clarenc', u'alooke']",Am Lawrence Looked,0.0,0.0,Neutral,Neutral
8,8,8,964266113727683_969898356497792,123326971154939_964266113727683,,2017-12-31 07:33:29,0,0,0,0,0,0,0,0,"Caulay Morton, Ben Mcnamee",[],[],Caulay Morton Ben Mcnamee,"['Caulay', 'Morton', 'Ben', 'Mcnamee']","[u'caulay', u'morton', u'ben', u'mcname']",Allay Norton Men Mcnamee,0.0,0.0,Neutral,Neutral
9,9,9,964266113727683_965004193653875,123326971154939_964266113727683,,2017-12-22 01:39:57,0,0,0,0,0,0,0,0,Lee Ann Tungilik,[],[],Lee Ann Tungilik,"['Lee', 'Ann', 'Tungilik']","[u'lee', u'ann', u'tungilik']",See Inn Tungilik,0.0,0.0,Neutral,Neutral
10,10,10,964266113727683_964410697046558,123326971154939_964266113727683,,2017-12-20 19:58:58,0,0,0,0,0,0,0,0,Judah A. Seema Atagoyuk,[],[],Judah Seema Atagoyuk,"['Judah', 'Seema', 'Atagoyuk']","[u'judah', u'seema', u'atagoyuk']",Judah Seems Atagoyuk,0.0,0.0,Neutral,Neutral
11,11,11,961742007313427_961742933980001,123326971154939_961742007313427,,2017-12-15 10:09:50,1,1,0,0,0,0,0,0,Ben Canning,[],[],Ben Canning,"['Ben', 'Canning']","[u'ben', u'canning']",Men Fanning,0.0,0.0,Neutral,Neutral
12,12,12,957706351050326_957706807716947,123326971154939_957706351050326,,2017-12-07 16:02:30,0,0,0,0,0,0,0,0,You've spelled qilalugaq incorrectly,[],[],spelled qilalugaq incorrectly,"['spelled', 'qilalugaq', 'incorrectly']","[u'spell', u'qilalugaq', u'incorrect']",spelled qilalugaq incorrectly,0.0,0.0,Neutral,Neutral
13,13,13,957706351050326_957827764371518,123326971154939_957706351050326,,2017-12-07 22:16:19,0,0,0,0,0,0,0,0,And Inuvialuktun. And Inuinnaqtun,[],[],Inuvialuktun Inuinnaqtun,"['Inuvialuktun', 'Inuinnaqtun']","[u'inuvialuktun', u'inuinnaqtun']",Inuvialuktun Inuinnaqtun,0.0,0.0,Neutral,Neutral
14,14,14,957158301105131_957328251088136,123326971154939_957158301105131,,2017-12-06 21:47:10,0,0,0,0,0,0,0,0,just hired people with bazookas and titanium harpoons for subs,[],[],hired people bazookas titanium harpoons subs,"['hired', 'people', 'bazookas', 'titanium', 'harpoons', 'subs']","[u'hire', u'peopl', u'bazooka', u'titanium', u'harpoon', u'sub']",hired people bazookas titanic harpoon sobs,0.0,0.0,Neutral,Neutral
15,15,15,956123964541898_956744754479819,123326971154939_956123964541898,,2017-12-05 17:52:27,0,0,0,0,0,0,0,0,Will they run sessions outside of ottawa?,[],[],run sessions outside ottawa,"['run', 'sessions', 'outside', 'ottawa']","[u'run', u'session', u'outsid', u'ottawa']",run sessions outside ottawa,0.0,0.0,Neutral,Neutral
16,16,16,956123964541898_957159604438334,123326971154939_956123964541898,956123964541898_956744754479819,2017-12-06 13:54:17,0,0,0,0,0,0,0,0,"Hi Oksana, no other public information sessions are planned at this time, but please visit as roundtables or public information sessions, once confirmed, will be posted in advance.",[],['http://ow.ly/QMka30h0vnS'],Hi Oksana public information sessions planned time please visit roundtables public information sessions confirmed posted advance,"['Hi', 'Oksana', 'public', 'information', 'sessions', 'planned', 'time', 'please', 'visit', 'roundtables', 'public', 'information', 'sessions', 'confirmed', 'posted', 'advance']","['hi', u'oksana', u'public', u'inform', u'session', u'plan', u'time', u'pleas', u'visit', u'roundtabl', u'public', u'inform', u'session', u'confirm', u'post', u'advanc']",I Oksana public information sessions planned time please visit roundtables public information sessions confirmed posted advance,0.13333333333333333,0.13333333333333333,Neutral,Neutral
