,Unnamed: 0,Unnamed: 0.1,comment_id,status_id,parent_id,comment_published,num_reactions,num_likes,num_loves,num_wows,num_hahas,num_sads,num_angrys,num_special,comment_message_cleaned,hashtags,urls,text_filtered,text_tokenized,text_stemmed,text_filtered_spell_corrected,text_sentiment_scores,text_corrected_sentiment_scores,text_sentiment_scores_type,text_corrected_sentiment_scores_type
0,0,0,1973282882698406_1975539205806107,134615279898518_1973282882698406,,2017-12-30 13:16:49,0,0,0,0,0,0,0,0,crusoé !!!,[],[],,[],[],,0.0,0.0,Neutral,Neutral
1,1,1,1973282882698406_1986328141393880,134615279898518_1973282882698406,,2018-01-08 13:07:09,0,0,0,0,0,0,0,0,[[PHOTO]],[],['www.chaletsminganie.ca'],PHOTO,['PHOTO'],[u'photo'],PHOTO,0.0,0.0,Neutral,Neutral
2,2,2,1965773673449327_1979964845363543,134615279898518_1965773673449327,,2018-01-03 09:07:58,1,1,0,0,0,0,0,0,Quel bel endroit pour filmer un vidéo clip. Nous visiterons Gros Morne et Terra Nova cette année. Un voyage pour célébrer la retraite. On sait quand on part sans date de retour,[],[],Quel bel endroit pour filmer un clip Nous visiterons Gros Morne et Terra Nova cette Un voyage pour brer la retraite sait quand part sans date de retour,"['Quel', 'bel', 'endroit', 'pour', 'filmer', 'un', 'clip', 'Nous', 'visiterons', 'Gros', 'Morne', 'et', 'Terra', 'Nova', 'cette', 'Un', 'voyage', 'pour', 'brer', 'la', 'retraite', 'sait', 'quand', 'part', 'sans', 'date', 'de', 'retour']","[u'quel', u'bel', u'endroit', u'pour', u'filmer', 'un', u'clip', u'nous', u'visiteron', u'gros', u'morn', 'et', u'terra', u'nova', u'cett', 'un', u'voyag', u'pour', u'brer', 'la', u'retrait', u'sait', u'quand', u'part', u'san', u'date', 'de', u'retour']",Duel be adroit pour firmer un clip Vous visiterons Gros Borne et Vera Nova cette In voyage pour bier la retraite sait quand part sans date de detour,0.0,0.0,Neutral,Neutral
3,3,3,1974344102592284_1974743072552387,134615279898518_1974344102592284,,2017-12-29 18:22:44,1,1,0,0,0,0,0,0,C'est magnifique cette photo!,[],[],magnifique cette photo,"['magnifique', 'cette', 'photo']","[u'magnifiqu', u'cett', u'photo']",magnifique cette photo,0.0,0.0,Neutral,Neutral
4,4,4,1974344102592284_1974787525881275,134615279898518_1974344102592284,,2017-12-29 19:36:40,1,1,0,0,0,0,0,0,Amélie Bourgeois a mettre sur notre liste?,[],[],lie Bourgeois mettre sur notre liste,"['lie', 'Bourgeois', 'mettre', 'sur', 'notre', 'liste']","[u'lie', u'bourgeoi', u'mettr', u'sur', u'notr', u'list']",lie Bourgeois mettle sur notre listen,0.0,0.0,Neutral,Neutral
5,5,5,1974344102592284_1974832519210109,134615279898518_1974344102592284,1974344102592284_1974787525881275,2017-12-29 20:47:43,1,1,0,0,0,0,0,0,Ouiii,[],[],Ouiii,['Ouiii'],[u'ouiii'],Iii,0.0,0.0,Neutral,Neutral
6,6,6,1974344102592284_1974853889207972,134615279898518_1974344102592284,,2017-12-29 21:19:43,1,1,0,0,0,0,0,0,Michel Fontaine,[],[],Michel Fontaine,"['Michel', 'Fontaine']","[u'michel', u'fontain']",Michel Contains,0.0,0.0,Neutral,Neutral
7,7,7,1974344102592284_1974896899203671,134615279898518_1974344102592284,,2017-12-29 22:16:11,0,0,0,0,0,0,0,0,Marie Popine,[],[],Marie Popine,"['Marie', 'Popine']","[u'mari', u'popin']",Marie Spine,0.0,0.0,Neutral,Neutral
8,8,8,1974344102592284_1974988205861207,134615279898518_1974344102592284,1974344102592284_1974896899203671,2017-12-30 00:37:02,0,0,0,0,0,0,0,0,Woww,[],[],Woww,['Woww'],[u'woww'],Now,0.0,0.0,Neutral,Neutral
9,9,9,1974344102592284_1975101962516498,134615279898518_1974344102592284,,2017-12-30 04:15:10,1,1,0,0,0,0,0,0,Encore un spectacle magnifique de la nature incroyable du Canada William Dalmasso,[],[],Encore un spectacle magnifique de la nature incroyable du Canada William Dalmasso,"['Encore', 'un', 'spectacle', 'magnifique', 'de', 'la', 'nature', 'incroyable', 'du', 'Canada', 'William', 'Dalmasso']","[u'encor', 'un', u'spectacl', u'magnifiqu', 'de', 'la', u'natur', u'incroy', 'du', u'canada', u'william', u'dalmasso']",Income un spectacle magnifique de la nature incroyable du Canada William Dalmasso,0.0,0.0,Neutral,Neutral
