,Unnamed: 0,comment_id,status_id,parent_id,comment_published,num_reactions,num_likes,num_loves,num_wows,num_hahas,num_sads,num_angrys,num_special,comment_message_cleaned,hashtags,urls,text_filtered,text_tokenized,text_stemmed,text_original
0,0,10155987397152888_10156018746752888,377625007887_10155987397152888,,2018-01-11 17:48:15,1,0,0,0,1,0,0,0,François Oli Pouch,[],[],ois Oli Pouch,"['ois', 'Oli', 'Pouch']","[u'oi', u'oli', u'pouch']",François Oli Pouch
1,1,10155985286837888_10155986243657888,377625007887_10155985286837888,,2017-12-29 18:12:31,0,0,0,0,0,0,0,0,Hayat Mektane ?,[],[],Hayat Mektane,"['Hayat', 'Mektane']","[u'hayat', u'mektan']",Hayat Mektane ? 😱
2,2,10155985286837888_10155986267352888,377625007887_10155985286837888,,2017-12-29 18:26:42,1,1,0,0,0,0,0,0,"Moi j’ai la GLE ,j’espère que tout est correct. Merci beauté.",[],[],Moi ai la GLE que tout est correct Merci,"['Moi', 'ai', 'la', 'GLE', 'que', 'tout', 'est', 'correct', 'Merci']","[u'moi', 'ai', 'la', u'gle', u'que', u'tout', u'est', u'correct', u'merci']","Moi j’ai la GLE 400,j’espère que tout est correct.
Merci beauté."
3,3,10155979129422888_10155980399357888,377625007887_10155979129422888,,2017-12-27 10:01:44,0,0,0,0,0,0,0,0,Zachary Bellerose respecte la loi!,[],[],Zachary Bellerose respecte la loi,"['Zachary', 'Bellerose', 'respecte', 'la', 'loi']","[u'zachari', u'belleros', u'respect', 'la', u'loi']",Zachary Bellerose respecte la loi!
4,4,10155979129422888_10155980701067888,377625007887_10155979129422888,,2017-12-27 12:32:55,0,0,0,0,0,0,0,0,Justyn Leger,[],[],Justyn Leger,"['Justyn', 'Leger']","[u'justyn', u'leger']",Justyn Leger
5,5,10155979129422888_10155981152287888,377625007887_10155979129422888,,2017-12-27 15:55:05,1,1,0,0,0,0,0,0,Anthony Beaulieu,[],[],Anthony Beaulieu,"['Anthony', 'Beaulieu']","[u'anthoni', u'beaulieu']",Anthony Beaulieu
6,6,10155979129422888_10155985031762888,377625007887_10155979129422888,,2017-12-29 07:46:38,0,0,0,0,0,0,0,0,Maxime Fortin,[],[],Maxime Fortin,"['Maxime', 'Fortin']","[u'maxim', u'fortin']",Maxime Fortin
7,7,10155977755587888_10155979591052888,377625007887_10155977755587888,,2017-12-27 00:39:19,0,0,0,0,0,0,0,0,Stephanie Thibault tssay —> E,[],[],Stephanie Thibault tssay,"['Stephanie', 'Thibault', 'tssay']","[u'stephani', u'thibault', u'tssay']","Stephanie Thibault tssay 
—> E"
8,8,10155973851452888_10155973882557888,377625007887_10155973851452888,,2017-12-24 20:11:09,0,0,0,0,0,0,0,0,Un très Joyeux Temps des Fêtes et un très Joyeux Noêl! Happy Holidays!! Merry Christmas!! Good bye! ️️ [[PHOTO]],[],[],Un Joyeux Temps des et un Joyeux Happy Holidays Merry Christmas Good bye PHOTO,"['Un', 'Joyeux', 'Temps', 'des', 'et', 'un', 'Joyeux', 'Happy', 'Holidays', 'Merry', 'Christmas', 'Good', 'bye', 'PHOTO']","['un', u'joyeux', u'temp', u'des', 'et', 'un', u'joyeux', u'happi', u'holiday', u'merri', u'christma', u'good', u'bye', u'photo']",Un très Joyeux Temps des Fêtes et un très Joyeux Noêl!  Happy Holidays!! Merry Christmas!! Good bye! 🎄🐧🎁🎀❄️☃️ [[PHOTO]]
9,9,10155973851452888_10155974120317888,377625007887_10155973851452888,,2017-12-24 22:10:11,1,1,0,0,0,0,0,0,Cami Choux hahahha,[],[],Cami Choux hahahha,"['Cami', 'Choux', 'hahahha']","[u'cami', u'choux', u'hahahha']",Cami Choux hahahha
10,10,10155973851452888_10155975975252888,377625007887_10155973851452888,10155973851452888_10155974120317888,2017-12-25 13:58:54,0,0,0,0,0,0,0,0,Ahaha,[],[],Ahaha,['Ahaha'],[u'ahaha'],Ahaha xD
11,11,10155963065217888_10155973618502888,377625007887_10155963065217888,,2017-12-24 18:07:15,0,0,0,0,0,0,0,0,Non mais ok as Ussi le culot de faire des appelle a nos fraits .,[],[],Non ok Ussi culot faire appelle fraits,"['Non', 'ok', 'Ussi', 'culot', 'faire', 'appelle', 'fraits']","[u'non', 'ok', u'ussi', u'culot', u'fair', u'appell', u'frait']","Non mais ok as Ussi le culot de faire des appelle a nos fraits 
."
12,12,10155972231752888_10155972358477888,377625007887_10155972231752888,,2017-12-24 08:57:24,0,0,0,0,0,0,0,0,Odrey Lane Blais,[],[],Odrey Lane Blais,"['Odrey', 'Lane', 'Blais']","[u'odrey', u'lane', u'blai']",Odrey Lane Blais
13,13,10155972231752888_10155999834372888,377625007887_10155972231752888,,2018-01-04 00:37:25,0,0,0,0,0,0,0,0,Camille Laflamme Robert,[],[],Camille Laflamme Robert,"['Camille', 'Laflamme', 'Robert']","[u'camill', u'laflamm', u'robert']",Camille Laflamme Robert
14,14,10155970037967888_10155970412572888,377625007887_10155970037967888,,2017-12-23 12:37:52,0,0,0,0,0,0,0,0,hhhhhhhhhh c'est drole,[],[],hhhhhhhhhh est drole,"['hhhhhhhhhh', 'est', 'drole']","[u'hhhhhhhhhh', u'est', u'drole']",hhhhhhhhhh c'est drole
15,15,10155970037967888_10155973806172888,377625007887_10155970037967888,,2017-12-24 19:40:20,0,0,0,0,0,0,0,0,Laaaa bessaho,[],[],Laaaa bessaho,"['Laaaa', 'bessaho']","[u'laaaa', u'bessaho']",Laaaa bessaho
16,16,10155968658392888_10155970763402888,377625007887_10155968658392888,,2017-12-23 15:43:13,0,0,0,0,0,0,0,0,Moi jprendrai pu lavion du canada depuis que certain individus on le droit davoir un certain couteau religieux sur eux dans les avions,[],[],jprendrai pu lavion canada depuis certain individus droit davoir certain couteau religieux les,"['jprendrai', 'pu', 'lavion', 'canada', 'depuis', 'certain', 'individus', 'droit', 'davoir', 'certain', 'couteau', 'religieux', 'les']","[u'jprendrai', 'pu', u'lavion', u'canada', u'depui', u'certain', u'individus', u'droit', u'davoir', u'certain', u'couteau', u'religieux', u'les']",Moi jprendrai pu lavion du canada depuis que certain individus on le droit davoir un certain couteau religieux sur eux dans les avions
17,17,10155965912767888_10155966050977888,377625007887_10155965912767888,,2017-12-21 19:42:18,1,1,0,0,0,0,0,0,Jimy Gilbert,[],[],Jimy Gilbert,"['Jimy', 'Gilbert']","[u'jimi', u'gilbert']",Jimy Gilbert
18,18,10155965912767888_10155966133212888,377625007887_10155965912767888,,2017-12-21 20:21:15,1,1,0,0,0,0,0,0,Karl Isabel,[],[],Karl Isabel,"['Karl', 'Isabel']","[u'karl', u'isabel']",Karl Isabel
19,19,10155965912767888_10155966139212888,377625007887_10155965912767888,10155965912767888_10155966133212888,2017-12-21 20:22:59,1,1,0,0,0,0,0,0,Merci mec,[],[],Merci mec,"['Merci', 'mec']","[u'merci', u'mec']",Merci mec👍🏽
20,20,10155965912767888_10155966140637888,377625007887_10155965912767888,10155965912767888_10155966133212888,2017-12-21 20:23:28,1,1,0,0,0,0,0,0,fais plaisir faut pas tu te plante encore big ej tien a toer ️,[],[],fais plaisir faut pas tu te plante encore big ej tien toer,"['fais', 'plaisir', 'faut', 'pas', 'tu', 'te', 'plante', 'encore', 'big', 'ej', 'tien', 'toer']","[u'fai', u'plaisir', u'faut', u'pas', 'tu', 'te', u'plant', u'encor', u'big', 'ej', u'tien', u'toer']",fais plaisir faut pas tu te plante encore big ej tien a toer 💪🏻❤️😉
21,21,10155965912767888_10155966141957888,377625007887_10155965912767888,10155965912767888_10155966133212888,2017-12-21 20:23:51,1,1,0,0,0,0,0,0,Moi tou mon pot️,[],[],Moi tou mon,"['Moi', 'tou', 'mon']","[u'moi', u'tou', u'mon']",Moi tou mon pot❤️
22,22,10155965912767888_10155966145567888,377625007887_10155965912767888,10155965912767888_10155966133212888,2017-12-21 20:25:27,1,1,0,0,0,0,0,0,va falloir rider jai mais passe de trail on sorganise dequoi soon,[],[],va falloir rider jai passe trail sorganise dequoi soon,"['va', 'falloir', 'rider', 'jai', 'passe', 'trail', 'sorganise', 'dequoi', 'soon']","['va', u'falloir', u'rider', u'jai', u'pass', u'trail', u'sorganis', u'dequoi', u'soon']",va falloir rider jai mais passe de trail on sorganise  dequoi soon 😉
23,23,10155965912767888_10155966148322888,377625007887_10155965912767888,10155965912767888_10155966133212888,2017-12-21 20:26:24,1,1,0,0,0,0,0,0,C sur,[],[],,[],[],C sur;)
24,24,10155965912767888_10155966139437888,377625007887_10155965912767888,,2017-12-21 20:23:05,0,0,0,0,0,0,0,0,Keven Bolduc,[],[],Keven Bolduc,"['Keven', 'Bolduc']","[u'keven', u'bolduc']",Keven Bolduc
25,25,10155965912767888_10155966166657888,377625007887_10155965912767888,,2017-12-21 20:33:25,0,0,0,0,0,0,0,0,Luc Gauthier,[],[],Luc Gauthier,"['Luc', 'Gauthier']","[u'luc', u'gauthier']",Luc Gauthier
26,26,10155965912767888_10155966203702888,377625007887_10155965912767888,,2017-12-21 20:44:18,0,0,0,0,0,0,0,0,"Sylvain Roy, Stephane Dionne",[],[],Sylvain Roy Stephane Dionne,"['Sylvain', 'Roy', 'Stephane', 'Dionne']","[u'sylvain', u'roy', u'stephan', u'dionn']","Sylvain Roy, Stephane Dionne"
27,27,10155965912767888_10155967074647888,377625007887_10155965912767888,10155965912767888_10155966203702888,2017-12-22 06:22:55,0,0,0,0,0,0,0,0,Non le mien est correct ya pas sa ces un,[],[],Non mien correct ya,"['Non', 'mien', 'correct', 'ya']","[u'non', u'mien', u'correct', 'ya']",Non le mien est correct ya pas sa ces un 2008😉
28,28,10155965912767888_10155966221572888,377625007887_10155965912767888,,2017-12-21 20:50:11,1,1,0,0,0,0,0,0,Olivier Bourg,[],[],Olivier Bourg,"['Olivier', 'Bourg']","[u'olivi', u'bourg']",Olivier Bourg
29,29,10155965912767888_10155966980607888,377625007887_10155965912767888,10155965912767888_10155966221572888,2017-12-22 05:09:41,0,0,0,0,0,0,0,0,C tu ben vrai côlisse ?,[],[],tu ben vrai lisse,"['tu', 'ben', 'vrai', 'lisse']","['tu', u'ben', u'vrai', u'liss']",C tu ben vrai côlisse ?
30,30,10155965912767888_10155966986067888,377625007887_10155965912767888,10155965912767888_10155966221572888,2017-12-22 05:13:01,1,1,0,0,0,0,0,0,Merci Marilyne !!!,[],[],Merci Marilyne,"['Merci', 'Marilyne']","[u'merci', u'marilyn']",Merci Marilyne !!! 😘
31,31,10155965912767888_10155967253202888,377625007887_10155965912767888,10155965912767888_10155966221572888,2017-12-22 08:16:59,1,1,0,0,0,0,0,0,Olivier Bourg sa l’air pas mal vrai lol,[],[],Olivier Bourg sa air pas mal vrai lol,"['Olivier', 'Bourg', 'sa', 'air', 'pas', 'mal', 'vrai', 'lol']","[u'olivi', u'bourg', 'sa', u'air', u'pas', u'mal', u'vrai', u'lol']",Olivier Bourg sa l’air pas mal vrai lol
32,32,10155965912767888_10155967334412888,377625007887_10155965912767888,10155965912767888_10155966221572888,2017-12-22 09:00:47,0,0,0,0,0,0,0,0,Marilyne Dumaresq oui j ai vu ca,[],[],Marilyne Dumaresq oui ai vu ca,"['Marilyne', 'Dumaresq', 'oui', 'ai', 'vu', 'ca']","[u'marilyn', u'dumaresq', u'oui', 'ai', 'vu', 'ca']",Marilyne Dumaresq oui j ai vu ca 😩😩😩
33,33,10155965912767888_10155967334752888,377625007887_10155965912767888,10155965912767888_10155966221572888,2017-12-22 09:01:05,1,1,0,0,0,0,0,0,modit c plate sa!,[],[],modit plate sa,"['modit', 'plate', 'sa']","[u'modit', u'plate', 'sa']",modit c plate sa!
34,34,10155965912767888_10155967335567888,377625007887_10155965912767888,10155965912767888_10155966221572888,2017-12-22 09:01:39,0,0,0,0,0,0,0,0,C ptetre pour ca j ai flye lot jour ???,[],[],ptetre ca flye lot jour,"['ptetre', 'ca', 'flye', 'lot', 'jour']","[u'ptetr', 'ca', u'flye', u'lot', u'jour']",C ptetre pour ca j ai flye lot jour ???
35,35,10155965912767888_10155967336217888,377625007887_10155965912767888,10155965912767888_10155966221572888,2017-12-22 09:02:26,1,1,0,0,0,0,0,0,Sa ma passer par la tete cette conclusion la haha on sais jamais!!,[],[],passer tete cette conclusion haha sais jamais,"['passer', 'tete', 'cette', 'conclusion', 'haha', 'sais', 'jamais']","[u'passer', u'tete', u'cett', u'conclus', u'haha', u'sai', u'jamai']",Sa ma passer par la tete cette conclusion la haha on sais jamais!!
36,36,10155965912767888_10155968447142888,377625007887_10155965912767888,10155965912767888_10155966221572888,2017-12-22 18:00:55,1,0,0,0,1,0,0,0,Marilyne Dumaresq non non c moi qui ai besoin d’un recall lol,[],[],Marilyne Dumaresq non non moi qui ai besoin un recall lol,"['Marilyne', 'Dumaresq', 'non', 'non', 'moi', 'qui', 'ai', 'besoin', 'un', 'recall', 'lol']","[u'marilyn', u'dumaresq', u'non', u'non', u'moi', u'qui', 'ai', u'besoin', 'un', u'recal', u'lol']",Marilyne Dumaresq non non c moi qui ai besoin d’un recall lol
37,37,10155965912767888_10155968448507888,377625007887_10155965912767888,10155965912767888_10155966221572888,2017-12-22 18:02:02,0,0,0,0,0,0,0,0,Pis j ai appele on est dans le recall pis on doit pas conduire plus de km h d ici a ou mois que bombardier soit pret avec lea pieces cool hein ca c est encore ma chamce,[],[],Pis appele recall pis doit conduire plus km ici mois bombardier pret lea pieces cool hein ca encore chamce,"['Pis', 'appele', 'recall', 'pis', 'doit', 'conduire', 'plus', 'km', 'ici', 'mois', 'bombardier', 'pret', 'lea', 'pieces', 'cool', 'hein', 'ca', 'encore', 'chamce']","[u'pis', u'appel', u'recal', u'pis', u'doit', u'conduir', u'plus', 'km', u'ici', u'moi', u'bombardi', u'pret', u'lea', u'piec', u'cool', u'hein', 'ca', u'encor', u'chamc']",Pis j ai appele on est dans le recall pis on doit pas conduire plus de 30 km h d ici a 3 ou 4 mois que bombardier soit pret avec lea pieces cool hein 😩😩 ca c est encore ma chamce 😂😂
38,38,10155965912767888_10155968450387888,377625007887_10155965912767888,10155965912767888_10155966221572888,2017-12-22 18:03:05,0,0,0,0,0,0,0,0,Chu en bo calvaire hahahha j aurai du acheter une luge a place,[],[],Chu bo calvaire hahahha acheter luge place,"['Chu', 'bo', 'calvaire', 'hahahha', 'acheter', 'luge', 'place']","[u'chu', 'bo', u'calvair', u'hahahha', u'achet', u'luge', u'place']",Chu en bo calvaire hahahha j aurai du acheter une luge a place 😂😂😂
