,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1.1,status_id,link_name,status_type,status_link,status_published,num_reactions,num_comments,num_shares,num_likes,num_loves,num_wows,num_hahas,num_sads,num_angrys,num_special,status_message_cleaned,hashtags,urls,text_filtered,text_tokenized,text_stemmed,text_original,category
0,0,0,0,0,0,0,137563459593611_1967603329922939,,photo,https://www.facebook.com/ParksCanada/photos/a.179253688757921.51944.137563459593611/1967602763256329/?type=3,2017-12-30 15:15:00,86,4,37,78,6,2,0,0,0,0,"Visiting our places just got a whole lot better. Buy your Family/Group by December , and save %! Get yours today and come see what our places have to offer!",['#DiscoveryPass'],['http://ow.ly/aoUP30gUeYi'],Visiting places got whole lot better Buy Family Group DiscoveryPass December 31 2017 save 20 Get today come see places offer http ow ly aoUP30gUeYi,"['Visiting', 'places', 'got', 'whole', 'lot', 'better', 'Buy', 'Family', 'Group', 'DiscoveryPass', 'December', '31', '2017', 'save', '20', 'Get', 'today', 'come', 'see', 'places', 'offer', 'http', 'ow', 'ly', 'aoUP30gUeYi']","[u'visit', u'place', u'got', u'whole', u'lot', u'better', u'buy', u'famili', u'group', u'discoverypass', u'decemb', '31', u'2017', u'save', '20', u'get', u'today', u'come', u'see', u'place', u'offer', u'http', 'ow', 'ly', u'aoup30gueyi']","Visiting our places just got a whole lot better. Buy your Family/Group #DiscoveryPass by December 31, 2017 and save 20%! Get yours today and come see what our places have to offer! http://ow.ly/aoUP30gUeYi",Social
1,1,1,1,1,1,1,137563459593611_1987835541233051,Parks Canada,photo,https://www.facebook.com/ParksCanada/photos/a.179253688757921.51944.137563459593611/1985626368120635/?type=3,2017-12-30 13:04:49,43,2,0,41,2,0,0,0,0,0,,[],[],,['nan'],[u'nan'],,Social
2,2,2,2,2,2,2,137563459593611_1985625974787341,,photo,https://www.facebook.com/ParksCanada/photos/a.179253688757921.51944.137563459593611/1985626368120635/?type=3,2017-12-30 12:00:00,136,40,11,126,10,0,0,0,0,0,"As comes to an end, so does our . We know you’ve had some great adventures in our this year, so tell us all about it! Share your best eerience of ! ️ Rocky Mountain House National Historic Site","['#Canada150', '#ParksChallenge', '#places', '#ParksCanada']",[],Canada150 comes end ParksChallenge know great adventures places year tell us Share best ParksCanada experience 2017 Rocky Mountain House National Historic Site,"['Canada150', 'comes', 'end', 'ParksChallenge', 'know', 'great', 'adventures', 'places', 'year', 'tell', 'us', 'Share', 'best', 'ParksCanada', 'experience', '2017', 'Rocky', 'Mountain', 'House', 'National', 'Historic', 'Site']","[u'canada150', u'come', u'end', u'parkschalleng', u'know', u'great', u'adventur', u'place', u'year', u'tell', 'us', u'share', u'best', u'parkscanada', u'experi', u'2017', u'rocki', u'mountain', u'hous', u'nation', u'histor', u'site']","As #Canada150 comes to an end, so does our #ParksChallenge. We know you’ve had some great adventures in our #places this year, so tell us all about it! Share your best #ParksCanada experience of 2017! 🏞️ Rocky Mountain House National Historic Site",Environmental
3,3,3,3,3,3,3,137563459593611_1977869032229702,Auld Lang Syne - The Tenors,link,https://www.vevo.com/watch/the-tenors/auld-lang-syne/CA93Q1700088,2017-12-30 10:30:00,47,1,10,45,2,0,0,0,0,0,"The New Year is just around the corner! Where will you elore in ? Check out these photos for inspiration! These photos feature Newfoundland’s Gros Morne National Park and Cape Spear Lighthouse National Historic Site, taken during the filming of The Tenors Auld Lang Syne video. Tom Cochrane Photo. 00088",[],['https://www.vevo.com/watch/the-tenors/auld-lang-syne/CA93Q17'],New Year around corner explore 2018 Check photos inspiration photos feature Gros Morne National Park Cape Spear Lighthouse National Historic Site taken filming Tenors Auld Lang Syne video Tom Cochrane Photo https www vevo com watch tenors auld lang syne CA93Q1700088,"['New', 'Year', 'around', 'corner', 'explore', '2018', 'Check', 'photos', 'inspiration', 'photos', 'feature', 'Gros', 'Morne', 'National', 'Park', 'Cape', 'Spear', 'Lighthouse', 'National', 'Historic', 'Site', 'taken', 'filming', 'Tenors', 'Auld', 'Lang', 'Syne', 'video', 'Tom', 'Cochrane', 'Photo', 'https', 'www', 'vevo', 'com', 'watch', 'tenors', 'auld', 'lang', 'syne', 'CA93Q1700088']","[u'new', u'year', u'around', u'corner', u'explor', u'2018', u'check', u'photo', u'inspir', u'photo', u'featur', u'gros', u'morn', u'nation', u'park', u'cape', u'spear', u'lighthous', u'nation', u'histor', u'site', u'taken', u'film', u'tenor', u'auld', u'lang', u'syne', u'video', u'tom', u'cochran', u'photo', u'https', u'www', u'vevo', u'com', u'watch', u'tenor', u'auld', u'lang', u'syne', u'ca93q1700088']","The New Year is just around the corner! Where will you explore in 2018? Check out these photos for inspiration! 

These photos feature Newfoundland’s Gros Morne National Park and Cape Spear Lighthouse National Historic Site, taken during the filming of The Tenors Auld Lang Syne video. 📷 Tom Cochrane Photo.

https://www.vevo.com/watch/the-tenors/auld-lang-syne/CA93Q1700088",Environmental
4,4,4,4,4,4,4,137563459593611_1985622168121055,,photo,https://www.facebook.com/ParksCanada/photos/a.179253688757921.51944.137563459593611/1985621954787743/?type=3,2017-12-29 20:00:00,171,20,7,153,16,2,0,0,0,0,"was full of and ! Whether you spent time ️ in our , enjoyed stunning views from our or witnessed some breathtaking , we want to hear about it! We you to show us your best eerience of ! Fort Rodd Hill and Fisgard Lighthouse National Historic Sites","['#Canada150', '#adventure', '#discovery', '#camping', '#nationalparks', '#redchairs', '#sunsets', '#ParksChallenge', '#ParksCanada']",[],Canada150 full adventure discovery Whether spent time camping nationalparks enjoyed stunning views redchairs witnessed breathtaking sunsets want hear ParksChallenge show us best ParksCanada experience 2017 Fort Rodd Hill Fisgard Lighthouse National Historic Sites,"['Canada150', 'full', 'adventure', 'discovery', 'Whether', 'spent', 'time', 'camping', 'nationalparks', 'enjoyed', 'stunning', 'views', 'redchairs', 'witnessed', 'breathtaking', 'sunsets', 'want', 'hear', 'ParksChallenge', 'show', 'us', 'best', 'ParksCanada', 'experience', '2017', 'Fort', 'Rodd', 'Hill', 'Fisgard', 'Lighthouse', 'National', 'Historic', 'Sites']","[u'canada150', u'full', u'adventur', u'discoveri', u'whether', u'spent', u'time', u'camp', u'nationalpark', u'enjoy', u'stun', u'view', u'redchair', u'wit', u'breathtak', u'sunset', u'want', u'hear', u'parkschalleng', u'show', 'us', u'best', u'parkscanada', u'experi', u'2017', u'fort', u'rodd', u'hill', u'fisgard', u'lighthous', u'nation', u'histor', u'site']","#Canada150 was full of #adventure and #discovery! Whether you spent time #camping 🏕️ in our #nationalparks, enjoyed stunning views from our #redchairs or witnessed some breathtaking #sunsets 🌄, we want to hear about it! We #ParksChallenge you to show us your best #ParksCanada experience of 2017! Fort Rodd Hill and Fisgard Lighthouse National Historic Sites",Environmental
5,5,5,5,5,5,5,137563459593611_1986666858016586,,photo,https://www.facebook.com/ParksCanada/photos/a.179253688757921.51944.137563459593611/1986666558016616/?type=3,2017-12-29 18:15:00,1169,34,124,915,139,115,0,0,0,0,"Happy Friday Follower Photo!!! This amazing shot comes to us from on Instagram who captioned it: ""Ice covered trees at Point Pelee National Park."" Every Friday, we randomly pick a photo sent to us by a follower and feature it on our wall. If you would like to submit a photo for consideration, simply send us a message with your photo and caption.",[],[],Happy Friday Follower Photo amazing shot comes us tylerrharris1994 Instagram captioned Ice covered trees Point Pelee National Park Every Friday randomly pick photo sent us follower feature wall would like submit photo consideration simply send us message photo caption,"['Happy', 'Friday', 'Follower', 'Photo', 'amazing', 'shot', 'comes', 'us', 'tylerrharris1994', 'Instagram', 'captioned', 'Ice', 'covered', 'trees', 'Point', 'Pelee', 'National', 'Park', 'Every', 'Friday', 'randomly', 'pick', 'photo', 'sent', 'us', 'follower', 'feature', 'wall', 'would', 'like', 'submit', 'photo', 'consideration', 'simply', 'send', 'us', 'message', 'photo', 'caption']","[u'happi', u'friday', u'follow', u'photo', u'amaz', u'shot', u'come', 'us', u'tylerrharris1994', u'instagram', u'caption', u'ice', u'cover', u'tree', u'point', u'pele', u'nation', u'park', u'everi', u'friday', u'random', u'pick', u'photo', u'sent', 'us', u'follow', u'featur', u'wall', u'would', u'like', u'submit', u'photo', u'consider', u'simpli', u'send', 'us', u'messag', u'photo', u'caption']","Happy Friday Follower Photo!!! This amazing shot comes to us from @tylerrharris1994 on Instagram who captioned it: ""Ice covered trees at  Point Pelee National Park."" 

Every Friday, we randomly pick a photo sent to us by a follower and feature it on our wall. If you would like to submit a photo for consideration, simply send us a message with your photo and caption.",Environmental
6,6,6,6,6,6,6,137563459593611_1986651881351417,10 winter camping adventures: luxurious to rugged - Plan your visit,link,http://ow.ly/gimH30hm7kD,2017-12-29 16:15:00,51,2,7,49,2,0,0,0,0,0,"Crisp icy mornings, fresh powder covering the ground, and a winter wonderland that’s all yours to elore. Winter camping is a real treat! If you’ve never tried camping in the colder months before, here are Winter Camping Adventures to get you started! Canada Keep Eloring D",['#WinterCamping'],['http://ow.ly/gimH30hm7k'],Crisp icy mornings fresh powder covering ground winter wonderland explore Winter camping real treat never tried camping colder months 10 Winter Camping Adventures get started WinterCamping Canada Keep Exploring http ow ly gimH30hm7kD,"['Crisp', 'icy', 'mornings', 'fresh', 'powder', 'covering', 'ground', 'winter', 'wonderland', 'explore', 'Winter', 'camping', 'real', 'treat', 'never', 'tried', 'camping', 'colder', 'months', '10', 'Winter', 'Camping', 'Adventures', 'get', 'started', 'WinterCamping', 'Canada', 'Keep', 'Exploring', 'http', 'ow', 'ly', 'gimH30hm7kD']","[u'crisp', u'ici', u'morn', u'fresh', u'powder', u'cover', u'ground', u'winter', u'wonderland', u'explor', u'winter', u'camp', u'real', u'treat', u'never', u'tri', u'camp', u'colder', u'month', '10', u'winter', u'camp', u'adventur', u'get', u'start', u'wintercamp', u'canada', u'keep', u'explor', u'http', 'ow', 'ly', u'gimh30hm7kd']","Crisp icy mornings, fresh powder covering the ground, and a winter wonderland that’s all yours to explore. Winter camping is a real treat! ⛺

If you’ve never tried camping in the colder months before, here are 10 Winter Camping Adventures to get you started!
#WinterCamping Canada Keep Exploring

http://ow.ly/gimH30hm7kD",Environmental
7,7,7,7,7,7,7,137563459593611_1986719921344613,Top 10 Instagram Posts 2017,photo,https://www.facebook.com/ParksCanada/photos/a.1986719758011296.1073741929.137563459593611/1986719921344613/?type=3,2017-12-29 12:03:07,763,23,88,652,98,13,0,0,0,0,"We had such an amazing on Instagram, we wanted to highlight our TOP TEN posts! ⭐️ Are you following .canada on Instagram yet? What are you waiting for, is sure to be better than ever!",[],[],amazing 2017 Instagram wanted highlight TOP TEN posts following parks canada Instagram yet waiting 2018 sure better ever,"['amazing', '2017', 'Instagram', 'wanted', 'highlight', 'TOP', 'TEN', 'posts', 'following', 'parks', 'canada', 'Instagram', 'yet', 'waiting', '2018', 'sure', 'better', 'ever']","[u'amaz', u'2017', u'instagram', u'want', u'highlight', u'top', u'ten', u'post', u'follow', u'park', u'canada', u'instagram', u'yet', u'wait', u'2018', u'sure', u'better', u'ever']","We had such an amazing 2017 on Instagram, we wanted to highlight our TOP TEN posts! ⭐️🎉✨ 

Are you following @parks.canada on Instagram yet? What are you waiting for, 2018 is sure to be better than ever!",Environmental
8,8,8,8,8,8,8,137563459593611_1966468660036406,,photo,https://www.facebook.com/ParksCanada/photos/a.179253688757921.51944.137563459593611/1966467660036506/?type=3,2017-12-29 08:20:00,67,5,8,62,4,0,1,0,0,0,"It’s Tick Tock Day, which means the year is coming to an end… ⏰ Have you thought of your New Year’s resolution yet? Ours is to spend as much time in the great outdoors as possible in ! Share yours in the comments below. Photo taken at the Rideau Canal.",['#GetOutside'],[],Tick Tock Day means year coming thought New resolution yet spend much time great outdoors possible 2018 Share comments GetOutside Photo taken Rideau Canal,"['Tick', 'Tock', 'Day', 'means', 'year', 'coming', 'thought', 'New', 'resolution', 'yet', 'spend', 'much', 'time', 'great', 'outdoors', 'possible', '2018', 'Share', 'comments', 'GetOutside', 'Photo', 'taken', 'Rideau', 'Canal']","[u'tick', u'tock', u'day', u'mean', u'year', u'come', u'thought', u'new', u'resolut', u'yet', u'spend', u'much', u'time', u'great', u'outdoor', u'possibl', u'2018', u'share', u'comment', u'getoutsid', u'photo', u'taken', u'rideau', u'canal']","It’s Tick Tock Day, which means the year is coming to an end… ⏰ Have you thought of your New Year’s resolution yet? Ours is to spend as much time in the great outdoors as possible in 2018! Share yours in the comments below. #GetOutside 

Photo taken at the Rideau Canal.  ⛸",Environmental
9,9,9,9,9,9,9,137563459593611_1949750565041549,,photo,https://www.facebook.com/ParksCanada/photos/a.179253688757921.51944.137563459593611/1949750195041586/?type=3,2017-12-28 20:00:00,113,8,11,100,13,0,0,0,0,0,"Are you planning on making any New Year Resolutions? Cut your stress? Travel? Become more active? Spend more time with loved ones? Go outside more? If you said “all of the above”, we have the perfect solution: CAMPING! See all the great options we offer around the country (remember – reservations start in JANUARY!): Go RVing Canada",[],['http://ow.ly/vt6Q30gQcqe'],planning making New Year Resolutions Cut stress Travel Become active Spend time loved ones Go outside said perfect solution CAMPING See great options offer around country remember reservations start JANUARY http ow ly vt6Q30gQcqe Go RVing Canada,"['planning', 'making', 'New', 'Year', 'Resolutions', 'Cut', 'stress', 'Travel', 'Become', 'active', 'Spend', 'time', 'loved', 'ones', 'Go', 'outside', 'said', 'perfect', 'solution', 'CAMPING', 'See', 'great', 'options', 'offer', 'around', 'country', 'remember', 'reservations', 'start', 'JANUARY', 'http', 'ow', 'ly', 'vt6Q30gQcqe', 'Go', 'RVing', 'Canada']","[u'plan', u'make', u'new', u'year', u'resolut', u'cut', u'stress', u'travel', u'becom', u'activ', u'spend', u'time', u'love', u'one', 'go', u'outsid', u'said', u'perfect', u'solut', u'camp', u'see', u'great', u'option', u'offer', u'around', u'countri', u'rememb', u'reserv', u'start', u'januari', u'http', 'ow', 'ly', u'vt6q30gqcqe', 'go', u'rving', u'canada']","Are you planning on making any New Year Resolutions?

Cut your stress? Travel? Become more active? Spend more time with loved ones? Go outside more?

If you said “all of the above”, we have the perfect solution: CAMPING! 

See all the great options we offer around the country (remember – reservations start in JANUARY!): http://ow.ly/vt6Q30gQcqe Go RVing Canada",Environmental
