token,tok_freq,tok_freq_perc,stemmer,stem_freq,stem_freq_perc
ly,797,0.7271897810218978,ly,797.0,0.7271897810218978
ow,793,0.7235401459854015,ow,793.0,0.7235401459854015
de,788,0.718978102189781,de,775.0,0.7071167883211679
pour,599,0.5465328467153284,et,550.0,0.5018248175182481
les,590,0.5383211678832117,les,540.0,0.4927007299270073
et,553,0.5045620437956204,pour,533.0,0.4863138686131387
la,551,0.5027372262773723,la,514.0,0.46897810218978103
vous,543,0.4954379562043796,le,475.0,0.4333941605839416
le,526,0.47992700729927007,http,470.0,0.42883211678832117
http,470,0.42883211678832117,vous,456.0,0.41605839416058393
en,461,0.4206204379562044,en,452.0,0.4124087591240876
des,413,0.3768248175182482,des,405.0,0.36952554744525545
sur,389,0.35492700729927007,sur,389.0,0.35492700729927007
nous,362,0.3302919708029197,du,335.0,0.3056569343065693
du,335,0.3056569343065693,plus,301.0,0.27463503649635035
plus,303,0.27645985401459855,nous,301.0,0.27463503649635035
notre,277,0.2527372262773723,notr,271.0,0.24726277372262773
un,257,0.23448905109489052,un,253.0,0.23083941605839417
au,241,0.2198905109489051,au,237.0,0.21624087591240876
est,236,0.21532846715328466,est,236.0,0.21532846715328466
une,217,0.197992700729927,que,213.0,0.19434306569343066
que,213,0.19434306569343066,une,213.0,0.19434306569343066
nos,211,0.19251824817518248,canada,205.0,0.18704379562043796
canada,205,0.18704379562043796,nos,202.0,0.1843065693430657
agriculture,199,0.18156934306569342,dan,191.0,0.17427007299270073
dans,191,0.17427007299270073,ce,190.0,0.17335766423357665
ce,190,0.17335766423357665,agricultur,189.0,0.17244525547445255
qui,157,0.14324817518248176,qui,157.0,0.14324817518248176
couvrez,154,0.14051094890510948,couvrez,154.0,0.14051094890510948
votre,145,0.1322992700729927,canadien,153.0,0.1395985401459854
recherche,122,0.11131386861313869,agricol,150.0,0.13686131386861314
savoir,118,0.10766423357664233,canadienn,149.0,0.13594890510948904
avec,116,0.10583941605839416,votr,145.0,0.1322992700729927
chercheurs,115,0.10492700729927007,recherch,136.0,0.12408759124087591
canadienne,114,0.10401459854014598,chercheur,126.0,0.11496350364963503
hui,112,0.10218978102189781,il,125.0,0.11405109489051095
comment,110,0.10036496350364964,savoir,118.0,0.10766423357664233
aux,104,0.0948905109489051,avec,116.0,0.10583941605839416
canadiens,104,0.0948905109489051,hui,112.0,0.10218978102189781
es,100,0.09124087591240876,comment,109.0,0.09945255474452555
il,100,0.09124087591240876,aux,104.0,0.0948905109489051
cette,100,0.09124087591240876,es,100.0,0.09124087591240876
agricole,95,0.08667883211678833,cett,98.0,0.08941605839416059
ont,92,0.08394160583941605,ont,92.0,0.08394160583941605
secteur,84,0.07664233576642336,secteur,86.0,0.07846715328467153
sont,82,0.07481751824817519,sont,82.0,0.07481751824817519
vos,76,0.06934306569343066,aliment,79.0,0.07208029197080291
renseignez,74,0.06751824817518248,produit,76.0,0.06934306569343066
aider,73,0.0666058394160584,vos,76.0,0.06934306569343066
par,69,0.06295620437956205,renseignez,74.0,0.06751824817518248
saviez,67,0.06113138686131387,aider,73.0,0.0666058394160584
centre,66,0.060218978102189784,leur,72.0,0.06569343065693431
semaine,63,0.05748175182481752,nouvell,71.0,0.06478102189781022
info,62,0.05656934306569343,centr,70.0,0.06386861313868614
agcan,62,0.05656934306569343,scientifiqu,67.0,0.06113138686131387
agriculteurs,60,0.05474452554744526,saviez,67.0,0.06113138686131387
agricoles,60,0.05474452554744526,producteur,67.0,0.06113138686131387
avez,58,0.05291970802919708,par,66.0,0.060218978102189784
nan,58,0.05291970802919708,semain,65.0,0.05930656934306569
veloppement,57,0.05200729927007299,fait,65.0,0.05930656934306569
apprenez,56,0.051094890510948905,velopp,64.0,0.058394160583941604
producteurs,56,0.051094890510948905,agriculteur,62.0,0.05656934306569343
avons,56,0.051094890510948905,agcan,62.0,0.05656934306569343
peut,55,0.05018248175182482,info,62.0,0.05656934306569343
scientifiques,54,0.04927007299270073,autr,61.0,0.055656934306569344
canadien,53,0.048357664233576646,nan,58.0,0.05291970802919708
aliments,52,0.04744525547445255,avez,57.0,0.05200729927007299
produits,51,0.046532846715328466,apprenez,56.0,0.051094890510948905
terre,51,0.046532846715328466,tout,56.0,0.051094890510948905
ouvertes,51,0.046532846715328466,port,56.0,0.051094890510948905
portes,51,0.046532846715328466,avon,56.0,0.051094890510948905
avoir,50,0.04562043795620438,cultur,55.0,0.05018248175182482
venez,50,0.04562043795620438,peut,55.0,0.05018248175182482
point,49,0.04470802919708029,terr,54.0,0.04927007299270073
aide,49,0.04470802919708029,candidatur,54.0,0.04927007299270073
autres,48,0.043795620437956206,point,54.0,0.04927007299270073
ces,48,0.043795620437956206,pomm,53.0,0.048357664233576646
tre,48,0.043795620437956206,travail,51.0,0.046532846715328466
nouvelle,47,0.04288321167883212,ouvert,51.0,0.046532846715328466
peuvent,46,0.041970802919708027,venez,50.0,0.04562043795620438
res,46,0.041970802919708027,programm,50.0,0.04562043795620438
comme,46,0.041970802919708027,avoir,50.0,0.04562043795620438
tous,46,0.041970802919708027,aid,49.0,0.04470802919708029
aecg,45,0.04105839416058394,post,48.0,0.043795620437956206
faire,45,0.04105839416058394,tre,48.0,0.043795620437956206
agri,45,0.04105839416058394,import,47.0,0.04288321167883212
ph,42,0.03832116788321168,ces,47.0,0.04288321167883212
candidature,42,0.03832116788321168,res,46.0,0.041970802919708027
consultez,42,0.03832116788321168,tous,46.0,0.041970802919708027
sommes,42,0.03832116788321168,peuvent,46.0,0.041970802919708027
pommes,42,0.03832116788321168,fair,45.0,0.04105839416058394
se,41,0.037408759124087594,comm,45.0,0.04105839416058394
cultures,41,0.037408759124087594,agri,45.0,0.04105839416058394
leurs,41,0.037408759124087594,aecg,45.0,0.04105839416058394
canadiennes,40,0.0364963503649635,somm,43.0,0.03923357664233577
posez,40,0.0364963503649635,consultez,42.0,0.03832116788321168
canada150,40,0.0364963503649635,ph,42.0,0.03832116788321168
commentaires,40,0.0364963503649635,commentair,41.0,0.037408759124087594
pourquoi,40,0.0364963503649635,se,41.0,0.037408759124087594
commission,39,0.035583941605839414,ell,41.0,0.037408759124087594
travaux,39,0.035583941605839414,canada150,40.0,0.0364963503649635
ou,39,0.035583941605839414,posez,40.0,0.0364963503649635
pas,39,0.035583941605839414,pas,39.0,0.035583941605839414
ne,39,0.035583941605839414,travaux,39.0,0.035583941605839414
aac,38,0.03467153284671533,prochain,39.0,0.035583941605839414
voir,38,0.03467153284671533,pourquoi,39.0,0.035583941605839414
cadre,38,0.03467153284671533,ou,39.0,0.035583941605839414
sondage,36,0.032846715328467155,utilis,39.0,0.035583941605839414
monde,36,0.032846715328467155,commiss,39.0,0.035583941605839414
son,35,0.03193430656934307,certain,39.0,0.035583941605839414
davantage,35,0.03193430656934307,ne,39.0,0.035583941605839414
ils,35,0.03193430656934307,cadr,39.0,0.035583941605839414
liorer,34,0.03102189781021898,aac,38.0,0.03467153284671533
agroalimentaire,34,0.03102189781021898,agroalimentair,38.0,0.03467153284671533
information,34,0.03102189781021898,voir,38.0,0.03467153284671533
certains,33,0.030109489051094892,sol,36.0,0.032846715328467155
ses,33,0.030109489051094892,sondag,36.0,0.032846715328467155
prochain,33,0.030109489051094892,mond,36.0,0.032846715328467155
recette,33,0.030109489051094892,innov,35.0,0.03193430656934307
leur,32,0.029197080291970802,ferm,35.0,0.03193430656934307
industrie,32,0.029197080291970802,recett,35.0,0.03193430656934307
brez,32,0.029197080291970802,son,35.0,0.03193430656934307
ans,32,0.029197080291970802,davantag,35.0,0.03193430656934307
poste,31,0.028284671532846715,champ,34.0,0.03102189781021898
si,31,0.028284671532846715,inform,34.0,0.03102189781021898
brer,31,0.028284671532846715,liorer,34.0,0.03102189781021898
voyez,31,0.028284671532846715,industri,34.0,0.03102189781021898
merci,31,0.028284671532846715,scienc,33.0,0.030109489051094892
apprendre,31,0.028284671532846715,brez,32.0,0.029197080291970802
nouveau,31,0.028284671532846715,an,32.0,0.029197080291970802
politiquealimentairecanada,30,0.02737226277372263,ses,32.0,0.029197080291970802
ro,30,0.02737226277372263,entrepris,32.0,0.029197080291970802
programmes,30,0.02737226277372263,bonn,32.0,0.029197080291970802
pays,30,0.02737226277372263,brer,31.0,0.028284671532846715
sa,30,0.02737226277372263,merci,31.0,0.028284671532846715
essayez,29,0.02645985401459854,si,31.0,0.028284671532846715
gumineuses,29,0.02645985401459854,voyez,31.0,0.028284671532846715
voulez,29,0.02645985401459854,nouveau,31.0,0.028284671532846715
ferme,29,0.02645985401459854,apprendr,31.0,0.028284671532846715
fait,29,0.02645985401459854,ro,30.0,0.02737226277372263
tout,28,0.025547445255474453,politiquealimentairecanada,30.0,0.02737226277372263
150,28,0.025547445255474453,membr,30.0,0.02737226277372263
elle,27,0.024635036496350366,sa,30.0,0.02737226277372263
croyez,27,0.024635036496350366,pay,30.0,0.02737226277372263
faut,27,0.024635036496350366,essayez,29.0,0.02645985401459854
coup,26,0.023722627737226276,gumineus,29.0,0.02645985401459854
faites,26,0.023722627737226276,voulez,29.0,0.02645985401459854
compte,26,0.023722627737226276,jour,28.0,0.025547445255474453
contre,26,0.023722627737226276,mai,28.0,0.025547445255474453
maintenant,26,0.023722627737226276,150,28.0,0.025547445255474453
aussi,26,0.023722627737226276,alimentair,28.0,0.025547445255474453
site,26,0.023722627737226276,coup,28.0,0.025547445255474453
vers,26,0.023722627737226276,servic,27.0,0.024635036496350366
2016,25,0.02281021897810219,ver,27.0,0.024635036496350366
encore,25,0.02281021897810219,compt,27.0,0.024635036496350366
pensez,25,0.02281021897810219,petit,27.0,0.024635036496350366
champs,25,0.02281021897810219,faut,27.0,0.024635036496350366
nouvelles,25,0.02281021897810219,croyez,27.0,0.024635036496350366
10,24,0.021897810218978103,export,27.0,0.024635036496350366
duire,24,0.021897810218978103,mainten,26.0,0.023722627737226276
travail,24,0.021897810218978103,site,26.0,0.023722627737226276
bonne,24,0.021897810218978103,contr,26.0,0.023722627737226276
postes,24,0.021897810218978103,aussi,26.0,0.023722627737226276
beaucoup,24,0.021897810218978103,pensez,25.0,0.02281021897810219
ue,24,0.021897810218978103,renseign,25.0,0.02281021897810219
obtenir,24,0.021897810218978103,cent,25.0,0.02281021897810219
travaillent,24,0.021897810218978103,encor,25.0,0.02281021897810219
gique,23,0.020985401459854013,personn,25.0,0.02281021897810219
alimentaire,23,0.020985401459854013,2016,25.0,0.02281021897810219
lait,23,0.020985401459854013,mondial,25.0,0.02281021897810219
postulez,23,0.020985401459854013,10,24.0,0.021897810218978103
ottawa,23,0.020985401459854013,besoin,24.0,0.021897810218978103
chef,22,0.020072992700729927,meilleur,24.0,0.021897810218978103
permet,22,0.020072992700729927,duir,24.0,0.021897810218978103
mais,22,0.020072992700729927,maladi,24.0,0.021897810218978103
partout,22,0.020072992700729927,beaucoup,24.0,0.021897810218978103
aime,22,0.020072992700729927,obtenir,24.0,0.021897810218978103
membre,22,0.020072992700729927,fruit,24.0,0.021897810218978103
mieux,22,0.020072992700729927,ue,24.0,0.021897810218978103
croissance,22,0.020072992700729927,giqu,24.0,0.021897810218978103
science,21,0.01916058394160584,rienc,23.0,0.020985401459854013
pouvez,21,0.01916058394160584,serr,23.0,0.020985401459854013
acceptons,21,0.01916058394160584,cision,23.0,0.020985401459854013
