token,tok_freq,tok_freq_perc,stemmer,stem_freq,stem_freq_perc
ly,777,0.716789667896679,ly,777.0,0.716789667896679
ow,773,0.7130996309963099,ow,773.0,0.7130996309963099
http,462,0.4261992619926199,http,462.0,0.4261992619926199
learn,308,0.28413284132841327,learn,328.0,0.3025830258302583
canadian,294,0.27121771217712176,canadian,321.0,0.29612546125461253
agriculture,195,0.17988929889298894,agricultur,289.0,0.2666051660516605
canada,178,0.16420664206642066,help,210.0,0.1937269372693727
help,147,0.13560885608856088,canada,178.0,0.16420664206642066
food,131,0.12084870848708487,research,148.0,0.13653136531365315
agricultural,128,0.11808118081180811,scientist,134.0,0.12361623616236163
today,124,0.11439114391143912,food,130.0,0.11992619926199262
research,116,0.1070110701107011,work,124.0,0.11439114391143912
scientists,116,0.1070110701107011,today,117.0,0.10793357933579335
new,116,0.1070110701107011,us,116.0,0.1070110701107011
us,116,0.1070110701107011,new,116.0,0.1070110701107011
know,106,0.09778597785977859,find,106.0,0.09778597785977859
check,98,0.09040590405904059,know,106.0,0.09778597785977859
find,91,0.08394833948339483,check,98.0,0.09040590405904059
farmers,84,0.07749077490774908,farmer,91.0,0.08394833948339483
agri,80,0.07380073800738007,produc,89.0,0.08210332103321033
apply,79,0.07287822878228782,farm,87.0,0.08025830258302583
work,77,0.07103321033210332,develop,85.0,0.07841328413284133
celebrate,70,0.06457564575645756,celebr,83.0,0.07656826568265683
looking,69,0.06365313653136531,look,79.0,0.07287822878228782
sector,67,0.061808118081180814,agri,77.0,0.07103321033210332
day,63,0.058118081180811805,year,73.0,0.06734317343173432
info,60,0.055350553505535055,appli,73.0,0.06734317343173432
nan,59,0.0544280442804428,sector,69.0,0.06365313653136531
farm,58,0.05350553505535055,day,67.0,0.061808118081180814
week,54,0.04981549815498155,make,66.0,0.06088560885608856
science,54,0.04981549815498155,crop,63.0,0.058118081180811805
open,53,0.048892988929889296,use,63.0,0.058118081180811805
come,51,0.0470479704797048,come,61.0,0.05627306273062731
cdnag,50,0.046125461254612546,info,60.0,0.055350553505535055
centre,50,0.046125461254612546,nan,59.0,0.0544280442804428
make,49,0.045202952029520294,open,58.0,0.05350553505535055
join,49,0.045202952029520294,week,57.0,0.052583025830258305
see,48,0.04428044280442804,like,57.0,0.052583025830258305
researchers,47,0.043357933579335796,centr,54.0,0.04981549815498155
world,47,0.043357933579335796,scienc,53.0,0.048892988929889296
development,47,0.043357933579335796,think,52.0,0.04797047970479705
