token,tok_freq,tok_freq_perc,stemmer,stem_freq,stem_freq_perc
vous,994,1.002016129032258,de,808.0,0.8145161290322581
de,840,0.8467741935483871,http,757.0,0.7631048387096774
http,757,0.7631048387096774,ly,747.0,0.7530241935483871
ly,747,0.7530241935483871,ow,747.0,0.7530241935483871
ow,747,0.7530241935483871,vous,744.0,0.75
pour,644,0.6491935483870968,pour,563.0,0.5675403225806451
les,632,0.6370967741935484,en,559.0,0.563508064516129
en,594,0.5987903225806451,les,539.0,0.5433467741935484
le,593,0.5977822580645161,la,533.0,0.5372983870967742
la,590,0.594758064516129,et,531.0,0.5352822580645161
un,547,0.5514112903225806,des,524.0,0.5282258064516129
et,545,0.5493951612903226,un,519.0,0.5231854838709677
des,544,0.5483870967741935,le,501.0,0.5050403225806451
votre,507,0.5110887096774194,votr,484.0,0.4879032258064516
une,422,0.4254032258064516,une,408.0,0.4112903225806452
que,364,0.36693548387096775,que,366.0,0.3689516129032258
ou,337,0.3397177419354839,ou,335.0,0.3377016129032258
vos,334,0.33669354838709675,est,326.0,0.3286290322580645
est,332,0.3346774193548387,vos,324.0,0.32661290322580644
sur,326,0.3286290322580645,sur,323.0,0.32560483870967744
plus,308,0.31048387096774194,plus,296.0,0.29838709677419356
du,285,0.2872983870967742,du,284.0,0.2862903225806452
au,283,0.2852822580645161,au,271.0,0.27318548387096775
pas,266,0.26814516129032256,pas,262.0,0.26411290322580644
qui,245,0.2469758064516129,il,251.0,0.2530241935483871
ne,243,0.24495967741935484,qui,245.0,0.2469758064516129
si,243,0.24495967741935484,ne,235.0,0.2368951612903226
il,234,0.23588709677419356,si,205.0,0.20665322580645162
ce,194,0.19556451612903225,ce,189.0,0.1905241935483871
avez,190,0.19153225806451613,dan,183.0,0.1844758064516129
dans,188,0.18951612903225806,avez,180.0,0.1814516129032258
par,165,0.1663306451612903,par,164.0,0.16532258064516128
peut,160,0.16129032258064516,peut,160.0,0.16129032258064516
argent,152,0.1532258064516129,conseil,159.0,0.16028225806451613
avant,152,0.1532258064516129,argent,151.0,0.15221774193548387
nan,145,0.1461693548387097,nan,145.0,0.1461693548387097
sont,144,0.14516129032258066,sont,143.0,0.14415322580645162
conseils,140,0.14112903225806453,autr,142.0,0.1431451612903226
aux,137,0.1381048387096774,avant,139.0,0.14012096774193547
canada,135,0.13608870967741934,aux,137.0,0.1381048387096774
faire,135,0.13608870967741934,fait,134.0,0.1350806451612903
es,123,0.12399193548387097,fair,134.0,0.1350806451612903
frais,113,0.11391129032258064,canada,131.0,0.13205645161290322
autres,111,0.11189516129032258,es,122.0,0.12298387096774194
avec,106,0.10685483870967742,tout,114.0,0.11491935483870967
obtenir,98,0.09879032258064516,frai,112.0,0.11290322580645161
renseignements,91,0.09173387096774194,servic,108.0,0.10887096774193548
temps,86,0.08669354838709678,avec,106.0,0.10685483870967742
savoir,86,0.08669354838709678,obtenir,98.0,0.09879032258064516
dit,85,0.08568548387096774,renseign,96.0,0.0967741935483871
comme,85,0.08568548387096774,dit,89.0,0.08971774193548387
renseignez,85,0.08568548387096774,savoir,86.0,0.08669354838709678
consultez,80,0.08064516129032258,mai,86.0,0.08669354838709678
aider,80,0.08064516129032258,temp,86.0,0.08669354838709678
mais,80,0.08064516129032258,renseignez,85.0,0.08568548387096774
peuvent,76,0.07661290322580645,comm,82.0,0.08266129032258064
sans,75,0.07560483870967742,achat,82.0,0.08266129032258064
payer,75,0.07560483870967742,leur,82.0,0.08266129032258064
services,73,0.07358870967741936,aider,80.0,0.08064516129032258
tout,72,0.07258064516129033,consultez,79.0,0.07963709677419355
ces,72,0.07258064516129033,cart,77.0,0.07762096774193548
achat,71,0.0715725806451613,peuvent,76.0,0.07661290322580645
pouvez,70,0.07056451612903226,san,75.0,0.07560483870967742
bien,69,0.06955645161290322,payer,73.0,0.07358870967741936
apprenez,69,0.06955645161290322,canadien,73.0,0.07358870967741936
avoir,69,0.06955645161290322,bien,72.0,0.07258064516129033
se,69,0.06955645161290322,utilis,71.0,0.0715725806451613
fait,68,0.06854838709677419,pouvez,70.0,0.07056451612903226
obtenez,66,0.06653225806451613,ces,70.0,0.07056451612903226
assurez,65,0.0655241935483871,avoir,69.0,0.06955645161290322
saviezvous,63,0.06350806451612903,apprenez,69.0,0.06955645161290322
ligne,63,0.06350806451612903,se,69.0,0.06955645161290322
comment,62,0.0625,certain,67.0,0.06754032258064516
tre,62,0.0625,inform,66.0,0.06653225806451613
carte,62,0.0625,obtenez,65.0,0.0655241935483871
faites,60,0.06048387096774194,bonn,63.0,0.06350806451612903
canadiens,59,0.059475806451612906,lign,63.0,0.06350806451612903
ainsi,59,0.059475806451612906,saviezv,63.0,0.06350806451612903
lorsque,57,0.057459677419354836,assurez,62.0,0.0625
cette,55,0.055443548387096774,tre,62.0,0.0625
res,55,0.055443548387096774,comment,62.0,0.0625
prix,55,0.055443548387096774,ainsi,59.0,0.059475806451612906
leur,54,0.05443548387096774,lorsqu,58.0,0.05846774193548387
information,52,0.05241935483870968,dett,58.0,0.05846774193548387
sujet,52,0.05241935483870968,ell,58.0,0.05846774193548387
pourriez,52,0.05241935483870968,assur,58.0,0.05846774193548387
voyez,52,0.05241935483870968,droit,58.0,0.05846774193548387
pourrait,51,0.05141129032258065,besoin,57.0,0.057459677419354836
voici,51,0.05141129032258065,jour,57.0,0.057459677419354836
nous,50,0.05040322580645161,produit,56.0,0.056451612903225805
saviez,50,0.05040322580645161,res,55.0,0.055443548387096774
bon,50,0.05040322580645161,prix,55.0,0.055443548387096774
ts,49,0.04939516129032258,sujet,55.0,0.055443548387096774
penses,48,0.04838709677419355,bon,55.0,0.055443548387096774
dettes,48,0.04838709677419355,factur,54.0,0.05443548387096774
service,48,0.04838709677419355,pourriez,52.0,0.05241935483870968
moins,48,0.04838709677419355,pens,52.0,0.05241935483870968
rer,48,0.04838709677419355,cett,52.0,0.05241935483870968
ont,48,0.04838709677419355,voyez,52.0,0.05241935483870968
acheter,47,0.047379032258064516,demand,52.0,0.05241935483870968
besoin,47,0.047379032258064516,voici,51.0,0.05141129032258065
mois,47,0.047379032258064516,pourrait,51.0,0.05141129032258065
conomiser,46,0.046370967741935484,compt,51.0,0.05141129032258065
bonne,46,0.046370967741935484,saviez,50.0,0.05040322580645161
ils,45,0.04536290322580645,conomis,50.0,0.05040322580645161
offre,45,0.04536290322580645,rembours,50.0,0.05040322580645161
non,45,0.04536290322580645,ts,49.0,0.04939516129032258
pargner,44,0.04435483870967742,achet,49.0,0.04939516129032258
cas,44,0.04435483870967742,enfant,48.0,0.04838709677419355
revenu,44,0.04435483870967742,rer,48.0,0.04838709677419355
mieux,43,0.04334677419354839,moin,48.0,0.04838709677419355
budget,43,0.04334677419354839,offr,48.0,0.04838709677419355
aussi,42,0.04233870967741935,ont,48.0,0.04838709677419355
utilisez,42,0.04233870967741935,paiement,47.0,0.047379032258064516
droits,41,0.04133064516129032,moi,46.0,0.046370967741935484
offrent,41,0.04133064516129032,nous,46.0,0.046370967741935484
notre,40,0.04032258064516129,personn,45.0,0.04536290322580645
compte,39,0.03931451612903226,non,45.0,0.04536290322580645
jour,38,0.038306451612903226,revenu,44.0,0.04435483870967742
vie,38,0.038306451612903226,pargner,44.0,0.04435483870967742
montant,38,0.038306451612903226,cas,44.0,0.04435483870967742
duire,38,0.038306451612903226,budget,44.0,0.04435483870967742
tous,37,0.037298387096774195,mieux,43.0,0.04334677419354839
leurs,37,0.037298387096774195,fraud,43.0,0.04334677419354839
ger,37,0.037298387096774195,utilisez,42.0,0.04233870967741935
enfants,36,0.036290322580645164,canadienn,42.0,0.04233870967741935
certaines,36,0.036290322580645164,aussi,42.0,0.04233870967741935
canadienne,35,0.03528225806451613,offrent,41.0,0.04133064516129032
