token,tok_freq,tok_freq_perc,stemmer,stem_freq,stem_freq_perc
http,762,0.7658291457286432,http,762.0,0.7658291457286432
ly,753,0.75678391959799,ly,753.0,0.75678391959799
ow,753,0.75678391959799,ow,753.0,0.75678391959799
get,232,0.23316582914572864,get,259.0,0.26030150753768844
learn,192,0.192964824120603,learn,195.0,0.19597989949748743
money,176,0.17688442211055277,help,179.0,0.1798994974874372
help,166,0.16683417085427135,money,171.0,0.17185929648241205
find,156,0.15678391959798996,make,164.0,0.16482412060301507
check,147,0.14773869346733667,find,161.0,0.16180904522613065
tips,142,0.14271356783919598,check,152.0,0.1527638190954774
nan,142,0.14271356783919598,save,150.0,0.1507537688442211
make,141,0.14170854271356784,use,147.0,0.14773869346733667
time,134,0.13467336683417086,tip,147.0,0.14773869346733667
know,131,0.13165829145728644,nan,142.0,0.14271356783919598
canada,128,0.12864321608040202,time,141.0,0.14170854271356784
may,117,0.11758793969849246,know,134.0,0.13467336683417086
dyk,107,0.10753768844221105,cost,131.0,0.13165829145728644
pay,100,0.10050251256281408,canada,124.0,0.12462311557788945
new,97,0.09748743718592964,pay,123.0,0.12361809045226131
use,96,0.0964824120603015,may,117.0,0.11758793969849246
credit,95,0.09547738693467336,plan,113.0,0.1135678391959799
save,95,0.09547738693467336,dyk,107.0,0.10753768844221105
information,87,0.08743718592964825,need,106.0,0.10653266331658291
need,86,0.0864321608040201,canadian,97.0,0.09748743718592964
like,84,0.08442211055276382,new,97.0,0.09748743718592964
financial,83,0.08341708542713568,take,97.0,0.09748743718592964
plan,81,0.0814070351758794,like,93.0,0.09346733668341708
sure,80,0.08040201005025126,credit,93.0,0.09346733668341708
debt,72,0.07236180904522613,buy,91.0,0.0914572864321608
one,71,0.07135678391959799,inform,90.0,0.09045226130653267
take,71,0.07135678391959799,servic,84.0,0.08442211055276382
online,66,0.06633165829145729,one,81.0,0.0814070351758794
way,66,0.06633165829145729,financi,81.0,0.0814070351758794
costs,63,0.06331658291457286,sure,80.0,0.08040201005025126
card,61,0.061306532663316586,way,78.0,0.07839195979899498
home,60,0.06030150753768844,month,76.0,0.0763819095477387
free,59,0.0592964824120603,look,75.0,0.07537688442211055
cost,57,0.05728643216080402,debt,73.0,0.07336683417085427
means,56,0.05628140703517588,tax,70.0,0.07035175879396985
back,56,0.05628140703517588,protect,69.0,0.06934673366834171
buying,54,0.054271356783919596,card,68.0,0.06834170854271357
ask,54,0.054271356783919596,year,67.0,0.06733668341708543
looking,53,0.053266331658291456,start,67.0,0.06733668341708543
could,53,0.053266331658291456,mean,66.0,0.06633165829145729
canadian,53,0.053266331658291456,bill,66.0,0.06633165829145729
many,52,0.05226130653266332,deal,66.0,0.06633165829145729
getting,52,0.05226130653266332,ask,65.0,0.06532663316582915
avoid,52,0.05226130653266332,right,63.0,0.06331658291457286
cash,50,0.05025125628140704,onlin,62.0,0.062311557788944726
first,50,0.05025125628140704,live,62.0,0.062311557788944726
year,50,0.05025125628140704,day,60.0,0.06030150753768844
good,49,0.04924623115577889,home,60.0,0.06030150753768844
day,49,0.04924623115577889,back,57.0,0.05728643216080402
service,49,0.04924623115577889,free,56.0,0.05628140703517588
canadians,49,0.04924623115577889,offer,56.0,0.05628140703517588
tax,49,0.04924623115577889,work,55.0,0.05527638190954774
even,48,0.04824120603015075,person,54.0,0.054271356783919596
buy,48,0.04824120603015075,avoid,54.0,0.054271356783919596
savings,47,0.04723618090452261,think,53.0,0.053266331658291456
budget,47,0.04723618090452261,could,53.0,0.053266331658291456
protect,46,0.04623115577889447,good,53.0,0.053266331658291456
services,46,0.04623115577889447,fee,52.0,0.05226130653266332
work,45,0.04522613065326633,payment,50.0,0.05025125628140704
using,44,0.044221105527638194,expens,50.0,0.05025125628140704
want,44,0.044221105527638194,scam,50.0,0.05025125628140704
start,44,0.044221105527638194,cash,49.0,0.04924623115577889
personal,43,0.04321608040201005,even,49.0,0.04924623115577889
fees,43,0.04321608040201005,first,49.0,0.04924623115577889
see,42,0.04221105527638191,budget,49.0,0.04924623115577889
also,42,0.04221105527638191,bank,48.0,0.04824120603015075
great,41,0.04120603015075377,mani,48.0,0.04824120603015075
saving,41,0.04120603015075377,consum,47.0,0.04723618090452261
bill,40,0.04020100502512563,option,47.0,0.04723618090452261
paying,39,0.03919597989949749,want,46.0,0.04623115577889447
interest,39,0.03919597989949749,keep,46.0,0.04623115577889447
insurance,39,0.03919597989949749,provid,46.0,0.04623115577889447
right,38,0.03819095477386935,charg,45.0,0.04522613065326633
keep,38,0.03819095477386935,consid,44.0,0.044221105527638194
best,38,0.03819095477386935,interest,43.0,0.04321608040201005
bank,37,0.0371859296482412,great,43.0,0.04321608040201005
income,37,0.0371859296482412,see,43.0,0.04321608040201005
shopping,37,0.0371859296482412,also,42.0,0.04221105527638191
