comment_id,status_id,parent_id,comment_message,comment_published,num_reactions,num_likes,num_loves,num_wows,num_hahas,num_sads,num_angrys,num_special
1070571143084449_1070587396416157,485734081568161_1070571143084449,,"Personnellement j'aime mieux mettre le mm montant à chaque semaine... alors dans cette situation faudrait que je mettre 26,50$ par semaine..",2017-12-29 12:27:03,1,1,0,0,0,0,0,0
1070571143084449_1070673219740908,485734081568161_1070571143084449,1070571143084449_1070587396416157,100% d'accord avec vous. L'autre façon proposé est complétement ridicule.....dans les deux derniers mois on se retrouve à mettre 200$ par mois.......si qqn peut se permettre celà....il n'a pas besoin de faire tout ça pendant un an.,2017-12-29 16:07:52,2,2,0,0,0,0,0,0
1070571143084449_1070683386406558,485734081568161_1070571143084449,1070571143084449_1070587396416157,pourquoi pas juste mettre 52$ par semaine et avoir plus en bout de ligne,2017-12-29 16:46:03,0,0,0,0,0,0,0,0
1070571143084449_1070686163072947,485734081568161_1070571143084449,1070571143084449_1070587396416157,Lewis Durivage si le budget le permet je trouve aussi que c une bonne idée... tout dépend des besoin... mon conjoint et moi avons des projets et on ce fait des tites case dans  notre fichier Excel...,2017-12-29 16:54:21,0,0,0,0,0,0,0,0
1070571143084449_1070590779749152,485734081568161_1070571143084449,,Moi j'ai réussie et oui pour 2018 je le ferai 😉,2017-12-29 12:35:20,0,0,0,0,0,0,0,0
1070571143084449_1070981029710127,485734081568161_1070571143084449,,Bonjour,2017-12-30 08:41:01,0,0,0,0,0,0,0,0
1070571143084449_1071623379645892,485734081568161_1070571143084449,,Valérie Rouette pour toi ça serait bien,2017-12-31 11:41:23,0,0,0,0,0,0,0,0
1070571143084449_1070753863066177,485734081568161_1070571143084449,,Guillaume Joseph,2017-12-29 20:48:15,1,0,0,1,0,0,0,0
1070571143084449_1070604839747746,485734081568161_1070571143084449,,Ely Rioux,2017-12-29 13:02:40,0,0,0,0,0,0,0,0
1070571143084449_1070572696417627,485734081568161_1070571143084449,,Béatrice Cennes Habitudes,2017-12-29 11:49:44,1,1,0,0,0,0,0,0
1066485463493017_1066575930150637,485734081568161_1066485463493017,,"on voit aucune différence sur notre facture ...... faites moi rire pour l,avoir testé a plusieurs occasions",2017-12-21 16:04:25,0,0,0,0,0,0,0,0
1066094556865441_1069660576508839,485734081568161_1066094556865441,,es ce que trudeau fait des dons avec son argent personnel ou juste avec l'argent des canadiens et quebecois?,2017-12-27 17:59:17,0,0,0,0,0,0,0,0
1064931470315083_1065161060292124,485734081568161_1064931470315083,,"Les gens qui ont rédigé ce texte n'ont, de toute évidence, ni fait du bois de chauffage, ni vendu! Le bois de chauffage se vend ""à la corde"" au Québec. En plus, d'exiger que le bois soit cordé avant le déchargement est un non sens et entraînerait des coûts supplémentaires puisqu'une opération de plus.",2017-12-18 23:06:13,0,0,0,0,0,0,0,0
1063407083800855_1063651167109780,485734081568161_1063407083800855,,Mieux vos avoir les isines testils au pays que traverce pour achetes les materiel de la fête au canada nous a notre embassedeur de la RDC de savoire les soucis du peuples congo,2017-12-16 07:05:00,0,0,0,0,0,0,0,0
