status_id,status_message,link_name,status_type,status_link,status_published,num_reactions,num_comments,num_shares,num_likes,num_loves,num_wows,num_hahas,num_sads,num_angrys,num_special
485734081568161_1070571143084449,"En 2017, les abonnés de Questions d’argent ont pris part au #défi52semainesdéconomie.
La première semaine, ils ont économisé un dollar. La deuxième, deux dollars. La troisième, trois dollars. Vous voyez le concept? Ils devraient avoir économisé 1378$ en cette fin de 2017!
Nous aimerions savoir si vous avez été en mesure d’adopter cette nouvelle habitude d’épargne. Est-ce que le fait d’avoir un plan vous a permis d’atteindre votre objectif en matière d’épargne? Pour nous répondre, utilisez la case commentaires ci-dessous.
Vous engagez-vous à reprendre le défi des 52 semaines d’économie en 2018?
Pour obtenir d’autres conseils en matière d’épargne:
http://ow.ly/L1te30hs5VX",Timeline Photos,photo,https://www.facebook.com/QuestionsdargentCanada/photos/a.534106823397553.1073741828.485734081568161/1070571143084449/?type=3,2017-12-29 11:45:18,39,7,63,37,2,0,0,0,0,0
485734081568161_1070116543129909,,Agence de la consommation en matière financière du Canada (ACFC),photo,https://www.facebook.com/ACFCan/photos/a.260990094033469.64157.184605778338568/1155929974539472/?type=3,2017-12-28 14:02:41,3,0,1,3,0,0,0,0,0,0
485734081568161_1070069349801295,"La proposition de consommateur est un plan qui permet de rembourser à vos créanciers un pourcentage de ce que vous leur devez ou de prolonger la période de remboursement, ou les deux.
Pour en savoir plus sur les propositions de consommateur: http://ow.ly/TUJJ30hs4X9",,status,,2017-12-28 11:45:17,0,0,2,0,0,0,0,0,0,0
485734081568161_1069540559854174,"Vous vous branchez à un réseau Wi-Fi public pour utiliser les médias sociaux?
Utiliser un réseau Wi-Fi public peut être pratique, mais également risqué. Si vous devez effectuer une transaction en ligne pour laquelle vous devez saisir des renseignements personnels, il vaut mieux utiliser votre propre forfait sans fil plutôt qu’un réseau non sécurisé.
Pour d’autres conseils #WiFiFuté : http://ow.ly/sdgV30hs4x1",Timeline Photos,photo,https://www.facebook.com/QuestionsdargentCanada/photos/a.534106823397553.1073741828.485734081568161/1069540559854174/?type=3,2017-12-27 11:45:17,5,0,11,5,0,0,0,0,0,0
485734081568161_1069076363233927,"Vous courez les soldes de l’#AprèsNoël pour acheter au rabais des appareils électroniques, des électroménagers ou autres articles coûteux?

Avant d’acheter une garantie prolongée, assurez-vous de bien comprendre ce que couvre cette garantie.

Renseignez-vous pour savoir si le produit que vous achetez est assorti d’une garantie du fabricant. Vérifiez aussi auprès de l’émetteur de votre carte de crédit s’il offre une garantie additionnelle dans le cas où vous payez avec celle-ci. Peut-être êtes-vous déjà bien couvert.

Pour en savoir plus sur les garanties prolongées: http://ow.ly/5uRU30hoN4e",Timeline Photos,photo,https://www.facebook.com/QuestionsdargentCanada/photos/a.534106823397553.1073741828.485734081568161/1069076363233927/?type=3,2017-12-26 11:45:12,2,0,7,2,0,0,0,0,0,0
485734081568161_1068492299959000,Joyeux temps des Fêtes à tous nos abonnés!,Timeline Photos,photo,https://www.facebook.com/QuestionsdargentCanada/photos/a.534106823397553.1073741828.485734081568161/1068492299959000/?type=3,2017-12-25 08:01:22,1,0,1,1,0,0,0,0,0,0
485734081568161_1067011050107125,"La Loi canadienne anti-pourriel interdit à quiconque d’installer des logiciels — y compris des mises à jour — sur vos appareils électroniques sans votre consentement.

Elle s’applique également aux mises à jour et à niveau installées par quelqu’un d’autre, même si vous avez installé le logiciel original. Si vous pensez que quelqu’un a installé des logiciels malicieux ou modifié vos logiciels de façon à vous nuire, signalez-le sur http://ow.ly/5q7T30hfYyW #combattrelepourriel",Timeline Photos,photo,https://www.facebook.com/QuestionsdargentCanada/photos/a.534106823397553.1073741828.485734081568161/1067011050107125/?type=3,2017-12-22 11:45:23,1,0,4,1,0,0,0,0,0,0
485734081568161_1066485463493017,"C’est officiellement l’hiver!

Si vous prévoyez voyager cet hiver ou vous absenter pour une longue période, assurez-vous de débrancher tout ce qui n’est pas essentiel afin d’épargner sur votre facture d’électricité.

La consommation d’énergie en mode attente peut représenter de 5 à 10 % des coûts d’électricité d’un foyer.

Apprenez d’autres moyens d’économiser de l’énergie et de l’argent: http://ow.ly/tNsg30hfXFq",Timeline Photos,photo,https://www.facebook.com/QuestionsdargentCanada/photos/a.534106823397553.1073741828.485734081568161/1066485463493017/?type=3,2017-12-21 11:45:20,3,2,0,2,0,0,1,0,0,0
485734081568161_1066094556865441,"À la recherche du cadeau idéal? 

Un don est toujours de la bonne taille! L’Agence du revenu du Canada publie une liste d’#organismesdebienfaisance et de ressources pour vous aider à choisir l’organisme de charité qui convient le mieux à vous ou à vos proches. 
http://ow.ly/s0bO30hfXoP",Timeline Photos,photo,https://www.facebook.com/QuestionsdargentCanada/photos/a.534106823397553.1073741828.485734081568161/1066094556865441/?type=3,2017-12-20 18:45:09,4,1,1,4,0,0,0,0,0,0
485734081568161_1065980056876891,,Pensez cybersécurité,photo,https://www.facebook.com/Pensezcybersecurite/photos/a.435485793204761.1073741828.435100263243314/1579897055430290/?type=3,2017-12-20 12:46:41,0,0,0,0,0,0,0,0,0,0
