,owner,created_at,id,post_id,text_cleaned,hashtags,urls
0,"{""username"":""environnementcan"",""profile_pic_url"":""https://instagram.fyvr3-1.fna.fbcdn.net/t51.2885-19/s150x150/25016584_1248753311891192_7797948622686912512_n.jpg"",""id"":""3913646610""}",1476795585,1.78645E+16,2016-10-18_05-58-54,étro ère Été éeDeLaPersonne,"['#FraserValley', '#Conservation', '#BirdNerd', '#Oiseaux', '#JeudiR', '#RetourEnArri', '#', '#Faune', '#Flore', '#Journ', '#SansFiltre', '#TBT']",[]
1,"{""username"":""environnementcan"",""profile_pic_url"":""https://instagram.fyvr3-1.fna.fbcdn.net/t51.2885-19/s150x150/25016584_1248753311891192_7797948622686912512_n.jpg"",""id"":""3913646610""}",1476878933,1.78434E+16,2016-10-19_05-07-33,étéo étéo étéorologie étéo étéo ôtièreCanadienne étéo ,"['#M', '#StationM', '#WeatherNerd', '#Vancouver', '#M', '#PhotosM', '#InstaM', '#GardeC', '#MercrediM', '#NoFilter', '#SansFiltre']",[]
2,"{""username"":""environnementcan"",""profile_pic_url"":""https://instagram.fyvr3-1.fna.fbcdn.net/t51.2885-19/s150x150/25016584_1248753311891192_7797948622686912512_n.jpg"",""id"":""3913646610""}",1476976886,1.78533E+16,2016-10-20_07-19-42,,"['#Oiseaux', '#Mer', '#Ocean', '#Conservation', '#InstaBirds', '#Puffin', '#Puffins', '#Macareux', '#Atlantique', '#Maritimes', '#PhotoOfTheDay']",[]
3,"{""username"":""environnementcan"",""profile_pic_url"":""https://instagram.fyvr3-1.fna.fbcdn.net/t51.2885-19/s150x150/25016584_1248753311891192_7797948622686912512_n.jpg"",""id"":""3913646610""}",1477063659,1.78435E+16,2016-10-21_08-26-00,,"['#Conservation', '#Grasslands', '#BC', '#BeautifulBC', '#ExploreBC', '#Kamloops', '#Nature', '#Ornithologie', '#Explorer', '#Vendredi', '#MiniVan', '#Aventures', '#NoFilter']",[]
4,"{""username"":""environnementcan"",""profile_pic_url"":""https://instagram.fyvr3-1.fna.fbcdn.net/t51.2885-19/s150x150/25016584_1248753311891192_7797948622686912512_n.jpg"",""id"":""3913646610""}",1477318073,1.78645E+16,2016-10-24_07-07-04,,"['#MondaysGotMeLike', '#MondayGotMeLike', '#MondayMotivation', '#MondayFeeling', '#IsItFridayYet', '#Owl', '#Owls', '#InstaOwls', '#InstaBirds', '#OwlsOfInstagram', '#PhotoOfTheDay', '#Reconyx', '#Wildlife']",[]
5,"{""username"":""environnementcan"",""profile_pic_url"":""https://instagram.fyvr3-1.fna.fbcdn.net/t51.2885-19/s150x150/25016584_1248753311891192_7797948622686912512_n.jpg"",""id"":""3913646610""}",1477318056,1.78646E+16,2016-10-24_07-07-04,,"['#Hibou', '#Hiboux', '#Oiseaux', '#Faune', '#Lundi', '#LundiMatin', '#Reconyx', '#Canada']",[]
6,"{""username"":""travelstylenews"",""profile_pic_url"":""https://instagram.fyvr3-1.fna.fbcdn.net/t51.2885-19/s150x150/18382651_1376516069095659_3288503141099634688_n.jpg"",""id"":""3838814206""}",1477452127,1.78436E+16,2016-10-25_08-02-00,Great,[],[]
7,"{""username"":""environnementcan"",""profile_pic_url"":""https://instagram.fyvr3-1.fna.fbcdn.net/t51.2885-19/s150x150/25016584_1248753311891192_7797948622686912512_n.jpg"",""id"":""3913646610""}",1477407760,1.78557E+16,2016-10-25_08-02-00,âceÀElle étro étro Égalité éminisme,"['#Gr', '#Oiseaux', '#Faune', '#Biologistes', '#MoisDeLaFemme', '#R', '#TBT', '#MardiR', '#Femmes', '#', '#F', '#Arctique', '#GirlPower', '#BirdYear', '#NoFilter']",[]
8,"{""username"":""thegreatjoceline"",""profile_pic_url"":""https://instagram.fyvr3-1.fna.fbcdn.net/t51.2885-19/s150x150/14134621_1589686114668080_820281783_a.jpg"",""id"":""3684009738""}",1477514772,1.7865E+16,2016-10-26_07-29-26,Instructifs!,[],[]
9,"{""username"":""environnementcan"",""profile_pic_url"":""https://instagram.fyvr3-1.fna.fbcdn.net/t51.2885-19/s150x150/25016584_1248753311891192_7797948622686912512_n.jpg"",""id"":""3913646610""}",1477492248,1.7864E+16,2016-10-26_07-29-26,,"['#MercrediFaune', '#Faune', '#Nature', '#ExploreBC', '#BC', '#Canada', '#Oiseaux', '#Ornithologie', '#FraserRiver', '#Heron', '#Aventures', '#Biologie']",[]
