token,tok_freq,tok_freq_perc,stemmer,stem_freq,stem_freq_perc
nan,70,0.18617021276595744,nan,70.0,0.18617021276595744
love,25,0.06648936170212766,love,27.0,0.07180851063829788
awesome,24,0.06382978723404255,awesom,24.0,0.06382978723404255
work,15,0.0398936170212766,work,21.0,0.05585106382978723
great,15,0.0398936170212766,great,15.0,0.0398936170212766
amazing,14,0.03723404255319149,amaz,14.0,0.03723404255319149
nice,12,0.031914893617021274,photo,13.0,0.034574468085106384
cool,11,0.02925531914893617,nice,12.0,0.031914893617021274
beautiful,10,0.026595744680851064,beauti,11.0,0.02925531914893617
get,10,0.026595744680851064,thank,11.0,0.02925531914893617
you,9,0.023936170212765957,cool,11.0,0.02925531914893617
one,9,0.023936170212765957,go,10.0,0.026595744680851064
it,8,0.02127659574468085,get,10.0,0.026595744680851064
just,8,0.02127659574468085,you,9.0,0.023936170212765957
photo,8,0.02127659574468085,one,9.0,0.023936170212765957
go,8,0.02127659574468085,look,9.0,0.023936170212765957
good,7,0.018617021276595744,just,8.0,0.02127659574468085
can,7,0.018617021276595744,good,8.0,0.02127659574468085
thank,7,0.018617021276595744,it,8.0,0.02127659574468085
still,7,0.018617021276595744,know,7.0,0.018617021276595744
know,6,0.015957446808510637,can,7.0,0.018617021276595744
check,6,0.015957446808510637,still,7.0,0.018617021276595744
picture,6,0.015957446808510637,think,7.0,0.018617021276595744
like,6,0.015957446808510637,volunt,7.0,0.018617021276595744
back,6,0.015957446808510637,well,6.0,0.015957446808510637
wow,6,0.015957446808510637,pictur,6.0,0.015957446808510637
will,6,0.015957446808510637,back,6.0,0.015957446808510637
think,6,0.015957446808510637,check,6.0,0.015957446808510637
well,6,0.015957446808510637,guy,6.0,0.015957446808510637
see,6,0.015957446808510637,will,6.0,0.015957446808510637
people,5,0.013297872340425532,wow,6.0,0.015957446808510637
shot,5,0.013297872340425532,bird,6.0,0.015957446808510637
right,5,0.013297872340425532,see,6.0,0.015957446808510637
stick,5,0.013297872340425532,like,6.0,0.015957446808510637
wildlife,5,0.013297872340425532,post,6.0,0.015957446808510637
bait,5,0.013297872340425532,wildlif,5.0,0.013297872340425532
bird,5,0.013297872340425532,peopl,5.0,0.013297872340425532
post,5,0.013297872340425532,stick,5.0,0.013297872340425532
guys,5,0.013297872340425532,right,5.0,0.013297872340425532
also,5,0.013297872340425532,shot,5.0,0.013297872340425532
photos,5,0.013297872340425532,bait,5.0,0.013297872340425532
much,4,0.010638297872340425,also,5.0,0.013297872340425532
way,4,0.010638297872340425,way,5.0,0.013297872340425532
us,4,0.010638297872340425,too,4.0,0.010638297872340425
earth,4,0.010638297872340425,make,4.0,0.010638297872340425
island,4,0.010638297872340425,fun,4.0,0.010638297872340425
volunteering,4,0.010638297872340425,long,4.0,0.010638297872340425
working,4,0.010638297872340425,day,4.0,0.010638297872340425
climate_change,4,0.010638297872340425,inform,4.0,0.010638297872340425
environment,4,0.010638297872340425,pleas,4.0,0.010638297872340425
cute,4,0.010638297872340425,share,4.0,0.010638297872340425
looking,4,0.010638297872340425,environ,4.0,0.010638297872340425
cws,4,0.010638297872340425,area,4.0,0.010638297872340425
long,4,0.010638297872340425,cute,4.0,0.010638297872340425
fun,4,0.010638297872340425,cws,4.0,0.010638297872340425
thanks,4,0.010638297872340425,year,4.0,0.010638297872340425
best,4,0.010638297872340425,offic,4.0,0.010638297872340425
too,4,0.010638297872340425,island,4.0,0.010638297872340425
truly,4,0.010638297872340425,place,4.0,0.010638297872340425
day,4,0.010638297872340425,time,4.0,0.010638297872340425
looks,4,0.010638297872340425,survey,4.0,0.010638297872340425
last,4,0.010638297872340425,us,4.0,0.010638297872340425
please,4,0.010638297872340425,much,4.0,0.010638297872340425
information,4,0.010638297872340425,earth,4.0,0.010638297872340425
field,4,0.010638297872340425,field,4.0,0.010638297872340425
office,3,0.007978723404255319,last,4.0,0.010638297872340425
caption,3,0.007978723404255319,climate_chang,4.0,0.010638297872340425
place,3,0.007978723404255319,truli,4.0,0.010638297872340425
absolutely,3,0.007978723404255319,best,4.0,0.010638297872340425
fantastic,3,0.007978723404255319,job,3.0,0.007978723404255319
done,3,0.007978723404255319,kerri,3.0,0.007978723404255319
lol,3,0.007978723404255319,1,3.0,0.007978723404255319
hey,3,0.007978723404255319,research,3.0,0.007978723404255319
area,3,0.007978723404255319,mammatus,3.0,0.007978723404255319
sure,3,0.007978723404255319,fantast,3.0,0.007978723404255319
take,3,0.007978723404255319,canada,3.0,0.007978723404255319
