,mediaid,video_url,owner_username,url,tagged_users,comments,typename,caption,likes,shortcode,date,caption_mentions,is_video,id,caption_hashtags,owner_id
0,1.36311E+18,https://instagram.fyvr3-1.fna.fbcdn.net/vp/e962d790aef99ad1b8e7d7fc7b927758/5A637549/t50.2886-16/25029936_1975530216028219_7721154925262012416_n.mp4,canenvironment,https://instagram.fyvr3-1.fna.fbcdn.net/vp/6fa52149e0a783d58f77577bde5147a4/5A639A2D/t51.2885-15/e15/25007307_1563330830422304_7773403309792034816_n.jpg,[],1,GraphVideo,"You probably know us as Environment Canada, but we’ve been Environment and Climate Change Canada for almost a year now. What do we do? Sure, we give you your weather info so you can plan your days, but we do so much more than that! Stay tuned and find out what we’re all about. We’re giving you access to exclusive behind-the-scenes photos and videos from teams located across our beautiful country.",24,BLqvU1TgqfW,2016-10-17T07:43:13,[],TRUE,2016-10-17_07-43-13,[],3913900802
1,1.36378E+18,,canenvironment,https://instagram.fyvr3-1.fna.fbcdn.net/vp/e91fca5ed840e34dfe4e1e2bccf5b15c/5AF0EFD0/t51.2885-15/e35/25008014_307920273028697_2885383575190896640_n.jpg,[],1,GraphImage,"“Being biologists, we were out looking for great blue herons again this summer. By visiting nesting sites, we can monitor these awesome birds and track the species. Sadly, their numbers are declining, so we’re learning all we can!” – Kate and Britney, CWS Crew",28,BLtH2_ngbkD,2016-10-18T05:56:05,[],FALSE,2016-10-18_05-56-05,[],3913900802
2,1.36448E+18,,canenvironment,https://instagram.fyvr3-1.fna.fbcdn.net/vp/e60b88fd02569ab5c78b71c682121965/5ADEED10/t51.2885-15/e35/25010110_193696581198275_2105655326576476160_n.jpg,[],1,GraphImage,"“Approaching Sand Heads, a weather station off Vancouver Island in the Georgia Strait. Sometimes, I go on familiarization trips as a meteorologist, for example, to replace and calibrate weather sensors. To do that, I hop into a hovercraft with the Canadian Coast Guard! You’re jealous, I know! In the background, one of our monitoring technicians and three coast guards unload our equipment onto the platform.” – Cindy YU, MSC Crew",42,BLvm4g0AUKw,2016-10-19T05:05:39,[],FALSE,2016-10-19_05-05-39,[],3913900802
3,1.36527E+18,,canenvironment,https://instagram.fyvr3-1.fna.fbcdn.net/vp/a1dd70b2d653bd96493ca72fda34aff7/5AF07AA7/t51.2885-15/e35/25005789_176817053057713_6282560036103258112_n.jpg,[],4,GraphImage,"“Puffin Patrol to the rescue! This young puffin (on the right), found near the Witless Bay Ecological Reserve, NL, was drawn ashore by bright lights from nearby communities at night. We band and measure the rescued puffins before releasing them back in to the ocean.” - Sabina, CWS Crew",46,BLyaqSVA1Ex,2016-10-20T07:16:34,[],FALSE,2016-10-20_07-16-34,[],3913900802
4,1.36603E+18,,canenvironment,https://instagram.fyvr3-1.fna.fbcdn.net/vp/be2bf43c1559c387d95cee08508f4a10/5AE624CC/t51.2885-15/e35/25005344_454568748270559_2412271439815114752_n.jpg,[],2,GraphImage,Spotted: Our mini van on a field trip for bird conservation to the beautiful Lac du Bois grasslands.,33,BL1HP__AoPD,2016-10-21T08:24:41,[],FALSE,2016-10-21_08-24-41,[],3913900802
5,1.36816E+18,,canenvironment,https://instagram.fyvr3-1.fna.fbcdn.net/vp/705349351502ad4a65f10ef3c0a8dcfb/5AEA37CA/t51.2885-15/e35/25015292_104158583707618_1708830851283812352_n.jpg,[],4,GraphImage,"""Monday got me like"" Burrowing Owl caught by one of our Infrared motion-sensor cameras. Our biologists use the cameras to take images in wildlife habitats across Canada.",66,BL8sYzEg_aX,2016-10-24T07:03:53,[],FALSE,2016-10-24_07-03-53,[],3913900802
6,1.36892E+18,,canenvironment,https://instagram.fyvr3-1.fna.fbcdn.net/vp/0fb9f09cad8a060723f4a9c8c9c8722a/5AD9F026/t51.2885-15/e35/25009855_198183627421414_2566997421905149952_n.jpg,[],9,GraphImage,"Meet Lynne (l), and Barbara (r). Both women were part of the first all-female Canadian Wildlife Service research team back in , bird banding in the Arctic. years later, Barbara continues her work with CWS. This month, you will find her on Manitoulin Island counting Sandhill Cranes.",50,BL_XquGAbGF,2016-10-25T08:00:33,[],FALSE,2016-10-25_08-00-33,[],3913900802
7,1.36963E+18,,canenvironment,https://instagram.fyvr3-1.fna.fbcdn.net/vp/1bd647c07ee5a394f7ba6c6cc4482864/5AD88A28/t51.2885-15/e35/24327703_130268701086243_7121680316552445952_n.jpg,[],1,GraphImage,"We spotted this oddball heron and her mate nesting on a pylon while surveying the heron population in the Fraser River, BC. Must be something to it, they raised a chick there!",35,BMB4rf1gYSk,2016-10-26T07:27:29,[],FALSE,2016-10-26_07-27-29,[],3913900802
8,1.37036E+18,,canenvironment,https://instagram.fyvr3-1.fna.fbcdn.net/vp/2d9ecd626552c63492b3c939e54ad1df/5AE41E19/t51.2885-15/e35/25013483_270371780153368_785125184259489792_n.jpg,[],2,GraphImage,"Here is a photo of the Automated Weather Station taken in the Callaghan valley near Whistler last March, while the sun was still coming up over the mountains and the hoar frost is on the snow. Automated weather stations like this one near Whistler, BC provide weather data for more accurate forecasting!",42,BMEgBRlA_ai,2016-10-27T07:49:44,[],FALSE,2016-10-27_07-49-44,[],3913900802
9,1.37053E+18,,canenvironment,https://instagram.fyvr3-1.fna.fbcdn.net/vp/f09eed9b8de496b8323ff69880162b64/5AF13212/t51.2885-15/e35/25007522_1454917431291778_4846726875340341248_n.jpg,[],0,GraphImage,"“It is good to have an end to journey toward; but it is the journey that matters, in the end.” – Ursula K. Le GuinDr. Fred Roots had quite the journey, and we owe him a lot. He lived a life full of eloration and discovery, and he played an influential role in the development of Environment Canada. From organizing the Polar Continental Shelf Program to chairing the UNESCO Man and the Biosphere Programme, his accomplishments were many. Dr. Roots is also known for his contribution in writing the Antarctic Treaty—a treaty whose legacy lives on today. He will always be remembered.:",41,BMFFytLg2sy,2016-10-27T13:19:47,"[""studentsonice""]",FALSE,2016-10-27_13-19-47,[],3913900802
