,shortcode,mediaid,caption,url,is_video,comments,typename,owner_username,tagged_users,date,owner_id,caption_mentions,id,caption_hashtags,likes,video_url
0,BNwzV8dBSZ6,1.40085E+18,Que signifient les projets de remplacement de la et d'agrandissement du réseau de Trans Mountain pour les Canadiens?,https://instagram.fyvr3-1.fna.fbcdn.net/vp/dc52b41af7c9ce2b8ad900ffbae95a40/5AF1D6A7/t51.2885-15/e35/15258940_703254013174681_9209084630576136192_n.jpg,FALSE,0,GraphImage,ressourcesnaturellescanada,[],2016-12-08T08:16:33,4210755410,[],2016-12-08_08-16-33,"[""line3"",""pipeline"",""transmountain"",""emploi"",""canada"",""canadiens"",""economie"",""ressourcesnaturelle"",""ressources""]",1,
1,BNwzlByhUri,1.40085E+18,"Le gouvernement du Canada a approuvé le projet d'agrandissement du réseau de Trans Mountain. Pour en savoir plus sur cette décision, visitez notre site Web",https://instagram.fyvr3-1.fna.fbcdn.net/vp/41e68d0f61183b8154674a6b51a3ef8e/5AFAF6A1/t51.2885-15/e35/15403404_1788659584735061_6148835048226291712_n.jpg,FALSE,0,GraphImage,ressourcesnaturellescanada,[],2016-12-08T08:18:37,4210755410,[],2016-12-08_08-18-37,"[""pipeline"",""canada"",""economie"",""expansion"",""tmx"",""ressourcesnaturelle"",""canadiens"",""transmountain"",""ressources"",""columbiebritannique"",""alberta""]",1,
2,BNwz1R7BrQX,1.40085E+18,"Le gouvernement du Canada a approuvé le projet de remplacement de la canalisation d'Enbridge. Pour en savoir plus sur cette décision, visitez notre site Web",https://instagram.fyvr3-1.fna.fbcdn.net/vp/b37b845b7cfc616771927f0a0d60b4ba/5AF57326/t51.2885-15/e35/15251683_215400755570440_524214669875871744_n.jpg,FALSE,0,GraphImage,ressourcesnaturellescanada,[],2016-12-08T08:20:50,4210755410,[],2016-12-08_08-20-50,"[""pipeline"",""canada"",""economie"",""remplacement"",""ressourcesnaturelle"",""canadiens"",""ressources"",""alberta"",""saskatchewan"",""sask"",""manitoba"",""line3""]",1,
3,BNw2s7xBScb,1.40086E+18,"Le financement du budget améliorera l'infrastructure de chargement et de ravitaillement des véhicules propulsés à l’électricité, au gaz naturel et à l'hydrogène.",https://instagram.fyvr3-1.fna.fbcdn.net/vp/5ea19e76d6b57a1c9afb2db6e9c11349/5A63F156/t51.2885-15/e15/15305930_1870160773216998_7364087278601240576_n.jpg,TRUE,0,GraphVideo,ressourcesnaturellescanada,[],2016-12-08T08:45:55,4210755410,[],2016-12-08_08-45-55,"[""gaznaturel"",""electrique"",""voiture"",""vroom"",""electricite"",""ecofriendly"",""batterie"",""voitureelectrique"",""canada"",""auvolant"",""future"",""infrastructure""]",1,https://instagram.fyvr3-1.fna.fbcdn.net/vp/e6da38d5e02944a4cf5bc034bde081fa/5A636634/t50.2886-16/15398024_1810545075872783_3173563150469431296_n.mp4
4,BNw3FrYBgph,1.40086E+18,Décembre est le Mois de la science dans l'Arctique. Célébrons ensemble la recherche dans le Nord du Canada avec les mots-clics,https://instagram.fyvr3-1.fna.fbcdn.net/vp/93719458b9d247a241384f27f001d724/5AF8A977/t51.2885-15/e35/14498858_233225517108215_6708344831627755520_n.jpg,FALSE,8,GraphImage,ressourcesnaturellescanada,[],2016-12-08T08:49:17,4210755410,[],2016-12-08_08-49-17,"[""sciencearctique"",""arctique"",""canada"",""science"",""canadien"",""adventure"",""recherche"",""climat"",""bateau"",""voyage""]",27,
5,BNw33TnBt-W,1.40087E+18,La sécurité est un aspect important de l'infrastructure des pipelines du Canada.,https://instagram.fyvr3-1.fna.fbcdn.net/vp/72c0b7cb33fba6a840fd7afc4526fe14/5ADB4035/t51.2885-15/e35/15276514_346632279048508_158518055960313856_n.jpg,FALSE,0,GraphImage,ressourcesnaturellescanada,[],2016-12-08T08:56:04,4210755410,[],2016-12-08_08-56-04,"[""pipeline"",""securite"",""infrastructure"",""ressourcesnaturelle"",""ressources"",""gaznaturel"",""petrol"",""canada"",""transmountain"",""line3"",""tmx""]",1,
6,BNztfYhhGRt,1.40166E+18,La station-relais d'Inuvik reçoit des données en temps réel de satellites en orbite polaire,https://instagram.fyvr3-1.fna.fbcdn.net/vp/8747b8a3e726320921c252f13716cd60/5AFA2949/t51.2885-15/e35/14624224_404720116585533_2024372404779745280_n.jpg,FALSE,1,GraphImage,ressourcesnaturellescanada,[],2016-12-09T11:23:08,4210755410,[],2016-12-09_11-23-08,"[""sciencearctique"",""nord"",""arctique"",""satellite"",""lumieresdunord"",""auroraboreales"",""inuvik"",""science"",""canada""]",2,
7,BN7okRQBlHj,1.40389E+18,On a fini en les levés pour établir les limites du continent dans l’Arctique équipe,https://instagram.fyvr3-1.fna.fbcdn.net/vp/a32225f17b9984dbbc379a72c093bf9e/5AF95146/t51.2885-15/e35/15337283_153287051820054_6388453150570840064_n.jpg,FALSE,0,GraphImage,ressourcesnaturellescanada,[],2016-12-12T13:14:02,4210755410,[],2016-12-12_13-14-02,"[""sciencearctique"",""nord"",""arctique"",""science"",""cartographie"",""carte"",""canada"",""équipe""]",2,
8,BN-LMfxhho6,1.40461E+18,Le Canada surveille le changement accéléré du littoral dans l’Arctique à l’aide de drones ôte,https://instagram.fyvr3-1.fna.fbcdn.net/vp/a5e7cced4baef19f6d1f4fe7019d5ac6/5AE68E11/t51.2885-15/e35/14719088_229949047429543_8450813896838610944_n.jpg,FALSE,0,GraphImage,ressourcesnaturellescanada,"[""parkscanada_ert""]",2016-12-13T12:55:06,4210755410,[],2016-12-13_12-55-06,"[""sciencearctique"",""nord"",""science"",""drones"",""côte""]",2,
9,BODWumxhvW3,1.40607E+18,"RNCan déploie des sismomètres sur des floes dans l’éanArctique, une re pour un programme scientifique en mer! Un sismomètre mesure les ondes sonores traversant la croûte terrestre sous l’océan éan",https://instagram.fyvr3-1.fna.fbcdn.net/vp/b253f040ec8364de67829c3718d1b303/5AFDFD85/t51.2885-15/e35/14597389_2023693557857650_9142970708635156480_n.jpg,FALSE,0,GraphImage,ressourcesnaturellescanada,[],2016-12-15T13:12:05,4210755410,[],2016-12-15_13-12-05,"[""océanarctique"",""sciencearctique"",""nord"",""glace"",""helicoptere"",""arctique"",""science"",""canada"",""sismologie"",""views"",""océan""]",3,
