token,tok_freq,tok_freq_perc,stemmer,stem_freq,stem_freq_perc
energy,50,0.2109704641350211,canada,80.0,0.33755274261603374
canadas,47,0.19831223628691982,energi,50.0,0.2109704641350211
carr,40,0.16877637130801687,carr,40.0,0.16877637130801687
canada,37,0.15611814345991562,futur,36.0,0.1518987341772152
future,36,0.1518987341772152,minist,35.0,0.14767932489451477
minister,33,0.13924050632911392,scientist,30.0,0.12658227848101267
us,28,0.11814345991561181,us,28.0,0.11814345991561181
min,24,0.10126582278481013,research,25.0,0.10548523206751055
research,21,0.08860759493670886,canadian,24.0,0.10126582278481013
scientist,19,0.08016877637130802,min,24.0,0.10126582278481013
forest,19,0.08016877637130802,forest,20.0,0.08438818565400844
natural,17,0.07172995780590717,join,19.0,0.08016877637130802
science,17,0.07172995780590717,help,18.0,0.0759493670886076
canadian,16,0.06751054852320675,nrcan,18.0,0.0759493670886076
can,16,0.06751054852320675,natur,18.0,0.0759493670886076
will,15,0.06329113924050633,scienc,17.0,0.07172995780590717
field,15,0.06329113924050633,resourc,16.0,0.06751054852320675
nrcan,15,0.06329113924050633,work,16.0,0.06751054852320675
join,15,0.06329113924050633,take,16.0,0.06751054852320675
generationenergyca,15,0.06329113924050633,use,16.0,0.06751054852320675
resources,13,0.05485232067510549,can,16.0,0.06751054852320675
jim,13,0.05485232067510549,field,15.0,0.06329113924050633
forum,13,0.05485232067510549,innov,15.0,0.06329113924050633
scientists,12,0.05063291139240506,will,15.0,0.06329113924050633
february,12,0.05063291139240506,generationenergyca,15.0,0.06329113924050633
work,12,0.05063291139240506,geolog,15.0,0.06329113924050633
one,12,0.05063291139240506,jim,13.0,0.05485232067510549
arctic,11,0.046413502109704644,forum,13.0,0.05485232067510549
ideas,11,0.046413502109704644,want,12.0,0.05063291139240506
generation,10,0.04219409282700422,one,12.0,0.05063291139240506
geological,10,0.04219409282700422,generat,12.0,0.05063291139240506
visit,10,0.04219409282700422,discuss,12.0,0.05063291139240506
day,10,0.04219409282700422,particip,12.0,0.05063291139240506
innovation,10,0.04219409282700422,februari,12.0,0.05063291139240506
part,10,0.04219409282700422,part,11.0,0.046413502109704644
check,10,0.04219409282700422,visit,11.0,0.046413502109704644
dk,10,0.04219409282700422,idea,11.0,0.046413502109704644
gas,9,0.0379746835443038,studi,11.0,0.046413502109704644
instagram,9,0.0379746835443038,meet,11.0,0.046413502109704644
north,9,0.0379746835443038,arctic,11.0,0.046413502109704644
see,9,0.0379746835443038,honour,11.0,0.046413502109704644
honourable,9,0.0379746835443038,learn,10.0,0.04219409282700422
want,8,0.03375527426160337,check,10.0,0.04219409282700422
conference,8,0.03375527426160337,celebr,10.0,0.04219409282700422
sector,8,0.03375527426160337,dk,10.0,0.04219409282700422
its,8,0.03375527426160337,it,10.0,0.04219409282700422
were,8,0.03375527426160337,day,10.0,0.04219409282700422
clean,8,0.03375527426160337,nation,9.0,0.0379746835443038
survey,8,0.03375527426160337,survey,9.0,0.0379746835443038
meet,8,0.03375527426160337,convers,9.0,0.0379746835443038
support,8,0.03375527426160337,north,9.0,0.0379746835443038
canadians,8,0.03375527426160337,here,9.0,0.0379746835443038
conversation,8,0.03375527426160337,make,9.0,0.0379746835443038
using,7,0.029535864978902954,instagram,9.0,0.0379746835443038
helping,7,0.029535864978902954,gas,9.0,0.0379746835443038
world,7,0.029535864978902954,share,9.0,0.0379746835443038
help,7,0.029535864978902954,govern,9.0,0.0379746835443038
heres,7,0.029535864978902954,see,9.0,0.0379746835443038
power,7,0.029535864978902954,sector,9.0,0.0379746835443038
economy,7,0.029535864978902954,show,9.0,0.0379746835443038
learn,7,0.029535864978902954,way,8.0,0.03375527426160337
samples,6,0.02531645569620253,support,8.0,0.03375527426160337
best,6,0.02531645569620253,confer,8.0,0.03375527426160337
picture,6,0.02531645569620253,time,8.0,0.03375527426160337
role,6,0.02531645569620253,product,8.0,0.03375527426160337
workshop,6,0.02531645569620253,student,8.0,0.03375527426160337
donna,6,0.02531645569620253,clean,8.0,0.03375527426160337
create,6,0.02531645569620253,deposit,8.0,0.03375527426160337
bc,6,0.02531645569620253,world,8.0,0.03375527426160337
taking,6,0.02531645569620253,were,8.0,0.03375527426160337
like,6,0.02531645569620253,tune,7.0,0.029535864978902954
time,6,0.02531645569620253,look,7.0,0.029535864978902954
deposits,6,0.02531645569620253,program,7.0,0.029535864978902954
industry,6,0.02531645569620253,invest,7.0,0.029535864978902954
discuss,6,0.02531645569620253,collect,7.0,0.029535864978902954
program,6,0.02531645569620253,power,7.0,0.029535864978902954
booth,6,0.02531645569620253,deliv,7.0,0.029535864978902954
celebrate,6,0.02531645569620253,move,7.0,0.029535864978902954
kirkwood,6,0.02531645569620253,economi,7.0,0.029535864978902954
infrastructure,6,0.02531645569620253,technolog,7.0,0.029535864978902954
international,6,0.02531645569620253,project,7.0,0.029535864978902954
show,6,0.02531645569620253,hear,7.0,0.029535864978902954
technology,6,0.02531645569620253,year,7.0,0.029535864978902954
move,6,0.02531645569620253,map,7.0,0.029535864978902954
data,6,0.02531645569620253,role,7.0,0.029535864978902954
sustainable,6,0.02531645569620253,industri,7.0,0.029535864978902954
chief,6,0.02531645569620253,say,7.0,0.029535864978902954
student,6,0.02531645569620253,creat,7.0,0.029535864978902954
participate,6,0.02531645569620253,pictur,6.0,0.02531645569620253
th,6,0.02531645569620253,locat,6.0,0.02531645569620253
transition,6,0.02531645569620253,chief,6.0,0.02531645569620253
team,6,0.02531645569620253,infrastructur,6.0,0.02531645569620253
first,5,0.02109704641350211,today,6.0,0.02531645569620253
way,5,0.02109704641350211,address,6.0,0.02531645569620253
summer,5,0.02109704641350211,team,6.0,0.02531645569620253
government,5,0.02109704641350211,environment,6.0,0.02531645569620253
fieldwork,5,0.02109704641350211,donna,6.0,0.02531645569620253
nunavut,5,0.02109704641350211,like,6.0,0.02531645569620253
national,5,0.02109704641350211,intern,6.0,0.02531645569620253
climate_change,5,0.02109704641350211,measur,6.0,0.02531645569620253
said,5,0.02109704641350211,contribut,6.0,0.02531645569620253
ontario,5,0.02109704641350211,best,6.0,0.02531645569620253
mexico,5,0.02109704641350211,geologist,6.0,0.02531645569620253
im,5,0.02109704641350211,earth,6.0,0.02531645569620253
geologist,5,0.02109704641350211,data,6.0,0.02531645569620253
fuel,5,0.02109704641350211,booth,6.0,0.02531645569620253
ice,5,0.02109704641350211,vehicl,6.0,0.02531645569620253
camp,5,0.02109704641350211,go,6.0,0.02531645569620253
gsc,5,0.02109704641350211,workshop,6.0,0.02531645569620253
across,5,0.02109704641350211,bc,6.0,0.02531645569620253
morning,5,0.02109704641350211,virtual,6.0,0.02531645569620253
storage,5,0.02109704641350211,sampl,6.0,0.02531645569620253
take,5,0.02109704641350211,collabor,6.0,0.02531645569620253
remote,5,0.02109704641350211,chang,6.0,0.02531645569620253
environmental,5,0.02109704641350211,reduc,6.0,0.02531645569620253
twitter,5,0.02109704641350211,th,6.0,0.02531645569620253
week,5,0.02109704641350211,sustain,6.0,0.02531645569620253
reduce,5,0.02109704641350211,showcas,6.0,0.02531645569620253
years,5,0.02109704641350211,understand,6.0,0.02531645569620253
rudd,5,0.02109704641350211,transit,6.0,0.02531645569620253
wood,5,0.02109704641350211,kirkwood,6.0,0.02531645569620253
geology,5,0.02109704641350211,camp,6.0,0.02531645569620253
delivers,5,0.02109704641350211,rock,6.0,0.02531645569620253
tschirhart,5,0.02109704641350211,miner,6.0,0.02531645569620253
taken,5,0.02109704641350211,import,5.0,0.02109704641350211
takes,5,0.02109704641350211,ontario,5.0,0.02109704641350211
products,5,0.02109704641350211,advanc,5.0,0.02109704641350211
