token,tok_freq,tok_freq_perc,stemmer,stem_freq,stem_freq_perc
de,169,0.7130801687763713,de,169.0,0.7130801687763713
la,153,0.6455696202531646,la,153.0,0.6455696202531646
le,123,0.5189873417721519,le,123.0,0.5189873417721519
des,122,0.5147679324894515,des,122.0,0.5147679324894515
et,118,0.4978902953586498,et,118.0,0.4978902953586498
du,100,0.4219409282700422,du,100.0,0.4219409282700422
les,97,0.4092827004219409,les,97.0,0.4092827004219409
au,83,0.350210970464135,au,83.0,0.350210970464135
en,80,0.33755274261603374,en,80.0,0.33755274261603374
pour,72,0.3037974683544304,pour,72.0,0.3037974683544304
canada,66,0.27848101265822783,canada,66.0,0.27848101265822783
sur,57,0.24050632911392406,sur,57.0,0.24050632911392406
dans,55,0.2320675105485232,dan,55.0,0.2320675105485232
un,52,0.21940928270042195,un,52.0,0.21940928270042195
nnergie,52,0.21940928270042195,nnergi,52.0,0.21940928270042195
une,42,0.17721518987341772,une,42.0,0.17721518987341772
carr,40,0.16877637130801687,carr,40.0,0.16877637130801687
nous,38,0.16033755274261605,nous,38.0,0.16033755274261605
notre,32,0.1350210970464135,notr,32.0,0.1350210970464135
que,31,0.1308016877637131,nergtiqu,31.0,0.1308016877637131
nergtique,29,0.12236286919831224,ministr,31.0,0.1308016877637131
ministre,28,0.11814345991561181,que,31.0,0.1308016877637131
est,27,0.11392405063291139,scientifiqu,30.0,0.12658227848101267
min,26,0.10970464135021098,est,27.0,0.11392405063291139
avec,26,0.10970464135021098,avec,26.0,0.10970464135021098
ce,24,0.10126582278481013,min,26.0,0.10970464135021098
qui,24,0.10126582278481013,canadien,25.0,0.10548523206751055
scientifique,21,0.08860759493670886,qui,24.0,0.10126582278481013
lavenir,21,0.08860759493670886,ce,24.0,0.10126582278481013
vous,19,0.08016877637130802,lavenir,21.0,0.08860759493670886
lnergie,19,0.08016877637130802,lnergi,19.0,0.08016877637130802
rncan,18,0.0759493670886076,vous,19.0,0.08016877637130802
forum,18,0.0759493670886076,recherch,19.0,0.08016877637130802
ressources,18,0.0759493670886076,ressourc,18.0,0.0759493670886076
plus,17,0.07172995780590717,forum,18.0,0.0759493670886076
recherche,16,0.06751054852320675,rncan,18.0,0.0759493670886076
naturelles,16,0.06751054852320675,scienc,18.0,0.0759493670886076
comment,16,0.06751054852320675,naturell,17.0,0.07172995780590717
terrain,15,0.06329113924050633,plus,17.0,0.07172995780590717
science,15,0.06329113924050633,comment,16.0,0.06751054852320675
t,15,0.06329113924050633,fort,15.0,0.06329113924050633
son,14,0.05907172995780591,terrain,15.0,0.06329113924050633
cette,14,0.05907172995780591,travail,15.0,0.06329113924050633
aux,14,0.05907172995780591,t,15.0,0.06329113924050633
tro,14,0.05907172995780591,son,14.0,0.05907172995780591
par,14,0.05907172995780591,aux,14.0,0.05907172995780591
nos,13,0.05485232067510549,tro,14.0,0.05907172995780591
jim,13,0.05485232067510549,par,14.0,0.05907172995780591
canadien,13,0.05485232067510549,cett,14.0,0.05907172995780591
travail,13,0.05485232067510549,ide,13.0,0.05485232067510549
generationenergieca,13,0.05485232067510549,avenir,13.0,0.05485232067510549
avenir,13,0.05485232067510549,il,13.0,0.05485232067510549
ides,12,0.05063291139240506,generationenergieca,13.0,0.05485232067510549
voici,12,0.05063291139240506,jim,13.0,0.05485232067510549
canadiens,12,0.05063291139240506,nos,13.0,0.05485232067510549
fvrier,12,0.05063291139240506,tout,12.0,0.05063291139240506
se,12,0.05063291139240506,ell,12.0,0.05063291139240506
dune,11,0.046413502109704644,se,12.0,0.05063291139240506
forts,11,0.046413502109704644,particip,12.0,0.05063291139240506
elle,11,0.046413502109704644,voici,12.0,0.05063291139240506
te,10,0.04219409282700422,fvrier,12.0,0.05063291139240506
fait,10,0.04219409282700422,fait,12.0,0.05063291139240506
comme,10,0.04219409282700422,dune,11.0,0.046413502109704644
scientifiques,10,0.04219409282700422,gologiqu,10.0,0.04219409282700422
e,10,0.04219409282700422,journ,10.0,0.04219409282700422
votre,10,0.04219409282700422,sa,10.0,0.04219409282700422
tout,10,0.04219409282700422,e,10.0,0.04219409282700422
sa,10,0.04219409282700422,comm,10.0,0.04219409282700422
journe,9,0.0379746835443038,te,10.0,0.04219409282700422
gologique,9,0.0379746835443038,votr,10.0,0.04219409282700422
ont,9,0.0379746835443038,donn,10.0,0.04219409282700422
dk,9,0.0379746835443038,compt,9.0,0.0379746835443038
nord,9,0.0379746835443038,secteur,9.0,0.0379746835443038
lhonorable,9,0.0379746835443038,photo,9.0,0.0379746835443038
je,9,0.0379746835443038,lhonor,9.0,0.0379746835443038
instagram,9,0.0379746835443038,nord,9.0,0.0379746835443038
vos,8,0.03375527426160337,ont,9.0,0.0379746835443038
gnration,8,0.03375527426160337,instagram,9.0,0.0379746835443038
pas,8,0.03375527426160337,dk,9.0,0.0379746835443038
il,8,0.03375527426160337,je,9.0,0.0379746835443038
ses,8,0.03375527426160337,o,8.0,0.03375527426160337
nergiepropre,8,0.03375527426160337,gnration,8.0,0.03375527426160337
o,8,0.03375527426160337,ses,8.0,0.03375527426160337
osciences,8,0.03375527426160337,discut,8.0,0.03375527426160337
tous,7,0.029535864978902954,oscienc,8.0,0.03375527426160337
canadienne,7,0.029535864978902954,propr,8.0,0.03375527426160337
dnergie,7,0.029535864978902954,pas,8.0,0.03375527426160337
rle,7,0.029535864978902954,connaiss,8.0,0.03375527426160337
conversation,7,0.029535864978902954,convers,8.0,0.03375527426160337
dun,7,0.029535864978902954,programm,8.0,0.03375527426160337
tudie,7,0.029535864978902954,canadienn,8.0,0.03375527426160337
secteur,7,0.029535864978902954,vos,8.0,0.03375527426160337
vers,7,0.029535864978902954,leur,8.0,0.03375527426160337
cadre,7,0.029535864978902954,nergiepropr,8.0,0.03375527426160337
participer,7,0.029535864978902954,dnergi,7.0,0.029535864978902954
photo,7,0.029535864978902954,rle,7.0,0.029535864978902954
principale,7,0.029535864978902954,gouvern,7.0,0.029535864978902954
carbone,7,0.029535864978902954,femm,7.0,0.029535864978902954
