Unnamed: 0,owner,created_at,id,post_id,text_cleaned,hashtags,urls,text_filtered,text_tokenized,text_stemmed
0,"{""username"":""environnementcan"",""profile_pic_url"":""https://instagram.fyvr3-1.fna.fbcdn.net/t51.2885-19/s150x150/25016584_1248753311891192_7797948622686912512_n.jpg"",""id"":""3913646610""}",1480696331,1.78563e+16,2016-12-01_09-20-05,Bienvenue sur Instagram les amis!,[],[],Bienvenue Instagram les amis,"['Bienvenue', 'Instagram', 'les', 'amis']","[u'bienvenu', u'instagram', u'les', u'ami']"
1,"{""username"":""kimychunga"",""profile_pic_url"":""https://instagram.fyvr3-1.fna.fbcdn.net/t51.2885-19/11934911_863213287102113_1836528681_a.jpg"",""id"":""41395658""}",1480627792,1.78658e+16,2016-12-01_09-20-05,"tu peux commander la carte dès maintenant sur le site .canada ou bien attendre a l'an prochain, mais je te conseille de te prendre un peu à l'avance tout de même",[],[],tu peux commander la carte maintenant sur le site canada ou bien attendre prochain mais je te conseille de te prendre un peu avance tout de,"['tu', 'peux', 'commander', 'la', 'carte', 'maintenant', 'sur', 'le', 'site', 'canada', 'ou', 'bien', 'attendre', 'prochain', 'mais', 'je', 'te', 'conseille', 'de', 'te', 'prendre', 'un', 'peu', 'avance', 'tout', 'de']","['tu', u'peux', u'command', 'la', u'cart', u'mainten', u'sur', 'le', u'site', u'canada', 'ou', u'bien', u'attendr', u'prochain', u'mai', 'je', 'te', u'conseill', 'de', 'te', u'prendr', 'un', u'peu', u'avanc', u'tout', 'de']"
2,"{""username"":""explorecanada"",""profile_pic_url"":""https://instagram.fyvr3-1.fna.fbcdn.net/t51.2885-19/11821823_882049418497910_20709141_a.jpg"",""id"":""5470113""}",1480619913,1.7866e+16,2016-12-01_09-20-05,Bienvenue sur instagram .canada!,[],[],Bienvenue sur instagram canada,"['Bienvenue', 'sur', 'instagram', 'canada']","[u'bienvenu', u'sur', u'instagram', u'canada']"
3,"{""username"":""acanadiandream"",""profile_pic_url"":""https://instagram.fyvr3-1.fna.fbcdn.net/t51.2885-19/s150x150/18252957_1994681300766001_4574236884313571328_a.jpg"",""id"":""237747125""}",1480619138,1.78552e+16,2016-12-01_09-20-05,Mais c'est génial ça il est possible de commander la carte en ? (Je n'arrive au Canada qu'en Avril prochain ),[],[],Mais est nial il est possible de commander la carte en Je arrive au Canada qu en Avril prochain,"['Mais', 'est', 'nial', 'il', 'est', 'possible', 'de', 'commander', 'la', 'carte', 'en', 'Je', 'arrive', 'au', 'Canada', 'qu', 'en', 'Avril', 'prochain']","[u'mai', u'est', u'nial', 'il', u'est', u'possibl', 'de', u'command', 'la', u'cart', 'en', 'je', u'arriv', 'au', u'canada', 'qu', 'en', u'avril', u'prochain']"
4,"{""username"":""environnementcan"",""profile_pic_url"":""https://instagram.fyvr3-1.fna.fbcdn.net/t51.2885-19/s150x150/25016584_1248753311891192_7797948622686912512_n.jpg"",""id"":""3913646610""}",1480976768,1.78664e+16,2016-12-03_09-53-37,C'est magnifique,[],[],magnifique,['magnifique'],[u'magnifiqu']
5,"{""username"":""environnementcan"",""profile_pic_url"":""https://instagram.fyvr3-1.fna.fbcdn.net/t51.2885-19/s150x150/25016584_1248753311891192_7797948622686912512_n.jpg"",""id"":""3913646610""}",1480976741,1.78563e+16,2016-12-04_09-41-32,,[],[],nan,['nan'],[u'nan']
6,"{""username"":""jonislegendary"",""profile_pic_url"":""https://instagram.fyvr3-1.fna.fbcdn.net/t51.2885-19/s150x150/23823309_159463644660568_2334671147532025856_n.jpg"",""id"":""181680414""}",1481035728,1.78663e+16,2016-12-05_08-19-35,,[],[],nan,['nan'],[u'nan']
7,"{""username"":""winterwooliesshop"",""profile_pic_url"":""https://instagram.fyvr3-1.fna.fbcdn.net/t51.2885-19/927110_580428148734987_2015828798_a.jpg"",""id"":""810828740""}",1481215180,1.78569e+16,2016-12-06_14-18-03,Beautiful,[],[],Beautiful,['Beautiful'],[u'beauti']
8,"{""username"":""bribrigitte50"",""profile_pic_url"":""https://instagram.fyvr3-1.fna.fbcdn.net/t51.2885-19/s150x150/12725012_1510530032590161_1935761830_a.jpg"",""id"":""3034681817""}",1488456657,1.78505e+16,2016-12-07_13-12-09,J'ai une photo semblable à celle-ci. Magnifique!,[],[],ai une photo semblable celle ci Magnifique,"['ai', 'une', 'photo', 'semblable', 'celle', 'ci', 'Magnifique']","['ai', u'une', u'photo', u'semblabl', u'cell', 'ci', u'magnifiqu']"
9,"{""username"":""auroracentreyukon"",""profile_pic_url"":""https://instagram.fyvr3-1.fna.fbcdn.net/t51.2885-19/s150x150/15048128_1593320697642701_5306924709776982016_n.jpg"",""id"":""3281798863""}",1481283837,1.78453e+16,2016-12-08_13-17-35,this image looks cool!,[],[],image looks cool,"['image', 'looks', 'cool']","[u'imag', u'look', u'cool']"
