,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,owner,created_at,id,post_id,text_cleaned,hashtags,urls,text_filtered,text_tokenized,text_stemmed,text_filtered_spell_corrected,text_sentiment_scores,text_corrected_sentiment_scores,text_sentiment_scores_type,text_corrected_sentiment_scores_type,text_original
0,0,0,0,"{""username"":""environnementcan"",""profile_pic_url"":""https://instagram.fyvr3-1.fna.fbcdn.net/t51.2885-19/s150x150/25016584_1248753311891192_7797948622686912512_n.jpg"",""id"":""3913646610""}",1476795585,1.78645e+16,2016-10-18_05-58-54,étro ère Été éeDeLaPersonne,"['#FraserValley', '#Conservation', '#BirdNerd', '#Oiseaux', '#JeudiR', '#RetourEnArri', '#', '#Faune', '#Flore', '#Journ', '#SansFiltre', '#TBT']",[],tro eDeLaPersonne,"['tro', 'eDeLaPersonne']","[u'tro', u'edelapersonn']",to eDeLaPersonne,0.0,0.0,Neutral,Neutral,#FraserValley #Conservation #BirdNerd #Oiseaux #JeudiRétro #RetourEnArrière #Été #Faune #Flore #JournéeDeLaPersonne #SansFiltre #TBT
1,1,1,1,"{""username"":""environnementcan"",""profile_pic_url"":""https://instagram.fyvr3-1.fna.fbcdn.net/t51.2885-19/s150x150/25016584_1248753311891192_7797948622686912512_n.jpg"",""id"":""3913646610""}",1476878933,1.78434e+16,2016-10-19_05-07-33,étéo étéo étéorologie étéo étéo ôtièreCanadienne étéo ,"['#M', '#StationM', '#WeatherNerd', '#Vancouver', '#M', '#PhotosM', '#InstaM', '#GardeC', '#MercrediM', '#NoFilter', '#SansFiltre']",[],orologie reCanadienne,"['orologie', 'reCanadienne']","[u'orologi', u'recanadienn']",orologie reCanadienne,0.0,0.0,Neutral,Neutral,#Météo #StationMétéo #WeatherNerd #Vancouver #Météorologie #PhotosMétéo #InstaMétéo #GardeCôtièreCanadienne #MercrediMétéo #NoFilter\n\n#SansFiltre
2,2,2,2,"{""username"":""environnementcan"",""profile_pic_url"":""https://instagram.fyvr3-1.fna.fbcdn.net/t51.2885-19/s150x150/25016584_1248753311891192_7797948622686912512_n.jpg"",""id"":""3913646610""}",1476976886,1.78533e+16,2016-10-20_07-19-42,,"['#Oiseaux', '#Mer', '#Ocean', '#Conservation', '#InstaBirds', '#Puffin', '#Puffins', '#Macareux', '#Atlantique', '#Maritimes', '#PhotoOfTheDay']",[],,['nan'],[u'nan'],,0.0,0.0,Neutral,Neutral,#Oiseaux #Mer #Ocean #Conservation #InstaBirds #Puffin #Puffins #Macareux #Atlantique #Maritimes #PhotoOfTheDay
3,3,3,3,"{""username"":""environnementcan"",""profile_pic_url"":""https://instagram.fyvr3-1.fna.fbcdn.net/t51.2885-19/s150x150/25016584_1248753311891192_7797948622686912512_n.jpg"",""id"":""3913646610""}",1477063659,1.78435e+16,2016-10-21_08-26-00,,"['#Conservation', '#Grasslands', '#BC', '#BeautifulBC', '#ExploreBC', '#Kamloops', '#Nature', '#Ornithologie', '#Explorer', '#Vendredi', '#MiniVan', '#Aventures', '#NoFilter']",[],,['nan'],[u'nan'],,0.0,0.0,Neutral,Neutral,#Conservation #Grasslands #BC #BeautifulBC #ExploreBC #Kamloops #Nature #Ornithologie #Explorer #Vendredi #MiniVan #Aventures #NoFilter
4,4,4,4,"{""username"":""environnementcan"",""profile_pic_url"":""https://instagram.fyvr3-1.fna.fbcdn.net/t51.2885-19/s150x150/25016584_1248753311891192_7797948622686912512_n.jpg"",""id"":""3913646610""}",1477318073,1.78645e+16,2016-10-24_07-07-04,,"['#MondaysGotMeLike', '#MondayGotMeLike', '#MondayMotivation', '#MondayFeeling', '#IsItFridayYet', '#Owl', '#Owls', '#InstaOwls', '#InstaBirds', '#OwlsOfInstagram', '#PhotoOfTheDay', '#Reconyx', '#Wildlife']",[],,['nan'],[u'nan'],,0.0,0.0,Neutral,Neutral,#MondaysGotMeLike #MondayGotMeLike #MondayMotivation #MondayFeeling #IsItFridayYet #Owl #Owls #InstaOwls  #InstaBirds #OwlsOfInstagram #PhotoOfTheDay #Reconyx #Wildlife
5,5,5,5,"{""username"":""environnementcan"",""profile_pic_url"":""https://instagram.fyvr3-1.fna.fbcdn.net/t51.2885-19/s150x150/25016584_1248753311891192_7797948622686912512_n.jpg"",""id"":""3913646610""}",1477318056,1.78646e+16,2016-10-24_07-07-04,,"['#Hibou', '#Hiboux', '#Oiseaux', '#Faune', '#Lundi', '#LundiMatin', '#Reconyx', '#Canada']",[],,['nan'],[u'nan'],,0.0,0.0,Neutral,Neutral,#Hibou #Hiboux #Oiseaux #Faune #Lundi #LundiMatin #Reconyx #Canada
6,6,6,6,"{""username"":""travelstylenews"",""profile_pic_url"":""https://instagram.fyvr3-1.fna.fbcdn.net/t51.2885-19/s150x150/18382651_1376516069095659_3288503141099634688_n.jpg"",""id"":""3838814206""}",1477452127,1.78436e+16,2016-10-25_08-02-00,Great,[],[],Great,['Great'],[u'great'],Great,0.8,0.8,Positive,Positive,Great :)
7,7,7,7,"{""username"":""environnementcan"",""profile_pic_url"":""https://instagram.fyvr3-1.fna.fbcdn.net/t51.2885-19/s150x150/25016584_1248753311891192_7797948622686912512_n.jpg"",""id"":""3913646610""}",1477407760,1.78557e+16,2016-10-25_08-02-00,âceÀElle étro étro Égalité éminisme,"['#Gr', '#Oiseaux', '#Faune', '#Biologistes', '#MoisDeLaFemme', '#R', '#TBT', '#MardiR', '#Femmes', '#', '#F', '#Arctique', '#GirlPower', '#BirdYear', '#NoFilter']",[],Elle tro tro minisme,"['Elle', 'tro', 'tro', 'minisme']","[u'ell', u'tro', u'tro', u'minism']",Mlle to to minister,0.0,0.0,Neutral,Neutral,#GrâceÀElle #Oiseaux #Faune #Biologistes #MoisDeLaFemme #Rétro #TBT #MardiRétro #Femmes #Égalité #Féminisme #Arctique #GirlPower #BirdYear #NoFilter
8,8,8,8,"{""username"":""thegreatjoceline"",""profile_pic_url"":""https://instagram.fyvr3-1.fna.fbcdn.net/t51.2885-19/s150x150/14134621_1589686114668080_820281783_a.jpg"",""id"":""3684009738""}",1477514772,1.7865e+16,2016-10-26_07-29-26,Instructifs!,[],[],Instructifs,['Instructifs'],[u'instructif'],Instructifs,0.0,0.0,Neutral,Neutral,Instructifs!
9,9,9,9,"{""username"":""environnementcan"",""profile_pic_url"":""https://instagram.fyvr3-1.fna.fbcdn.net/t51.2885-19/s150x150/25016584_1248753311891192_7797948622686912512_n.jpg"",""id"":""3913646610""}",1477492248,1.7864e+16,2016-10-26_07-29-26,,"['#MercrediFaune', '#Faune', '#Nature', '#ExploreBC', '#BC', '#Canada', '#Oiseaux', '#Ornithologie', '#FraserRiver', '#Heron', '#Aventures', '#Biologie']",[],,['nan'],[u'nan'],,0.0,0.0,Neutral,Neutral,#MercrediFaune #Faune #Nature #ExploreBC #BC #Canada #Oiseaux #Ornithologie #FraserRiver #Heron #Aventures #Biologie
10,10,10,10,"{""username"":""environnementcan"",""profile_pic_url"":""https://instagram.fyvr3-1.fna.fbcdn.net/t51.2885-19/s150x150/25016584_1248753311891192_7797948622686912512_n.jpg"",""id"":""3913646610""}",1477579975,1.78544e+16,2016-10-27_07-52-28,étro étéo,"['#JeudiR', '#M', '#Hiver', '#Neige', '#PhotoDuJour', '#Sansfiltre', '#NoFilter', '#ExploreBC', '#BC', '#Vancouver', '#Whistler']",[],tro,['tro'],[u'tro'],to,0.0,0.0,Neutral,Neutral,#JeudiRétro #Météo #Hiver #Neige #PhotoDuJour #Sansfiltre #NoFilter #ExploreBC #BC #Vancouver #Whistler
11,11,11,11,"{""username"":""environnementcan"",""profile_pic_url"":""https://instagram.fyvr3-1.fna.fbcdn.net/t51.2885-19/s150x150/25016584_1248753311891192_7797948622686912512_n.jpg"",""id"":""3913646610""}",1477666598,1.78643e+16,2016-10-28_07-56-15,élicoptère éan,"['#Phare', '#Vancouver', '#ExploreBC', '#H', '#OuestCanadien', '#Pacifique', '#Oc', '#PhotoDuJour']",[],,[],[],,0.0,0.0,Neutral,Neutral,#Phare #Vancouver #ExploreBC #Hélicoptère #OuestCanadien #Pacifique #Océan #PhotoDuJour
12,12,12,12,"{""username"":""environnementcan"",""profile_pic_url"":""https://instagram.fyvr3-1.fna.fbcdn.net/t51.2885-19/s150x150/25016584_1248753311891192_7797948622686912512_n.jpg"",""id"":""3913646610""}",1477921765,1.78567e+16,2016-10-31_06-48-21,,"['#Halloween', '#Hibou', '#Hiboux', '#Oiseau', '#Oiseaux', '#Reconyx', '#Faune', '#Canada', '#CanEnvironnement', '#Enviroween']",[],,['nan'],[u'nan'],,0.0,0.0,Neutral,Neutral,#Halloween #Hibou #Hiboux #Oiseau #Oiseaux #Reconyx #Faune  #Canada #CanEnvironnement #Enviroween
13,13,13,13,"{""username"":""environnementcan"",""profile_pic_url"":""https://instagram.fyvr3-1.fna.fbcdn.net/t51.2885-19/s150x150/25016584_1248753311891192_7797948622686912512_n.jpg"",""id"":""3913646610""}",1478018824,1.78538e+16,2016-11-01_09-46-19,,"['#Biologie', '#Migration', '#Science', '#Faune', '#Oiseaux', '#Oiseau', '#NouveauBrunswick', '#NB', '#Atlantique', '#BirdNerds', '#EnvironnementCan']",[],,['nan'],[u'nan'],,0.0,0.0,Neutral,Neutral,#Biologie #Migration #Science #Faune #Oiseaux #Oiseau #NouveauBrunswick #NB #Atlantique  #BirdNerds #EnvironnementCan
14,14,14,14,"{""username"":""environnementcan"",""profile_pic_url"":""https://instagram.fyvr3-1.fna.fbcdn.net/t51.2885-19/s150x150/25016584_1248753311891192_7797948622686912512_n.jpg"",""id"":""3913646610""}",1478096284,1.78545e+16,2016-11-02_07-17-06,égée ôture,"['#MilieuHumide', '#MilieuxHumides', '#TerreHumide', '#TerresHumides', '#CanEnvironment', '#AireProt', '#Alberta', '#Cl', '#Faune', '#Biologistes']",[],ture,['ture'],[u'ture'],true,0.0,0.35,Neutral,Positive,#MilieuHumide #MilieuxHumides #TerreHumide #TerresHumides #CanEnvironment #AireProtégée #Alberta #Clôture #Faune #Biologistes
15,15,15,15,"{""username"":""environnementcan"",""profile_pic_url"":""https://instagram.fyvr3-1.fna.fbcdn.net/t51.2885-19/s150x150/25016584_1248753311891192_7797948622686912512_n.jpg"",""id"":""3913646610""}",1478189063,1.78439e+16,2016-11-03_09-03-36,,"['#EauDouce', '#Science', '#Scientifiques', '#Insectes', '#NouvelleEcosse', '#Automne', '#EnvironnementCan']",[],,['nan'],[u'nan'],,0.0,0.0,Neutral,Neutral,#EauDouce #Science #Scientifiques #Insectes #NouvelleEcosse #Automne #EnvironnementCan
16,16,16,16,"{""username"":""environnementcan"",""profile_pic_url"":""https://instagram.fyvr3-1.fna.fbcdn.net/t51.2885-19/s150x150/25016584_1248753311891192_7797948622686912512_n.jpg"",""id"":""3913646610""}",1478263704,1.7844e+16,2016-11-04_05-47-44,,"['#HamOnt', '#Eau', '#GrandsLacs', '#Ontario', '#RandleReef', '#Poisson', '#Tourisme', '#Vendredi', '#Ontario']",[],,['nan'],[u'nan'],,0.0,0.0,Neutral,Neutral,#HamOnt #Eau #GrandsLacs #Ontario #RandleReef #Poisson #Tourisme #Vendredi #Ontario
