token,tok_freq,tok_freq_perc,stemmer,stem_freq,stem_freq_perc
canada,398,0.9660194174757282,parcscanada,395.0,0.9587378640776699
parcscanada,396,0.9611650485436893,de,365.0,0.8859223300970874
de,368,0.8932038834951457,canada,355.0,0.8616504854368932
parc,354,0.8592233009708737,nation,341.0,0.8276699029126213
canada150,343,0.8325242718446602,parc,337.0,0.8179611650485437
le,341,0.8276699029126213,explorecanada,336.0,0.8155339805825242
national,339,0.8228155339805825,canada150,333.0,0.808252427184466
explorecanada,338,0.8203883495145631,natur,298.0,0.7233009708737864
nature,300,0.7281553398058253,le,293.0,0.7111650485436893
la,295,0.7160194174757282,la,278.0,0.6747572815533981
et,280,0.6796116504854369,et,276.0,0.6699029126213593
photographie,264,0.6407766990291263,photographi,264.0,0.6407766990291263
des,247,0.5995145631067961,aventur,245.0,0.5946601941747572
aventure,240,0.5825242718446602,sauvag,245.0,0.5946601941747572
sauvage,239,0.5800970873786407,des,236.0,0.5728155339805825
vous,239,0.5800970873786407,du,236.0,0.5728155339805825
du,237,0.5752427184466019,paysag,228.0,0.5533980582524272
voyage,219,0.5315533980582524,voyag,220.0,0.5339805825242718
les,219,0.5315533980582524,vous,212.0,0.5145631067961165
jouerdehors,209,0.5072815533980582,les,210.0,0.5097087378640777
paysage,208,0.5048543689320388,jouerdehor,209.0,0.5072815533980582
conservation,194,0.470873786407767,conserv,195.0,0.4733009708737864
un,176,0.42718446601941745,est,174.0,0.4223300970873786
au,175,0.42475728155339804,au,172.0,0.4174757281553398
est,174,0.4223300970873786,un,170.0,0.41262135922330095
en,151,0.36650485436893204,pour,147.0,0.3567961165048544
pour,151,0.36650485436893204,en,146.0,0.35436893203883496
dans,142,0.3446601941747573,dan,138.0,0.33495145631067963
une,136,0.3300970873786408,une,135.0,0.3276699029126214
plus,124,0.30097087378640774,plus,122.0,0.2961165048543689
photo,102,0.24757281553398058,photo,108.0,0.2621359223300971
ce,98,0.23786407766990292,ce,95.0,0.23058252427184467
sur,93,0.22572815533980584,sur,92.0,0.22330097087378642
que,92,0.22330097087378642,que,91.0,0.220873786407767
qui,88,0.21359223300970873,qui,88.0,0.21359223300970873
par,77,0.18689320388349515,par,77.0,0.18689320388349515
nous,77,0.18689320388349515,es,74.0,0.1796116504854369
es,74,0.1796116504854369,votr,70.0,0.16990291262135923
votre,71,0.17233009708737865,il,70.0,0.16990291262135923
cette,68,0.1650485436893204,cett,66.0,0.16019417475728157
pas,66,0.16019417475728157,nous,66.0,0.16019417475728157
avec,66,0.16019417475728157,avec,66.0,0.16019417475728157
