token,tok_freq,tok_freq_perc,stemmer,stem_freq,stem_freq_perc
parkscanada,406,0.9854368932038835,parkscanada,390.0,0.9466019417475728
park,387,0.9393203883495146,nation,350.0,0.8495145631067961
national,367,0.8907766990291263,park,321.0,0.779126213592233
canada,323,0.7839805825242718,canada150,319.0,0.7742718446601942
canada150,322,0.7815533980582524,explorecanada,300.0,0.7281553398058253
explorecanada,300,0.7281553398058253,canada,298.0,0.7233009708737864
wanderlust,237,0.5752427184466019,wanderlust,237.0,0.5752427184466019
travelgram,225,0.5461165048543689,travel,225.0,0.5461165048543689
travel,210,0.5097087378640777,travelgram,224.0,0.5436893203883495
instatravel,190,0.46116504854368934,instatravel,191.0,0.46359223300970875
instago,141,0.3422330097087379,natur,143.0,0.3470873786407767
travelphotography,139,0.33737864077669905,instago,141.0,0.3422330097087379
nature,133,0.32281553398058255,travelphotographi,139.0,0.33737864077669905
adventure,128,0.3106796116504854,adventur,135.0,0.3276699029126214
hiking,122,0.2961165048543689,hike,134.0,0.32524271844660196
ilovetravel,114,0.2766990291262136,ilovetravel,114.0,0.2766990291262136
vacation,112,0.27184466019417475,vacat,113.0,0.27427184466019416
getoutside,108,0.2621359223300971,getoutsid,109.0,0.2645631067961165
tourcanada,91,0.220873786407767,wander,105.0,0.25485436893203883
tourism,90,0.21844660194174756,beauti,103.0,0.25
beautiful,85,0.20631067961165048,mountain,91.0,0.220873786407767
wanderer,84,0.20388349514563106,tourcanada,91.0,0.220873786407767
enjoycanada,83,0.20145631067961164,tourism,90.0,0.21844660194174756
ohcanada,78,0.18932038834951456,enjoycanada,83.0,0.20145631067961164
landscape,78,0.18932038834951456,landscap,83.0,0.20145631067961164
conservation,76,0.18446601941747573,view,79.0,0.19174757281553398
photo,75,0.1820388349514563,photo,79.0,0.19174757281553398
trip,71,0.17233009708737865,ohcanada,78.0,0.18932038834951456
naturephotography,66,0.16019417475728157,conserv,74.0,0.1796116504854369
traveltheworld,65,0.15776699029126215,trip,71.0,0.17233009708737865
historic,64,0.1553398058252427,explor,66.0,0.16019417475728157
liveoutdoors,64,0.1553398058252427,naturephotographi,66.0,0.16019417475728157
explorebc,63,0.1529126213592233,traveltheworld,65.0,0.15776699029126215
photography,62,0.15048543689320387,liveoutdoor,64.0,0.1553398058252427
mountains,59,0.14320388349514562,explorebc,63.0,0.1529126213592233
wild,59,0.14320388349514562,nationalpark,63.0,0.1529126213592233
naturelovers,57,0.1383495145631068,photographi,62.0,0.15048543689320387
one,57,0.1383495145631068,site,60.0,0.14563106796116504
photooftheday,56,0.13592233009708737,naturelov,59.0,0.14320388349514562
winter,54,0.13106796116504854,wild,59.0,0.14320388349514562
site,53,0.12864077669902912,one,57.0,0.1383495145631068
explore,52,0.1262135922330097,histor,57.0,0.1383495145631068
canadian,49,0.11893203883495146,photooftheday,56.0,0.13592233009708737
view,48,0.11650485436893204,pictur,50.0,0.12135922330097088
picture,47,0.11407766990291263,island,49.0,0.11893203883495146
wildernessculture,47,0.11407766990291263,lake,48.0,0.11650485436893204
sunset,46,0.11165048543689321,canadian,48.0,0.11650485436893204
roadtrip,46,0.11165048543689321,winter,47.0,0.11407766990291263
neverstopexploring,46,0.11165048543689321,wildernesscultur,47.0,0.11407766990291263
wildlife,46,0.11165048543689321,take,46.0,0.11165048543689321
bucketlist,45,0.10922330097087378,neverstopexplor,46.0,0.11165048543689321
instagood,45,0.10922330097087378,make,46.0,0.11165048543689321
mountain,44,0.10679611650485436,roadtrip,46.0,0.11165048543689321
wander,43,0.10436893203883495,wildlif,45.0,0.10922330097087378
newfoundland,42,0.10194174757281553,instagood,45.0,0.10922330097087378
reserve,42,0.10194174757281553,bucketlist,44.0,0.10679611650485436
take,41,0.09951456310679611,sunset,43.0,0.10436893203883495
outdoors,38,0.09223300970873786,reserv,43.0,0.10436893203883495
make,38,0.09223300970873786,outdoor,42.0,0.10194174757281553
like,38,0.09223300970873786,year,41.0,0.09951456310679611
