"owner","text","created_at","id","post_id"
"{""username"":""canenvironment"",""profile_pic_url"":""https://instagram.fyvr3-1.fna.fbcdn.net/t51.2885-19/s150x150/25024470_1534401366647809_3883762243703144448_n.jpg"",""id"":""3913900802""}","#BehindTheScenes #AllAccess #VIP #InstaScience #Weather #EnvironmentCanada #CdnSci #CdnEnv #Canada #Weather #Wildlife #Science #Environment",1476715448,"17843329234176482","2016-10-17_07-43-13"
"{""username"":""canenvironment"",""profile_pic_url"":""https://instagram.fyvr3-1.fna.fbcdn.net/t51.2885-19/s150x150/25024470_1534401366647809_3883762243703144448_n.jpg"",""id"":""3913900802""}","#FraserValley #Conservation #BirdNerd #Birds #TBT #FlashBack #Summer #Wildlife #PersonsDay #NoFilter",1476795409,"17864444308053751","2016-10-18_05-56-05"
"{""username"":""canenvironment"",""profile_pic_url"":""https://instagram.fyvr3-1.fna.fbcdn.net/t51.2885-19/s150x150/25024470_1534401366647809_3883762243703144448_n.jpg"",""id"":""3913900802""}","#Weather #WeatherStation #WeatherNerd #Vancouver #Meteorology #WeatherPhotos #WeatherOfInstagram #CanadianCoastGuard #WeatherWednesday #NoFilterNeeded",1476878775,"17863608613045940","2016-10-19_05-05-39"
"{""username"":""canenvironment"",""profile_pic_url"":""https://instagram.fyvr3-1.fna.fbcdn.net/t51.2885-19/s150x150/25024470_1534401366647809_3883762243703144448_n.jpg"",""id"":""3913900802""}","@dianewestlake you are right,  we are talking about the little guy on the right! We'll adjust the caption to make it more clear!",1476977810,"17863772980025386","2016-10-20_07-16-34"
"{""username"":""dianewestlake"",""profile_pic_url"":""https://instagram.fyvr3-1.fna.fbcdn.net/t51.2885-19/s150x150/19050759_1295318527254562_4316595299603709952_a.jpg"",""id"":""1549408568""}","Even the beak looks a different shape",1476974993,"17853343468090093","2016-10-20_07-16-34"
"{""username"":""dianewestlake"",""profile_pic_url"":""https://instagram.fyvr3-1.fna.fbcdn.net/t51.2885-19/s150x150/19050759_1295318527254562_4316595299603709952_a.jpg"",""id"":""1549408568""}","Are they both the same bird?The one on the right looks much darker without the striking white face",1476974950,"17853749164121873","2016-10-20_07-16-34"
"{""username"":""canenvironment"",""profile_pic_url"":""https://instagram.fyvr3-1.fna.fbcdn.net/t51.2885-19/s150x150/25024470_1534401366647809_3883762243703144448_n.jpg"",""id"":""3913900802""}","#NewFoundland #EastCoast #Puffin #Atlantic #BirdNerd #AtlanticPuffin #NoFilter #PhotoOfTheDay #InstaBird #BirdsOfInstagram",1476973070,"17864617708033660","2016-10-20_07-16-34"
"{""username"":""_kevy_93_"",""profile_pic_url"":""https://instagram.fyvr3-1.fna.fbcdn.net/t51.2885-19/s150x150/22069794_1241797192593260_6765894717629530112_n.jpg"",""id"":""540335262""}","I'd love to be apart of the team, such awesome adventures",1477080518,"17843481625152161","2016-10-21_08-24-41"
"{""username"":""canenvironment"",""profile_pic_url"":""https://instagram.fyvr3-1.fna.fbcdn.net/t51.2885-19/s150x150/25024470_1534401366647809_3883762243703144448_n.jpg"",""id"":""3913900802""}","#Conservation #Grasslands #BC #BeautifulBC #ExploreBC #Kamloops #Nature #Environmentalist #BirdLovers #Explorer #BiologistsOFInstagram #MiniVan #FieldTrip #FridayFun #NoFilter",1477063725,"17854339219106122","2016-10-21_08-24-41"
"{""username"":""sue_vue"",""profile_pic_url"":""https://instagram.fyvr3-1.fna.fbcdn.net/t51.2885-19/s150x150/12798136_493632827486612_354749159_a.jpg"",""id"":""1485739187""}","One of my faves :-) BUOW are the best!",1477347924,"17843594221186524","2016-10-24_07-03-53"
"{""username"":""canenvironment"",""profile_pic_url"":""https://instagram.fyvr3-1.fna.fbcdn.net/t51.2885-19/s150x150/25024470_1534401366647809_3883762243703144448_n.jpg"",""id"":""3913900802""}","@ryanlalonde we ❤️ owls too! They are a hoot! Lowl! (Puns intended 😉)",1477332901,"17843617279144170","2016-10-24_07-03-53"
"{""username"":""ryanlalonde"",""profile_pic_url"":""https://instagram.fyvr3-1.fna.fbcdn.net/t51.2885-19/s150x150/20986838_495011414166396_1061706393628704768_a.jpg"",""id"":""427073""}","I love owls 😍",1477329532,"17864355352009803","2016-10-24_07-03-53"
"{""username"":""canenvironment"",""profile_pic_url"":""https://instagram.fyvr3-1.fna.fbcdn.net/t51.2885-19/s150x150/25024470_1534401366647809_3883762243703144448_n.jpg"",""id"":""3913900802""}","#MondaysGotMeLike #MondayGotMeLike #MondayMotivation #MondayFeeling #IsItFridayYet #Owl #Owls #InstaOwls  #InstaBirds #OwlsOfInstagram #PhotoOfTheDay #Reconyx #Wildlife #Canada",1477317859,"17864047693047188","2016-10-24_07-03-53"
"{""username"":""canenvironment"",""profile_pic_url"":""https://instagram.fyvr3-1.fna.fbcdn.net/t51.2885-19/s150x150/25024470_1534401366647809_3883762243703144448_n.jpg"",""id"":""3913900802""}","@sunnygirl1952 Keep up the good work! 🙌🏽❤️",1478533060,"17854862905129572","2016-10-25_08-00-33"
"{""username"":""sunnygirl1952"",""profile_pic_url"":""https://instagram.fyvr3-1.fna.fbcdn.net/t51.2885-19/s150x150/14733547_1691174404530079_2939419782807552000_a.jpg"",""id"":""4120202799""}","@canenvironment that's me!  On Melville Island in 1975. We were #birdbanding #brant #geese. Now I am #banding #canadageese and #lovingit ❤",1478394506,"17864821471034921","2016-10-25_08-00-33"
"{""username"":""juliehkennedy"",""profile_pic_url"":""https://instagram.fyvr3-1.fna.fbcdn.net/t51.2885-19/s150x150/13649396_1059497470802769_1846254561_a.jpg"",""id"":""52980496""}","Proud of my sister Barbara👏👏 41 yrs of service and still going strong!",1477514793,"17853610753089121","2016-10-25_08-00-33"
"{""username"":""thatgirlmeags"",""profile_pic_url"":""https://instagram.fyvr3-1.fna.fbcdn.net/t51.2885-19/s150x150/26157035_383572105420192_715266841110380544_n.jpg"",""id"":""2113949714""}","@canenvironment @redcanoe1 👌😉",1477492801,"17865229078038741","2016-10-25_08-00-33"
"{""username"":""canenvironment"",""profile_pic_url"":""https://instagram.fyvr3-1.fna.fbcdn.net/t51.2885-19/s150x150/25024470_1534401366647809_3883762243703144448_n.jpg"",""id"":""3913900802""}","@redcanoe1 @eveish87 shout out to Barbara and her dedication!",1477492468,"17854562854103815","2016-10-25_08-00-33"
"{""username"":""redcanoe1"",""profile_pic_url"":""https://instagram.fyvr3-1.fna.fbcdn.net/t51.2885-19/s150x150/12716996_1014773015276864_1749792811_a.jpg"",""id"":""3012816250""}","Barbara, aka Mom, is still going strong after 41 years and loves her bird work at CWS @eveish87",1477451126,"17854413031119593","2016-10-25_08-00-33"
"{""username"":""thatgirlmeags"",""profile_pic_url"":""https://instagram.fyvr3-1.fna.fbcdn.net/t51.2885-19/s150x150/26157035_383572105420192_715266841110380544_n.jpg"",""id"":""2113949714""}","Hey! That's our mom! @redcanoe1",1477435064,"17858246782066872","2016-10-25_08-00-33"
"{""username"":""sue_vue"",""profile_pic_url"":""https://instagram.fyvr3-1.fna.fbcdn.net/t51.2885-19/s150x150/12798136_493632827486612_354749159_a.jpg"",""id"":""1485739187""}","Wow!! That's amazing! @kemper_temper check this out!",1477411404,"17854036882129225","2016-10-25_08-00-33"
"{""username"":""canenvironment"",""profile_pic_url"":""https://instagram.fyvr3-1.fna.fbcdn.net/t51.2885-19/s150x150/25024470_1534401366647809_3883762243703144448_n.jpg"",""id"":""3913900802""}","#BecauseOfHer, #BirdYear #BirdBanding #Nature #BirdsOfInstagram #BirdLovers #Birdstagram #WomensHistoryMonth #FemaleEmpowerment #Empowerment #Equality #GirlPower #TBT #Throwback #PhotoOfTheDay #Arctic #Wildlife #NoFilter #BlackAndWhite",1477407679,"17866658125045718","2016-10-25_08-00-33"
"{""username"":""canenvironment"",""profile_pic_url"":""https://instagram.fyvr3-1.fna.fbcdn.net/t51.2885-19/s150x150/25024470_1534401366647809_3883762243703144448_n.jpg"",""id"":""3913900802""}","#WildlifeWednesday #Wildlife #Nature #ExploreBC #BC #Canada #FraserRiver #Heron #Birdstagram #BirdNerd #BirdsLover #PhotoOfTheDay",1477492111,"17866034887043459","2016-10-26_07-27-29"
"{""username"":""pierre.gravelle"",""profile_pic_url"":""https://instagram.fyvr3-1.fna.fbcdn.net/t51.2885-19/s150x150/18298816_301209626958984_1774565493252816896_a.jpg"",""id"":""2118093691""}","#ecccbreadandbutter",1477610242,"17853846703094109","2016-10-27_07-49-44"
"{""username"":""canenvironment"",""profile_pic_url"":""https://instagram.fyvr3-1.fna.fbcdn.net/t51.2885-19/s150x150/25024470_1534401366647809_3883762243703144448_n.jpg"",""id"":""3913900802""}","#Throwback #WinterWeather #Weather #WinterIsComing #PhotoOfTheDay #NoFilterNeeded #NoFilter #WeatherStation #ExploreBC #BC #Vancouver #Whistler #CanadianWinter",1477579812,"17843648443183407","2016-10-27_07-49-44"
"{""username"":""pierre.gravelle"",""profile_pic_url"":""https://instagram.fyvr3-1.fna.fbcdn.net/t51.2885-19/s150x150/18298816_301209626958984_1774565493252816896_a.jpg"",""id"":""2118093691""}","#ecccbreadandbutter",1477695234,"17843759602142425","2016-10-28_07-53-53"
"{""username"":""canenvironment"",""profile_pic_url"":""https://instagram.fyvr3-1.fna.fbcdn.net/t51.2885-19/s150x150/25024470_1534401366647809_3883762243703144448_n.jpg"",""id"":""3913900802""}","Thanks @krago_official! Come back everyday for more amazing photos 📷",1477687219,"17843712442156366","2016-10-28_07-53-53"
"{""username"":""krago_official"",""profile_pic_url"":""https://instagram.fyvr3-1.fna.fbcdn.net/t51.2885-19/s150x150/12292703_197781987228498_1139119416_a.jpg"",""id"":""2317851561""}","Gorgeous",1477681696,"17854733134118769","2016-10-28_07-53-53"
"{""username"":""canenvironment"",""profile_pic_url"":""https://instagram.fyvr3-1.fna.fbcdn.net/t51.2885-19/s150x150/25024470_1534401366647809_3883762243703144448_n.jpg"",""id"":""3913900802""}","#Vancouver #VancouverIsland #ExploreBC #Lighthouse #LightStation #Helicopter #WestCoast #PhotoOfTheDay  #PacificOcean #Pacific #CanadianCoastGuard #CanEnvironment",1477666502,"17854660276105162","2016-10-28_07-53-53"
"{""username"":""canenvironment"",""profile_pic_url"":""https://instagram.fyvr3-1.fna.fbcdn.net/t51.2885-19/s150x150/25024470_1534401366647809_3883762243703144448_n.jpg"",""id"":""3913900802""}","#Halloween #Spooky #Owl #Owls #InstaOwls  #InstaBirds #OwlsOfInstagram #PhotoOfTheDay #Reconyx #Wildlife #Canada #CanEnvironment #Enviroween",1477921638,"17864248675020076","2016-10-31_06-46-48"
"{""username"":""canenvironment"",""profile_pic_url"":""https://instagram.fyvr3-1.fna.fbcdn.net/t51.2885-19/s150x150/25024470_1534401366647809_3883762243703144448_n.jpg"",""id"":""3913900802""}","#Biologists #MigratoryBirds #BirdYear #InstaScience #BirdLovers #Wildlife #NewBrunswick #NB #Atlantic #Whimbrel #BirdNerds #WinterIsComing  #CanEnvironment",1478018651,"17843848951150764","2016-11-01_09-43-38"
"{""username"":""canenvironment"",""profile_pic_url"":""https://instagram.fyvr3-1.fna.fbcdn.net/t51.2885-19/s150x150/25024470_1534401366647809_3883762243703144448_n.jpg"",""id"":""3913900802""}","#PhotoOfTheDay #DYI #BiologistsOfInstagram #WildlifeWednesday #BiologistLife #Construction #LastMountainLake #NationalWildlifeArea #Wetland #TeamWork #HustleHard #CanEnvironment #Saskatchewan",1478628927,"17865053872059125","2016-11-02_07-14-50"
"{""username"":""sue_vue"",""profile_pic_url"":""https://instagram.fyvr3-1.fna.fbcdn.net/t51.2885-19/s150x150/12798136_493632827486612_354749159_a.jpg"",""id"":""1485739187""}","#lastmountainlake is such an important place! TFS Kerry!",1478101572,"17864367181004541","2016-11-02_07-14-50"
"{""username"":""lalonde.b"",""profile_pic_url"":""https://instagram.fyvr3-1.fna.fbcdn.net/t51.2885-19/s150x150/17333347_1689076991384956_6027792085162131456_a.jpg"",""id"":""3246949730""}","Awesome hat",1478783146,"17845097284133580","2016-11-03_09-01-16"
"{""username"":""zooford"",""profile_pic_url"":""https://instagram.fyvr3-1.fna.fbcdn.net/t51.2885-19/11377802_1599804436953308_1032186958_a.jpg"",""id"":""234010642""}","#CABINRCBA",1478299198,"17843352088161962","2016-11-03_09-01-16"
"{""username"":""canenvironment"",""profile_pic_url"":""https://instagram.fyvr3-1.fna.fbcdn.net/t51.2885-19/s150x150/25024470_1534401366647809_3883762243703144448_n.jpg"",""id"":""3913900802""}","#InstaScience #ScienceFun #Scientist #Scientists #ScientistLife #Conservation #Invertebrates #Insects #InsectsOfInstagram #CapeBreton #NovaScotia #FreshWater #FallColors #CanEnvironment",1478188911,"17864573167011933","2016-11-03_09-01-16"
"{""username"":""canenvironment"",""profile_pic_url"":""https://instagram.fyvr3-1.fna.fbcdn.net/t51.2885-19/s150x150/25024470_1534401366647809_3883762243703144448_n.jpg"",""id"":""3913900802""}","#HamOnt #CleanWater #GreatLakes #GoodNews #Ontario #RandleReef #Fish #Tourism #DiscoverOn #DiscoverOntario #Friyay",1478263234,"17844030079137007","2016-11-04_05-38-21"
"{""username"":""canenvironment"",""profile_pic_url"":""https://instagram.fyvr3-1.fna.fbcdn.net/t51.2885-19/s150x150/25024470_1534401366647809_3883762243703144448_n.jpg"",""id"":""3913900802""}","#HugABearDay #Caribou #Tundra #HudsonBay #Ontario #DiscoverOntario #Monday #PhotoOfTheDay #Wildlife #WildlifePhotography #WildAnimal #ConservationPhotography #InstaWild #CanEnvironment #NoFilter",1478533284,"17844159829143653","2016-11-07_07-40-58"
"{""username"":""sue_vue"",""profile_pic_url"":""https://instagram.fyvr3-1.fna.fbcdn.net/t51.2885-19/s150x150/12798136_493632827486612_354749159_a.jpg"",""id"":""1485739187""}","You guys are superheros! Go Kerry!",1478647335,"17854796347121945","2016-11-08_07-13-04"
"{""username"":""danieljvermeulen"",""profile_pic_url"":""https://instagram.fyvr3-1.fna.fbcdn.net/t51.2885-19/s150x150/25019168_563866480630171_7202625903027814400_n.jpg"",""id"":""327904616""}","Still jealous that you get to do this each year @sj2242",1478624941,"17854738711126856","2016-11-08_07-13-04"
"{""username"":""canenvironment"",""profile_pic_url"":""https://instagram.fyvr3-1.fna.fbcdn.net/t51.2885-19/s150x150/25024470_1534401366647809_3883762243703144448_n.jpg"",""id"":""3913900802""}","#Throwback #TBT #ThrowbackTuesday #BiologistLife #Biologist #LastMountainLake #Saskatchewan #ExploreSask #NationalWildlifeArea #Habitat #PrescribedFire #NoFilter #Fire #Wildlife #ConservationPhotography #WildlifePhotography #InstaWild",1478618012,"17865395968047761","2016-11-08_07-13-04"
"{""username"":""canenvironment"",""profile_pic_url"":""https://instagram.fyvr3-1.fna.fbcdn.net/t51.2885-19/s150x150/25024470_1534401366647809_3883762243703144448_n.jpg"",""id"":""3913900802""}","#supersnazzy",1478882617,"17844198244182668","2016-11-09_08-35-13"
"{""username"":""clmsanderson"",""profile_pic_url"":""https://instagram.fyvr3-1.fna.fbcdn.net/t51.2885-19/s150x150/20184472_1710377655938753_1160665107303235584_a.jpg"",""id"":""616185445""}","Hi Henry! 😄",1478827803,"17864643103058371","2016-11-09_08-35-13"
"{""username"":""canenvironment"",""profile_pic_url"":""https://instagram.fyvr3-1.fna.fbcdn.net/t51.2885-19/s150x150/25024470_1534401366647809_3883762243703144448_n.jpg"",""id"":""3913900802""}","#المغرب #مراكش",1478796846,"17844194479176163","2016-11-09_08-35-13"
"{""username"":""canenvironment"",""profile_pic_url"":""https://instagram.fyvr3-1.fna.fbcdn.net/t51.2885-19/s150x150/25024470_1534401366647809_3883762243703144448_n.jpg"",""id"":""3913900802""}","#WorldScienceDay #Science #InstaScience #ScientistLife #Scientist #Scientists #Laboratory #ScienceIsFun #OnABoat #CanEnvironment #PhotoOfTheDay #BurlOnt #Burlington #BoatLife #FieldWork #CanadianCoastGouard #Limnology #GreatLakes",1478798862,"17844199213159992","2016-11-10_09-27-12"
"{""username"":""canenvironment"",""profile_pic_url"":""https://instagram.fyvr3-1.fna.fbcdn.net/t51.2885-19/s150x150/25024470_1534401366647809_3883762243703144448_n.jpg"",""id"":""3913900802""}","#WorldScienceDay #Science #InstaScience #ScientistLife #Scientist #Scientists #Laboratory #ScienceIsFun #OnABoat #CanEnvironment #PhotoOfTheDay #BurlOnt #Burlington #BoatLife #FieldWork #CanadianCoastGouard #Limnology #GreatLakes",1478799088,"17844320308140341","2016-11-10_09-28-34"
"{""username"":""signordal"",""profile_pic_url"":""https://instagram.fyvr3-1.fna.fbcdn.net/t51.2885-19/s150x150/12905077_1685397655054239_973691598_a.jpg"",""id"":""1645227289""}","👏",1478952778,"17865545395054552","2016-11-11_09-17-23"
"{""username"":""hommie789"",""profile_pic_url"":""https://instagram.fyvr3-1.fna.fbcdn.net/t51.2885-19/11821737_506052616215913_888934121_a.jpg"",""id"":""145225736""}","Climate -friendly? That only is applicable if you know the source of the electricity and the plant making the bus, also battery manufacturing is a HUGE problem for the environment but as long as you think your doing all you can for the environment by riding an electric bus good for you.",1478894800,"17859281275065842","2016-11-11_09-17-23"
