"likes","mediaid","caption","url","shortcode","comments","typename","caption_hashtags","tagged_users","date","caption_mentions","is_video","id","owner_username","owner_id","video_url"
1,1400844618942049500,"What do the Trans Mountain Expansion project and #Line3 replacement project mean for Canadians? #pipeline #TransMountain #jobs #Canada #Canadians #economy #naturalresources","https://instagram.fyvr3-1.fna.fbcdn.net/vp/e4f5e623340b13bbb71e4d4c85ac2d03/5AE31943/t51.2885-15/e35/15306784_920549001414237_5518701506963963904_n.jpg","BNwzMJJjuy2",0,"GraphImage","[""line3"",""pipeline"",""transmountain"",""jobs"",""canada"",""canadians"",""economy"",""naturalresources""]","[]","2016-12-08T08:15:13","[]",false,"2016-12-08_08-15-13","naturalresourcescanada",4211313612,
1,1400845765790478600,"The Government of Canada approved the Trans Mountain Expansion Project. Visit our website to learn more about the decision (link in bio) #pipeline #canada #economy #expansion #TMX #TransMountain #naturalresources #canadians #BritishColumbia #Alberta","https://instagram.fyvr3-1.fna.fbcdn.net/vp/c0d6aa5f3211b0f5d3406eaaf08047a1/5ADF40FC/t51.2885-15/e35/15305982_1721144378202342_6194383069026189312_n.jpg","BNwzc1PDTEo",0,"GraphImage","[""pipeline"",""canada"",""economy"",""expansion"",""tmx"",""transmountain"",""naturalresources"",""canadians"",""britishcolumbia"",""alberta""]","[]","2016-12-08T08:17:30","[]",false,"2016-12-08_08-17-30","naturalresourcescanada",4211313612,
2,1400847082994946600,"The Government of Canada approved the Enbridge Line 3 Replacement Project. Visit our website to learn more about the decisions (link in bio). #pipeline #canada #economy #replace #naturalresources #canadians #Alberta #Saskatchewan #Sask #Manitoba #line3","https://instagram.fyvr3-1.fna.fbcdn.net/vp/12beadecb48a7bc28b84826e6ece926e/5AE5E4BF/t51.2885-15/e35/15306519_256932708059005_6692938028022759424_n.jpg","BNwzv_-jlIT",0,"GraphImage","[""pipeline"",""canada"",""economy"",""replace"",""naturalresources"",""canadians"",""alberta"",""saskatchewan"",""sask"",""manitoba"",""line3""]","[]","2016-12-08T08:20:07","[]",false,"2016-12-08_08-20-07","naturalresourcescanada",4211313612,
3,1400859675746756600,"Funding from Budget 2016 will increase charging/refuelling infrastructure for electric, natural gas and hydrogen vehicles.\n#electricvehicles #naturalgas #electricity #cars #vroom #electric #ecofriendly #battery #electriccars #canada #driving #future #infrastructure","https://instagram.fyvr3-1.fna.fbcdn.net/vp/e875d15c934f0dd3fb468e8d50907d45/5A639865/t51.2885-15/e15/15306616_108255179668603_2983581091811557376_n.jpg","BNw2nP5Degw",0,"GraphVideo","[""electricvehicles"",""naturalgas"",""electricity"",""cars"",""vroom"",""electric"",""ecofriendly"",""battery"",""electriccars"",""canada"",""driving"",""future"",""infrastructure""]","[]","2016-12-08T08:45:08","[]",true,"2016-12-08_08-45-08","naturalresourcescanada",4211313612,"https://instagram.fyvr3-1.fna.fbcdn.net/vp/028b6c5e422b10449472ef37c452f362/5A6391AB/t50.2886-16/15439673_1812567962311400_5540341394742181888_n.mp4"
28,1400861368064586200,"December is Arctic Science Month! Join us in celebrating Canada’s Northern research with the hashtag #ArcticScience #arctic #canada #science  #CanadianArctic #adventure #research #ClimateScience #ship #voyage","https://instagram.fyvr3-1.fna.fbcdn.net/vp/f49177516cfb554fc77d79a5a256a160/5AFD8572/t51.2885-15/e35/15258675_180688029063542_4452934479454928896_n.jpg","BNw2_3_DrGS",5,"GraphImage","[""arcticscience"",""arctic"",""canada"",""science"",""canadianarctic"",""adventure"",""research"",""climatescience"",""ship"",""voyage""]","[]","2016-12-08T08:48:30","[]",false,"2016-12-08_08-48-30","naturalresourcescanada",4211313612,
4,1400866319675184400,"Safety is an important aspect of Canada’s pipeline infrastructure. #pipeline #safety #infrastructure #naturalresources #naturalgas #petroleum #Canada #transmountain #tmx #line3","https://instagram.fyvr3-1.fna.fbcdn.net/vp/9ee8687efc8b0982bdee4541262f1901/5AE8914F/t51.2885-15/e35/15306780_205731803213711_1668121738208083968_n.jpg","BNw4H7iDFTj",1,"GraphImage","[""pipeline"",""safety"",""infrastructure"",""naturalresources"",""naturalgas"",""petroleum"",""canada"",""transmountain"",""tmx"",""line3""]","[]","2016-12-08T08:58:20","[]",false,"2016-12-08_08-58-20","naturalresourcescanada",4211313612,
21,1401663452762385700,"Our satellite station in Inuvik receives data in real time from polar-orbiting satellites #ArcticScience #arctic #north #satellite #Inuvik #NorthernLights #AuroraBorealis #wow #science #canada","https://instagram.fyvr3-1.fna.fbcdn.net/vp/311b645f65fdcef5f5261beebd02d98c/5AE9D1BD/t51.2885-15/e35/15403481_285748735156359_6060867417855229952_n.jpg","BNztXvkjKyW",1,"GraphImage","[""arcticscience"",""arctic"",""north"",""satellite"",""inuvik"",""northernlights"",""auroraborealis"",""wow"",""science"",""canada""]","[]","2016-12-09T11:22:06","[]",false,"2016-12-09_11-22-06","naturalresourcescanada",4211313612,
7,1403893217120689000,"Mission accomplished! 2016 was the final Arctic survey to map Canada's outer limits #ArcticScience #north #arctic #science #survey #mapping #map #canada #team","https://instagram.fyvr3-1.fna.fbcdn.net/vp/1707f96727c95ca311b4061fa5e7595c/5ADF927A/t51.2885-15/e35/15276618_111460736015333_1985213860797218816_n.jpg","BN7oXFdDxsC",0,"GraphImage","[""arcticscience"",""north"",""arctic"",""science"",""survey"",""mapping"",""map"",""canada"",""team""]","[]","2016-12-12T13:12:14","[]",false,"2016-12-12_13-12-14","naturalresourcescanada",4211313612,
13,1404608857313081600,"Our researchers monitor accelerated coastal change in Canada’s Western Arctic using drones #ArcticScience #north #science #drones #coast #arctic","https://instagram.fyvr3-1.fna.fbcdn.net/vp/2fdde948cec07bc39ca552453f52562e/5AEE5D35/t51.2885-15/e35/15538523_1621022034866135_3244337090451734528_n.jpg","BN-LFBUg3kp",0,"GraphImage","[""arcticscience"",""north"",""science"",""drones"",""coast"",""arctic""]","[""parkscanada_ert""]","2016-12-13T12:54:05","[]",false,"2016-12-13_12-54-05","naturalresourcescanada",4211313612,
18,1406066989742560300,"NRCan scientists deploy seismometers on drifting ice floes in the #ArcticOcean - a first for ship-based science program! Seismometers measure sound waves as they move through the layers of Earth’s crust layers below the ocean #ArcticScience #north #ice #helicopter #arctic #science #canada #seismology #views #ocean","https://instagram.fyvr3-1.fna.fbcdn.net/vp/ccaedb3189f6cf6656649266fccc09e8/5AF695CC/t51.2885-15/e35/14553328_358184184541614_3105923428511645696_n.jpg","BODWno-AhOJ",0,"GraphImage","[""arcticocean"",""arcticscience"",""north"",""ice"",""helicopter"",""arctic"",""science"",""canada"",""seismology"",""views"",""ocean""]","[]","2016-12-15T13:11:08","[]",false,"2016-12-15_13-11-08","naturalresourcescanada",4211313612,
13,1406781012620384500,"A helicopter is landing with more supplies for the ice camp. Even though this picture was taken at about 7:30 pm, there is bright sunshine since the sun never sets in the #Arctic during the summer. #ArcticScience 📷 John Shimeld, Natural Resources Canada\n\n#science #helicopter #camp #camping #ice #snow #CanadianCoastGuard","https://instagram.fyvr3-1.fna.fbcdn.net/vp/25186d6bbe64e9a5d36b6eee0951d2a9/5ADC9FAA/t51.2885-15/e35/15535395_143343429484940_9031567795371900928_n.jpg","BOF4-CmAJiH",0,"GraphImage","[""arctic"",""arcticscience"",""science"",""helicopter"",""camp"",""camping"",""ice"",""snow"",""canadiancoastguard""]","[]","2016-12-16T12:49:46","[]",false,"2016-12-16_12-49-46","naturalresourcescanada",4211313612,
