,Unnamed: 0,status_id,link_name,status_type,status_link,status_published,num_reactions,num_comments,num_shares,num_likes,num_loves,num_wows,num_hahas,num_sads,num_angrys,num_special,status_message_cleaned,hashtags,urls,text_filtered,text_tokenized,text_stemmed,text_original,category,Reactions_SUM,average_sentiment_score,language
0,0,632493333805962_667462033642425,Top 10 Weather Stories for 2017,video,https://www.facebook.com/EnvironmentandClimateChange/videos/667462033642425/,2017-12-21 08:38:18,8,1,47,6,2,0,0,0,0,0,"Canadians had plenty of weather to talk about this year! Flooding caused significant damage in parts of Quebec and Ontario, while winter storms walloped Atlantic Canada. British Columbians faced the most destructive wildfire season in the province’s history, and record hot and dry conditions in the West also meant a year of distress for farmers and ranchers. From a list of significant weather events across Canada in , Environment and Climate Change Canada’s eerts have drawn up their choice of the Top Weather Stories from across the country. To know more:",[],['http://ow.ly/AKbo30hn2st'],Canadians plenty weather talk year Flooding caused significant damage parts Quebec Ontario winter storms walloped Atlantic Canada British Columbians faced destructive wildfire season history record hot dry conditions West also meant year distress farmers ranchers list 100 significant weather events across Canada 2017 Environment Climate Change experts drawn choice Top 10 Weather Stories across country know http ow ly AKbo30hn2st,"['Canadians', 'plenty', 'weather', 'talk', 'year', 'Flooding', 'caused', 'significant', 'damage', 'parts', 'Quebec', 'Ontario', 'winter', 'storms', 'walloped', 'Atlantic', 'Canada', 'British', 'Columbians', 'faced', 'destructive', 'wildfire', 'season', 'history', 'record', 'hot', 'dry', 'conditions', 'West', 'also', 'meant', 'year', 'distress', 'farmers', 'ranchers', 'list', '100', 'significant', 'weather', 'events', 'across', 'Canada', '2017', 'Environment', 'Climate', 'Change', 'experts', 'drawn', 'choice', 'Top', '10', 'Weather', 'Stories', 'across', 'country', 'know', 'http', 'ow', 'ly', 'AKbo30hn2st']","[u'canadian', u'plenti', u'weather', u'talk', u'year', u'flood', u'caus', u'signific', u'damag', u'part', u'quebec', u'ontario', u'winter', u'storm', u'wallop', u'atlant', u'canada', u'british', u'columbian', u'face', u'destruct', u'wildfir', u'season', u'histori', u'record', u'hot', u'dri', u'condit', u'west', u'also', u'meant', u'year', u'distress', u'farmer', u'rancher', u'list', u'100', u'signific', u'weather', u'event', u'across', u'canada', u'2017', u'environ', u'climat', u'chang', u'expert', u'drawn', u'choic', u'top', '10', u'weather', u'stori', u'across', u'countri', u'know', u'http', 'ow', 'ly', u'akbo30hn2st']","Canadians had plenty of weather to talk about this year! Flooding caused significant damage in parts of Quebec and Ontario, while winter storms walloped Atlantic Canada. British Columbians faced the most destructive wildfire season in the province’s history, and record hot and dry conditions in the West also meant a year of distress for farmers and ranchers.

From a list of 100 significant weather events across Canada in 2017, Environment and Climate Change Canada’s experts have drawn up their choice of the Top 10 Weather Stories from across the country. To know more: http://ow.ly/AKbo30hn2st",Environmental,56,-0.6,en
1,1,632493333805962_651674615221167,,video,https://www.facebook.com/EnvironmentandClimateChange/videos/651674615221167/,2017-11-23 10:11:32,15,13,23,9,5,0,0,0,1,0,"Happening now: Environment and Climate Change Minister, Catherine McKenna, delivers remarks at the Montreal Protocol meeting.",[],[],Happening Environment Climate Change Minister Catherine McKenna delivers remarks Montreal Protocol meeting,"['Happening', 'Environment', 'Climate', 'Change', 'Minister', 'Catherine', 'McKenna', 'delivers', 'remarks', 'Montreal', 'Protocol', 'meeting']","[u'happen', u'environ', u'climat', u'chang', u'minist', u'catherin', u'mckenna', u'deliv', u'remark', u'montreal', u'protocol', u'meet']","Happening now: Environment and Climate Change Minister, Catherine McKenna, delivers remarks at the Montreal Protocol meeting.",Environmental,51,-0.002696078431372556,en
2,2,632493333805962_664058260649469,The Low Carbon Economy Fund,video,https://www.facebook.com/EnvironmentandClimateChange/videos/663786990676596/,2017-12-15 09:30:09,19,17,14,16,3,0,0,0,0,0,Facebook Live: Minister McKenna announces an exciting new initiative to support a clean growth low carbon economy!,[],[],Facebook Live Minister McKenna announces exciting new initiative support clean growth low carbon economy,"['Facebook', 'Live', 'Minister', 'McKenna', 'announces', 'exciting', 'new', 'initiative', 'support', 'clean', 'growth', 'low', 'carbon', 'economy']","[u'facebook', u'live', u'minist', u'mckenna', u'announc', u'excit', u'new', u'initi', u'support', u'clean', u'growth', u'low', u'carbon', u'economi']",Facebook Live: Minister McKenna announces an exciting new initiative to support a clean growth low carbon economy!,Environmental,50,0.08136363636363636,en
3,3,632493333805962_650044275384201,,video,https://www.facebook.com/EnvironmentandClimateChange/videos/650044275384201/,2017-11-20 10:12:23,17,15,16,15,2,0,0,0,0,0,"Tune in now to see the Right Honourable Brian Mulroney and Minister of Environment and Climate Change, Catherine McKenna, speak at the opening of the international conference aimed at protecting the ozone layer and tackling climate change. LIVE from Montreal:",[],[],Tune see Right Honourable Brian Mulroney Minister Environment Climate Change Catherine McKenna speak opening international conference aimed protecting ozone layer tackling climate change LIVE Montreal,"['Tune', 'see', 'Right', 'Honourable', 'Brian', 'Mulroney', 'Minister', 'Environment', 'Climate', 'Change', 'Catherine', 'McKenna', 'speak', 'opening', 'international', 'conference', 'aimed', 'protecting', 'ozone', 'layer', 'tackling', 'climate_change', 'LIVE', 'Montreal']","[u'tune', u'see', u'right', u'honour', u'brian', u'mulroney', u'minist', u'environ', u'climat', u'chang', u'catherin', u'mckenna', u'speak', u'open', u'intern', u'confer', u'aim', u'protect', u'ozon', u'layer', u'tackl', u'climate_chang', u'live', u'montreal']","Tune in now to see the Right Honourable Brian Mulroney and Minister of Environment and Climate Change, Catherine McKenna, speak at the opening of the international conference aimed at protecting the ozone layer and tackling climate change. 

LIVE from Montreal:",Environmental,48,0.0630952380952381,en
4,4,632493333805962_659802921075003,Hi-Velocity Systems,video,https://www.facebook.com/EnvironmentandClimateChange/videos/659802921075003/,2017-12-07 18:25:00,21,6,18,17,3,1,0,0,0,0,– Minister McKenna is leading a trade mission: Energy Saving Products Ltd. is a 🇨🇦 company specializing in air purifiers capable of maintaining high quality air standards in large areas.,"['#CanadaInChina', '#CleanTech', '#ClimateAction']",['http://ow.ly/EtDk30h5rPt'],CanadaInChina Minister McKenna leading CleanTech trade mission Energy Saving Products Ltd company specializing air purifiers capable maintaining high quality air standards large areas http ow ly EtDk30h5rPt ClimateAction,"['CanadaInChina', 'Minister', 'McKenna', 'leading', 'CleanTech', 'trade', 'mission', 'Energy', 'Saving', 'Products', 'Ltd', 'company', 'specializing', 'air', 'purifiers', 'capable', 'maintaining', 'high', 'quality', 'air', 'standards', 'large', 'areas', 'http', 'ow', 'ly', 'EtDk30h5rPt', 'ClimateAction']","[u'canadainchina', u'minist', u'mckenna', u'lead', u'cleantech', u'trade', u'mission', u'energi', u'save', u'product', u'ltd', u'compani', u'special', u'air', u'purifi', u'capabl', u'maintain', u'high', u'qualiti', u'air', u'standard', u'larg', u'area', u'http', 'ow', 'ly', u'etdk30h5rpt', u'climateact']",#CanadaInChina – Minister McKenna is leading a #CleanTech trade mission: Energy Saving Products Ltd. is a 🇨🇦 company specializing in air purifiers capable of maintaining high quality air standards in large areas. http://ow.ly/EtDk30h5rPt #ClimateAction,Environmental,45,0.4796875,en
5,5,632493333805962_648707115517917,International Students' Day,video,https://www.facebook.com/EnvironmentandClimateChange/videos/648707115517917/,2017-11-18 14:15:32,27,2,11,19,8,0,0,0,0,0,"Meet Anne Marie Arko, an Environment and Climate Change Canada student, who worked closely with Canada’s negotiation team to mobilize climate action on the ground at the United Nations Framework Convention on Climate Change (COP23) in Bonn, Germany. Canada supports young people taking climate action. Youth are essential in addressing climate change. We need their innovative ideas and solutions to help build a cleaner, more prosperous Canada for generations to come.",[],[],Meet Anne Marie Arko Environment Climate Change Canada student worked closely negotiation team mobilize climate action ground United Nations Framework Convention Climate Change COP23 Bonn Germany Canada supports young people taking climate action Youth essential addressing climate change need innovative ideas solutions help build cleaner prosperous Canada generations come,"['Meet', 'Anne', 'Marie', 'Arko', 'Environment', 'Climate', 'Change', 'Canada', 'student', 'worked', 'closely', 'negotiation', 'team', 'mobilize', 'climate', 'action', 'ground', 'United', 'Nations', 'Framework', 'Convention', 'Climate', 'Change', 'COP23', 'Bonn', 'Germany', 'Canada', 'supports', 'young', 'people', 'taking', 'climate', 'action', 'Youth', 'essential', 'addressing', 'climate_change', 'need', 'innovative', 'ideas', 'solutions', 'help', 'build', 'cleaner', 'prosperous', 'Canada', 'generations', 'come']","[u'meet', u'ann', u'mari', u'arko', u'environ', u'climat', u'chang', u'canada', u'student', u'work', u'close', u'negoti', u'team', u'mobil', u'climat', u'action', u'ground', u'unit', u'nation', u'framework', u'convent', u'climat', u'chang', u'cop23', u'bonn', u'germani', u'canada', u'support', u'young', u'peopl', u'take', u'climat', u'action', u'youth', u'essenti', u'address', u'climate_chang', u'need', u'innov', u'idea', u'solut', u'help', u'build', u'cleaner', u'prosper', u'canada', u'generat', u'come']","Meet Anne Marie Arko, an Environment and Climate Change Canada student, who worked closely with Canada’s negotiation team to mobilize climate action on the ground at the United Nations Framework Convention on Climate Change (COP23) in Bonn, Germany. Canada supports young people taking climate action. Youth are essential in addressing climate change. We need their innovative ideas and solutions to help build a cleaner, more prosperous Canada for generations to come.",Environmental,40,0.85,en
6,6,632493333805962_662218024166826,Timeline Photos,photo,https://www.facebook.com/EnvironmentandClimateChange/photos/a.642042859517676.1073741828.632493333805962/662218024166826/?type=3,2017-12-11 21:00:26,7,2,26,7,0,0,0,0,0,0,"Did you know that you should check the UV Index all year round, even in winter?! 8",[],['http://ow.ly/6SFc30h9Xr'],know check UV Index year round even winter http ow ly 6SFc30h9Xr8,"['know', 'check', 'UV', 'Index', 'year', 'round', 'even', 'winter', 'http', 'ow', 'ly', '6SFc30h9Xr8']","[u'know', u'check', 'uv', u'index', u'year', u'round', u'even', u'winter', u'http', 'ow', 'ly', u'6sfc30h9xr8']","Did you know that you should check the UV Index all year round, even in winter?! http://ow.ly/6SFc30h9Xr8",Social,35,-0.05833333333333333,en
7,7,632493333805962_651779198544042,,video,https://www.facebook.com/EnvironmentandClimateChange/videos/651779198544042/,2017-11-23 14:38:38,6,1,10,6,0,0,0,0,0,0,Join us now LIVE to watch a panel discussion on the science behind repairing the ozone layer and combatting climate change under the Montreal Protocol.,[],[],Join us LIVE watch panel discussion science behind repairing ozone layer combatting climate change Montreal Protocol,"['Join', 'us', 'LIVE', 'watch', 'panel', 'discussion', 'science', 'behind', 'repairing', 'ozone', 'layer', 'combatting', 'climate_change', 'Montreal', 'Protocol']","[u'join', 'us', u'live', u'watch', u'panel', u'discuss', u'scienc', u'behind', u'repair', u'ozon', u'layer', u'combat', u'climate_chang', u'montreal', u'protocol']",Join us now LIVE to watch a panel discussion on the science behind repairing the ozone layer and combatting climate change under the Montreal Protocol.,Environmental,17,-0.25,en
8,8,632493333805962_652440791811216,"Listen to Dr. Mona Nemer, the Chief Science Advisor of Canada",video,https://www.facebook.com/EnvironmentandClimateChange/videos/652440791811216/,2017-11-24 15:59:20,10,1,5,10,0,0,0,0,0,0,"Listen to Dr. Mona Nemer, the Chief Science Advisor of Canada, speak after the United Nations Environment Programme’s panel discussion on the scientific foundation of the Montreal Protocol. Science will continue to help us fix the ozone layer!",[],[],Listen Dr Mona Nemer Chief Science Advisor Canada speak United Nations Environment panel discussion scientific foundation Montreal Protocol Science continue help us fix ozone layer,"['Listen', 'Dr', 'Mona', 'Nemer', 'Chief', 'Science', 'Advisor', 'Canada', 'speak', 'United', 'Nations', 'Environment', 'panel', 'discussion', 'scientific', 'foundation', 'Montreal', 'Protocol', 'Science', 'continue', 'help', 'us', 'fix', 'ozone', 'layer']","[u'listen', 'dr', u'mona', u'nemer', u'chief', u'scienc', u'advisor', u'canada', u'speak', u'unit', u'nation', u'environ', u'panel', u'discuss', u'scientif', u'foundat', u'montreal', u'protocol', u'scienc', u'continu', u'help', 'us', u'fix', u'ozon', u'layer']","Listen to Dr. Mona Nemer, the Chief Science Advisor of Canada, speak after the United Nations Environment Programme’s panel discussion on the scientific foundation of the Montreal Protocol. Science will continue to help us fix the ozone layer!",Environmental,16,0.0,en
9,9,632493333805962_667657650289530,One Planet Summit,video,https://www.facebook.com/EnvironmentandClimateChange/videos/667657650289530/,2017-12-21 16:17:23,4,0,10,3,1,0,0,0,0,0,On Dec Minister McKenna attended and worked with leaders from public and private sectors on new and innovative,"['#OnePlanetSummit', '#ClimateAction']",[],Dec 12 Minister McKenna attended OnePlanetSummit worked leaders public private sectors new innovative ClimateAction,"['Dec', '12', 'Minister', 'McKenna', 'attended', 'OnePlanetSummit', 'worked', 'leaders', 'public', 'private', 'sectors', 'new', 'innovative', 'ClimateAction']","[u'dec', '12', u'minist', u'mckenna', u'attend', u'oneplanetsummit', u'work', u'leader', u'public', u'privat', u'sector', u'new', u'innov', u'climateact']",On Dec 12 Minister McKenna attended #OnePlanetSummit and worked with leaders from public and private sectors on new and innovative #ClimateAction,Environmental,14,0.0,en
