,Unnamed: 0,status_id,link_name,status_type,status_link,status_published,num_reactions,num_comments,num_shares,num_likes,num_loves,num_wows,num_hahas,num_sads,num_angrys,num_special,status_message_cleaned,hashtags,urls,text_filtered,text_tokenized,text_stemmed,text_original,category,Reactions_SUM,average_sentiment_score,language
0,0,370233926766473_392749417848257,Timeline Photos,photo,https://www.facebook.com/EnvironnementetChangementclimatique/photos/a.377494369373762.1073741828.370233926766473/392749417848257/?type=3,2017-12-11 21:00:25,2,0,7,1,1,0,0,0,0,0,"Saviez-vous que vous devriez toujours vérifier l’indice UV, même en hiver?!",[],['http://ow.ly/inat30h9XzF'],Saviez vous que vous devriez toujours rifier indice UV en hiver http ow ly inat30h9XzF,"['Saviez', 'vous', 'que', 'vous', 'devriez', 'toujours', 'rifier', 'indice', 'UV', 'en', 'hiver', 'http', 'ow', 'ly', 'inat30h9XzF']","[u'saviez', u'vous', u'que', u'vous', u'devriez', u'toujour', u'rifier', u'indic', 'uv', 'en', u'hiver', u'http', 'ow', 'ly', u'inat30h9xzf']","Saviez-vous que vous devriez toujours vérifier l’indice UV, même en hiver?! http://ow.ly/inat30h9XzF",Environmental,9,0.0,fr
1,1,370233926766473_384139552042577,Timeline Photos,photo,https://www.facebook.com/EnvironnementetChangementclimatique/photos/a.377494369373762.1073741828.370233926766473/384139552042577/?type=3,2017-11-22 20:07:46,1,0,8,1,0,0,0,0,0,0,"Regardez la ministre de l’Environnement et du Changement climatique, Catherine McKenna, qui prononcera une allocution lors de la conférence internationale qui vise à protéger la couche d’ozone et à lutter contre les changements climatiques. EN DIRECT de Montréal! UN Environment",[],[],Regardez la ministre de Environnement et du Changement climatique Catherine McKenna qui prononcera une allocution lors de la rence internationale qui vise ger la couche ozone et lutter contre les changements climatiques EN DIRECT de al UN Environment,"['Regardez', 'la', 'ministre', 'de', 'Environnement', 'et', 'du', 'Changement', 'climatique', 'Catherine', 'McKenna', 'qui', 'prononcera', 'une', 'allocution', 'lors', 'de', 'la', 'rence', 'internationale', 'qui', 'vise', 'ger', 'la', 'couche', 'ozone', 'et', 'lutter', 'contre', 'les', 'changements', 'climatiques', 'EN', 'DIRECT', 'de', 'al', 'UN', 'Environment']","[u'regardez', 'la', u'ministr', 'de', u'environn', 'et', 'du', u'changement', u'climatiqu', u'catherin', u'mckenna', u'qui', u'prononcera', u'une', u'allocut', u'lor', 'de', 'la', u'renc', u'international', u'qui', u'vise', u'ger', 'la', u'couch', u'ozon', 'et', u'lutter', u'contr', u'les', u'changement', u'climatiqu', 'en', u'direct', 'de', 'al', 'un', u'environ']","Regardez la ministre de l’Environnement et du Changement climatique, Catherine McKenna, qui prononcera une allocution lors de la conférence internationale qui vise à protéger la couche d’ozone et à lutter contre les changements climatiques. EN DIRECT de Montréal! UN Environment",Environmental,9,0.0,fr
2,2,370233926766473_396995560756976,Top 10 Météo de 2017,video,https://www.facebook.com/EnvironnementetChangementclimatique/videos/396995560756976/,2017-12-21 08:40:30,1,0,6,1,0,0,0,0,0,0,"Les Canadiens en avaient long à dire sur la météo cette année! Des inondations ont causé des dommages importants dans certaines régions du Québec et de l’Ontario, et des tempêtes hivernales ont enseveli le Canada atlantique. Les Britanno-Colombiens ont vécu la saison de feux de forêt la plus dévastatrice de l’histoire de la province et les conditions de chaleur et de sécheresse record dans l’Ouest ont fait de une année catastrophique pour les cultivateurs et les éleveurs. Les eerts météorologues d’Environnement et Changement climatique Canada ont sélectionné leurs dix événements météo les plus marquants de l’année à partir d’une liste de événements importants dans tout le pays. Jetez un coup d’œil :",[],['http://ow.ly/z50V30hn2I6'],Les Canadiens en avaient long dire sur la cette Des inondations ont des dommages importants dans certaines gions du bec et de Ontario et des hivernales ont enseveli le Canada atlantique Les Britanno Colombiens ont cu la saison de feux de la plus vastatrice de histoire de la province et les conditions de chaleur et de cheresse record dans Ouest ont fait de 2017 une catastrophique pour les cultivateurs et les leveurs Les experts orologues Environnement et Changement climatique Canada ont leurs dix nements les plus marquants de 2017 partir une liste de 100 nements importants dans tout le pays Jetez un coup il http ow ly z50V30hn2I6,"['Les', 'Canadiens', 'en', 'avaient', 'long', 'dire', 'sur', 'la', 'cette', 'Des', 'inondations', 'ont', 'des', 'dommages', 'importants', 'dans', 'certaines', 'gions', 'du', 'bec', 'et', 'de', 'Ontario', 'et', 'des', 'hivernales', 'ont', 'enseveli', 'le', 'Canada', 'atlantique', 'Les', 'Britanno', 'Colombiens', 'ont', 'cu', 'la', 'saison', 'de', 'feux', 'de', 'la', 'plus', 'vastatrice', 'de', 'histoire', 'de', 'la', 'province', 'et', 'les', 'conditions', 'de', 'chaleur', 'et', 'de', 'cheresse', 'record', 'dans', 'Ouest', 'ont', 'fait', 'de', '2017', 'une', 'catastrophique', 'pour', 'les', 'cultivateurs', 'et', 'les', 'leveurs', 'Les', 'experts', 'orologues', 'Environnement', 'et', 'Changement', 'climatique', 'Canada', 'ont', 'leurs', 'dix', 'nements', 'les', 'plus', 'marquants', 'de', '2017', 'partir', 'une', 'liste', 'de', '100', 'nements', 'importants', 'dans', 'tout', 'le', 'pays', 'Jetez', 'un', 'coup', 'il', 'http', 'ow', 'ly', 'z50V30hn2I6']","[u'les', u'canadien', 'en', u'avaient', u'long', u'dire', u'sur', 'la', u'cett', u'des', u'inond', u'ont', u'des', u'dommag', u'import', u'dan', u'certain', u'gion', 'du', u'bec', 'et', 'de', u'ontario', 'et', u'des', u'hivernal', u'ont', u'ensev', 'le', u'canada', u'atlantiqu', u'les', u'britanno', u'colombien', u'ont', 'cu', 'la', u'saison', 'de', u'feux', 'de', 'la', u'plus', u'vastatric', 'de', u'histoir', 'de', 'la', u'provinc', 'et', u'les', u'condit', 'de', u'chaleur', 'et', 'de', u'cheress', u'record', u'dan', u'ouest', u'ont', u'fait', 'de', u'2017', u'une', u'catastrophiqu', u'pour', u'les', u'cultivateur', 'et', u'les', u'leveur', u'les', u'expert', u'orologu', u'environn', 'et', u'changement', u'climatiqu', u'canada', u'ont', u'leur', u'dix', u'nement', u'les', u'plus', u'marquant', 'de', u'2017', u'partir', u'une', u'list', 'de', u'100', u'nement', u'import', u'dan', u'tout', 'le', u'pay', u'jetez', 'un', u'coup', 'il', u'http', 'ow', 'ly', u'z50v30hn2i6']","Les Canadiens en avaient long à dire sur la météo cette année! Des inondations ont causé des dommages importants dans certaines régions du Québec et de l’Ontario, et des tempêtes hivernales ont enseveli le Canada atlantique. Les Britanno-Colombiens ont vécu la saison de feux de forêt la plus dévastatrice de l’histoire de la province et les conditions de chaleur et de sécheresse record dans l’Ouest ont fait de 2017 une année catastrophique  pour les cultivateurs et les éleveurs.

Les experts météorologues d’Environnement et Changement climatique Canada ont sélectionné leurs dix événements météo les plus marquants de l’année 2017 à partir d’une liste de 100 événements importants dans tout le pays. Jetez un coup d’œil : http://ow.ly/z50V30hn2I6",Environmental,7,0.0,fr
3,3,370233926766473_390322918090907,Bombardier,video,https://www.facebook.com/EnvironnementetChangementclimatique/videos/390322918090907/,2017-12-06 14:49:48,3,0,3,3,0,0,0,0,0,0,– Bombardier 🇨🇦 spécialiste en réduction de pollution avec son aéronef novateur qui consomme seulement L/100 km de carburant par passager.,"['#CanadaEnChine', '#CSeries', '#ActionClimatique']",['http://ow.ly/Fk9c30h3Hry'],CanadaEnChine Bombardier cialiste en duction de pollution avec son ronef novateur CSeries qui consomme seulement 100 km de carburant par passager http ow ly Fk9c30h3Hry ActionClimatique,"['CanadaEnChine', 'Bombardier', 'cialiste', 'en', 'duction', 'de', 'pollution', 'avec', 'son', 'ronef', 'novateur', 'CSeries', 'qui', 'consomme', 'seulement', '100', 'km', 'de', 'carburant', 'par', 'passager', 'http', 'ow', 'ly', 'Fk9c30h3Hry', 'ActionClimatique']","[u'canadaenchin', u'bombardi', u'cialist', 'en', u'duction', 'de', u'pollut', u'avec', u'son', u'ronef', u'novateur', u'cseri', u'qui', u'consomm', u'seulement', u'100', 'km', 'de', u'carbur', u'par', u'passag', u'http', 'ow', 'ly', u'fk9c30h3hri', u'actionclimatiqu']",#CanadaEnChine – Bombardier 🇨🇦 spécialiste en réduction de pollution avec son aéronef novateur #CSeries qui consomme seulement 2 L/100 km de carburant par passager. http://ow.ly/Fk9c30h3Hry #ActionClimatique,Environmental,6,0.0,fr
4,4,370233926766473_394378127685386,Fonds du leadership,video,https://www.facebook.com/EnvironnementetChangementclimatique/videos/394378127685386/,2017-12-15 14:34:41,3,0,2,1,2,0,0,0,0,0,"Nous avons une grande nouvelle! Le gouvernement du Canada financera, au cours des cinq prochaines années, plus de milliard de dollars au Fonds du leadership pour l’économie à faibles émissions de carbone pour aider les provinces de la Colombie-Britannique, de l’Alberta, de l’Ontario, du Québec, du Nouveau-Brunswick et de la Nouvelle-Écosse. Le Canada s’est engagé à développer l’économie et la protection de l’environnement pour les générations futures.",[],['http://ow.ly/tGE730hfWnA'],Nous avons une grande nouvelle Le gouvernement du Canada financera au cours des cinq prochaines es plus de milliard de dollars au Fonds du leadership pour conomie faibles missions de carbone pour aider les provinces de la Colombie Britannique de Alberta de Ontario du bec du Nouveau Brunswick et de la Nouvelle cosse Le Canada est velopper conomie et la protection de environnement pour les rations futures http ow ly tGE730hfWnA,"['Nous', 'avons', 'une', 'grande', 'nouvelle', 'Le', 'gouvernement', 'du', 'Canada', 'financera', 'au', 'cours', 'des', 'cinq', 'prochaines', 'es', 'plus', 'de', 'milliard', 'de', 'dollars', 'au', 'Fonds', 'du', 'leadership', 'pour', 'conomie', 'faibles', 'missions', 'de', 'carbone', 'pour', 'aider', 'les', 'provinces', 'de', 'la', 'Colombie', 'Britannique', 'de', 'Alberta', 'de', 'Ontario', 'du', 'bec', 'du', 'Nouveau', 'Brunswick', 'et', 'de', 'la', 'Nouvelle', 'cosse', 'Le', 'Canada', 'est', 'velopper', 'conomie', 'et', 'la', 'protection', 'de', 'environnement', 'pour', 'les', 'rations', 'futures', 'http', 'ow', 'ly', 'tGE730hfWnA']","[u'nous', u'avon', u'une', u'grand', u'nouvell', 'le', u'gouvern', 'du', u'canada', u'financera', 'au', u'cour', u'des', u'cinq', u'prochain', 'es', u'plus', 'de', u'milliard', 'de', u'dollar', 'au', u'fond', 'du', u'leadership', u'pour', u'conomi', u'faibl', u'mission', 'de', u'carbon', u'pour', u'aider', u'les', u'provinc', 'de', 'la', u'colombi', u'britanniqu', 'de', u'alberta', 'de', u'ontario', 'du', u'bec', 'du', u'nouveau', u'brunswick', 'et', 'de', 'la', u'nouvell', u'coss', 'le', u'canada', u'est', u'velopp', u'conomi', 'et', 'la', u'protect', 'de', u'environn', u'pour', u'les', u'ration', u'futur', u'http', 'ow', 'ly', u'tge730hfwna']","Nous avons une grande nouvelle! Le gouvernement du Canada financera, au cours des cinq prochaines années, plus de 1 milliard de dollars au Fonds du leadership pour l’économie à faibles émissions de carbone pour aider les provinces de la Colombie-Britannique, de l’Alberta, de l’Ontario, du Québec, du Nouveau-Brunswick et de la Nouvelle-Écosse. 

Le Canada s’est engagé à développer l’économie et la protection de l’environnement pour les générations futures.

http://ow.ly/tGE730hfWnA",Environmental,5,0.0,fr
5,5,370233926766473_383278448795354,Le gouvernement du Canada prend des mesures,video,https://www.facebook.com/EnvironnementetChangementclimatique/videos/383278448795354/,2017-11-20 15:55:26,2,0,3,2,0,0,0,0,0,0,"Le Protocole de Montréal est l’un des accords mondiaux les plus fructueux de l’histoire. Le Canada, avec l’aide du monde entier, a mis fin à l’appauvrissement de la couche d’ozone. Et maintenant, ans plus tard, nous unissons nos efforts dans le cadre de cet accord pour mettre un terme aux changements climatiques, grâce à l’Amendement de Kigali.",[],[],Le Protocole de al est un des accords mondiaux les plus fructueux de histoire Le Canada avec aide du monde entier mis fin appauvrissement de la couche ozone Et maintenant 30 ans plus tard nous unissons nos efforts dans le cadre de cet accord pour mettre un terme aux changements climatiques ce Amendement de Kigali,"['Le', 'Protocole', 'de', 'al', 'est', 'un', 'des', 'accords', 'mondiaux', 'les', 'plus', 'fructueux', 'de', 'histoire', 'Le', 'Canada', 'avec', 'aide', 'du', 'monde', 'entier', 'mis', 'fin', 'appauvrissement', 'de', 'la', 'couche', 'ozone', 'Et', 'maintenant', '30', 'ans', 'plus', 'tard', 'nous', 'unissons', 'nos', 'efforts', 'dans', 'le', 'cadre', 'de', 'cet', 'accord', 'pour', 'mettre', 'un', 'terme', 'aux', 'changements', 'climatiques', 'ce', 'Amendement', 'de', 'Kigali']","['le', u'protocol', 'de', 'al', u'est', 'un', u'des', u'accord', u'mondiaux', u'les', u'plus', u'fructueux', 'de', u'histoir', 'le', u'canada', u'avec', u'aid', 'du', u'mond', u'entier', u'mis', u'fin', u'appauvriss', 'de', 'la', u'couch', u'ozon', 'et', u'mainten', '30', u'an', u'plus', u'tard', u'nous', u'unisson', u'nos', u'effort', u'dan', 'le', u'cadr', 'de', u'cet', u'accord', u'pour', u'mettr', 'un', u'term', u'aux', u'changement', u'climatiqu', 'ce', u'amend', 'de', u'kigali']","Le Protocole de Montréal est l’un des accords mondiaux les plus fructueux de l’histoire. Le Canada, avec l’aide du monde entier, a mis fin à l’appauvrissement de la couche d’ozone. Et maintenant, 30 ans plus tard, nous unissons nos efforts dans le cadre de cet accord pour mettre un terme aux changements climatiques, grâce à l’Amendement de Kigali.",Social,5,0.0,fr
6,6,370233926766473_394064157716783,,photo,https://www.facebook.com/EnvironnementetChangementclimatique/photos/a.377494369373762.1073741828.370233926766473/394064034383462/?type=3,2017-12-14 23:18:11,4,0,1,2,2,0,0,0,0,0,"Le gouvernement du Canada annonce un nouveau fonds pour aider à soutenir une économie à faibles émissions de carbone. Demain, le décembre à h (HNE), suivez en direct sur Facebook pour de plus amples renseignements!",[],['https://www.facebook.com/EnvironnementetChangementclimatique/'],Le gouvernement du Canada annonce un nouveau fonds pour aider soutenir une conomie faibles missions de carbone Demain le 15 cembre 30 HNE suivez en direct sur Facebook pour de plus amples renseignements https www facebook com EnvironnementetChangementclimatique,"['Le', 'gouvernement', 'du', 'Canada', 'annonce', 'un', 'nouveau', 'fonds', 'pour', 'aider', 'soutenir', 'une', 'conomie', 'faibles', 'missions', 'de', 'carbone', 'Demain', 'le', '15', 'cembre', '30', 'HNE', 'suivez', 'en', 'direct', 'sur', 'Facebook', 'pour', 'de', 'plus', 'amples', 'renseignements', 'https', 'www', 'facebook', 'com', 'EnvironnementetChangementclimatique']","['le', u'gouvern', 'du', u'canada', u'annonc', 'un', u'nouveau', u'fond', u'pour', u'aider', u'soutenir', u'une', u'conomi', u'faibl', u'mission', 'de', u'carbon', u'demain', 'le', '15', u'cembr', '30', u'hne', u'suivez', 'en', u'direct', u'sur', u'facebook', u'pour', 'de', u'plus', u'ampl', u'renseign', u'https', u'www', u'facebook', u'com', u'environnementetchangementclimatiqu']","Le gouvernement du Canada annonce un nouveau fonds pour aider à soutenir une économie à faibles émissions de carbone. Demain, le 15 décembre à 9 h 30 (HNE), suivez en direct sur Facebook pour de plus amples renseignements! https://www.facebook.com/EnvironnementetChangementclimatique/",Environmental,5,0.0,fr
7,7,370233926766473_384933678629831,"Écoutez Dre Mona Nemer, conseillère scientifique en chef du Ca...",video,https://www.facebook.com/EnvironnementetChangementclimatique/videos/384933678629831/,2017-11-24 16:02:06,2,0,3,2,0,0,0,0,0,0,"Écoutez Dre Mona Nemer, conseillère scientifique en chef du Canada, à la Conférence du protocole de Montréal, suite à la discussion plénière du Programme des Nations Unies pour l'environnement, parler du fondement scientifique du Protocole de Montréal. La science continuera de nous aider à réparer la couche d’ozone!",[],[],coutez Dre Mona Nemer scientifique en chef du Canada la rence du protocole de al suite la discussion du Programme des Nations Unies pour environnement parler du fondement scientifique du Protocole de al La science continuera de nous aider parer la couche ozone,"['coutez', 'Dre', 'Mona', 'Nemer', 'scientifique', 'en', 'chef', 'du', 'Canada', 'la', 'rence', 'du', 'protocole', 'de', 'al', 'suite', 'la', 'discussion', 'du', 'Programme', 'des', 'Nations', 'Unies', 'pour', 'environnement', 'parler', 'du', 'fondement', 'scientifique', 'du', 'Protocole', 'de', 'al', 'La', 'science', 'continuera', 'de', 'nous', 'aider', 'parer', 'la', 'couche', 'ozone']","[u'coutez', u'dre', u'mona', u'nemer', u'scientifiqu', 'en', u'chef', 'du', u'canada', 'la', u'renc', 'du', u'protocol', 'de', 'al', u'suit', 'la', u'discuss', 'du', u'programm', u'des', u'nation', u'uni', u'pour', u'environn', u'parler', 'du', u'fondement', u'scientifiqu', 'du', u'protocol', 'de', 'al', 'la', u'scienc', u'continuera', 'de', u'nous', u'aider', u'parer', 'la', u'couch', u'ozon']","Écoutez Dre Mona Nemer, conseillère scientifique en chef du Canada, à la Conférence du protocole de Montréal, suite à la discussion plénière du Programme des Nations Unies pour l'environnement, parler du fondement scientifique du Protocole de Montréal. La science continuera de nous aider à réparer la couche d’ozone!",Environmental,5,0.0,fr
8,8,370233926766473_390273258095873,Hydrogenics,video,https://www.facebook.com/EnvironnementetChangementclimatique/videos/390273258095873/,2017-12-06 12:08:23,0,0,5,0,0,0,0,0,0,0,"– Hydrogenics 🇨🇦 ce spécialise dans le développement d'infrastructures pour les piles à hydrogène pour les véhicules, tels que les autobus avec zéro émission.","['#CanadaenChine', '#ActionClimatique']",['http://ow.ly/jbhD30h3tgq'],CanadaenChine Hydrogenics ce cialise dans le veloppement infrastructures pour les piles ne pour les hicules tels que les autobus avec ro mission http ow ly jbhD30h3tgq ActionClimatique,"['CanadaenChine', 'Hydrogenics', 'ce', 'cialise', 'dans', 'le', 'veloppement', 'infrastructures', 'pour', 'les', 'piles', 'ne', 'pour', 'les', 'hicules', 'tels', 'que', 'les', 'autobus', 'avec', 'ro', 'mission', 'http', 'ow', 'ly', 'jbhD30h3tgq', 'ActionClimatique']","[u'canadaenchin', u'hydrogen', 'ce', u'cialis', u'dan', 'le', u'velopp', u'infrastructur', u'pour', u'les', u'pile', 'ne', u'pour', u'les', u'hicul', u'tel', u'que', u'les', u'autobus', u'avec', 'ro', u'mission', u'http', 'ow', 'ly', u'jbhd30h3tgq', u'actionclimatiqu']","#CanadaenChine – Hydrogenics 🇨🇦 ce spécialise dans le développement d'infrastructures pour les piles à hydrogène pour les véhicules, tels que les autobus avec zéro émission. http://ow.ly/jbhD30h3tgq #ActionClimatique",Economical,5,0.0,fr
9,9,370233926766473_394045367718662,Environment and Climate Change,video,https://www.facebook.com/EnvironmentandClimateChange/videos/663786990676596/,2017-12-14 22:11:49,4,0,0,3,1,0,0,0,0,0,La ministre McKenna annonce une nouvelle initiative visant à appuyer une croissance économie propre à faibles émissions de carbone!,[],[],La ministre McKenna annonce une nouvelle initiative visant appuyer une croissance conomie propre faibles missions de carbone,"['La', 'ministre', 'McKenna', 'annonce', 'une', 'nouvelle', 'initiative', 'visant', 'appuyer', 'une', 'croissance', 'conomie', 'propre', 'faibles', 'missions', 'de', 'carbone']","['la', u'ministr', u'mckenna', u'annonc', u'une', u'nouvell', u'initi', u'visant', u'appuy', u'une', u'croissanc', u'conomi', u'propr', u'faibl', u'mission', 'de', u'carbon']",La ministre McKenna annonce une nouvelle initiative visant à appuyer une croissance économie propre à faibles émissions de carbone!,Economical,4,0.0,fr
