,Unnamed: 0,id,retweet_count,favorite_count,created_at,full_text_cleaned,hashtags,urls,text_filtered,text_tokenized,text_stemmed,text_original,category,language,Reactions_SUM,sentiment_score,sentiment_type
0,0,702550562156445697,3684,0,2016-02-24 17:48:01,": On Pink Shirt Day, we stand up to bullying and vow to spread kindness. Please RT and tag a friend to : htt…",['#PinkItForward'],[],RT JustinTrudeau Pink Shirt Day stand bullying vow spread kindness Please RT tag friend PinkItForward,"['RT', 'JustinTrudeau', 'Pink', 'Shirt', 'Day', 'stand', 'bullying', 'vow', 'spread', 'kindness', 'Please', 'RT', 'tag', 'friend', 'PinkItForward']","['rt', u'justintrudeau', u'pink', u'shirt', u'day', u'stand', u'bulli', u'vow', u'spread', u'kind', u'pleas', 'rt', u'tag', u'friend', u'pinkitforward']","RT @JustinTrudeau: On Pink Shirt Day, we stand up to bullying and vow to spread kindness. Please RT and tag a friend to #PinkItForward:
htt…",Environmental,en,3684,-0.1,Neutral
1,1,863111120923623426,1768,0,2017-05-12 19:18:21,: BREAKING: First-ever footage of using their tusks to feed in the https:…,"['#Narwhals', '#Arctic', '#OdySci']",['https://t.co/pBnIVA0kzB'],RT BREAKING First ever footage Narwhals using tusks feed Arctic OdySci https co pBnIVA0kzB https,"['RT', 'BREAKING', 'First', 'ever', 'footage', 'Narwhals', 'using', 'tusks', 'feed', 'Arctic', 'OdySci', 'https', 'co', 'pBnIVA0kzB', 'https']","['rt', u'break', u'first', u'ever', u'footag', u'narwhal', u'use', u'tusk', u'feed', u'arctic', u'odysci', u'https', 'co', u'pbniva0kzb', u'https']",RT @DFO_Science: BREAKING: First-ever footage of #Narwhals using their tusks to feed in the #Arctic  #OdySci https://t.co/pBnIVA0kzB https:…,Economical,en,1768,0.0,Neutral
2,2,877549394299584514,555,0,2017-06-21 15:30:54,": Celebrate heritage, diverse cultures and outstanding contributions of First Nations, Inuit and Métis peoples in 🇨🇦! …",['#NationalAb'],[],RT Canada Celebrate heritage diverse cultures outstanding contributions First Nations Inuit tis peoples,"['RT', 'Canada', 'Celebrate', 'heritage', 'diverse', 'cultures', 'outstanding', 'contributions', 'First', 'Nations', 'Inuit', 'tis', 'peoples']","['rt', u'canada', u'celebr', u'heritag', u'divers', u'cultur', u'outstand', u'contribut', u'first', u'nation', u'inuit', u'tis', u'peopl']","RT @Canada: Celebrate heritage, diverse cultures and outstanding contributions of First Nations, Inuit and Métis peoples in 🇨🇦! #NationalAb…",Social,en,555,0.40625,Positive
3,3,745379638608863232,448,0,2016-06-21 22:15:28,": On National Aboriginal Day, we honour the unique heritage &amp; achievements of Indigenous Peoples in Canada. htt…",['#NADCanada'],[],RT JustinTrudeau National Aboriginal Day honour unique heritage amp achievements Indigenous Peoples Canada NADCanada,"['RT', 'JustinTrudeau', 'National', 'Aboriginal', 'Day', 'honour', 'unique', 'heritage', 'amp', 'achievements', 'Indigenous', 'Peoples', 'Canada', 'NADCanada']","['rt', u'justintrudeau', u'nation', u'aborigin', u'day', u'honour', u'uniqu', u'heritag', u'amp', u'achiev', u'indigen', u'peopl', u'canada', u'nadcanada']","RT @JustinTrudeau: On National Aboriginal Day, we honour the unique heritage &amp; achievements of Indigenous Peoples in Canada. #NADCanada htt…",Environmental,en,448,0.375,Positive
4,4,727201321229627392,384,0,2016-05-02 18:21:20,: It’s Mental Health Week. We’re proud to to promote awareness in Canada.,['#Getloud'],['https://t.co/EFXBLNhpxR'],RT CanadianPM Mental Health Week proud Getloud promote awareness Canada https co EFXBLNhpxR,"['RT', 'CanadianPM', 'Mental', 'Health', 'Week', 'proud', 'Getloud', 'promote', 'awareness', 'Canada', 'https', 'co', 'EFXBLNhpxR']","['rt', u'canadianpm', u'mental', u'health', u'week', u'proud', u'getloud', u'promot', u'awar', u'canada', u'https', 'co', u'efxblnhpxr']",RT @CanadianPM: It’s Mental Health Week. We’re proud to #Getloud to promote awareness in Canada. https://t.co/EFXBLNhpxR,Social,en,384,0.35000000000000003,Positive
5,5,871751636590440449,277,0,2017-06-05 15:32:41,": This year, Canada hosts the official global celebrations for the first time. h…",['#WorldEnvironmentDay'],['https://t.co/c1tUUMy3vM'],RT CanadianPM year Canada hosts WorldEnvironmentDay official global celebrations first time https co c1tUUMy3vM,"['RT', 'CanadianPM', 'year', 'Canada', 'hosts', 'WorldEnvironmentDay', 'official', 'global', 'celebrations', 'first', 'time', 'https', 'co', 'c1tUUMy3vM']","['rt', u'canadianpm', u'year', u'canada', u'host', u'worldenvironmentday', u'offici', u'global', u'celebr', u'first', u'time', u'https', 'co', u'c1tuumy3vm']","RT @CanadianPM: This year, Canada hosts the #WorldEnvironmentDay official global celebrations for the first time. https://t.co/c1tUUMy3vM h…",Economical,en,277,0.125,Neutral
6,6,780532800701210625,249,0,2016-09-26 22:21:35,: days to go to celebrate! How do you plan to celebrate in ? U,['#Canada150'],"['https://t.co/xYV3Cr433', 'https://t.co/MD6m9W\xe2\x80\xa6']",RT canada150th 100 days go celebrate plan celebrate Canada150 2017 https co xYV3Cr433U https co,"['RT', 'canada150th', '100', 'days', 'go', 'celebrate', 'plan', 'celebrate', 'Canada150', '2017', 'https', 'co', 'xYV3Cr433U', 'https', 'co']","['rt', u'canada150th', u'100', u'day', 'go', u'celebr', u'plan', u'celebr', u'canada150', u'2017', u'https', 'co', u'xyv3cr433u', u'https', 'co']",RT @canada150th: 100 days to go to celebrate! How do you plan to celebrate #Canada150 in 2017?  https://t.co/xYV3Cr433U https://t.co/MD6m9W…,Social,en,249,0.0,Neutral
7,7,795748498343858176,218,0,2016-11-07 22:03:20,: . &amp; Min. announce Canada’s to improve on,"['#Garneau', '#OceansProtectionPlan', '#MarineSafety', '#OurCoasts']",['https://t.co/\xe2\x80\xa6'],RT CanadianPM amp Min Garneau announce OceansProtectionPlan improve MarineSafety OurCoasts https co,"['RT', 'CanadianPM', 'amp', 'Min', 'Garneau', 'announce', 'OceansProtectionPlan', 'improve', 'MarineSafety', 'OurCoasts', 'https', 'co']","['rt', u'canadianpm', u'amp', u'min', u'garneau', u'announc', u'oceansprotectionplan', u'improv', u'marinesafeti', u'ourcoast', u'https', 'co']",RT @Transport_gc: .@CanadianPM &amp; Min. #Garneau announce Canada’s #OceansProtectionPlan to improve #MarineSafety on #OurCoasts https://t.co/…,Environmental,en,218,0.0,Neutral
8,8,863111154570330112,208,0,2017-05-12 19:18:29,": The use their tusk to hit and stun fish, then eat them",['#Narwhal'],"['https://t.co/A5pYcnTblJ', 'https://t.co/5a3JGydM1v']",RT Narwhal use tusk hit stun fish eat https co A5pYcnTblJ https co 5a3JGydM1v,"['RT', 'Narwhal', 'use', 'tusk', 'hit', 'stun', 'fish', 'eat', 'https', 'co', 'A5pYcnTblJ', 'https', 'co', '5a3JGydM1v']","['rt', u'narwhal', u'use', u'tusk', u'hit', u'stun', u'fish', u'eat', u'https', 'co', u'a5pycntblj', u'https', 'co', u'5a3jgydm1v']","RT @DFO_Science: The #Narwhal use their tusk to hit and stun fish, then eat them https://t.co/A5pYcnTblJ https://t.co/5a3JGydM1v",Social,en,208,0.0,Neutral
9,9,727201213276676097,169,0,2016-05-02 18:20:54,: It’s Emergency Preparedness Week! Follow for tips to keep you &amp; your community safe. https:…,['#EPWeek'],['https://t.co/45Yu0lhuaE'],RT CanadianPM Emergency Preparedness Week Follow EPWeek tips keep amp community safe https co 45Yu0lhuaE https,"['RT', 'CanadianPM', 'Emergency', 'Preparedness', 'Week', 'Follow', 'EPWeek', 'tips', 'keep', 'amp', 'community', 'safe', 'https', 'co', '45Yu0lhuaE', 'https']","['rt', u'canadianpm', u'emerg', u'prepared', u'week', u'follow', u'epweek', u'tip', u'keep', u'amp', u'communiti', u'safe', u'https', 'co', u'45yu0lhua', u'https']",RT @CanadianPM: It’s Emergency Preparedness Week! Follow #EPWeek for tips to keep you &amp; your community safe. https://t.co/45Yu0lhuaE https:…,Social,en,169,0.5,Positive
10,10,833752226720014338,145,0,2017-02-20 18:56:35,: Dive into Canada’s newest Marine Protected Area off the coast of,"['#BC', '#conservation', '#GlassSpongeReefs']",['https://t.co/TZixTVDEAh'],RT Dive newest Marine Protected Area coast BC conservation GlassSpongeReefs https co TZixTVDEAh,"['RT', 'Dive', 'newest', 'Marine', 'Protected', 'Area', 'coast', 'BC', 'conservation', 'GlassSpongeReefs', 'https', 'co', 'TZixTVDEAh']","['rt', u'dive', u'newest', u'marin', u'protect', u'area', u'coast', 'bc', u'conserv', u'glassspongereef', u'https', 'co', u'tzixtvdeah']",RT @DFO_MPO: Dive into Canada’s newest Marine Protected Area off the coast of #BC #conservation #GlassSpongeReefs https://t.co/TZixTVDEAh,Environmental,en,145,0.0,Neutral
11,11,934537546285056000,144,0,2017-11-25 21:41:28,": Bordered by the Atlantic, Pacific and Arctic oceans, Canada is truly an ocean nation. that in , Canada was the st cou…",['#DYK'],[],RT Canada Bordered Atlantic Pacific Arctic oceans Canada truly ocean nation DYK 1997 Canada 1st,"['RT', 'Canada', 'Bordered', 'Atlantic', 'Pacific', 'Arctic', 'oceans', 'Canada', 'truly', 'ocean', 'nation', 'DYK', '1997', 'Canada', '1st']","['rt', u'canada', u'border', u'atlant', u'pacif', u'arctic', u'ocean', u'canada', u'truli', u'ocean', u'nation', u'dyk', u'1997', u'canada', u'1st']","RT @Canada: Bordered by the Atlantic, Pacific and Arctic oceans, Canada is truly an ocean nation. #DYK that in 1997, Canada was the 1st cou…",Environmental,en,144,0.0,Neutral
12,12,730410680642371585,142,0,2016-05-11 14:54:11,: We'll be hiring new scientists across the country —DFO's largest scientist recruitment in recent history.,['#morescience'],[],RT hiring 135 new scientists across country DFO largest scientist recruitment recent history morescience,"['RT', 'hiring', '135', 'new', 'scientists', 'across', 'country', 'DFO', 'largest', 'scientist', 'recruitment', 'recent', 'history', 'morescience']","['rt', u'hire', u'135', u'new', u'scientist', u'across', u'countri', u'dfo', u'largest', u'scientist', u'recruit', u'recent', u'histori', u'moresci']",RT @DFO_MPO: We'll be hiring 135 new scientists across the country —DFO's largest scientist recruitment in recent history. #morescience,Environmental,en,142,0.06818181818181818,Neutral
