,id,retweet_count,favorite_count,created_at,full_text_cleaned,hashtags,urls,text_filtered,text_tokenized,text_stemmed,text_original,category,language,score,sentiment_score,sentiment_type
0,890653292417568768,947,0,2017-07-27 19:21:07,: RT if you agree: is a SOLVABLE problem,['#ClimateChange'],['https://t.co/DkcXghhofQ'],RT UNEP RT agree ClimateChange SOLVABLE problem https co DkcXghhofQ,"['RT', 'UNEP', 'RT', 'agree', 'ClimateChange', 'SOLVABLE', 'problem', 'https', 'co', 'DkcXghhofQ']","['rt', u'unep', 'rt', u'agre', u'climatechang', u'solvabl', u'problem', u'https', 'co', u'dkcxghhofq']",RT @UNEP: RT if you agree: #ClimateChange is a SOLVABLE problem https://t.co/DkcXghhofQ,Environmental,en,947,0.0,Neutral
1,838754894022598656,60,168,2017-03-06 14:15:24,Not all light bulbs are created equal. ENERGY STAR LEDs perform better and last longer.,[],"['https://t.co/v57sCijUqJ', 'https://t.co/GKdHbfHTJa']",light bulbs created equal ENERGY STAR LEDs perform better last longer https co v57sCijUqJ https co GKdHbfHTJa,"['light', 'bulbs', 'created', 'equal', 'ENERGY', 'STAR', 'LEDs', 'perform', 'better', 'last', 'longer', 'https', 'co', 'v57sCijUqJ', 'https', 'co', 'GKdHbfHTJa']","[u'light', u'bulb', u'creat', u'equal', u'energi', u'star', u'led', u'perform', u'better', u'last', u'longer', u'https', 'co', u'v57scijuqj', u'https', 'co', u'gkdhbfhtja']",Not all light bulbs are created equal. ENERGY STAR LEDs perform better and last longer. https://t.co/v57sCijUqJ https://t.co/GKdHbfHTJa,Economical,en,228,0.225,Neutral
2,872841956237336576,157,0,2017-06-08 15:45:13,: Happy to all those who enjoy our oceans!,['#WorldOceansDay'],"['https://t.co/x7TZmQOv1I', 'https://t.co/KEBs7IJG8E']",RT Happy WorldOceansDay enjoy oceans https co x7TZmQOv1I https co KEBs7IJG8E,"['RT', 'Happy', 'WorldOceansDay', 'enjoy', 'oceans', 'https', 'co', 'x7TZmQOv1I', 'https', 'co', 'KEBs7IJG8E']","['rt', u'happi', u'worldoceansday', u'enjoy', u'ocean', u'https', 'co', u'x7tzmqov1i', u'https', 'co', u'kebs7ijg8']",RT @DFO_MPO: Happy #WorldOceansDay to all those who enjoy our oceans! 🌊 https://t.co/x7TZmQOv1I https://t.co/KEBs7IJG8E,Environmental,en,157,0.65,Positive
3,838756133670125570,34,112,2017-03-06 14:20:20,Save energy and help the planet with .,['#ENERGYSTARCanada'],"['https://t.co/1kks3S1yjs', 'https://t.co/w5lgNmtclZ']",Save energy help planet ENERGYSTARCanada https co 1kks3S1yjs https co w5lgNmtclZ,"['Save', 'energy', 'help', 'planet', 'ENERGYSTARCanada', 'https', 'co', '1kks3S1yjs', 'https', 'co', 'w5lgNmtclZ']","[u'save', u'energi', u'help', u'planet', u'energystarcanada', u'https', 'co', u'1kks3s1yj', u'https', 'co', u'w5lgnmtclz']",Save energy and help the planet with #ENERGYSTARCanada.  https://t.co/1kks3S1yjs https://t.co/w5lgNmtclZ,Economical,en,146,0.0,Neutral
4,838752384885133313,24,88,2017-03-06 14:05:26,ENERGY STAR products can help you save on your utility bills. Learn how.,[],"['https://t.co/M263yJBHUq', 'https://t.co/AZe0PP9z0x']",ENERGY STAR products help save utility bills Learn https co M263yJBHUq https co AZe0PP9z0x,"['ENERGY', 'STAR', 'products', 'help', 'save', 'utility', 'bills', 'Learn', 'https', 'co', 'M263yJBHUq', 'https', 'co', 'AZe0PP9z0x']","[u'energi', u'star', u'product', u'help', u'save', u'util', u'bill', u'learn', u'https', 'co', u'm263yjbhuq', u'https', 'co', u'aze0pp9z0x']",ENERGY STAR products can help you save on your utility bills. Learn how. https://t.co/M263yJBHUq https://t.co/AZe0PP9z0x,Economical,en,112,0.0,Neutral
5,922810048102961153,34,51,2017-10-24 13:00:35,Happy ! Join the movement by making a simple change today.,"['#ENERGYSTARDAY', '#EnergyEfficiency', '#LightTheMoment']","['https://t.co/1hAZiLssGk', 'https://t.co/Cq4bl3M9Yq']",Happy ENERGYSTARDAY Join EnergyEfficiency movement making simple change today LightTheMoment https co 1hAZiLssGk https co Cq4bl3M9Yq,"['Happy', 'ENERGYSTARDAY', 'Join', 'EnergyEfficiency', 'movement', 'making', 'simple', 'change', 'today', 'LightTheMoment', 'https', 'co', '1hAZiLssGk', 'https', 'co', 'Cq4bl3M9Yq']","[u'happi', u'energystarday', u'join', u'energyeffici', u'movement', u'make', u'simpl', u'chang', u'today', u'lightthemo', u'https', 'co', u'1hazilssgk', u'https', 'co', u'cq4bl3m9yq']","Happy  #ENERGYSTARDAY! Join the #EnergyEfficiency movement by making a simple change today. #LightTheMoment
https://t.co/1hAZiLssGk https://t.co/Cq4bl3M9Yq",Social,en,85,0.5,Positive
6,838751419305971712,16,64,2017-03-06 14:01:36,"Planning renos? With over products, has what you need.",['#ENERGYSTARCanada'],"['https://t.co/IQo7tzq77y', 'https://t.co/1fZVpAzUrJ']",Planning renos 70 products ENERGYSTARCanada need https co IQo7tzq77y https co 1fZVpAzUrJ,"['Planning', 'renos', '70', 'products', 'ENERGYSTARCanada', 'need', 'https', 'co', 'IQo7tzq77y', 'https', 'co', '1fZVpAzUrJ']","[u'plan', u'reno', '70', u'product', u'energystarcanada', u'need', u'https', 'co', u'iqo7tzq77i', u'https', 'co', u'1fzvpazurj']","Planning renos? With over 70 products, #ENERGYSTARCanada has what you need. https://t.co/IQo7tzq77y https://t.co/1fZVpAzUrJ",Economical,en,80,0.0,Neutral
7,838753635433504769,9,58,2017-03-06 14:10:24,"Like us on Facebook, and stay up to date with tips to help you save all year long.",[],"['https://t.co/meHeN4JiYm', 'https://t.co/CoDtdHhyex']",Like us Facebook stay date tips help save year long https co meHeN4JiYm https co CoDtdHhyex,"['Like', 'us', 'Facebook', 'stay', 'date', 'tips', 'help', 'save', 'year', 'long', 'https', 'co', 'meHeN4JiYm', 'https', 'co', 'CoDtdHhyex']","[u'like', 'us', u'facebook', u'stay', u'date', u'tip', u'help', u'save', u'year', u'long', u'https', 'co', u'mehen4jiym', u'https', 'co', u'codtdhhyex']","Like us on Facebook, and stay up to date with tips to help you save all year long. https://t.co/meHeN4JiYm https://t.co/CoDtdHhyex",Social,en,67,-0.05,Neutral
8,933002198644154368,27,26,2017-11-21 16:00:33,‘Tis the time to decorate your home w/ ENERGY STAR Christmas lights! But before you do– check out this:,['#TipTuesday'],"['https://t.co/2XDqpbt2WO', 'https://t.co/TwE5yOYk6A']",Tis time decorate home ENERGY STAR Christmas lights check https co 2XDqpbt2WO TipTuesday https co TwE5yOYk6A,"['Tis', 'time', 'decorate', 'home', 'ENERGY', 'STAR', 'Christmas', 'lights', 'check', 'https', 'co', '2XDqpbt2WO', 'TipTuesday', 'https', 'co', 'TwE5yOYk6A']","[u'tis', u'time', u'decor', u'home', u'energi', u'star', u'christma', u'light', u'check', u'https', 'co', u'2xdqpbt2wo', u'tiptuesday', u'https', 'co', u'twe5yoyk6a']","‘Tis the time to decorate your home w/ ENERGY STAR Christmas lights! But before you do– check out this: 
https://t.co/2XDqpbt2WO 
#TipTuesday https://t.co/TwE5yOYk6A",Economical,en,53,0.0,Neutral
9,946455821155696640,26,23,2017-12-28 19:00:26,Can’t decide on a ? Here’s one: lower your energy use to help reduce impacts. C,"['#NewYearsResolution', '#ClimateChange', '#WinterTips']","['https://t.co/b3iDtrkUL', 'https://t.co/kXUk23edoh']",decide NewYearsResolution one lower energy use help reduce ClimateChange impacts WinterTips https co b3iDtrkULC https co kXUk23edoh,"['decide', 'NewYearsResolution', 'one', 'lower', 'energy', 'use', 'help', 'reduce', 'ClimateChange', 'impacts', 'WinterTips', 'https', 'co', 'b3iDtrkULC', 'https', 'co', 'kXUk23edoh']","[u'decid', u'newyearsresolut', u'one', u'lower', u'energi', u'use', u'help', u'reduc', u'climatechang', u'impact', u'wintertip', u'https', 'co', u'b3idtrkulc', u'https', 'co', u'kxuk23edoh']",Can’t decide on a #NewYearsResolution? Here’s one:  lower your energy use to help reduce #ClimateChange impacts. #WinterTips https://t.co/b3iDtrkULC https://t.co/kXUk23edoh,Environmental,en,49,0.0,Neutral
