,Unnamed: 0,id,retweet_count,favorite_count,created_at,full_text_cleaned,hashtags,urls,text_filtered,text_tokenized,text_stemmed,text_original,category,language,Reactions_SUM,sentiment_score,sentiment_type
0,0,702550581248917508,289,0,2016-02-24 17:48:05,: La : non à l’intimidation et oui à la gentillesse. Retwittez en identifiant un ami:,['#Jouneeduchandailrose'],['https://t.co/\xe2\x80\xa6'],RT JustinTrudeau La Jouneeduchandailrose non intimidation et oui la gentillesse Retwittez en identifiant un ami https co,"['RT', 'JustinTrudeau', 'La', 'Jouneeduchandailrose', 'non', 'intimidation', 'et', 'oui', 'la', 'gentillesse', 'Retwittez', 'en', 'identifiant', 'un', 'ami', 'https', 'co']","['rt', u'justintrudeau', 'la', u'jouneeduchandailros', u'non', u'intimid', 'et', u'oui', 'la', u'gentilless', u'retwittez', 'en', u'identifi', 'un', u'ami', u'https', 'co']","RT @JustinTrudeau: La #Jouneeduchandailrose : non à  l’intimidation et oui à la gentillesse. Retwittez en identifiant un ami:
https://t.co/…",Social,fr,289,0.0,Neutral
1,1,745379724508172288,85,0,2016-06-21 22:15:49,": Pour la Journ. nationale des Autochtones, honorons l’héritage et les réalisations des Autochtones au Can. htt…",['#JNACanada'],[],RT JustinTrudeau Pour la Journ nationale des Autochtones honorons ritage et les alisations des Autochtones au JNACanada,"['RT', 'JustinTrudeau', 'Pour', 'la', 'Journ', 'nationale', 'des', 'Autochtones', 'honorons', 'ritage', 'et', 'les', 'alisations', 'des', 'Autochtones', 'au', 'JNACanada']","['rt', u'justintrudeau', u'pour', 'la', u'journ', u'national', u'des', u'autochton', u'honoron', u'ritag', 'et', u'les', u'alis', u'des', u'autochton', 'au', u'jnacanada']","RT @JustinTrudeau: Pour la Journ. nationale des Autochtones, honorons l’héritage et les réalisations des Autochtones au Can. #JNACanada htt…",Environmental,fr,85,0.0,Neutral
2,2,780532810612404224,69,0,2016-09-26 22:21:38,: À jours de la fête! Comment allez-vous célébrer en ?,['#Canada150'],"['https://t.co/fOYbFnRP95', 'https://t.co/88whveqGPT']",RT canada150e 100 jours de la Comment allez vous brer Canada150 en 2017 https co fOYbFnRP95 https co 88whveqGPT,"['RT', 'canada150e', '100', 'jours', 'de', 'la', 'Comment', 'allez', 'vous', 'brer', 'Canada150', 'en', '2017', 'https', 'co', 'fOYbFnRP95', 'https', 'co', '88whveqGPT']","['rt', u'canada150', u'100', u'jour', 'de', 'la', u'comment', u'allez', u'vous', u'brer', u'canada150', 'en', u'2017', u'https', 'co', u'foybfnrp95', u'https', 'co', u'88whveqgpt']",RT @canada150e: À 100 jours de la fête! Comment allez-vous célébrer #Canada150 en 2017? https://t.co/fOYbFnRP95 https://t.co/88whveqGPT,Social,fr,69,0.0,Neutral
3,3,871751649844498433,51,0,2017-06-05 15:32:44,: Le Canada est l'hôte des célébrations mondiales officielles de la éeMondialeDelEnvironnement pour la re fois. https:…,['#Journ'],[],RT PMcanadien Le Canada est te des brations mondiales officielles de la eMondialeDelEnvironnement pour la 1re fois https,"['RT', 'PMcanadien', 'Le', 'Canada', 'est', 'te', 'des', 'brations', 'mondiales', 'officielles', 'de', 'la', 'eMondialeDelEnvironnement', 'pour', 'la', '1re', 'fois', 'https']","['rt', u'pmcanadien', 'le', u'canada', u'est', 'te', u'des', u'bration', u'mondial', u'officiell', 'de', 'la', u'emondialedelenvironn', u'pour', 'la', u'1re', u'foi', u'https']",RT @PMcanadien: Le Canada est l'hôte des célébrations mondiales officielles de la #JournéeMondialeDelEnvironnement pour la 1re fois. https:…,Economical,fr,51,0.0,Neutral
4,4,837429603446697984,39,0,2017-03-02 22:29:10,: Les côtes du Canada sont exceptionnelles à chaque saison! Affichez votre photo préférée avec,['#MaRive'],['https://t.co/zAsOslPySF'],RT Les tes du Canada sont exceptionnelles chaque saison Affichez votre photo avec MaRive https co zAsOslPySF,"['RT', 'Les', 'tes', 'du', 'Canada', 'sont', 'exceptionnelles', 'chaque', 'saison', 'Affichez', 'votre', 'photo', 'avec', 'MaRive', 'https', 'co', 'zAsOslPySF']","['rt', u'les', u'tes', 'du', u'canada', u'sont', u'exceptionnell', u'chaqu', u'saison', u'affichez', u'votr', u'photo', u'avec', u'mariv', u'https', 'co', u'zasoslpysf']",RT @MPO_DFO: Les côtes du Canada sont exceptionnelles à chaque saison! Affichez votre photo préférée avec #MaRive 📷 https://t.co/zAsOslPySF,Social,fr,39,0.0,Neutral
5,5,727201406445322241,36,0,2016-05-02 18:21:40,: C’est la Semaine de la Santé mentale. pour promouvoir la sensibilisation au Canada.,['#ParlezHautEtFort'],['https://t.co/7r49voVL\xe2\x80\xa6'],RT PMcanadien est la Semaine de la mentale ParlezHautEtFort pour promouvoir la sensibilisation au Canada https co,"['RT', 'PMcanadien', 'est', 'la', 'Semaine', 'de', 'la', 'mentale', 'ParlezHautEtFort', 'pour', 'promouvoir', 'la', 'sensibilisation', 'au', 'Canada', 'https', 'co']","['rt', u'pmcanadien', u'est', 'la', u'semain', 'de', 'la', u'mental', u'parlezhautetfort', u'pour', u'promouvoir', 'la', u'sensibilis', 'au', u'canada', u'https', 'co']",RT @PMcanadien: C’est la Semaine de la Santé mentale. #ParlezHautEtFort pour promouvoir la sensibilisation au Canada. https://t.co/7r49voVL…,Environmental,fr,36,0.0,Neutral
6,6,727201386602057729,33,0,2016-05-02 18:21:35,: Suivez pour des conseils de sécurité pour vous et votre collectivité.,['#SemaineSC'],"['https://t.co/8u2YkFuYkZ', 'https://t.co/E5Ewk\xe2\x80\xa6']",RT PMcanadien Suivez SemaineSC pour des conseils de pour vous et votre https co 8u2YkFuYkZ https co,"['RT', 'PMcanadien', 'Suivez', 'SemaineSC', 'pour', 'des', 'conseils', 'de', 'pour', 'vous', 'et', 'votre', 'https', 'co', '8u2YkFuYkZ', 'https', 'co']","['rt', u'pmcanadien', u'suivez', u'semainesc', u'pour', u'des', u'conseil', 'de', u'pour', u'vous', 'et', u'votr', u'https', 'co', u'8u2ykfuykz', u'https', 'co']",RT @PMcanadien: Suivez #SemaineSC pour des conseils de sécurité pour vous et votre collectivité. https://t.co/8u2YkFuYkZ https://t.co/E5Ewk…,Social,fr,33,0.0,Neutral
7,7,863111253669163008,32,0,2017-05-12 19:18:53,: FLASH INFO: Toute première vidéo de utilisant leur défense pour se nourrir dans l’,"['#Narvals', '#Arctique', '#OdySci']",['https://t.co/\xe2\x80\xa6'],RT FLASH INFO Toute de Narvals utilisant leur fense pour se nourrir dans Arctique OdySci https co,"['RT', 'FLASH', 'INFO', 'Toute', 'de', 'Narvals', 'utilisant', 'leur', 'fense', 'pour', 'se', 'nourrir', 'dans', 'Arctique', 'OdySci', 'https', 'co']","['rt', u'flash', u'info', u'tout', 'de', u'narval', u'utilis', u'leur', u'fens', u'pour', 'se', u'nourrir', u'dan', u'arctiqu', u'odysci', u'https', 'co']",RT @MPO_Science: FLASH INFO: Toute première vidéo de #Narvals utilisant leur défense pour se nourrir dans l’#Arctique #OdySci https://t.co/…,Social,fr,32,0.0,Neutral
8,8,712389150155153408,28,0,2016-03-22 21:23:03,: Le vise à stimuler la capacité d'innovation et la croissance de notre économie.,['#Budget2016'],['https://t.co/v0ejI7jiSq'],RT FinancesCanada Le Budget2016 vise stimuler la innovation et la croissance de notre conomie https co v0ejI7jiSq,"['RT', 'FinancesCanada', 'Le', 'Budget2016', 'vise', 'stimuler', 'la', 'innovation', 'et', 'la', 'croissance', 'de', 'notre', 'conomie', 'https', 'co', 'v0ejI7jiSq']","['rt', u'financescanada', 'le', u'budget2016', u'vise', u'stimul', 'la', u'innov', 'et', 'la', u'croissanc', 'de', u'notr', u'conomi', u'https', 'co', u'v0eji7jisq']",RT @FinancesCanada: Le #Budget2016 vise à stimuler la capacité d'innovation et la croissance de notre économie. https://t.co/v0ejI7jiSq,Economical,fr,28,0.0,Neutral
9,9,838551940409675776,28,0,2017-03-06 00:48:56,": on scene assisting fuel spill recovery at fish farm in Echo Bay, BC.",['#CCG'],[],RT CCG scene assisting fuel spill recovery fish farm Echo Bay BC,"['RT', 'CCG', 'scene', 'assisting', 'fuel', 'spill', 'recovery', 'fish', 'farm', 'Echo', 'Bay', 'BC']","['rt', u'ccg', u'scene', u'assist', u'fuel', u'spill', u'recoveri', u'fish', u'farm', u'echo', u'bay', 'bc']","RT @CCG_GCC: #CCG on scene assisting fuel spill recovery at fish farm in Echo Bay, BC.",Social,en,28,0.0,Neutral
