,Unnamed: 0,id,date_published,link,caption_original,caption_cleaned,hashtags,num_shares,num_likes,Reactions_SUM,category,language,average_sentiment_score,sentiment,account_name,words_matched_list
26,26,685179953093148672,2016-01-07 19:23:25,['https://t.co/zNUc5PKNX'],RT @FinanceCanada: Online pre-budget consultations launched today. We want to hear from all Canadians #PBC16 https://t.co/zNUc5PKNX9,RT FinanceCanada Online pre budget consultations launched today want hear Canadians PBC16 https co zNUc5PKNX9,['#PBC16'],87,0,87,Economical,en,0.0,Neutral,DFO_Pacific_tweeter,['finance']
28,28,685188514653298688,2016-01-07 19:57:26,['https://t.co/rEuGEyQDVa'],RT @FinanceCanada: Think you know what should be in the Federal Budget? We’re asking Canadians! #PBC16 https://t.co/rEuGEyQDVa,RT FinanceCanada Think know Federal Budget asking Canadians PBC16 https co rEuGEyQDVa,['#PBC16'],77,0,77,Economical,en,0.0,Neutral,DFO_Pacific_tweeter,['finance']
30,30,685492938936336384,2016-01-08 16:07:07,['https://t.co/pjZgWA4WFL'],RT @FinanceCanada: Online pre-budget consultations have started. Have any ideas? Have your say: #PBC16 https://t.co/pjZgWA4WFL,RT FinanceCanada Online pre budget consultations started ideas say PBC16 https co pjZgWA4WFL,['#PBC16'],69,0,69,Economical,en,0.0,Neutral,DFO_Pacific_tweeter,['finance']
105,105,686654463055126528,2016-01-11 21:02:36,['https://t.co/ZuRSz1cXuH'],RT @DFO_NL: Minister Tootoo visits #CCG Atlantic Region headquarters in St. John’s https://t.co/ZuRSz1cXuH,RT Minister Tootoo visits CCG Atlantic Region headquarters St https co ZuRSz1cXuH,['#CCG'],32,0,32,Economical,en,0.0,Neutral,DFO_Pacific_tweeter,['minister']
114,114,686607018526937088,2016-01-11 17:54:04,['https://t.\xe2\x80\xa6'],RT @DFO_NL: Federal fisheries minister Tootoo gets first-hand view of efforts to shape the future of our oceans @marineinstitute https://t.…,RT Federal fisheries minister Tootoo gets first hand view efforts shape future oceans marineinstitute https,[],31,0,31,Environmental,en,0.0,Neutral,DFO_Pacific_tweeter,"['fisheries ', 'oceans', 'marine', 'or']"
152,152,687296587777839108,2016-01-13 15:34:10,['https://t.co/K0SyXABjCJ'],RT @DFO_MAR: Minister Tootoo stops by the Joint Rescue Coordination Centre #CCG #SAR https://t.co/K0SyXABjCJ,RT Minister Tootoo stops Joint Rescue Coordination Centre CCG SAR https co K0SyXABjCJ,"['#CCG', '#SAR']",26,0,26,Economical,en,0.0,Neutral,DFO_Pacific_tweeter,['minister']
177,177,685179988795113473,2016-01-07 19:23:34,['https://t.co/AH0rojxd4v'],RT @FinanceCanada: Min. Morneau’s Google Hangout is available to view. Here’s the conversation: #PBC16 https://t.co/AH0rojxd4v,RT FinanceCanada Min Google Hangout available view conversation PBC16 https co AH0rojxd4v,['#PBC16'],22,0,22,Economical,en,0.4,Positive,DFO_Pacific_tweeter,['finance']
209,209,686654177771126784,2016-01-11 21:01:28,['https://t.co/h8aE\xe2\x80\xa6'],RT @DFO_NL: A great turnout of DFO and CCG employees to meet and greet Minister Tootoo on his first visit to the province https://t.co/h8aE…,RT great turnout DFO CCG employees meet greet Minister Tootoo first visit province https co,[],20,0,20,Economical,en,0.525,Positive,DFO_Pacific_tweeter,['minister']
216,216,686651571116097536,2016-01-11 20:51:06,['https://t.co/s2p64kuMP4'],RT @DFO_NL: Minister Tootoo checks out our new helicopter #CCG https://t.co/s2p64kuMP4,RT Minister Tootoo checks new CCG https co s2p64kuMP4,['#CCG'],20,0,20,Economical,en,0.13636363636363635,Neutral,DFO_Pacific_tweeter,['minister']
221,221,690242960424828928,2016-01-21 18:42:00,[],Progress towards @CCG_GCC #Kitsilano station re-opening: interior restoration work underway.,Progress towards Kitsilano station opening interior restoration work underway,['#Kitsilano'],14,6,20,Environmental,en,0.0,Neutral,DFO_Pacific_tweeter,['or']
222,222,687019209759522816,2016-01-12 21:11:58,['https://t.co/Qtz8nQXP2V'],RT @DFO_MAR: DFO and CCG employees gather to meet Minister Hunter Tootoo during his first visit to BIO https://t.co/Qtz8nQXP2V,RT DFO CCG employees gather meet Minister Hunter Tootoo first visit BIO https co Qtz8nQXP2V,[],20,0,20,Economical,en,0.25,Neutral,DFO_Pacific_tweeter,['minister']
231,231,691094411317346305,2016-01-24 03:05:22,['https://t.co/teAnpzLnA'],.@CCG_GCC contractors raise sunken vessel Go Kang #Steveston harbour to prevent pollution. Tks to Harbour Authority https://t.co/teAnpzLnAC,contractors raise sunken vessel Go Kang Steveston harbour prevent pollution Tks Harbour Authority https co teAnpzLnAC,['#Steveston'],9,10,19,Environmental,en,0.0,Neutral,DFO_Pacific_tweeter,"['or', 'pollution']"
240,240,689568652304211968,2016-01-19 22:02:32,"['https://t.co/ZQnEgM0Nll', 'https://t.co/79PlxGHJHi']",Take an underwater tour of glass sponge reefs in Hecate Strait and glimpse an ancient world https://t.co/ZQnEgM0Nll https://t.co/79PlxGHJHi,Take underwater tour glass sponge reefs Hecate Strait glimpse ancient world https co ZQnEgM0Nll https co 79PlxGHJHi,[],12,7,19,Environmental,en,0.0,Neutral,DFO_Pacific_tweeter,"['water', 'or']"
260,260,686607148122505216,2016-01-11 17:54:35,['https://t.co/PL9loP6j\xe2\x80\xa6'],RT @DFO_NL: NL Indigenous leaders join Minister Tootoo in conversation - discussions that will inform the way forward https://t.co/PL9loP6j…,RT NL Indigenous leaders join Minister Tootoo conversation discussions inform way forward https co,[],18,0,18,Social,en,0.0,Neutral,DFO_Pacific_tweeter,['indigenous']
261,261,686612780955385856,2016-01-11 18:16:58,['https://t.co/RDdQ2ujP'],RT @DFO_NL: Minister Tootoo meets NL fishing industry reps at DFO NL headquarters in St. John's https://t.co/RDdQ2ujP80,RT Minister Tootoo meets NL fishing industry reps DFO NL headquarters St John https co RDdQ2ujP80,[],18,0,18,Economical,en,0.0,Neutral,DFO_Pacific_tweeter,['minister']
284,284,687019929892171776,2016-01-12 21:14:50,['https://t.co/NHyaNX3sHY'],RT @DFO_MAR: Minister Tootoo responds to questions from local media at BIO https://t.co/NHyaNX3sHY,RT Minister Tootoo responds questions local media BIO https co NHyaNX3sHY,[],17,0,17,Social,en,0.0,Neutral,DFO_Pacific_tweeter,['local']
283,283,685507109815975936,2016-01-08 17:03:25,"['https://t.co/U9EiTlzejK', 'https://t.co/7VMBX2ROE']",Prawns spawn! Expect &amp; respect winter closures. https://t.co/U9EiTlzejK https://t.co/7VMBX2ROE8,Prawns spawn Expect amp respect winter closures https co U9EiTlzejK https co 7VMBX2ROE8,[],10,7,17,unknown,en,0.0,Neutral,DFO_Pacific_tweeter,
300,300,687658865521983490,2016-01-14 15:33:44,['https://t.co/FiadDYD07T'],"RT @DFO_MAR: Aboard the CCGS Louis S. St-Laurent, Minister Tootoo chats with a crew member from Nunatsiavut, NL https://t.co/FiadDYD07T",RT Aboard CCGS Louis St Laurent Minister Tootoo chats crew member Nunatsiavut NL https co FiadDYD07T,[],16,0,16,Economical,en,0.0,Neutral,DFO_Pacific_tweeter,['minister']
317,317,686666116006047745,2016-01-11 21:48:54,['https://t.c\xe2\x80\xa6'],"RT @DFO_NL: Minister Tootoo with Regional Director, Fleet, Don Llewellyn &amp; Wade Spurrell, Assistant Commissioner, #CCG Atlantic https://t.c…",RT Minister Tootoo Regional Director Fleet Llewellyn amp Wade Spurrell Assistant Commissioner CCG Atlantic https,['#CCG'],15,0,15,Economical,en,0.0,Neutral,DFO_Pacific_tweeter,"['commission', 'minister']"
