,Unnamed: 0,id,date_published,link,caption_original,caption_cleaned,hashtags,num_reactions,num_comments,num_shares,num_likes,num_loves,num_wows,num_hahas,num_sads,num_angrys,num_special,Reactions_SUM,category,language,average_sentiment_score,account_name,words_matched_list,sentiment
18,18,401846167974_10153987677462975,2016-02-04 13:00:58,https://www.facebook.com/TransportandInfrastructureinCanada/photos/a.10151569797817975.1073741825.401846167974/10153987677462975/?type=3,Recall: 2008-2009 Chrysler and Dodge Mini-Vans. a defect may affect Airbag & Seatbelt pretensioner operation. http://www.tc.gc.ca/lguwt,Recall: -2009 Chrysler and Dodge Mini-Vans. a defect may affect Airbag & Seatbelt pretensioner operation.,[],11,1,189,11,0,0,0,0,0,0,201,Environmental,en,0.0,TransportandInfrastructureinCanada_facebook,['air'],neutral
53,53,401846167974_10154012623412975,2016-02-15 12:41:38,https://www.facebook.com/TransportandInfrastructureinCanada/photos/a.10151569797817975.1073741825.401846167974/10154012623412975/?type=3,Happy Flag Day! Share your photos of how you celebrate the Canadian Flag,Happy Flag Day! Share your photos of how you celebrate the Canadian Flag,[],66,3,13,66,0,0,0,0,0,0,82,unknown,en,0.0,TransportandInfrastructureinCanada_facebook,,neutral
67,67,401846167974_10154030955082975,2016-02-23 12:04:16,https://www.facebook.com/TransportandInfrastructureinCanada/photos/a.10151569797817975.1073741825.401846167974/10154030955082975/?type=3,"On this day in 1949, the first Canadian to travel to space was born. Happy Birthday, Minister Garneau http://ow.ly/XH3ln","On this day in , the first Canadian to travel to space was born. Happy Birthday, Minister Garneau",[],59,5,7,59,0,0,0,0,0,0,71,Environmental,en,0.0,TransportandInfrastructureinCanada_facebook,"['eau', 'or']",neutral
138,138,401846167974_10153984303132975,2016-02-02 20:01:44,https://www.facebook.com/TransportandInfrastructureinCanada/photos/a.10151569797817975.1073741825.401846167974/10153984303132975/?type=3,"Did you know, the 26 airports in the National Airport System handle 94% of all passenger & cargo traffic in Canada? http://www.tc.gc.ca/b9tgd","Did you know, the airports in the National Airport System handle % of all passenger & cargo traffic in Canada? d",[],29,1,3,29,0,0,0,0,0,0,33,Environmental,en,0.0,TransportandInfrastructureinCanada_facebook,"['or', 'air']",neutral
146,146,401846167974_10154036561177975,2016-02-25 20:01:59,https://www.facebook.com/TransportandInfrastructureinCanada/photos/a.10151569797817975.1073741825.401846167974/10154036561177975/?type=3,"On this day in 1909, J.A. Douglas McCurdy made Canada’s first powered, heavier-than-air flight, travelling approximately 10 metres off the ground for almost a full km.","On this day in , J.A. Douglas McCurdy made Canada’s first powered, heavier-than-air flight, travelling approximately metres off the ground for almost a full km.",[],21,1,11,21,0,0,0,0,0,0,33,Environmental,en,0.0,TransportandInfrastructureinCanada_facebook,"['or', 'air']",neutral
148,148,401846167974_10153987636252975,2016-02-04 12:30:34,https://www.facebook.com/TransportandInfrastructureinCanada/photos/a.10151569797817975.1073741825.401846167974/10153987636252975/?type=3,Recall: 2014-2015 Mazda CX-5 SUVs. Vehicles may not meet fuel integrity crash standards. http://www.tc.gc.ca/fmrop,Recall: -2015 Mazda CX-5 SUVs. Vehicles may not meet fuel integrity crash standards.,[],7,0,25,7,0,0,0,0,0,0,32,unknown,en,0.0,TransportandInfrastructureinCanada_facebook,,neutral
157,157,401846167974_10154003958767975,2016-02-11 16:15:24,https://www.facebook.com/TransportandInfrastructureinCanada/photos/a.10151569797817975.1073741825.401846167974/10154003958767975/?type=3,Recall: 2011 Hyundai Tucson SUVs with automatic transmissions. The cooler hose may leak. http://www.tc.gc.ca/r81w6,Recall: Hyundai Tucson SUVs with automatic transmissions. The cooler hose may leak.,[],5,1,24,5,0,0,0,0,0,0,30,unknown,en,0.0,TransportandInfrastructureinCanada_facebook,,neutral
160,160,401846167974_10153987449842975,2016-02-04 11:00:40,https://www.facebook.com/TransportandInfrastructureinCanada/photos/a.10151569797817975.1073741825.401846167974/10153987449842975/?type=3,Recall: 2016 Honda Civic cars with 2.0L engines. Piston malfunction could cause engine failure. http://www.tc.gc.ca/fiyj2,Recall: Honda Civic cars with L engines. Piston malfunction could cause engine failure. 2,[],4,0,25,4,0,0,0,0,0,0,29,unknown,en,0.0,TransportandInfrastructureinCanada_facebook,,neutral
165,165,401846167974_10154021314657975,2016-02-19 11:27:39,https://www.facebook.com/TransportandInfrastructureinCanada/photos/a.10151569797817975.1073741825.401846167974/10154021314657975/?type=3,"Fun Fact Friday: In 2015, we provided funding to improve over 600 railway crossings in Canada.","Fun Fact Friday: In , we provided funding to improve over railway crossings in Canada.",[],26,2,0,26,0,0,0,0,0,0,28,Economical,en,0.0,TransportandInfrastructureinCanada_facebook,['funding'],neutral
185,185,401846167974_10154016610887975,2016-02-17 08:03:15,https://www.facebook.com/TransportandInfrastructureinCanada/photos/a.10151569797817975.1073741825.401846167974/10154016610887975/?type=3,"Before hitting the road, make sure your view is clear and your car is cleared of snow. http://www.tc.gc.ca/mkmtu","Before hitting the road, make sure your view is clear and your car is cleared of snow. u",[],19,0,6,19,0,0,0,0,0,0,25,Environmental,en,0.0,TransportandInfrastructureinCanada_facebook,['or'],neutral
