,id,date_published,link,caption_original,caption_cleaned,hashtags,category,Reactions_SUM,average_sentiment_score,language,account_name
0,431918433581020_774439312662262,2016-03-01 09:02:39,https://www.facebook.com/YourMoneyMattersCanada/photos/a.501487959957400.1073741828.431918433581020/774439312662262/?type=3,"EFFECTIVE TODAY! Canadians can subscribe to a basic TV package that costs no more than $25/month. As of March 1st, cable and satellite companies must also now offer PICK & PAY options: EITHER individual channels OR packages of up to 10 channels. Get more details here or contact your local cable provider: http://ow.ly/YT5FW","EFFECTIVE TODAY! Canadians can subscribe to a basic TV package that costs no more than $25/month. As of March st, cable and satellite companies must also now offer PICK & PAY options: EITHER individual channels OR packages of up to channels. Get more details here or contact your local cable provider:",[],Social,470,0.0,en,YourMoneyMattersCanada_facebook
1,431918433581020_778945902211603,2016-03-11 11:45:43,https://www.facebook.com/YourMoneyMattersCanada/photos/a.501487959957400.1073741828.431918433581020/778945902211603/?type=3,"#Scam Spotlight: Scammers often try to lure users into clicking on fake celebrity gossip or quiz links on social media sites. Their goal is to trick you into providing your username and password so they can gain access to your personal information for illegal purposes. 
Learn about the risks and find out more on how to avoid social networking scams. #FPM2016 http://ow.ly/Zm6eX",Spotlight: Scammers often try to lure users into clicking on fake celebrity gossip or quiz links on social media sites. Their goal is to trick you into providing your username and password so they can gain access to your personal information for illegal purposes. Learn about the risks and find out more on how to avoid social networking scams.,"['#Scam', '#FPM2016']",Environmental,357,0.0,en,YourMoneyMattersCanada_facebook
2,431918433581020_782068671899326,2016-03-16 13:45:16,http://ow.ly/Zy2oA,Looking for work with flexible hours and competitive wages? Statistics Canada is currently accepting applications for #2016Census jobs. Apply now! http://ow.ly/Zy2oA,Looking for work with flexible hours and competitive wages? Statistics Canada is currently accepting applications for jobs. Apply now!,['#2016Census'],Economical,136,0.0,en,YourMoneyMattersCanada_facebook
3,431918433581020_778028008970059,2016-03-09 11:45:53,https://www.priv.gc.ca/resource/op-vpel/casl_tips_ind_e.asp,"Got spam?

Avoid opening emails from unknown senders—and if you accidentally do, never reply. Replying confirms your address as being active and causes you to receive more spam. For the same reason, never click on a “remove” or “unsubscribe” link in a suspicious spam message. You may be unwittingly “subscribing” to receiving EVEN MORE spam. 

Check out these 10 tips on how to protect your computer, inbox and mobile device: http://ow.ly/Zm5V3","Got spam? Avoid opening emails from unknown senders—and if you accidentally do, never reply. Replying confirms your address as being active and causes you to receive more spam. For the same reason, never click on a “remove” or “unsubscribe” link in a suspicious spam message. You may be unwittingly “subscribing” to receiving EVEN MORE spam. Check out these tips on how to protect your computer, inbox and mobile device:",[],Environmental,100,0.0,en,YourMoneyMattersCanada_facebook
4,431918433581020_775001952605998,2016-03-02 14:30:41,http://www.ic.gc.ca/eic/site/icgc.nsf/vwimages/YMM-FB-Passwords-Anim-EN.gif/$file/YMM-FB-Passwords-Anim-EN.gif,"Got an email from your social media provider telling you to validate your account or reset your password?

Take a good, hard look at the link provided: does it send you directly to a valid and secure website? If you’re not sure that the email is legit, bypass the links in the email and go directly to the provider’s website to change your password manually. #FPM2016 http://ow.ly/YT7Xr

http://www.ic.gc.ca/eic/site/icgc.nsf/vwimages/YMM-FB-Passwords-Anim-EN.gif/$file/YMM-FB-Passwords-Anim-EN.gif","Got an email from your social media provider telling you to validate your account or reset your password? Take a good, hard look at the link provided: does it send you directly to a valid and secure website? If you’re not sure that the email is legit, bypass the links in the email and go directly to the provider’s website to change your password manually.",['#FPM2016'],Social,84,0.0,en,YourMoneyMattersCanada_facebook
5,431918433581020_774498435989683,2016-03-01 11:45:56,https://www.facebook.com/YourMoneyMattersCanada/photos/a.501487959957400.1073741828.431918433581020/774498435989683/?type=3,"March is Fraud Prevention Month! 

Stay tuned all month as we share #fastfraudfacts and spotlight some of the top scams of 2016. Share with your friends so they can recognize, reject and report fraud too. Learn more: http://ow.ly/YT6Ld #FPM2016","March is Fraud Prevention Month! Stay tuned all month as we share and spotlight some of the top scams of . Share with your friends so they can recognize, reject and report fraud too. Learn more: d","['#fastfraudfacts', '#FPM2016']",Social,83,0.0,en,YourMoneyMattersCanada_facebook
6,431918433581020_781942621911931,2016-03-16 10:45:46,http://ow.ly/Zr6qq,"#ParentPoll: Do your kids get an allowance? If they do, do they save it or spend it?

Teaching kids to save at an early age can help them learn to not become over-reliant on credit cards and to avoid debt problems in the future. A hands-on approach to banking can also help your children better understand how deposits and withdrawals work. 

Check out these great ideas for teaching kids how to save money: http://ow.ly/Zr6qq",": Do your kids get an allowance? If they do, do they save it or spend it? Teaching kids to save at an early age can help them learn to not become over-reliant on credit cards and to avoid debt problems in the future. A hands-on approach to banking can also help your children better understand how deposits and withdrawals work. Check out these great ideas for teaching kids how to save money:",['#ParentPoll'],Social,70,0.0,en,YourMoneyMattersCanada_facebook
7,431918433581020_780691828703677,2016-03-14 17:45:22,http://ow.ly/ZqUJL,"Did you buy a product or service that didn’t live up to its promises?

Know your rights as a consumer and learn how to complain effectively. The Complaint Roadmap is a step-by-step guide that will help you prepare complaints from start to finish: http://ow.ly/ZqUJL",Did you buy a product or service that didn’t live up to its promises? Know your rights as a consumer and learn how to complain effectively. The Complaint Roadmap is a step-by-step guide that will help you prepare complaints from start to finish:,[],Environmental,67,0.0,en,YourMoneyMattersCanada_facebook
8,431918433581020_774939002612293,2016-03-02 11:45:58,https://www.facebook.com/YourMoneyMattersCanada/photos/a.501487959957400.1073741828.431918433581020/774939002612293/?type=3,"Thinking about applying for several credit cards with different rewards programs to get free stuff? Think twice: #DYK that if too many lenders ask about your credit over a short period of time, it can lower your credit score?

Get the lowdown on credit what's in credit reports: http://ow.ly/YTqlK","Thinking about applying for several credit cards with different rewards programs to get free stuff? Think twice: that if too many lenders ask about your credit over a short period of time, it can lower your credit score? Get the lowdown on credit what's in credit reports:",['#DYK'],Environmental,60,0.0,en,YourMoneyMattersCanada_facebook
9,431918433581020_778174025622124,2016-03-09 18:45:28,http://cmhc.ca/en/co/buho/buho_020.cfm,"Trying to decide what mortgage you can afford? 
Figuring out your monthly gross income, monthly debt payments and anticipated monthly expenses can sound like Mission Impossible. We’ll get you closer to Mission Accomplished with this easy-to-use mortgage affordability calculator: http://ow.ly/Zm5Z3","Trying to decide what mortgage you can afford? Figuring out your monthly gross income, monthly debt payments and anticipated monthly eenses can sound like Mission Impossible. We’ll get you closer to Mission Accomplished with this easy-to-use mortgage affordability calculator:",[],Economical,58,0.0,en,YourMoneyMattersCanada_facebook
