,Unnamed: 0,id,date_published,link,caption_original,caption_cleaned,hashtags,num_shares,num_likes,Reactions_SUM,category,language,average_sentiment_score,sentiment,account_name,words_matched_list
3,3,717412046296457216,2016-04-05 18:02:15,"['https://t.co/7EjDV0x', 'https://t.co/QGcZfLBTPw']",#Nouvelles photos: dispositif d'enregistrement de bord retiré de l'avion #îlesdelamadeleine https://t.co/7EjDV0xcu1 https://t.co/QGcZfLBTPw,Nouvelles photos dispositif enregistrement de bord de avion lesdelamadeleine https co 7EjDV0xcu1 https co QGcZfLBTPw,"['#Nouvelles', '#']",8,9,17,Environmental,fr,0.0,Neutral,BSTCanada_tweeter,['or']
7,7,715860093179445248,2016-04-01 11:15:20,"['https://t.co/gwRtTeoiVe', 'https://t.co/NIPTrDin']",Nouvelles photos aériennes du site de l'accident aux #îlesdelamadelaine https://t.co/gwRtTeoiVe https://t.co/NIPTrDinuC,Nouvelles photos riennes du site de accident aux lesdelamadelaine https co gwRtTeoiVe https co NIPTrDinuC,['#'],10,1,11,unknown,fr,0.0,Neutral,BSTCanada_tweeter,
16,16,717439829970182146,2016-04-05 19:52:39,['https://t.co/h1FdXk3ct4'],"En plus des photos, notre page d'enquête en cour a été mise à jour pour notre enquête aux îlesdelamadeleine https://t.co/h1FdXk3ct4",En plus des photos notre page en cour mise jour pour notre aux lesdelamadeleine https co h1FdXk3ct4,[],4,2,6,unknown,fr,0.0,Neutral,BSTCanada_tweeter,
21,21,718113091590950912,2016-04-07 16:27:57,['https://t.co/wbW0M4ENqe'],Nouvelles #photos de l'épave provenant des #îlesdelamadeleine arrivant à notre Labo à Ottawa  https://t.co/wbW0M4ENqe,Nouvelles photos de pave provenant des lesdelamadeleine arrivant notre Labo Ottawa https co wbW0M4ENqe,"['#photos', '#']",4,1,5,unknown,fr,0.0,Neutral,BSTCanada_tweeter,
25,25,715858029250523136,2016-04-01 11:07:08,['https://t.co/Fax4ZSkQmj'],Nouvelles vidéos aériennes du site de l'accident aux #îlesdelamadeleine https://t.co/Fax4ZSkQmj,Nouvelles os riennes du site de accident aux lesdelamadeleine https co Fax4ZSkQmj,['#'],5,0,5,unknown,fr,0.0,Neutral,BSTCanada_tweeter,
27,27,720320156128387072,2016-04-13 18:38:02,"['https://t.co/1wQD3oclW', 'https://t.co/37JYhJXq2e']",Nouvelles #photos liées à l’incident impliquant le remorqueur Ocean Uanaaq https://t.co/1wQD3oclWu https://t.co/37JYhJXq2e,Nouvelles photos es incident impliquant le remorqueur Ocean Uanaaq https co 1wQD3oclWu https co 37JYhJXq2e,['#photos'],3,1,4,Environmental,fr,0.0,Neutral,BSTCanada_tweeter,['or']
28,28,719619819277066240,2016-04-11 20:15:09,"['https://t.co/ZYBbUm2MO', 'https://t.co/9SHhDm5Mj']",Nouvelles #photos du navire de cargaison générale Jan Van Gent échoué près de Yamachiche QC https://t.co/ZYBbUm2MO0 https://t.co/9SHhDm5Mj1,Nouvelles photos du navire de cargaison rale Jan Van Gent de Yamachiche QC https co ZYBbUm2MO0 https co 9SHhDm5Mj1,['#photos'],4,0,4,unknown,fr,0.0,Neutral,BSTCanada_tweeter,
30,30,715857749058437120,2016-04-01 11:06:02,['https://t.co/LmZzNhbKdB'],Mise à jour de notre enquête sur l'accident aux #îlesdelamadeleine https://t.co/LmZzNhbKdB,Mise jour de notre sur accident aux lesdelamadeleine https co LmZzNhbKdB,['#'],3,1,4,unknown,fr,0.0,Neutral,BSTCanada_tweeter,
43,43,722773182202187776,2016-04-20 13:05:29,[],La semaine de la sécurité ferroviaire : semaine prochaine. Accroître la sensibilisation avec @Gareautrain #SSF2016 #VoiesFerréesGareautrain,La semaine de la ferroviaire semaine prochaine tre la sensibilisation avec Gareautrain SSF2016 esGareautrain,"['#SSF2016', '#VoiesFerr']",2,1,3,Environmental,fr,0.0,Neutral,BSTCanada_tweeter,"['eau', 'air']"
52,52,726045291107983360,2016-04-29 13:47:41,[],RT @environnementca: Vous lisez ceci en chemin? Nos amis @BSTCanada et @Transports_gc et nous vous souhaitons BONNE ROUTE! #FF,RT environnementca lisez ceci chemin amis BSTCanada souhaitons BONNE ROUTE FF,['#FF'],3,0,3,Social,fr,0.0,Neutral,BSTCanada_tweeter,['ami']
